,MiddleTeton21,NFTeton21,DeltaLake21,Gusher21,CloudveilDome21,QuadCreek21,S.Cascade21,WindCave21,SilverRun21,SFTeton21,Skillet21,Grizzly21,SAKBasin21,ASV_Code,Percent_ID,Taxa_ID
4,0,12336,2,0,0,4616,132,0,1944,4,0,0,0,1a2a503e7ce0168b607754d7d19ae224,100,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_;s_Chironomidae sp. BOLD-2016
7,309,0,0,9018,12,0,0,0,0,0,0,0,0,0d5a4fd525e3a35fc87801b04e7aa89d,100,k_Eukaryota;p_Arthropoda;c_Insecta;o_Plecoptera;f_Nemouridae;g_Zapada;s_Zapada glacier
10,0,0,8570,0,0,0,0,0,0,0,0,0,0,c84e1a43e0a7587c500f50cdb962fcd9,100,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_;s_Orthocladiinae sp. I14-101-05
11,0,912,0,0,0,166,0,0,0,0,793,2473,0,1fdd2b4e5537be00dbef59853e5cda85,100,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Simuliidae;g_Prosimulium;s_Prosimulium sp. BOLD-2016
31,0,31,0,0,0,698,0,0,43,0,0,419,0,76774f25be44970e0670326934d1b2c6,100,k_Eukaryota;p_Arthropoda;c_Insecta;o_Plecoptera;f_Perlodidae;g_Megarcys;s_Megarcys watertoni
32,0,0,0,0,0,0,0,0,134,537,0,0,1012,4fb15a13834f703a85631968475af783,100,k_Eukaryota;p_Arthropoda;c_Insecta;o_Plecoptera;f_Nemouridae;g_Zapada;s_Zapada sp. n. 'sexton'
37,0,6,0,0,0,15,0,0,885,0,0,0,0,47509e24c9d4c7b5a7d77e284cd07e24,100,k_Eukaryota;p_Arthropoda;c_Insecta;o_Ephemeroptera;f_Ephemerellidae;g_;s_Ephemerellidae sp. BOLD:AAI9117
43,0,706,62,5,0,136,0,0,20,59,29,0,14,b339991ab8dec90adc281182c170989f,100,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_;s_Chironomidae sp. I14-95-03
45,0,0,0,0,0,0,652,0,0,0,0,0,0,2508fddeac3701326d05148a8456a8ff,100,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Anthomyiidae;g_;s_Anthomyiidae sp. BOLD-2016
49,0,149,0,0,0,430,0,0,2,0,0,36,0,f2aa70d26e23e05738f54c903f093a40,100,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_Diamesa;s_Diamesa nr. hyperborea BIOUG22041-H01
51,0,10,0,0,0,573,0,0,0,22,0,0,0,a4e454ed698bba30ad0f20bc2c5901e6,100,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_;s_Chironomidae sp. BOLD-2016
58,0,0,0,0,106,0,0,0,860,44,0,0,62,0c1226895b13b1f3200f6347ebf78dfe,100,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_Micropsectra;s_Micropsectra logani
60,0,0,0,0,0,422,0,0,0,0,0,0,0,fadd015d827a7bb76e2f4b60ed99abcf,100,k_Eukaryota;p_Arthropoda;c_Ostracoda;o_;f_;g_;s_Ostracoda sp. BIOUG09716-A01
69,0,0,0,0,0,0,0,273,0,66,0,0,374,c526ddee9c61fe990c94e0e061f6ab27,100,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_;s_Orthocladiinae sp. BIOUG25697-A10
74,0,0,0,0,0,0,0,0,321,65,0,0,160,414e7cba3007572c3b28b7fc20972135,100,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_Micropsectra;s_Micropsectra sp. BIOUG22208-H09
80,0,2,0,0,0,0,0,0,490,0,0,0,0,43913d4e0c98cfa0746f3c0afc3f52de,100,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_Micropsectra;s_Micropsectra sp. BIOUG25572-A11
83,0,0,0,11,0,196,0,0,17,0,247,52,0,a5e8ad52088380aa36ed309d7562d7fc,100,k_Eukaryota;p_Arthropoda;c_Insecta;o_Diptera;f_Chironomidae;g_;s_Chironomidae sp. BOLD-2016
