Date,Order,temp_2015,temp_2016,temp_2017,temp_2018,temp_2019,temp_2020,temp_2021,temp_2022
21-Jun,a,,1.51,,1.28,1.09,1.15,1.65,1.19
22-Jun,acv,,1.6,,1.31,0.92,1.22,1.72,1.18
23-Jun,adc,,1.62,,1.3,0.81,1.26,1.81,1.34
24-Jun,b,,1.67,,1.31,0.83,1.39,1.82,1.38
25-Jun,bdz,,1.62,,1.34,0.96,1.37,1.83,1.46
26-Jun,c,,1.6,,1.37,1.09,1.38,1.87,1.44
27-Jun,cba,,1.67,,1.43,1.26,1.44,1.89,1.49
28-Jun,d,,1.79,,1.46,1.35,1.44,2.12,1.57
29-Jun,dbb,,1.93,,1.48,1.36,1.41,2.35,1.60
30-Jun,dcb,,2.02,,1.42,1.4,1.25,2.57,1.57
1-Jul,e,,2.13,,1.34,1.46,1.13,2.69,1.58
2-Jul,ebc,,2.28,,1.38,1.52,1.21,2.92,1.67
3-Jul,ecc,,2.47,,1.44,1.53,1.38,3.23,1.85
4-Jul,edc,,2.66,,1.48,1.58,1.52,3.67,1.90
5-Jul,f,,2.77,,1.6,1.58,1.6,3.94,1.94
6-Jul,fcd,,2.81,,1.71,1.57,1.59,4.3,2.02
7-Jul,fdd,,3.07,,1.78,1.64,1.62,4.77,2.10
8-Jul,fed,,3.5,,1.8,1.62,1.6,5.19,2.20
9-Jul,fjk,,3.95,,1.95,1.53,1.61,5.56,2.34
10-Jul,g,,3.12,,1.99,1.46,1.7,5.98,2.49
11-Jul,gde,,1.91,,2.01,1.56,1.74,6.34,2.69
12-Jul,gee,,3.32,,2.02,1.73,1.8,7.22,2.96
13-Jul,gfe,,3.77,,2.07,1.77,1.72,7.63,3.17
14-Jul,h,,4.27,,2.1,1.82,1.72,8,3.54
15-Jul,hef,,4.81,,2.23,1.82,1.73,8.27,3.92
16-Jul,hff,,5.09,,2.32,1.84,1.84,9.07,4.33
17-Jul,hgf,,5.22,,2.54,1.79,1.97,9.28,4.78
18-Jul,i,,6.08,,2.7,1.76,2.11,9.88,5.01
19-Jul,ifg,,6.5,,2.88,1.78,2.12,10.58,5.19
20-Jul,igg,,6.87,,3.1,1.78,2.21,10.4,5.91
21-Jul,ihg,,7.33,,3.19,1.77,2.42,11.1,6.49
22-Jul,j,,7.7,,3.39,1.8,2.61,10.62,7.03
23-Jul,jgh,,7.45,,3.61,1.82,2.88,10.47,7.42
24-Jul,jhh,,7.86,,3.84,1.81,3.13,11.26,7.80
25-Jul,jih,,8.51,,4.05,1.77,3.39,11.59,8.05
26-Jul,k,,9.17,,4.24,1.7,3.77,11.88,8.80
27-Jul,khi,,9.72,,4.61,1.66,4.27,12.31,9.25
28-Jul,kii,,10.03,,4.96,1.63,4.04,11.76,9.34
29-Jul,kji,,10.1,,5.08,1.68,4.83,11.3,10.19
30-Jul,l,,10.26,,,1.67,5.48,11.61,10.84
31-Jul,lij,,10.79,,6.08,1.9,6.22,11.25,11.09
1-Aug,ljj,,10.36,,6.66,1.99,6.85,12.48,11.40
2-Aug,lkj,,10.53,,6.93,,7.39,11.15,10.10
3-Aug,m,,10.8,,6.93,2.39,7.82,10.93,9.23
4-Aug,mjk,,10.32,,6.82,2.56,8.13,11.11,9.62
5-Aug,mkk,,,,6.81,2.8,8.52,,8.32
6-Aug,mlk,,,,7.36,3.13,8.78,9.37,7.50
