Date,Order,temp_2015,temp_2016,temp_2017,temp_2018,temp_2019,temp_2020,temp_2021
21-Jun,a,,2.44,,,2.27,,2.51
22-Jun,acv,,2.42,,,2.35,,2.54
23-Jun,adc,,2.46,,,2.47,,2.57
24-Jun,b,,2.41,,,2.48,,2.60
25-Jun,bdz,,2.33,,,2.49,,2.61
26-Jun,c,,2.40,,,2.50,,2.64
27-Jun,cba,,2.45,,,2.48,,2.69
28-Jun,d,,2.50,,,2.48,,2.78
29-Jun,dbb,,2.50,,,2.47,,2.78
30-Jun,dcb,,2.52,,,2.51,,2.81
1-Jul,e,,2.55,,,2.50,,2.94
2-Jul,ebc,,2.54,,,2.46,,3.06
3-Jul,ecc,,2.58,,,2.44,,3.11
4-Jul,edc,,2.60,,,2.45,,3.20
5-Jul,f,,2.55,,,2.46,,3.19
6-Jul,fcd,,2.56,,,2.49,,3.16
7-Jul,fdd,,2.53,,,2.47,,3.31
8-Jul,fed,,2.77,,,2.44,,3.29
9-Jul,fjk,,2.83,,,2.44,,3.18
10-Jul,g,,2.61,,,2.49,,3.18
11-Jul,gde,,2.35,,,2.47,,3.33
12-Jul,gee,,2.58,,,2.46,,3.56
13-Jul,gfe,,2.63,,,2.47,,3.55
14-Jul,h,,2.65,,,2.49,,3.47
15-Jul,hef,,2.78,,,2.48,,3.53
16-Jul,hff,,2.81,,,2.49,,3.60
17-Jul,hgf,,2.76,,,2.49,,3.66
18-Jul,i,,2.96,,,2.53,,3.69
19-Jul,ifg,,3.16,,,2.57,,4.06
20-Jul,igg,,3.10,,,2.49,,4.15
21-Jul,ihg,,3.13,,,2.63,,4.16
22-Jul,j,,3.32,,,2.77,,4.02
23-Jul,jgh,,2.88,,,2.83,,3.83
24-Jul,jhh,,2.90,,,2.83,,3.79
25-Jul,jih,,3.03,,,2.62,,3.90
26-Jul,k,,3.17,,,2.85,,3.87
27-Jul,khi,,3.22,,,2.92,,4.25
28-Jul,kii,,3.24,,,2.83,,4.65
29-Jul,kji,,3.36,,,,,4.55
30-Jul,l,,3.47,,,,,4.50
31-Jul,lij,,3.56,,,,,4.62
1-Aug,ljj,,3.20,,3.17,,,4.53
2-Aug,lkj,,3.32,,3.29,,,4.51
3-Aug,m,,3.15,,3.17,,,4.21
4-Aug,mjk,,2.86,,2.78,,,4.27
5-Aug,mkk,,3.31,,2.96,,,4.35
6-Aug,mlk,,,,2.93,,,
7-Aug,n,,,,2.97,,3.14,
8-Aug,nkl,,,,3.10,,2.98,
9-Aug,nll,,,2.84,3.16,,2.98,
10-Aug,nml,2.90,,2.68,3.37,,3.08,
11-Aug,o,3.23,,2.84,3.43,,2.93,
12-Aug,olm,3.53,,2.85,3.56,,3.16,
13-Aug,omm,3.58,,2.95,3.41,,3.18,
14-Aug,onm,3.67,,2.81,3.19,,2.90,
15-Aug,p,3.40,,2.78,3.06,,2.93,
16-Aug,pmn,2.83,,2.79,3.32,,3.12,
17-Aug,pnn,2.91,,2.77,3.48,,3.49,
18-Aug,pon,2.86,,2.75,3.44,,3.76,
19-Aug,q,2.92,,2.72,3.25,,3.80,
20-Aug,qno,3.04,,2.74,3.31,,3.66,
21-Aug,qoo,3.01,,2.67,3.26,,3.26,
22-Aug,qpo,2.63,,2.81,3.20,,3.45,
23-Aug,r,2.63,,3.18,3.13,,3.37,
24-Aug,rop,3.23,,3.14,3.17,,3.75,
25-Aug,rpp,3.47,,3.09,2.96,,3.90,
26-Aug,rqp,3.65,,3.02,3.09,,3.72,
27-Aug,s,3.61,,3.08,2.63,,3.66,
28-Aug,spq,3.32,,3.12,2.37,,3.40,
29-Aug,sqq,3.78,,3.31,2.53,,3.43,
30-Aug,srq,3.64,,3.37,2.95,,2.91,
31-Aug,t,2.78,,3.44,2.95,,2.34,
1-Sep,tqr,3.18,,3.16,2.64,,2.58,
2-Sep,trr,3.42,,3.19,2.61,,2.99,
3-Sep,tsr,3.53,,3.22,2.56,,3.10,
4-Sep,u,3.33,,3.31,2.76,,3.39,
5-Sep,urs,3.03,,3.08,2.92,,3.54,
6-Sep,uss,2.16,,3.14,3.17,,3.35,
7-Sep,uts,2.24,,3.35,3.39,,2.86,
8-Sep,v,2.30,,3.54,3.34,,1.27,
9-Sep,vst,2.53,,3.69,2.79,,1.69,
10-Sep,vtt,2.77,,3.72,2.81,,2.04,
11-Sep,vut,2.96,,3.48,2.72,,2.35,
12-Sep,w,3.01,,3.41,2.94,,2.62,
13-Sep,wtu,3.33,,3.58,2.81,,2.84,
14-Sep,wuu,3.35,,3.41,2.75,,2.89,
15-Sep,wvu,3.09,,2.63,3.01,,3.01,
16-Sep,x,2.53,,1.92,2.86,,3.12,
17-Sep,xuv,2.37,,2.01,2.47,,3.15,
18-Sep,xvv,2.41,,2.53,2.76,,3.37,
19-Sep,xwv,2.40,,1.79,2.53,,3.08,
20-Sep,xy,2.46,,2.03,2.52,,2.83,
21-Sep,y,2.55,,1.88,2.12,,2.61,
22-Sep,yvw,2.65,,2.10,2.63,,3.25,
