Date,Order,Year,Temp
21-Jun,a,2015,
22-Jun,acv,2015,
23-Jun,adc,2015,
24-Jun,b,2015,
25-Jun,bdz,2015,
26-Jun,c,2015,
27-Jun,cba,2015,
28-Jun,d,2015,
29-Jun,dbb,2015,
30-Jun,dcb,2015,
1-Jul,e,2015,
2-Jul,ebc,2015,
3-Jul,ecc,2015,
4-Jul,edc,2015,
5-Jul,f,2015,
6-Jul,fcd,2015,
7-Jul,fdd,2015,
8-Jul,fed,2015,
9-Jul,fjk,2015,
10-Jul,g,2015,
11-Jul,gde,2015,
12-Jul,gee,2015,
13-Jul,gfe,2015,
14-Jul,h,2015,
15-Jul,hef,2015,
16-Jul,hff,2015,
17-Jul,hgf,2015,
18-Jul,i,2015,
19-Jul,ifg,2015,
20-Jul,igg,2015,
21-Jul,ihg,2015,
22-Jul,j,2015,
23-Jul,jgh,2015,
24-Jul,jhh,2015,
25-Jul,jih,2015,
26-Jul,k,2015,
27-Jul,khi,2015,
28-Jul,kii,2015,
29-Jul,kji,2015,
30-Jul,l,2015,
31-Jul,lij,2015,
1-Aug,ljj,2015,
2-Aug,lkj,2015,
3-Aug,m,2015,
4-Aug,mjk,2015,
5-Aug,mkk,2015,
6-Aug,mlk,2015,
7-Aug,n,2015,
8-Aug,nkl,2015,
9-Aug,nll,2015,
10-Aug,nml,2015,2.90
11-Aug,o,2015,3.23
12-Aug,olm,2015,3.53
13-Aug,omm,2015,3.58
14-Aug,onm,2015,3.67
15-Aug,p,2015,3.40
16-Aug,pmn,2015,2.83
17-Aug,pnn,2015,2.91
18-Aug,pon,2015,2.86
19-Aug,q,2015,2.92
20-Aug,qno,2015,3.04
21-Aug,qoo,2015,3.01
22-Aug,qpo,2015,2.63
23-Aug,r,2015,2.63
24-Aug,rop,2015,3.23
25-Aug,rpp,2015,3.47
26-Aug,rqp,2015,3.65
27-Aug,s,2015,3.61
28-Aug,spq,2015,3.32
29-Aug,sqq,2015,3.78
30-Aug,srq,2015,3.64
31-Aug,t,2015,2.78
1-Sep,tqr,2015,3.18
2-Sep,trr,2015,3.42
3-Sep,tsr,2015,3.53
4-Sep,u,2015,3.33
5-Sep,urs,2015,3.03
6-Sep,uss,2015,2.16
7-Sep,uts,2015,2.24
8-Sep,v,2015,2.30
9-Sep,vst,2015,2.53
10-Sep,vtt,2015,2.77
11-Sep,vut,2015,2.96
12-Sep,w,2015,3.01
13-Sep,wtu,2015,3.33
14-Sep,wuu,2015,3.35
15-Sep,wvu,2015,3.09
16-Sep,x,2015,2.53
17-Sep,xuv,2015,2.37
18-Sep,xvv,2015,2.41
19-Sep,xwv,2015,2.40
20-Sep,xy,2015,2.46
21-Sep,y,2015,2.55
22-Sep,yvw,2015,2.65
21-Jun,a,2016,2.44
22-Jun,acv,2016,2.42
23-Jun,adc,2016,2.46
24-Jun,b,2016,2.41
25-Jun,bdz,2016,2.33
26-Jun,c,2016,2.40
27-Jun,cba,2016,2.45
28-Jun,d,2016,2.50
29-Jun,dbb,2016,2.50
30-Jun,dcb,2016,2.52
1-Jul,e,2016,2.55
2-Jul,ebc,2016,2.54
3-Jul,ecc,2016,2.58
4-Jul,edc,2016,2.60
5-Jul,f,2016,2.55
6-Jul,fcd,2016,2.56
7-Jul,fdd,2016,2.53
8-Jul,fed,2016,2.77
9-Jul,fjk,2016,2.83
10-Jul,g,2016,2.61
11-Jul,gde,2016,2.35
12-Jul,gee,2016,2.58
13-Jul,gfe,2016,2.63
14-Jul,h,2016,2.65
15-Jul,hef,2016,2.78
16-Jul,hff,2016,2.81
17-Jul,hgf,2016,2.76
18-Jul,i,2016,2.96
19-Jul,ifg,2016,3.16
20-Jul,igg,2016,3.10
21-Jul,ihg,2016,3.13
22-Jul,j,2016,3.32
23-Jul,jgh,2016,2.88
24-Jul,jhh,2016,2.90
25-Jul,jih,2016,3.03
26-Jul,k,2016,3.17
27-Jul,khi,2016,3.22
28-Jul,kii,2016,3.24
29-Jul,kji,2016,3.36
30-Jul,l,2016,3.47
31-Jul,lij,2016,3.56
1-Aug,ljj,2016,3.20
2-Aug,lkj,2016,3.32
3-Aug,m,2016,3.15
4-Aug,mjk,2016,2.86
5-Aug,mkk,2016,3.31
6-Aug,mlk,2016,
7-Aug,n,2016,
8-Aug,nkl,2016,
9-Aug,nll,2016,
10-Aug,nml,2016,
11-Aug,o,2016,
12-Aug,olm,2016,
13-Aug,omm,2016,
14-Aug,onm,2016,
15-Aug,p,2016,
16-Aug,pmn,2016,
17-Aug,pnn,2016,
18-Aug,pon,2016,
19-Aug,q,2016,
20-Aug,qno,2016,
21-Aug,qoo,2016,
22-Aug,qpo,2016,
23-Aug,r,2016,
24-Aug,rop,2016,
25-Aug,rpp,2016,
26-Aug,rqp,2016,
27-Aug,s,2016,
28-Aug,spq,2016,
29-Aug,sqq,2016,
30-Aug,srq,2016,
31-Aug,t,2016,
1-Sep,tqr,2016,
2-Sep,trr,2016,
3-Sep,tsr,2016,
4-Sep,u,2016,
5-Sep,urs,2016,
6-Sep,uss,2016,
7-Sep,uts,2016,
8-Sep,v,2016,
9-Sep,vst,2016,
10-Sep,vtt,2016,
11-Sep,vut,2016,
12-Sep,w,2016,
13-Sep,wtu,2016,
14-Sep,wuu,2016,
15-Sep,wvu,2016,
16-Sep,x,2016,
17-Sep,xuv,2016,
18-Sep,xvv,2016,
19-Sep,xwv,2016,
20-Sep,xy,2016,
21-Sep,y,2016,
22-Sep,yvw,2016,
21-Jun,a,2017,
22-Jun,acv,2017,
23-Jun,adc,2017,
24-Jun,b,2017,
25-Jun,bdz,2017,
26-Jun,c,2017,
27-Jun,cba,2017,
28-Jun,d,2017,
29-Jun,dbb,2017,
30-Jun,dcb,2017,
1-Jul,e,2017,
2-Jul,ebc,2017,
3-Jul,ecc,2017,
4-Jul,edc,2017,
5-Jul,f,2017,
6-Jul,fcd,2017,
7-Jul,fdd,2017,
8-Jul,fed,2017,
9-Jul,fjk,2017,
10-Jul,g,2017,
11-Jul,gde,2017,
12-Jul,gee,2017,
13-Jul,gfe,2017,
14-Jul,h,2017,
15-Jul,hef,2017,
16-Jul,hff,2017,
17-Jul,hgf,2017,
18-Jul,i,2017,
19-Jul,ifg,2017,
20-Jul,igg,2017,
21-Jul,ihg,2017,
22-Jul,j,2017,
23-Jul,jgh,2017,
24-Jul,jhh,2017,
25-Jul,jih,2017,
26-Jul,k,2017,
27-Jul,khi,2017,
28-Jul,kii,2017,
29-Jul,kji,2017,
30-Jul,l,2017,
31-Jul,lij,2017,
1-Aug,ljj,2017,
2-Aug,lkj,2017,
3-Aug,m,2017,
4-Aug,mjk,2017,
5-Aug,mkk,2017,
6-Aug,mlk,2017,
7-Aug,n,2017,
8-Aug,nkl,2017,
9-Aug,nll,2017,2.84
10-Aug,nml,2017,2.68
11-Aug,o,2017,2.84
12-Aug,olm,2017,2.85
13-Aug,omm,2017,2.95
14-Aug,onm,2017,2.81
15-Aug,p,2017,2.78
16-Aug,pmn,2017,2.79
17-Aug,pnn,2017,2.77
18-Aug,pon,2017,2.75
19-Aug,q,2017,2.72
20-Aug,qno,2017,2.74
21-Aug,qoo,2017,2.67
22-Aug,qpo,2017,2.81
23-Aug,r,2017,3.18
24-Aug,rop,2017,3.14
25-Aug,rpp,2017,3.09
26-Aug,rqp,2017,3.02
27-Aug,s,2017,3.08
28-Aug,spq,2017,3.12
29-Aug,sqq,2017,3.31
30-Aug,srq,2017,3.37
31-Aug,t,2017,3.44
1-Sep,tqr,2017,3.16
2-Sep,trr,2017,3.19
3-Sep,tsr,2017,3.22
4-Sep,u,2017,3.31
5-Sep,urs,2017,3.08
6-Sep,uss,2017,3.14
7-Sep,uts,2017,3.35
8-Sep,v,2017,3.54
9-Sep,vst,2017,3.69
10-Sep,vtt,2017,3.72
11-Sep,vut,2017,3.48
12-Sep,w,2017,3.41
13-Sep,wtu,2017,3.58
14-Sep,wuu,2017,3.41
15-Sep,wvu,2017,2.63
16-Sep,x,2017,1.92
17-Sep,xuv,2017,2.01
18-Sep,xvv,2017,2.53
19-Sep,xwv,2017,1.79
20-Sep,xy,2017,2.03
21-Sep,y,2017,1.88
22-Sep,yvw,2017,2.10
21-Jun,a,2018,
22-Jun,acv,2018,
23-Jun,adc,2018,
24-Jun,b,2018,
25-Jun,bdz,2018,
26-Jun,c,2018,
27-Jun,cba,2018,
28-Jun,d,2018,
29-Jun,dbb,2018,
30-Jun,dcb,2018,
1-Jul,e,2018,
2-Jul,ebc,2018,
3-Jul,ecc,2018,
4-Jul,edc,2018,
5-Jul,f,2018,
6-Jul,fcd,2018,
7-Jul,fdd,2018,
8-Jul,fed,2018,
9-Jul,fjk,2018,
10-Jul,g,2018,
11-Jul,gde,2018,
12-Jul,gee,2018,
13-Jul,gfe,2018,
14-Jul,h,2018,
15-Jul,hef,2018,
16-Jul,hff,2018,
17-Jul,hgf,2018,
18-Jul,i,2018,
19-Jul,ifg,2018,
20-Jul,igg,2018,
21-Jul,ihg,2018,
22-Jul,j,2018,
23-Jul,jgh,2018,
24-Jul,jhh,2018,
25-Jul,jih,2018,
26-Jul,k,2018,
27-Jul,khi,2018,
28-Jul,kii,2018,
29-Jul,kji,2018,
30-Jul,l,2018,
31-Jul,lij,2018,
1-Aug,ljj,2018,3.17
2-Aug,lkj,2018,3.29
3-Aug,m,2018,3.17
4-Aug,mjk,2018,2.78
5-Aug,mkk,2018,2.96
6-Aug,mlk,2018,2.93
7-Aug,n,2018,2.97
8-Aug,nkl,2018,3.10
9-Aug,nll,2018,3.16
10-Aug,nml,2018,3.37
11-Aug,o,2018,3.43
12-Aug,olm,2018,3.56
13-Aug,omm,2018,3.41
14-Aug,onm,2018,3.19
15-Aug,p,2018,3.06
16-Aug,pmn,2018,3.32
17-Aug,pnn,2018,3.48
18-Aug,pon,2018,3.44
19-Aug,q,2018,3.25
20-Aug,qno,2018,3.31
21-Aug,qoo,2018,3.26
22-Aug,qpo,2018,3.20
23-Aug,r,2018,3.13
24-Aug,rop,2018,3.17
25-Aug,rpp,2018,2.96
26-Aug,rqp,2018,3.09
27-Aug,s,2018,2.63
28-Aug,spq,2018,2.37
29-Aug,sqq,2018,2.53
30-Aug,srq,2018,2.95
31-Aug,t,2018,2.95
1-Sep,tqr,2018,2.64
2-Sep,trr,2018,2.61
3-Sep,tsr,2018,2.56
4-Sep,u,2018,2.76
5-Sep,urs,2018,2.92
6-Sep,uss,2018,3.17
7-Sep,uts,2018,3.39
8-Sep,v,2018,3.34
9-Sep,vst,2018,2.79
10-Sep,vtt,2018,2.81
11-Sep,vut,2018,2.72
12-Sep,w,2018,2.94
13-Sep,wtu,2018,2.81
14-Sep,wuu,2018,2.75
15-Sep,wvu,2018,3.01
16-Sep,x,2018,2.86
17-Sep,xuv,2018,2.47
18-Sep,xvv,2018,2.76
19-Sep,xwv,2018,2.53
20-Sep,xy,2018,2.52
21-Sep,y,2018,2.12
22-Sep,yvw,2018,2.63
21-Jun,a,2019,2.27
22-Jun,acv,2019,2.35
23-Jun,adc,2019,2.47
24-Jun,b,2019,2.48
25-Jun,bdz,2019,2.49
26-Jun,c,2019,2.50
27-Jun,cba,2019,2.48
28-Jun,d,2019,2.48
29-Jun,dbb,2019,2.47
30-Jun,dcb,2019,2.51
1-Jul,e,2019,2.50
2-Jul,ebc,2019,2.46
3-Jul,ecc,2019,2.44
4-Jul,edc,2019,2.45
5-Jul,f,2019,2.46
6-Jul,fcd,2019,2.49
7-Jul,fdd,2019,2.47
8-Jul,fed,2019,2.44
9-Jul,fjk,2019,2.44
10-Jul,g,2019,2.49
11-Jul,gde,2019,2.47
12-Jul,gee,2019,2.46
13-Jul,gfe,2019,2.47
14-Jul,h,2019,2.49
15-Jul,hef,2019,2.48
16-Jul,hff,2019,2.49
17-Jul,hgf,2019,2.49
18-Jul,i,2019,2.53
19-Jul,ifg,2019,2.57
20-Jul,igg,2019,2.49
21-Jul,ihg,2019,2.63
22-Jul,j,2019,2.77
23-Jul,jgh,2019,2.83
24-Jul,jhh,2019,2.83
25-Jul,jih,2019,2.62
26-Jul,k,2019,2.85
27-Jul,khi,2019,2.92
28-Jul,kii,2019,2.83
29-Jul,kji,2019,
30-Jul,l,2019,
31-Jul,lij,2019,
1-Aug,ljj,2019,
2-Aug,lkj,2019,
3-Aug,m,2019,
4-Aug,mjk,2019,
5-Aug,mkk,2019,
6-Aug,mlk,2019,
7-Aug,n,2019,
8-Aug,nkl,2019,
9-Aug,nll,2019,
10-Aug,nml,2019,
11-Aug,o,2019,
12-Aug,olm,2019,
13-Aug,omm,2019,
14-Aug,onm,2019,
15-Aug,p,2019,
16-Aug,pmn,2019,
17-Aug,pnn,2019,
18-Aug,pon,2019,
19-Aug,q,2019,
20-Aug,qno,2019,
21-Aug,qoo,2019,
22-Aug,qpo,2019,
23-Aug,r,2019,
24-Aug,rop,2019,
25-Aug,rpp,2019,
26-Aug,rqp,2019,
27-Aug,s,2019,
28-Aug,spq,2019,
29-Aug,sqq,2019,
30-Aug,srq,2019,
31-Aug,t,2019,
1-Sep,tqr,2019,
2-Sep,trr,2019,
3-Sep,tsr,2019,
4-Sep,u,2019,
5-Sep,urs,2019,
6-Sep,uss,2019,
7-Sep,uts,2019,
8-Sep,v,2019,
9-Sep,vst,2019,
10-Sep,vtt,2019,
11-Sep,vut,2019,
12-Sep,w,2019,
13-Sep,wtu,2019,
14-Sep,wuu,2019,
15-Sep,wvu,2019,
16-Sep,x,2019,
17-Sep,xuv,2019,
18-Sep,xvv,2019,
19-Sep,xwv,2019,
20-Sep,xy,2019,
21-Sep,y,2019,
22-Sep,yvw,2019,
21-Jun,a,2020,
22-Jun,acv,2020,
