Date,Order,temp_2015,temp_2016,temp_2017,temp_2018,temp_2019,temp_2020,temp_2021,temp_2022,,
21-Jun,a,,,,,,1.39,1.33,1.77,,
22-Jun,acv,,,,,,1.20,1.40,1.80,,
23-Jun,adc,,,,,,1.11,1.40,1.75,,
24-Jun,b,,,,,,1.11,1.34,1.55,,
25-Jun,bdz,,,,,,1.15,1.35,1.52,,
26-Jun,c,,,,,,1.15,1.37,1.58,,
27-Jun,cba,,,,,,1.09,1.35,1.57,,
28-Jun,d,,,,,,1.03,1.43,1.57,,
29-Jun,dbb,,,,,,1.22,1.41,1.56,,
30-Jun,dcb,,,,,,1.39,1.38,1.57,,
1-Jul,e,,,,,,1.46,1.37,1.58,,
2-Jul,ebc,,,,,,1.48,1.40,1.58,,
3-Jul,ecc,,,,,,1.32,1.41,1.58,,
4-Jul,edc,,,,,,1.17,1.42,1.60,,
5-Jul,f,,,,,,1.12,1.44,1.65,,
6-Jul,fcd,,,,,,1.14,1.46,1.70,,
7-Jul,fdd,,,,,,1.12,1.50,1.69,,
8-Jul,fed,,,,,,1.17,1.53,1.65,,
9-Jul,fjk,,,,,,1.23,1.56,1.71,,
10-Jul,g,,,,,,1.25,1.59,1.70,,
11-Jul,gde,,,,,,1.31,1.63,1.65,,
12-Jul,gee,,,,,,1.40,1.68,1.67,,
13-Jul,gfe,,,,,,1.39,1.72,1.66,,
14-Jul,h,,,,,,1.33,1.75,1.69,,
15-Jul,hef,,,,,,1.37,1.78,1.66,,
16-Jul,hff,,,,,,1.43,1.81,1.66,,
17-Jul,hgf,,,,,,1.45,1.84,1.68,,
18-Jul,i,,,,,,1.50,1.86,1.72,,
19-Jul,ifg,,,,,,1.37,1.89,1.75,,
20-Jul,igg,,,,,,1.38,1.90,1.81,,
21-Jul,ihg,,,,,,1.39,1.92,1.85,,
22-Jul,j,,,,,,1.40,1.93,1.88,,
23-Jul,jgh,,,,,,1.42,1.95,1.92,,
24-Jul,jhh,,,,,,1.40,1.97,1.96,,
25-Jul,jih,,,,,,1.43,1.98,1.99,,
26-Jul,k,,,,,,1.46,1.99,2.02,,
27-Jul,khi,,,,,,1.49,2.02,2.06,,
28-Jul,kii,,,,,,1.52,2.03,2.09,,
29-Jul,kji,,,,,,1.56,2.06,2.12,,
30-Jul,l,,,,,,1.59,2.09,2.14,,
31-Jul,lij,,,,,1.62,1.61,2.13,2.15,,
1-Aug,ljj,,,,,1.66,1.65,2.16,2.17,,
2-Aug,lkj,,,,,1.70,1.68,2.15,2.20,,
3-Aug,m,,2.18,,,1.73,1.70,2.24,2.23,,
4-Aug,mjk,,2.19,,,1.75,1.74,2.31,2.22,,
5-Aug,mkk,,2.20,,,1.81,1.79,2.50,2.24,,
6-Aug,mlk,,2.22,,,1.84,1.82,2.31,2.29,,
7-Aug,n,,2.22,,,1.88,1.85,,2.28,,
8-Aug,nkl,,2.24,,,1.89,1.86,2.29,,,
9-Aug,nll,,2.26,,,1.91,1.88,2.29,,,
10-Aug,nml,,2.27,,,1.93,,2.29,,,
11-Aug,o,,2.28,,,1.95,1.87,2.29,,,
12-Aug,olm,,2.29,,,1.95,1.88,2.30,,,
13-Aug,omm,,2.30,,,1.97,1.90,2.32,,,
14-Aug,onm,,2.31,,,1.99,1.91,2.33,,,
15-Aug,p,,2.33,,,2.02,1.93,2.35,,,
16-Aug,pmn,,2.34,,,2.06,1.95,2.37,,,
17-Aug,pnn,,2.35,,,2.15,2.13,2.38,,,
18-Aug,pon,,2.36,,,2.36,2.05,2.38,,,
19-Aug,q,,2.38,,,2.46,2.12,2.43,,,
20-Aug,qno,,2.38,,,2.41,2.21,2.50,,,
21-Aug,qoo,,2.39,,,3.15,2.20,2.51,,,
22-Aug,qpo,,2.41,,,3.31,2.34,2.48,,,
23-Aug,r,,2.41,,,2.95,2.41,2.32,,,
24-Aug,rop,,2.42,,,4.18,2.58,2.24,,,
25-Aug,rpp,,2.43,,,5.00,3.14,2.23,,,
26-Aug,rqp,,2.44,,,3.19,3.37,2.25,,,
27-Aug,s,,2.45,,,3.90,3.83,2.28,,,
28-Aug,spq,,2.47,,,5.01,3.65,2.31,,,
