Date,Order,temp_2015,temp_2016,temp_2017,temp_2018,temp_2019,temp_2020,temp_2021,temp_2022,,,,,,,,
21-Jun,a,,0.93,,1.31,0.65,0.89,1.14,0.79,,1.48,#DIV/0!,1.68,1.28,1.43,1.89,1.37
22-Jun,acv,,0.94,,1.07,0.72,0.89,1.28,0.75,,,,,,,,
23-Jun,adc,,1.03,,1.04,0.75,0.91,1.31,0.75,,,,,,,,
24-Jun,b,,0.97,,1.17,0.77,0.97,1.29,0.75,,,,,,,,
25-Jun,bdz,,0.87,,1.38,0.77,0.95,1.33,0.76,,,,,,,,
26-Jun,c,,0.98,,1.36,0.78,1.07,1.36,0.80,,,,,,,,
27-Jun,cba,,1.10,,1.28,0.80,1.12,1.51,0.82,,,,,,,,
28-Jun,d,,1.16,,1.54,0.85,0.87,1.65,0.91,,,,,,,,
29-Jun,dbb,,1.23,,1.09,0.85,0.75,1.66,0.89,,,,,,,,
30-Jun,dcb,,1.25,,1.17,0.89,0.79,1.63,0.90,,,,,,,,
1-Jul,e,,1.32,,1.40,0.89,1.11,1.71,0.99,,,,,,,,
2-Jul,ebc,,1.34,,1.66,0.90,1.39,1.88,1.02,,,,,,,,
3-Jul,ecc,,1.45,,1.28,0.95,1.40,1.88,1.03,,,,,,,,
4-Jul,edc,,1.40,,1.57,0.95,1.44,1.94,1.05,,,,,,,,
5-Jul,f,,1.23,,1.87,1.00,1.27,1.86,1.10,,,,,,,,
6-Jul,fcd,,1.30,,1.88,1.08,1.34,1.88,1.16,,,,,,,,
7-Jul,fdd,,1.29,,1.76,1.14,1.34,1.98,1.21,,,,,,,,
8-Jul,fed,,1.68,,1.75,1.07,1.21,1.85,1.27,,,,,,,,
9-Jul,fjk,,1.68,,1.97,1.07,1.47,1.78,1.32,,,,,,,,
10-Jul,g,,1.25,,1.92,1.26,1.57,1.78,1.34,,,,,,,,
11-Jul,gde,,0.74,,1.70,1.41,1.47,1.92,1.45,,,,,,,,
12-Jul,gee,,1.50,,1.71,1.36,1.61,2.09,1.55,,,,,,,,
13-Jul,gfe,,1.69,,1.81,1.41,1.45,2.07,1.62,,,,,,,,
14-Jul,h,,1.61,,1.66,1.51,1.48,1.92,1.64,,,,,,,,
15-Jul,hef,,1.73,,2.10,1.46,1.58,2.02,1.76,,,,,,,,
16-Jul,hff,,1.62,,1.98,1.53,1.80,2.06,1.79,,,,,,,,
17-Jul,hgf,,1.63,,1.96,1.53,1.86,2.05,1.78,,,,,,,,
18-Jul,i,,1.97,,1.91,1.66,1.66,2.12,1.71,,,,,,,,
19-Jul,ifg,,2.01,,1.88,1.62,1.65,2.30,1.57,,,,,,,,
20-Jul,igg,,1.92,,1.90,1.45,1.82,2.28,1.83,,,,,,,,
21-Jul,ihg,,1.98,,1.81,1.85,1.96,2.31,1.85,,,,,,,,
22-Jul,j,,2.05,,2.08,2.04,2.01,2.27,1.97,,,,,,,,
23-Jul,jgh,,1.71,,1.86,2.02,2.01,2.12,1.85,,,,,,,,
24-Jul,jhh,,1.81,,2.07,1.92,1.84,2.22,1.87,,,,,,,,
25-Jul,jih,,1.93,,2.09,1.63,1.82,2.24,1.89,,,,,,,,
26-Jul,k,,1.98,,2.04,1.99,1.91,2.24,2.04,,,,,,,,
27-Jul,khi,,2.01,,2.00,1.90,2.09,2.40,2.20,,,,,,,,
28-Jul,kii,,2.02,,1.85,2.04,1.77,2.53,2.24,,,,,,,,
29-Jul,kji,,,,1.96,1.76,2.11,2.45,2.32,,,,,,,,
30-Jul,l,,,,1.92,2.15,2.00,2.52,2.26,,,,,,,,
31-Jul,lij,,,,2.07,2.04,2.19,2.38,2.23,,,,,,,,
1-Aug,ljj,,,,2.22,,2.30,2.50,2.30,,,,,,,,
2-Aug,lkj,,,,,2.12,2.22,2.44,2.22,,,,,,,,
3-Aug,m,,,,1.94,2.20,2.21,2.33,2.29,,,,,,,,
4-Aug,mjk,,,,1.57,2.23,2.16,2.31,2.22,,,,,,,,
5-Aug,mkk,,,,1.65,2.23,2.21,2.30,2.09,,,,,,,,
6-Aug,mlk,,,1.89,2.05,2.21,2.18,2.01,1.90,,,,,,,,
7-Aug,n,,,1.72,2.08,2.21,2.11,2.15,2.16,,,,,,,,
8-Aug,nkl,,,1.75,2.13,2.18,1.99,2.17,2.17,,,,,,,,
9-Aug,nll,1.94,,1.90,2.23,2.22,2.00,1.96,2.30,,,,,,,,
10-Aug,nml,2.02,,2.05,2.34,2.07,,,2.45,,,,,,,,
11-Aug,o,2.25,,1.89,2.31,2.02,1.92,2.21,,,,,,,,,
12-Aug,olm,2.34,,2.11,2.28,1.80,2.13,2.37,,,,,,,,,
13-Aug,omm,2.40,,1.95,2.09,1.99,2.01,2.43,,,,,,,,,
14-Aug,onm,2.32,,1.67,1.98,2.21,1.94,2.38,,,,,,,,,
15-Aug,p,2.12,,1.70,1.93,2.18,2.09,2.38,,,,,,,,,
16-Aug,pmn,1.82,,1.78,2.08,1.85,2.25,2.33,,,,,,,,,
17-Aug,pnn,1.80,,1.93,2.30,1.77,2.47,2.25,,,,,,,,,
