Date,Order,temp_2015,temp_2016,temp_2017,temp_2018,temp_2019,temp_2020,temp_2021,temp_2022,,
21-Jun,a,,,0.139697917,,0,0,1.346958333,0.425375,,
22-Jun,acv,,,0.243635417,,0,0,1.488208333,0.390875,,
23-Jun,adc,,,0.3420625,,0,0,1.561041667,0.409208333,,
24-Jun,b,,,0.3520625,,0,0,1.552958333,0.42425,,
25-Jun,bdz,,,0.343020833,,0,0,1.590333333,0.520833333,,
26-Jun,c,,,0.338625,,0,0,1.717166667,0.549708333,,
27-Jun,cba,,,0.351447917,,0,0,1.952541667,0.603666667,,
28-Jun,d,,,0.408510417,,0.030583333,0.111643519,2.266125,0.688333333,,
29-Jun,dbb,,,0.42465625,,0.066458333,0.234027778,2.6035,0.7525,,
30-Jun,dcb,,,0.415864583,,0.118666667,0.269768519,2.849958333,0.929083333,,
1-Jul,e,,,0.3863125,,0.122125,0.38974537,2.727375,0.923833333,,
2-Jul,ebc,,,0.394145833,,0.185708333,0.362106481,3.244916667,1.077208333,,
3-Jul,ecc,,,0.394677083,,0.238666667,0.443842593,3.38375,1.220583333,,
4-Jul,edc,,,0.410302083,,0.297416667,0.559652778,3.841791667,1.466083333,,
5-Jul,f,,,0.454822917,,0.346041667,0.711990741,3.741625,1.624875,,
6-Jul,fcd,,,0.4985625,,0.396708333,0.925138889,4.395,1.727708333,,
7-Jul,fdd,,,0.5341875,,0.434541667,1.040138889,4.682083333,1.87825,,
8-Jul,fed,,,0.55303125,,0.503708333,1.226388889,5.135,2.058416667,,
9-Jul,fjk,,,0.56259375,,0.582791667,1.344861111,5.46025,2.314083333,,
10-Jul,g,,,0.582458333,,0.66975,1.476458333,5.502375,2.640291667,,
11-Jul,gde,,,0.647947917,,0.776041667,1.641157407,5.598875,2.921708333,,
12-Jul,gee,,,0.6975625,,0.957333333,1.752175926,6.566583333,3.224416667,,
13-Jul,gfe,,,0.71403125,,1.128916667,1.734513889,6.4675,3.226166667,,
14-Jul,h,,,0.72325,,1.252791667,1.941296296,6.692791667,3.649333333,,
15-Jul,hef,,,0.75190625,,1.387583333,2.134305556,6.884375,3.88775,,
16-Jul,hff,,,0.802760417,,1.535333333,2.303240741,7.360041667,4.366875,,
17-Jul,hgf,,,0.874177083,,1.685916667,2.465555556,7.509291667,4.769666667,,
18-Jul,i,,,0.934072917,,1.862666667,2.64712963,7.845166667,5.148,,
19-Jul,ifg,,,1.01409375,,1.965208333,2.830810185,8.008083333,5.176125,,
