Date,Year,Temp,
21-Jun,2015,,
22-Jun,2015,,
23-Jun,2015,,
24-Jun,2015,,
25-Jun,2015,,
26-Jun,2015,,
27-Jun,2015,,
28-Jun,2015,,
29-Jun,2015,,
30-Jun,2015,,
1-Jul,2015,,
2-Jul,2015,,
3-Jul,2015,,
4-Jul,2015,,
5-Jul,2015,,
6-Jul,2015,,
7-Jul,2015,,
8-Jul,2015,,
9-Jul,2015,,
10-Jul,2015,,
11-Jul,2015,,
12-Jul,2015,,
13-Jul,2015,,
14-Jul,2015,,
15-Jul,2015,,
16-Jul,2015,,
17-Jul,2015,,
18-Jul,2015,,
19-Jul,2015,,
20-Jul,2015,,
21-Jul,2015,,
22-Jul,2015,,
23-Jul,2015,,
24-Jul,2015,,
25-Jul,2015,,
26-Jul,2015,,
27-Jul,2015,,
28-Jul,2015,,
29-Jul,2015,,
30-Jul,2015,,
31-Jul,2015,,
1-Aug,2015,,
2-Aug,2015,,
3-Aug,2015,,
4-Aug,2015,,
5-Aug,2015,,
6-Aug,2015,,
7-Aug,2015,,
8-Aug,2015,,
9-Aug,2015,,
10-Aug,2015,2.90,
11-Aug,2015,3.23,
12-Aug,2015,3.53,
13-Aug,2015,3.58,
14-Aug,2015,3.67,
15-Aug,2015,3.40,
16-Aug,2015,2.83,
17-Aug,2015,2.91,
18-Aug,2015,2.86,
19-Aug,2015,2.92,
20-Aug,2015,3.04,
21-Aug,2015,3.01,
22-Aug,2015,2.63,
23-Aug,2015,2.63,
24-Aug,2015,3.23,
25-Aug,2015,3.47,
26-Aug,2015,3.65,
27-Aug,2015,3.61,
28-Aug,2015,3.32,
29-Aug,2015,3.78,
30-Aug,2015,3.64,
31-Aug,2015,2.78,
1-Sep,2015,3.18,
2-Sep,2015,3.42,
3-Sep,2015,3.53,
4-Sep,2015,3.33,
5-Sep,2015,3.03,
6-Sep,2015,2.16,
7-Sep,2015,2.24,
8-Sep,2015,2.30,
9-Sep,2015,2.53,
10-Sep,2015,2.77,
11-Sep,2015,2.96,
12-Sep,2015,3.01,
13-Sep,2015,3.33,
14-Sep,2015,3.35,
15-Sep,2015,3.09,
16-Sep,2015,2.53,
17-Sep,2015,2.37,
18-Sep,2015,2.41,
19-Sep,2015,2.40,
20-Sep,2015,2.46,
21-Sep,2015,2.55,
22-Sep,2015,2.65,3.004166667
21-Jun,2016,2.44,
22-Jun,2016,2.42,
23-Jun,2016,2.46,
24-Jun,2016,2.41,
25-Jun,2016,2.33,
26-Jun,2016,2.40,
27-Jun,2016,2.45,
28-Jun,2016,2.50,
29-Jun,2016,2.50,
30-Jun,2016,2.52,
1-Jul,2016,2.55,
2-Jul,2016,2.54,
3-Jul,2016,2.58,
4-Jul,2016,2.60,
5-Jul,2016,2.55,
6-Jul,2016,2.56,
7-Jul,2016,2.53,
8-Jul,2016,2.77,
9-Jul,2016,2.83,
10-Jul,2016,2.61,
11-Jul,2016,2.35,
12-Jul,2016,2.58,
13-Jul,2016,2.63,
14-Jul,2016,2.65,
15-Jul,2016,2.78,
16-Jul,2016,2.81,
17-Jul,2016,2.76,
18-Jul,2016,2.96,
19-Jul,2016,3.16,
20-Jul,2016,3.10,
21-Jul,2016,3.13,
22-Jul,2016,3.32,
23-Jul,2016,2.88,
24-Jul,2016,2.90,
25-Jul,2016,3.03,
26-Jul,2016,3.17,
27-Jul,2016,3.22,
28-Jul,2016,3.24,
29-Jul,2016,3.36,
30-Jul,2016,3.47,
31-Jul,2016,3.56,
1-Aug,2016,3.20,
2-Aug,2016,3.32,
3-Aug,2016,3.15,
4-Aug,2016,2.86,
5-Aug,2016,3.31,
6-Aug,2016,,
7-Aug,2016,,
8-Aug,2016,,
9-Aug,2016,,
10-Aug,2016,,
11-Aug,2016,,
12-Aug,2016,,
13-Aug,2016,,
14-Aug,2016,,
15-Aug,2016,,
16-Aug,2016,,
17-Aug,2016,,
18-Aug,2016,,
19-Aug,2016,,
20-Aug,2016,,
21-Aug,2016,,
22-Aug,2016,,
23-Aug,2016,,
24-Aug,2016,,
25-Aug,2016,,
