"","site","date1","temp_xbar","temp_max","temp_min","lat","long","temp_change"
"1","cloudveil",2019-08-02,2.185,2.503,1.886,43.72551,-110.79608,0.617
"2","cloudveil",2019-08-03,2.30558333333333,2.69,1.994,43.72551,-110.79608,0.696
"3","cloudveil",2019-08-04,2.35258333333333,2.717,2.101,43.72551,-110.79608,0.616
"4","cloudveil",2019-08-05,2.406,2.797,2.047,43.72551,-110.79608,0.75
"5","cloudveil",2019-08-06,2.43945833333333,2.85,2.128,43.72551,-110.79608,0.722
"6","cloudveil",2019-08-07,2.49745833333333,2.877,2.262,43.72551,-110.79608,0.615
"7","cloudveil",2019-08-08,2.44654166666667,2.717,2.128,43.72551,-110.79608,0.589
"8","cloudveil",2019-08-09,2.57975,3.009,2.262,43.72551,-110.79608,0.747
"9","cloudveil",2019-08-10,2.61633333333333,3.116,2.209,43.72551,-110.79608,0.907
"10","cloudveil",2019-08-11,2.583,3.089,2.236,43.72551,-110.79608,0.853
"11","cloudveil",2019-08-12,2.48591666666667,3.063,2.021,43.72551,-110.79608,1.042
"12","cloudveil",2019-08-13,2.55570833333333,3.248,2.021,43.72551,-110.79608,1.227
"13","cloudveil",2019-08-14,2.74908333333333,3.433,2.209,43.72551,-110.79608,1.224
"14","cloudveil",2019-08-15,2.88675,3.485,2.396,43.72551,-110.79608,1.089
"15","cloudveil",2019-08-16,2.76633333333333,3.248,2.343,43.72551,-110.79608,0.905
"16","cloudveil",2019-08-17,2.60395833333333,3.168,2.182,43.72551,-110.79608,0.986
"17","cloudveil",2019-08-18,2.859625,3.617,2.289,43.72551,-110.79608,1.328
"18","cloudveil",2019-08-19,3.127375,3.906,2.557,43.72551,-110.79608,1.349
"19","cloudveil",2019-08-20,3.19504166666667,3.827,2.664,43.72551,-110.79608,1.163
"20","cloudveil",2019-08-21,3.35008333333333,4.063,2.797,43.72551,-110.79608,1.266
"21","cloudveil",2019-08-22,3.15591666666667,3.538,2.823,43.72551,-110.79608,0.715
"22","cloudveil",2019-08-23,3.05429166666667,3.538,2.717,43.72551,-110.79608,0.821
"23","cloudveil",2019-08-24,3.12008333333333,3.749,2.637,43.72551,-110.79608,1.112
"24","cloudveil",2019-08-25,3.31841666666667,4.063,2.797,43.72551,-110.79608,1.266
"25","cloudveil",2019-08-26,2.93345833333333,3.485,2.477,43.72551,-110.79608,1.008
"26","cloudveil",2019-08-27,2.97591666666667,3.722,2.37,43.72551,-110.79608,1.352
"27","cloudveil",2019-08-28,3.233875,4.141,2.557,43.72551,-110.79608,1.584
"28","cloudveil",2019-08-29,3.4585,4.141,2.823,43.72551,-110.79608,1.318
"29","cloudveil",2019-08-30,3.68166666666667,4.428,3.195,43.72551,-110.79608,1.233
"30","cloudveil",2019-08-31,3.49291666666667,4.246,2.903,43.72551,-110.79608,1.343
"31","cloudveil",2019-09-01,3.55083333333333,4.35,2.877,43.72551,-110.79608,1.473
"32","cloudveil",2019-09-02,3.67495833333333,4.428,3.116,43.72551,-110.79608,1.312
"33","cloudveil",2019-09-03,3.64475,4.194,3.116,43.72551,-110.79608,1.078
"34","cloudveil",2019-09-04,3.85016666666667,4.558,3.354,43.72551,-110.79608,1.204
"35","cloudveil",2019-09-05,3.949375,4.636,3.38,43.72551,-110.79608,1.256
"36","cloudveil",2019-09-06,3.81508333333333,4.272,3.538,43.72551,-110.79608,0.734
"37","cloudveil",2019-09-07,3.452125,3.854,3.116,43.72551,-110.79608,0.738
"38","cloudveil",2019-09-08,2.96629166666667,3.248,2.823,43.72551,-110.79608,0.425
"39","cloudveil",2019-09-09,2.719,3.009,2.503,43.72551,-110.79608,0.506
"40","cloudveil",2019-09-10,2.403125,2.477,2.316,43.72551,-110.79608,0.161
"41","cloudveil",2019-09-11,NA,NA,NA,43.72551,-110.79608,NA
"42","cloudveil",2019-09-12,NA,NA,NA,43.72551,-110.79608,NA
"43","cloudveil",2019-09-13,NA,NA,NA,43.72551,-110.79608,NA
"44","cloudveil",2019-09-14,NA,NA,NA,43.72551,-110.79608,NA
"45","cloudveil",2019-09-15,NA,NA,NA,43.72551,-110.79608,NA
"46","cloudveil",2019-09-16,NA,NA,NA,43.72551,-110.79608,NA
"47","cloudveil",2019-09-17,NA,NA,NA,43.72551,-110.79608,NA
"48","cloudveil",2019-09-18,NA,NA,NA,43.72551,-110.79608,NA
"49","cloudveil",2019-09-19,NA,NA,NA,43.72551,-110.79608,NA
"50","cloudveil",2019-09-20,NA,NA,NA,43.72551,-110.79608,NA
"51","cloudveil",2019-09-21,NA,NA,NA,43.72551,-110.79608,NA
"52","cloudveil",2019-09-22,NA,NA,NA,43.72551,-110.79608,NA
"53","cloudveil",2019-09-23,NA,NA,NA,43.72551,-110.79608,NA
"54","cloudveil",2019-09-24,NA,NA,NA,43.72551,-110.79608,NA
