"","exposed_dates","yr"
"1",2018-08-21,2018
"2",2018-08-22,2018
"3",2018-08-23,2018
"4",2018-08-24,2018
"5",2018-08-25,2018
"6",2018-08-26,2018
"7",2018-08-27,2018
"8",2018-08-28,2018
"9",2018-08-29,2018
"10",2018-08-30,2018
"11",2018-08-31,2018
"12",2018-09-01,2018
"13",2018-09-02,2018
"14",2018-09-03,2018
"15",2018-09-04,2018
"16",2018-09-05,2018
"17",2018-09-06,2018
"18",2018-09-07,2018
"19",2018-09-08,2018
"20",2018-09-09,2018
"21",2018-09-10,2018
"22",2018-09-11,2018
"23",2018-09-12,2018
"24",2018-09-13,2018
"25",2018-09-14,2018
"26",2018-09-15,2018
"27",2018-09-16,2018
"28",2018-09-17,2018
"29",2018-09-18,2018
"30",2018-09-19,2018
"31",2018-09-20,2018
"32",2018-09-21,2018
"33",2018-09-22,2018
"34",2018-09-23,2018
"35",2018-09-24,2018
"36",2018-09-25,2018
"37",2018-09-26,2018
"38",2018-09-27,2018
"39",2018-09-28,2018
"40",2018-09-29,2018
"41",2018-09-30,2018
"42",2018-10-01,2018
"43",2018-10-02,2018
"44",2018-10-03,2018
"45",2018-10-04,2018
"46",2018-10-05,2018
"47",2018-10-06,2018
"48",2018-10-07,2018
"49",2018-10-08,2018
"50",2018-10-09,2018
"51",2018-10-10,2018
"52",2018-10-11,2018
"53",2018-10-12,2018
"54",2018-10-13,2018
"55",2019-08-23,2019
"56",2019-08-24,2019
"57",2019-08-25,2019
"58",2019-08-26,2019
"59",2019-08-27,2019
"60",2019-08-28,2019
"61",2019-08-29,2019
"62",2019-08-30,2019
"63",2019-08-31,2019
"64",2019-09-01,2019
"65",2019-09-02,2019
"66",2019-09-03,2019
"67",2019-09-04,2019
"68",2019-09-05,2019
"69",2019-09-06,2019
"70",2019-09-07,2019
"71",2019-09-08,2019
"72",2019-09-09,2019
"73",2019-09-10,2019
"74",2019-09-11,2019
"75",2019-09-12,2019
"76",2019-09-13,2019
"77",2019-09-14,2019
"78",2019-09-15,2019
"79",2019-09-16,2019
"80",2019-09-17,2019
"81",2019-09-18,2019
"82",2019-09-19,2019
"83",2019-09-20,2019
"84",2019-09-21,2019
"85",2019-09-22,2019
"86",2019-09-23,2019
"87",2019-09-24,2019
"88",2019-09-25,2019
"89",2019-09-26,2019
"90",2019-09-27,2019
"91",2019-09-28,2019
"92",2019-09-29,2019
"93",2019-09-30,2019
"94",2019-10-01,2019
"95",2019-10-02,2019
"96",2020-08-28,2020
"97",2020-08-29,2020
"98",2020-08-30,2020
"99",2020-08-31,2020
"100",2020-09-01,2020
"101",2020-09-02,2020
"102",2020-09-03,2020
"103",2020-09-04,2020
"104",2020-09-05,2020
"105",2020-09-06,2020
"106",2020-09-07,2020
"107",2020-09-08,2020
"108",2020-09-09,2020
"109",2020-09-10,2020
"110",2020-09-11,2020
"111",2020-09-12,2020
"112",2020-09-13,2020
"113",2020-09-14,2020
"114",2020-09-15,2020
"115",2020-09-16,2020
"116",2020-09-17,2020
"117",2020-09-18,2020
"118",2020-09-19,2020
"119",2020-09-20,2020
"120",2020-09-21,2020
"121",2020-09-22,2020
"122",2020-09-23,2020
"123",2020-09-24,2020
"124",2020-09-25,2020
"125",2020-09-26,2020
"126",2020-09-27,2020
"127",2020-09-28,2020
"128",2020-09-29,2020
"129",2020-09-30,2020
"130",2020-10-01,2020
"131",2020-10-02,2020
"132",2020-10-03,2020
"133",2020-10-04,2020
"134",2020-10-05,2020
"135",2020-10-06,2020
"136",2020-10-07,2020
"137",2020-10-08,2020
"138",2020-10-09,2020
"139",2020-10-10,2020
"140",2020-10-11,2020
"141",2021-08-05,2021
"142",2021-08-06,2021
"143",2021-08-07,2021
"144",2021-08-08,2021
"145",2021-08-09,2021
"146",2021-08-10,2021
"147",2021-08-11,2021
"148",2021-08-12,2021
"149",2021-08-13,2021
"150",2021-08-14,2021
"151",2021-08-15,2021
"152",2021-08-16,2021
"153",2021-08-17,2021
"154",2021-08-18,2021
"155",2021-08-19,2021
"156",2021-08-20,2021
"157",2021-08-21,2021
"158",2021-08-22,2021
"159",2021-08-23,2021
"160",2021-08-24,2021
"161",2021-08-25,2021
"162",2021-08-26,2021
"163",2021-08-27,2021
"164",2021-08-28,2021
"165",2021-08-29,2021
"166",2021-08-30,2021
"167",2021-08-31,2021
"168",2021-09-01,2021
"169",2021-09-02,2021
"170",2021-09-03,2021
"171",2021-09-04,2021
"172",2021-09-05,2021
"173",2021-09-06,2021
"174",2021-09-07,2021
"175",2021-09-08,2021
"176",2021-09-09,2021
"177",2021-09-10,2021
"178",2021-09-11,2021
"179",2021-09-12,2021
"180",2021-09-13,2021
"181",2021-09-14,2021
"182",2021-09-15,2021
"183",2021-09-16,2021
"184",2021-09-17,2021
"185",2021-09-18,2021
"186",2021-09-19,2021
"187",2021-09-20,2021
"188",2021-09-21,2021
"189",2021-09-22,2021
"190",2021-09-23,2021
"191",2021-09-24,2021
"192",2021-09-25,2021
"193",2021-09-26,2021
"194",2021-09-27,2021
"195",2021-09-28,2021
"196",2021-09-29,2021
"197",2021-09-30,2021
"198",2021-10-01,2021
"199",2021-10-02,2021
"200",2021-10-03,2021
"201",2021-10-04,2021
"202",2021-10-05,2021
"203",2021-10-06,2021
"204",2021-10-07,2021
"205",2021-10-08,2021
"206",2021-10-09,2021
"207",2022-08-19,2022
"208",2022-08-20,2022
"209",2022-08-21,2022
"210",2022-08-22,2022
"211",2022-08-23,2022
"212",2022-08-24,2022
"213",2022-08-25,2022
"214",2022-08-26,2022
"215",2022-08-27,2022
"216",2022-08-28,2022
"217",2022-08-29,2022
"218",2022-08-30,2022
"219",2022-08-31,2022
"220",2022-09-01,2022
"221",2022-09-02,2022
"222",2022-09-03,2022
"223",2022-09-04,2022
"224",2022-09-05,2022
"225",2022-09-06,2022
"226",2022-09-07,2022
"227",2022-09-08,2022
"228",2022-09-09,2022
"229",2022-09-10,2022
"230",2022-09-11,2022
"231",2022-09-12,2022
"232",2022-09-13,2022
"233",2022-09-14,2022
"234",2022-09-15,2022
"235",2022-09-16,2022
"236",2022-09-17,2022
"237",2022-09-18,2022
"238",2022-09-19,2022
"239",2022-09-20,2022
"240",2022-09-21,2022
"241",2022-09-22,2022
"242",2022-09-23,2022
"243",2022-09-24,2022
"244",2022-09-25,2022
"245",2022-09-26,2022
"246",2022-09-27,2022
"247",2022-09-28,2022
"248",2022-09-29,2022
"249",2022-09-30,2022
"250",2022-10-01,2022
"251",2022-10-02,2022
"252",2022-10-03,2022
"253",2022-10-04,2022
"254",2022-10-05,2022
"255",2022-10-06,2022
"256",2022-10-07,2022
"257",2022-10-08,2022
"258",2022-10-09,2022
"259",2022-10-10,2022
"260",2022-10-11,2022
"261",2022-10-12,2022
"262",2022-10-13,2022
"263",2022-10-14,2022
"264",2022-10-15,2022
