"Plot Title: 10767837"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10767837, SEN S/N: 10767837)","Coupler Detached (LGR S/N: 10767837)","Coupler Attached (LGR S/N: 10767837)","Host Connected (LGR S/N: 10767837)","Stopped (LGR S/N: 10767837)","End Of File (LGR S/N: 10767837)"
1,08/02/15 10:06:52 PM,79.435,,,,,
2,08/02/15 10:07:47 PM,,Logged,,,,
3,08/02/15 10:26:21 PM,,,Logged,Logged,,
4,08/02/15 10:26:51 PM,,Logged,,,,
5,08/02/15 11:06:52 PM,76.332,,,,,
6,08/03/15 12:06:52 AM,74.770,,,,,
7,08/03/15 01:06:52 AM,74.077,,,,,
8,08/03/15 02:06:52 AM,73.429,,,,,
9,08/03/15 03:06:52 AM,72.351,,,,,
10,08/03/15 04:06:52 AM,71.190,,,,,
11,08/03/15 05:06:52 AM,70.286,,,,,
12,08/03/15 06:06:52 AM,69.471,,,,,
13,08/03/15 07:06:52 AM,68.956,,,,,
14,08/03/15 08:06:52 AM,69.042,,,,,
15,08/03/15 09:06:52 AM,69.643,,,,,
16,08/03/15 10:06:52 AM,65.916,,,,,
17,08/03/15 11:06:52 AM,67.372,,,,,
18,08/03/15 12:06:52 PM,69.256,,,,,
19,08/03/15 01:06:52 PM,70.029,,,,,
20,08/03/15 02:06:52 PM,70.459,,,,,
21,08/03/15 03:06:52 PM,71.317,,,,,
22,08/03/15 04:06:52 PM,71.146,,,,,
23,08/03/15 05:06:52 PM,69.129,,,,,
24,08/03/15 06:06:52 PM,65.615,,,,,
25,08/03/15 07:06:52 PM,63.219,,,,,
26,08/03/15 08:06:52 PM,62.233,,,,,
27,08/03/15 09:06:52 PM,61.248,,,,,
28,08/03/15 10:06:52 PM,60.733,,,,,
29,08/03/15 11:06:52 PM,59.959,,,,,
30,08/04/15 12:06:52 AM,59.142,,,,,
31,08/04/15 01:06:52 AM,58.152,,,,,
32,08/04/15 02:06:52 AM,56.858,,,,,
33,08/04/15 03:06:52 AM,55.949,,,,,
34,08/04/15 04:06:52 AM,55.168,,,,,
35,08/04/15 05:06:52 AM,54.604,,,,,
36,08/04/15 06:06:52 AM,54.387,,,,,
37,08/04/15 07:06:52 AM,54.343,,,,,
38,08/04/15 08:06:52 AM,54.777,,,,,
39,08/04/15 09:06:52 AM,55.168,,,,,
40,08/04/15 10:06:52 AM,55.690,,,,,
41,08/04/15 11:06:52 AM,57.204,,,,,
42,08/04/15 12:06:52 PM,60.046,,,,,
43,08/04/15 01:06:52 PM,64.589,,,,,
44,08/04/15 02:06:52 PM,66.900,,,,,
45,08/04/15 03:06:52 PM,68.871,,,,,
46,08/04/15 04:06:52 PM,70.543,,,,,
47,08/04/15 05:06:52 PM,72.136,,,,,
48,08/04/15 06:06:52 PM,71.661,,,,,
49,08/04/15 07:06:52 PM,71.791,,,,,
50,08/04/15 08:06:52 PM,70.543,,,,,
51,08/04/15 09:06:52 PM,67.543,,,,,
52,08/04/15 10:06:52 PM,64.288,,,,,
53,08/04/15 11:06:52 PM,60.991,,,,,
54,08/05/15 12:06:52 AM,57.893,,,,,
55,08/05/15 01:06:52 AM,55.213,,,,,
56,08/05/15 02:06:52 AM,52.992,,,,,
57,08/05/15 03:06:52 AM,51.633,,,,,
58,08/05/15 04:06:52 AM,51.017,,,,,
59,08/05/15 05:06:52 AM,50.356,,,,,
60,08/05/15 06:06:52 AM,50.135,,,,,
61,08/05/15 07:06:52 AM,50.268,,,,,
62,08/05/15 08:06:52 AM,50.400,,,,,
63,08/05/15 09:06:52 AM,51.193,,,,,
64,08/05/15 10:06:52 AM,52.686,,,,,
65,08/05/15 11:06:52 AM,54.865,,,,,
66,08/05/15 12:06:52 PM,58.541,,,,,
67,08/05/15 01:06:52 PM,61.162,,,,,
68,08/05/15 02:06:52 PM,63.133,,,,,
69,08/05/15 03:06:52 PM,63.990,,,,,
70,08/05/15 04:06:52 PM,65.487,,,,,
71,08/05/15 05:06:52 PM,64.803,,,,,
72,08/05/15 06:06:52 PM,61.633,,,,,
73,08/05/15 07:06:52 PM,58.411,,,,,
74,08/05/15 08:06:52 PM,56.383,,,,,
75,08/05/15 09:06:52 PM,54.995,,,,,
76,08/05/15 10:06:52 PM,53.472,,,,,
77,08/05/15 11:06:52 PM,52.072,,,,,
78,08/06/15 12:06:52 AM,50.709,,,,,
79,08/06/15 01:06:52 AM,49.383,,,,,
80,08/06/15 02:06:52 AM,48.227,,,,,
81,08/06/15 03:06:52 AM,47.467,,,,,
82,08/06/15 04:06:52 AM,47.244,,,,,
83,08/06/15 05:06:52 AM,46.886,,,,,
84,08/06/15 06:06:52 AM,47.019,,,,,
85,08/06/15 07:06:52 AM,47.377,,,,,
86,08/06/15 08:06:52 AM,47.781,,,,,
87,08/06/15 09:06:52 AM,48.672,,,,,
88,08/06/15 10:06:52 AM,50.488,,,,,
89,08/06/15 11:06:52 AM,52.335,,,,,
90,08/06/15 12:06:52 PM,55.256,,,,,
91,08/06/15 01:06:52 PM,59.099,,,,,
92,08/06/15 02:06:52 PM,62.447,,,,,
93,08/06/15 03:06:52 PM,64.888,,,,,
94,08/06/15 04:06:52 PM,66.130,,,,,
95,08/06/15 05:06:52 PM,66.985,,,,,
96,08/06/15 06:06:52 PM,68.698,,,,,
97,08/06/15 07:06:52 PM,71.447,,,,,
98,08/06/15 08:06:52 PM,71.404,,,,,
99,08/06/15 09:06:52 PM,68.698,,,,,
100,08/06/15 10:06:52 PM,65.059,,,,,
101,08/06/15 11:06:52 PM,62.661,,,,,
102,08/07/15 12:06:52 AM,60.690,,,,,
103,08/07/15 01:06:52 AM,58.842,,,,,
104,08/07/15 02:06:52 AM,57.117,,,,,
105,08/07/15 03:06:52 AM,55.992,,,,,
106,08/07/15 04:06:52 AM,54.995,,,,,
107,08/07/15 05:06:52 AM,53.645,,,,,
108,08/07/15 06:06:52 AM,52.029,,,,,
109,08/07/15 07:06:52 AM,50.400,,,,,
110,08/07/15 08:06:52 AM,49.870,,,,,
111,08/07/15 09:06:52 AM,51.237,,,,,
112,08/07/15 10:06:52 AM,53.820,,,,,
113,08/07/15 11:06:52 AM,56.642,,,,,
114,08/07/15 12:06:52 PM,59.959,,,,,
115,08/07/15 01:06:52 PM,63.604,,,,,
116,08/07/15 02:06:52 PM,66.385,,,,,
117,08/07/15 03:06:52 PM,68.785,,,,,
118,08/07/15 04:06:52 PM,70.930,,,,,
119,08/07/15 05:06:52 PM,72.093,,,,,
120,08/07/15 06:06:52 PM,72.610,,,,,
121,08/07/15 07:06:52 PM,71.748,,,,,
122,08/07/15 08:06:52 PM,69.514,,,,,
123,08/07/15 09:06:52 PM,66.643,,,,,
124,08/07/15 10:06:52 PM,63.732,,,,,
125,08/07/15 11:06:52 PM,61.590,,,,,
126,08/08/15 12:06:52 AM,59.959,,,,,
127,08/08/15 01:06:52 AM,58.669,,,,,
128,08/08/15 02:06:52 AM,57.592,,,,,
129,08/08/15 03:06:52 AM,56.642,,,,,
130,08/08/15 04:06:52 AM,55.863,,,,,
131,08/08/15 05:06:52 AM,55.342,,,,,
132,08/08/15 06:06:52 AM,54.865,,,,,
133,08/08/15 07:06:52 AM,54.604,,,,,
134,08/08/15 08:06:52 AM,54.430,,,,,
135,08/08/15 09:06:52 AM,56.512,,,,,
136,08/08/15 10:06:52 AM,53.994,,,,,
137,08/08/15 11:06:52 AM,49.782,,,,,
138,08/08/15 12:06:52 PM,47.289,,,,,
139,08/08/15 01:06:52 PM,50.752,,,,,
140,08/08/15 02:06:52 PM,34.761,,,,,
141,08/08/15 03:06:52 PM,34.957,,,,,
142,08/08/15 04:06:52 PM,35.638,,,,,
143,08/08/15 05:06:52 PM,35.055,,,,,
144,08/08/15 06:06:52 PM,34.761,,,,,
145,08/08/15 07:06:52 PM,34.761,,,,,
146,08/08/15 08:06:52 PM,34.615,,,,,
147,08/08/15 09:06:52 PM,34.615,,,,,
148,08/08/15 10:06:52 PM,34.565,,,,,
