"Plot Title: 10767832"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10767832, SEN S/N: 10767832)","Coupler Detached (LGR S/N: 10767832)","Coupler Attached (LGR S/N: 10767832)","Host Connected (LGR S/N: 10767832)","Stopped (LGR S/N: 10767832)","End Of File (LGR S/N: 10767832)"
1,08/02/15 10:15:08 PM,78.910,,,,,
2,08/02/15 10:15:19 PM,,Logged,,,,
3,08/02/15 11:15:08 PM,77.160,,,,,
4,08/03/15 12:15:08 AM,76.028,,,,,
5,08/03/15 01:15:08 AM,75.247,,,,,
6,08/03/15 02:15:08 AM,74.467,,,,,
7,08/03/15 03:15:08 AM,73.515,,,,,
8,08/03/15 04:15:08 AM,72.480,,,,,
9,08/03/15 05:15:08 AM,71.533,,,,,
10,08/03/15 06:15:08 AM,70.673,,,,,
11,08/03/15 07:15:08 AM,70.029,,,,,
12,08/03/15 08:15:08 AM,69.728,,,,,
13,08/03/15 09:15:08 AM,69.771,,,,,
14,08/03/15 10:15:08 AM,66.900,,,,,
15,08/03/15 11:15:08 AM,69.728,,,,,
16,08/03/15 12:15:08 PM,70.416,,,,,
17,08/03/15 01:15:08 PM,72.307,,,,,
18,08/03/15 02:15:08 PM,73.904,,,,,
19,08/03/15 03:15:08 PM,75.333,,,,,
20,08/03/15 04:15:08 PM,72.307,,,,,
21,08/03/15 05:15:08 PM,66.087,,,,,
22,08/03/15 06:15:08 PM,63.262,,,,,
23,08/03/15 07:15:08 PM,61.205,,,,,
24,08/03/15 08:15:08 PM,58.755,,,,,
25,08/03/15 09:15:08 PM,56.165,,,,,
26,08/03/15 10:15:08 PM,54.387,,,,,
27,08/03/15 11:15:08 PM,53.733,,,,,
28,08/04/15 12:15:08 AM,53.384,,,,,
29,08/04/15 01:15:08 AM,53.253,,,,,
30,08/04/15 02:15:08 AM,53.035,,,,,
31,08/04/15 03:15:08 AM,52.729,,,,,
32,08/04/15 04:15:08 AM,52.597,,,,,
33,08/04/15 05:15:08 AM,52.509,,,,,
34,08/04/15 06:15:08 AM,52.335,,,,,
35,08/04/15 07:15:08 AM,52.246,,,,,
36,08/04/15 08:15:08 AM,52.423,,,,,
37,08/04/15 09:15:08 AM,54.037,,,,,
38,08/04/15 10:15:08 AM,58.239,,,,,
39,08/04/15 11:15:08 AM,59.445,,,,,
40,08/04/15 12:15:08 PM,57.160,,,,,
41,08/04/15 01:15:08 PM,57.333,,,,,
42,08/04/15 02:15:08 PM,62.620,,,,,
43,08/04/15 03:15:08 PM,66.857,,,,,
44,08/04/15 04:15:08 PM,68.313,,,,,
45,08/04/15 05:15:08 PM,79.831,,,,,
46,08/04/15 06:15:08 PM,73.688,,,,,
47,08/04/15 07:15:08 PM,66.943,,,,,
48,08/04/15 08:15:08 PM,62.919,,,,,
49,08/04/15 09:15:08 PM,59.486,,,,,
50,08/04/15 10:15:08 PM,57.031,,,,,
51,08/04/15 11:15:08 PM,55.992,,,,,
52,08/05/15 12:15:08 AM,54.865,,,,,
53,08/05/15 01:15:08 AM,53.472,,,,,
54,08/05/15 02:15:08 AM,52.509,,,,,
55,08/05/15 03:15:08 AM,52.115,,,,,
56,08/05/15 04:15:08 AM,51.501,,,,,
57,08/05/15 05:15:08 AM,51.895,,,,,
58,08/05/15 06:15:08 AM,51.895,,,,,
59,08/05/15 07:15:08 AM,51.148,,,,,
60,08/05/15 08:15:08 AM,50.135,,,,,
61,08/05/15 09:15:08 AM,50.180,,,,,
62,08/05/15 10:15:08 AM,51.370,,,,,
63,08/05/15 11:15:08 AM,59.229,,,,,
64,08/05/15 12:15:08 PM,69.728,,,,,
65,08/05/15 01:15:08 PM,67.714,,,,,
66,08/05/15 02:15:08 PM,66.344,,,,,
67,08/05/15 03:15:08 PM,69.985,,,,,
68,08/05/15 04:15:08 PM,65.403,,,,,
69,08/05/15 05:15:08 PM,51.193,,,,,
70,08/05/15 06:15:08 PM,49.383,,,,,
71,08/05/15 07:15:08 PM,47.512,,,,,
72,08/05/15 08:15:08 PM,46.481,,,,,
73,08/05/15 09:15:08 PM,45.579,,,,,
74,08/05/15 10:15:08 PM,45.036,,,,,
75,08/05/15 11:15:08 PM,44.627,,,,,
76,08/06/15 12:15:08 AM,44.310,,,,,
77,08/06/15 01:15:08 AM,43.990,,,,,
78,08/06/15 02:15:08 AM,43.763,,,,,
79,08/06/15 03:15:08 AM,43.579,,,,,
80,08/06/15 04:15:08 AM,43.396,,,,,
81,08/06/15 05:15:08 AM,43.122,,,,,
82,08/06/15 06:15:08 AM,42.800,,,,,
83,08/06/15 07:15:08 AM,42.570,,,,,
84,08/06/15 08:15:08 AM,42.156,,,,,
85,08/06/15 09:15:08 AM,42.386,,,,,
86,08/06/15 10:15:08 AM,45.172,,,,,
87,08/06/15 11:15:08 AM,48.360,,,,,
88,08/06/15 12:15:08 PM,49.561,,,,,
89,08/06/15 01:15:08 PM,53.121,,,,,
90,08/06/15 02:15:08 PM,54.604,,,,,
91,08/06/15 03:15:08 PM,55.342,,,,,
92,08/06/15 04:15:08 PM,56.426,,,,,
93,08/06/15 05:15:08 PM,56.685,,,,,
94,08/06/15 06:15:08 PM,55.863,,,,,
95,08/06/15 07:15:08 PM,53.776,,,,,
96,08/06/15 08:15:08 PM,51.017,,,,,
97,08/06/15 09:15:08 PM,48.360,,,,,
98,08/06/15 10:15:08 PM,46.571,,,,,
99,08/06/15 11:15:08 PM,45.217,,,,,
100,08/07/15 12:15:08 AM,44.218,,,,,
101,08/07/15 01:15:08 AM,43.534,,,,,
102,08/07/15 02:15:08 AM,42.892,,,,,
103,08/07/15 03:15:08 AM,42.525,,,,,
104,08/07/15 04:15:08 AM,42.109,,,,,
105,08/07/15 05:15:08 AM,41.740,,,,,
106,08/07/15 06:15:08 AM,41.416,,,,,
107,08/07/15 07:15:08 AM,41.554,,,,,
108,08/07/15 08:15:08 AM,42.570,,,,,
109,08/07/15 09:15:08 AM,44.082,,,,,
110,08/07/15 10:15:08 AM,46.751,,,,,
111,08/07/15 11:15:08 AM,49.959,,,,,
112,08/07/15 12:15:08 PM,52.378,,,,,
113,08/07/15 01:15:08 PM,53.341,,,,,
114,08/07/15 02:15:08 PM,55.429,,,,,
115,08/07/15 03:15:08 PM,57.290,,,,,
116,08/07/15 04:15:08 PM,56.165,,,,,
117,08/07/15 05:15:08 PM,55.819,,,,,
118,08/07/15 06:15:08 PM,53.341,,,,,
119,08/07/15 07:15:08 PM,48.493,,,,,
120,08/07/15 08:15:08 PM,47.736,,,,,
121,08/07/15 09:15:08 PM,47.064,,,,,
122,08/07/15 10:15:08 PM,46.436,,,,,
123,08/07/15 11:15:08 PM,45.669,,,,,
124,08/08/15 12:15:08 AM,45.036,,,,,
125,08/08/15 01:15:08 AM,44.445,,,,,
126,08/08/15 02:15:08 AM,44.082,,,,,
127,08/08/15 03:15:08 AM,44.082,,,,,
128,08/08/15 04:15:08 AM,44.173,,,,,
129,08/08/15 05:15:08 AM,44.037,,,,,
130,08/08/15 06:15:08 AM,43.763,,,,,
131,08/08/15 07:15:08 AM,43.624,,,,,
132,08/08/15 08:15:08 AM,43.671,,,,,
133,08/08/15 09:15:08 AM,43.579,,,,,
134,08/08/15 10:15:08 AM,43.306,,,,,
135,08/08/15 11:15:08 AM,42.984,,,,,
136,08/08/15 12:15:08 PM,43.808,,,,,
137,08/08/15 01:15:08 PM,44.627,,,,,
138,08/08/15 02:15:08 PM,44.355,,,,,
139,08/08/15 03:15:08 PM,44.582,,,,,
140,08/08/15 04:15:08 PM,47.019,,,,,
141,08/08/15 05:15:08 PM,47.422,,,,,
142,08/08/15 06:15:08 PM,46.166,,,,,
143,08/08/15 07:15:08 PM,45.172,,,,,
144,08/08/15 08:15:08 PM,44.310,,,,,
145,08/08/15 09:15:08 PM,43.624,,,,,
146,08/08/15 10:15:08 PM,43.167,,,,,
147,08/08/15 11:15:08 PM,42.847,,,,,
148,08/09/15 12:15:08 AM,42.570,,,,,
149,08/09/15 01:15:08 AM,42.341,,,,,
150,08/09/15 02:15:08 AM,42.294,,,,,
151,08/09/15 03:15:08 AM,42.109,,,,,
152,08/09/15 04:15:08 AM,41.740,,,,,
153,08/09/15 05:15:08 AM,40.811,,,,,
154,08/09/15 06:15:08 AM,39.783,,,,,
155,08/09/15 07:15:08 AM,39.220,,,,,
156,08/09/15 08:15:08 AM,39.454,,,,,
157,08/09/15 09:15:08 AM,41.184,,,,,
158,08/09/15 10:15:08 AM,44.764,,,,,
159,08/09/15 11:15:08 AM,49.028,,,,,
160,08/09/15 12:15:08 PM,53.384,,,,,
161,08/09/15 01:15:08 PM,57.160,,,,,
