Plot Title: 10767835								
#	"Date Time, GMT-06:00"	"Temp, °F (LGR S/N: 10767835, SEN S/N: 10767835)"	"Temp, °C (LGR S/N: 10767835, SEN S/N: 10767835)"	Coupler Detached (LGR S/N: 10767835)	Coupler Attached (LGR S/N: 10767835)	Host Connected (LGR S/N: 10767835)	Stopped (LGR S/N: 10767835)	End Of File (LGR S/N: 10767835)
1	8/2/2015 22:24	77.945	25.5					
2	8/2/2015 22:24			Logged				
3	8/2/2015 23:24	76.899	24.9					
4	8/3/2015 0:24	75.637	24.2				min	0.1
5	8/3/2015 1:24	74.986	23.9				max	4.4
6	8/3/2015 2:24	74.077	23.4				range	4.4
7	8/3/2015 3:24	73.083	22.8					
8	8/3/2015 4:24	72.05	22.3					
9	8/3/2015 5:24	71.103	21.7					
10	8/3/2015 6:24	70.243	21.2					
11	8/3/2015 7:24	69.685	20.9					
12	8/3/2015 8:24	69.557	20.9					
13	8/3/2015 9:24	68.227	20.1					
14	8/3/2015 10:24	65.059	18.4					
15	8/3/2015 11:24	66.515	19.2					
16	8/3/2015 12:24	70.072	21.2					
17	8/3/2015 13:24	71.317	21.8					
18	8/3/2015 14:24	71.49	21.9					
19	8/3/2015 15:24	72.394	22.4					
20	8/3/2015 16:24	70.716	21.5					
21	8/3/2015 17:24	67.329	19.6					
22	8/3/2015 18:24	63.475	17.5					
23	8/3/2015 19:24	62.276	16.8					
24	8/3/2015 20:24	61.162	16.2					
25	8/3/2015 21:24	60.433	15.8					
26	8/3/2015 22:24	59.83	15.5					
27	8/3/2015 23:24	58.928	15.0					
28	8/4/2015 0:24	58.239	14.6					
29	8/4/2015 1:24	56.858	13.8					
30	8/4/2015 2:24	55.69	13.2					
31	8/4/2015 3:24	54.952	12.8					
32	8/4/2015 4:24	54.212	12.3					
33	8/4/2015 5:24	53.865	12.1					
34	8/4/2015 6:24	53.82	12.1					
35	8/4/2015 7:24	54.037	12.2					
36	8/4/2015 8:24	54.648	12.6					
37	8/4/2015 9:24	55.081	12.8					
38	8/4/2015 10:24	56.079	13.4					
39	8/4/2015 11:24	58.109	14.5					
40	8/4/2015 12:24	62.406	16.9					
41	8/4/2015 13:24	66.857	19.4					
42	8/4/2015 14:24	68.443	20.2					
43	8/4/2015 15:24	70.286	21.3					
44	8/4/2015 16:24	72.007	22.2					
45	8/4/2015 17:24	72.783	22.7					
46	8/4/2015 18:24	71.791	22.1					
