"Plot Title: 10767836"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10767836, SEN S/N: 10767836)","Coupler Detached (LGR S/N: 10767836)","Coupler Attached (LGR S/N: 10767836)","Host Connected (LGR S/N: 10767836)","Stopped (LGR S/N: 10767836)","End Of File (LGR S/N: 10767836)"
1,08/02/15 10:25:28 PM,77.727,,,,,
2,08/02/15 10:25:38 PM,,Logged,,,,
3,08/02/15 11:25:28 PM,76.419,,,,,
4,08/03/15 12:25:28 AM,75.074,,,,,
5,08/03/15 01:25:28 AM,74.597,,,,,
6,08/03/15 02:25:28 AM,73.688,,,,,
7,08/03/15 03:25:28 AM,72.653,,,,,
8,08/03/15 04:25:28 AM,71.620,,,,,
9,08/03/15 05:25:28 AM,70.716,,,,,
10,08/03/15 06:25:28 AM,69.942,,,,,
11,08/03/15 07:25:28 AM,69.471,,,,,
12,08/03/15 08:25:28 AM,69.471,,,,,
13,08/03/15 09:25:28 AM,68.056,,,,,
14,08/03/15 10:25:28 AM,64.288,,,,,
15,08/03/15 11:25:28 AM,66.772,,,,,
16,08/03/15 12:25:28 PM,70.759,,,,,
17,08/03/15 01:25:28 PM,71.834,,,,,
18,08/03/15 02:25:28 PM,71.964,,,,,
19,08/03/15 03:25:28 PM,72.826,,,,,
20,08/03/15 04:25:28 PM,70.243,,,,,
21,08/03/15 05:25:28 PM,66.558,,,,,
22,08/03/15 06:25:28 PM,62.620,,,,,
23,08/03/15 07:25:28 PM,61.848,,,,,
24,08/03/15 08:25:28 PM,60.690,,,,,
25,08/03/15 09:25:28 PM,60.132,,,,,
26,08/03/15 10:25:28 PM,59.529,,,,,
27,08/03/15 11:25:28 PM,58.626,,,,,
28,08/04/15 12:25:28 AM,57.936,,,,,
29,08/04/15 01:25:28 AM,56.426,,,,,
30,08/04/15 02:25:28 AM,55.299,,,,,
31,08/04/15 03:25:28 AM,54.604,,,,,
32,08/04/15 04:25:28 AM,53.908,,,,,
33,08/04/15 05:25:28 AM,53.645,,,,,
34,08/04/15 06:25:28 AM,53.690,,,,,
35,08/04/15 07:25:28 AM,53.994,,,,,
36,08/04/15 08:25:28 AM,54.734,,,,,
37,08/04/15 09:25:28 AM,55.125,,,,,
38,08/04/15 10:25:28 AM,56.426,,,,,
39,08/04/15 11:25:28 AM,58.669,,,,,
40,08/04/15 12:25:28 PM,63.648,,,,,
41,08/04/15 01:25:28 PM,67.928,,,,,
42,08/04/15 02:25:28 PM,69.213,,,,,
43,08/04/15 03:25:28 PM,71.017,,,,,
44,08/04/15 04:25:28 PM,72.739,,,,,
45,08/04/15 05:25:28 PM,73.256,,,,,
46,08/04/15 06:25:28 PM,71.964,,,,,
47,08/04/15 07:25:28 PM,72.997,,,,,
48,08/04/15 08:25:28 PM,68.614,,,,,
49,08/04/15 09:25:28 PM,64.632,,,,,
50,08/04/15 10:25:28 PM,61.162,,,,,
51,08/04/15 11:25:28 PM,57.807,,,,,
52,08/05/15 12:25:28 AM,54.865,,,,,
53,08/05/15 01:25:28 AM,52.554,,,,,
54,08/05/15 02:25:28 AM,50.841,,,,,
55,08/05/15 03:25:28 AM,50.223,,,,,
56,08/05/15 04:25:28 AM,49.737,,,,,
57,08/05/15 05:25:28 AM,49.338,,,,,
58,08/05/15 06:25:28 AM,49.561,,,,,
59,08/05/15 07:25:28 AM,49.825,,,,,
60,08/05/15 08:25:28 AM,50.223,,,,,
61,08/05/15 09:25:28 AM,51.940,,,,,
62,08/05/15 10:25:28 AM,53.865,,,,,
63,08/05/15 11:25:28 AM,56.944,,,,,
64,08/05/15 12:25:28 PM,61.462,,,,,
65,08/05/15 01:25:28 PM,63.732,,,,,
66,08/05/15 02:25:28 PM,65.230,,,,,
67,08/05/15 03:25:28 PM,65.701,,,,,
68,08/05/15 04:25:28 PM,66.515,,,,,
69,08/05/15 05:25:28 PM,63.304,,,,,
70,08/05/15 06:25:28 PM,58.498,,,,,
71,08/05/15 07:25:28 PM,55.863,,,,,
72,08/05/15 08:25:28 PM,54.430,,,,,
73,08/05/15 09:25:28 PM,53.209,,,,,
74,08/05/15 10:25:28 PM,51.544,,,,,
75,08/05/15 11:25:28 PM,50.400,,,,,
76,08/06/15 12:25:28 AM,48.850,,,,,
77,08/06/15 01:25:28 AM,47.647,,,,,
78,08/06/15 02:25:28 AM,46.616,,,,,
79,08/06/15 03:25:28 AM,46.571,,,,,
80,08/06/15 04:25:28 AM,46.301,,,,,
81,08/06/15 05:25:28 AM,46.301,,,,,
82,08/06/15 06:25:28 AM,46.796,,,,,
83,08/06/15 07:25:28 AM,47.289,,,,,
84,08/06/15 08:25:28 AM,48.004,,,,,
85,08/06/15 09:25:28 AM,49.604,,,,,
86,08/06/15 10:25:28 AM,51.940,,,,,
87,08/06/15 11:25:28 AM,54.473,,,,,
88,08/06/15 12:25:28 PM,58.582,,,,,
89,08/06/15 01:25:28 PM,62.875,,,,,
90,08/06/15 02:25:28 PM,65.701,,,,,
91,08/06/15 03:25:28 PM,67.285,,,,,
92,08/06/15 04:25:28 PM,68.099,,,,,
93,08/06/15 05:25:28 PM,68.785,,,,,
94,08/06/15 06:25:28 PM,72.307,,,,,
95,08/06/15 07:25:28 PM,74.163,,,,,
96,08/06/15 08:25:28 PM,70.930,,,,,
97,08/06/15 09:25:28 PM,65.829,,,,,
98,08/06/15 10:25:28 PM,62.406,,,,,
99,08/06/15 11:25:28 PM,60.303,,,,,
100,08/07/15 12:25:28 AM,58.712,,,,,
101,08/07/15 01:25:28 AM,56.642,,,,,
102,08/07/15 02:25:28 AM,55.472,,,,,
103,08/07/15 03:25:28 AM,54.604,,,,,
104,08/07/15 04:25:28 AM,53.384,,,,,
105,08/07/15 05:25:28 AM,51.764,,,,,
106,08/07/15 06:25:28 AM,50.002,,,,,
107,08/07/15 07:25:28 AM,48.717,,,,,
108,08/07/15 08:25:28 AM,49.782,,,,,
109,08/07/15 09:25:28 AM,52.772,,,,,
110,08/07/15 10:25:28 AM,56.208,,,,,
111,08/07/15 11:25:28 AM,59.486,,,,,
112,08/07/15 12:25:28 PM,63.990,,,,,
113,08/07/15 01:25:28 PM,67.242,,,,,
114,08/07/15 02:25:28 PM,69.771,,,,,
115,08/07/15 03:25:28 PM,71.877,,,,,
116,08/07/15 04:25:28 PM,73.861,,,,,
117,08/07/15 05:25:28 PM,74.295,,,,,
118,08/07/15 06:25:28 PM,73.558,,,,,
119,08/07/15 07:25:28 PM,69.514,,,,,
120,08/07/15 08:25:28 PM,63.648,,,,,
121,08/07/15 09:25:28 PM,59.745,,,,,
122,08/07/15 10:25:28 PM,57.074,,,,,
123,08/07/15 11:25:28 PM,55.647,,,,,
124,08/08/15 12:25:28 AM,54.604,,,,,
125,08/08/15 01:25:28 AM,53.776,,,,,
126,08/08/15 02:25:28 AM,53.209,,,,,
127,08/08/15 03:25:28 AM,52.641,,,,,
128,08/08/15 04:25:28 AM,52.597,,,,,
129,08/08/15 05:25:28 AM,52.466,,,,,
130,08/08/15 06:25:28 AM,52.423,,,,,
131,08/08/15 07:25:28 AM,52.597,,,,,
132,08/08/15 08:25:28 AM,53.776,,,,,
133,08/08/15 09:25:28 AM,56.556,,,,,
134,08/08/15 10:25:28 AM,57.160,,,,,
135,08/08/15 11:25:28 AM,57.979,,,,,
136,08/08/15 12:25:28 PM,59.616,,,,,
137,08/08/15 01:25:28 PM,63.347,,,,,
138,08/08/15 02:25:28 PM,67.671,,,,,
139,08/08/15 03:25:28 PM,63.262,,,,,
140,08/08/15 04:25:28 PM,62.019,,,,,
141,08/08/15 05:25:28 PM,63.048,,,,,
142,08/08/15 06:25:28 PM,62.447,,,,,
143,08/08/15 07:25:28 PM,60.346,,,,,
144,08/08/15 08:25:28 PM,57.117,,,,,
145,08/08/15 09:25:28 PM,54.734,,,,,
146,08/08/15 10:25:28 PM,53.341,,,,,
147,08/08/15 11:25:28 PM,52.335,,,,,
148,08/09/15 12:25:28 AM,51.852,,,,,
149,08/09/15 01:25:28 AM,51.458,,,,,
150,08/09/15 02:25:28 AM,50.488,,,,,
151,08/09/15 03:25:28 AM,48.272,,,,,
152,08/09/15 04:25:28 AM,46.346,,,,,
153,08/09/15 05:25:28 AM,44.037,,,,,
154,08/09/15 06:25:28 AM,42.525,,,,,
155,08/09/15 07:25:28 AM,42.202,,,,,
156,08/09/15 08:25:28 AM,45.761,,,,,
157,08/09/15 09:25:28 AM,55.386,,,,,
158,08/09/15 10:25:28 AM,57.463,,,,,
159,08/09/15 11:25:28 AM,60.517,,,,,
160,08/09/15 12:25:28 PM,68.484,,,,,
161,08/09/15 01:25:28 PM,77.859,,,,,
162,08/09/15 02:25:28 PM,69.643,,,,,
163,08/09/15 03:25:28 PM,59.099,,,,,
164,08/09/15 04:25:28 PM,55.863,,,,,
165,08/09/15 05:25:28 PM,55.038,,,,,
166,08/09/15 06:25:28 PM,57.506,,,,,
167,08/09/15 07:25:28 PM,62.620,,,,,
168,08/09/15 08:25:28 PM,67.071,,,,,
