"Plot Title: 10767842"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10767842, SEN S/N: 10767842)","Coupler Detached (LGR S/N: 10767842)","Coupler Attached (LGR S/N: 10767842)","Host Connected (LGR S/N: 10767842)","Stopped (LGR S/N: 10767842)","End Of File (LGR S/N: 10767842)"
1,08/02/15 10:18:01 PM,78.251,,,,,
2,08/02/15 10:18:17 PM,,Logged,,,,
3,08/02/15 11:18:01 PM,76.375,,,,,
4,08/03/15 12:18:01 AM,75.074,,,,,
5,08/03/15 01:18:01 AM,74.813,,,,,
6,08/03/15 02:18:01 AM,74.120,,,,,
7,08/03/15 03:18:01 AM,73.170,,,,,
8,08/03/15 04:18:01 AM,72.136,,,,,
9,08/03/15 05:18:01 AM,71.231,,,,,
10,08/03/15 06:18:01 AM,70.372,,,,,
11,08/03/15 07:18:01 AM,69.771,,,,,
12,08/03/15 08:18:01 AM,69.557,,,,,
13,08/03/15 09:18:01 AM,68.142,,,,,
14,08/03/15 10:18:01 AM,67.329,,,,,
15,08/03/15 11:18:01 AM,69.728,,,,,
16,08/03/15 12:18:01 PM,70.459,,,,,
17,08/03/15 01:18:01 PM,72.610,,,,,
18,08/03/15 02:18:01 PM,74.597,,,,,
19,08/03/15 03:18:01 PM,75.681,,,,,
20,08/03/15 04:18:01 PM,72.869,,,,,
21,08/03/15 05:18:01 PM,66.857,,,,,
22,08/03/15 06:18:01 PM,63.304,,,,,
23,08/03/15 07:18:01 PM,61.804,,,,,
24,08/03/15 08:18:01 PM,59.185,,,,,
25,08/03/15 09:18:01 PM,56.383,,,,,
26,08/03/15 10:18:01 PM,54.952,,,,,
27,08/03/15 11:18:01 PM,54.604,,,,,
28,08/04/15 12:18:01 AM,54.430,,,,,
29,08/04/15 01:18:01 AM,54.387,,,,,
30,08/04/15 02:18:01 AM,54.255,,,,,
31,08/04/15 03:18:01 AM,54.037,,,,,
32,08/04/15 04:18:01 AM,53.820,,,,,
33,08/04/15 05:18:01 AM,53.645,,,,,
34,08/04/15 06:18:01 AM,53.427,,,,,
35,08/04/15 07:18:01 AM,53.253,,,,,
36,08/04/15 08:18:01 AM,53.209,,,,,
37,08/04/15 09:18:01 AM,54.037,,,,,
38,08/04/15 10:18:01 AM,57.463,,,,,
39,08/04/15 11:18:01 AM,60.217,,,,,
40,08/04/15 12:18:01 PM,55.558,,,,,
