"ï»¿""Plot Title: 10767838""",,,,,,,,
#,"Date Time, GMT-06:00","Temp, Â°F (LGR S/N: 10767838, SEN S/N: 10767838)",,Coupler Detached (LGR S/N: 10767838),Coupler Attached (LGR S/N: 10767838),Host Connected (LGR S/N: 10767838),Stopped (LGR S/N: 10767838),End Of File (LGR S/N: 10767838)
1,8/2/15 22:10,78.471,,,,,,
2,8/2/15 22:11,,,Logged,,,,
3,8/2/15 22:27,,,,Logged,Logged,,
4,8/2/15 22:27,,,Logged,,,,
5,8/2/15 23:10,76.64,24.80,,,,,
6,8/3/15 0:10,75.07,23.93,,,,,
7,8/3/15 1:10,74.21,23.45,,,,,
8,8/3/15 2:10,73.43,23.02,,,,,
9,8/3/15 3:10,72.35,22.42,,,,,
10,8/3/15 4:10,71.19,21.77,,,,,
11,8/3/15 5:10,70.29,21.27,,,,,
12,8/3/15 6:10,69.47,20.82,,,,,
13,8/3/15 7:10,68.96,20.53,,,,,
14,8/3/15 8:10,69.09,20.60,,,,,
15,8/3/15 9:10,69.73,20.96,,,,,
16,8/3/15 10:10,65.53,18.63,,,,,
17,8/3/15 11:10,66.13,18.96,,,,,
18,8/3/15 12:10,68.96,20.53,,,,,
19,8/3/15 13:10,70.12,21.18,,,,,
20,8/3/15 14:10,70.59,21.44,,,,,
21,8/3/15 15:10,71.40,21.89,,,,,
22,8/3/15 16:10,71.23,21.80,,,,,
23,8/3/15 17:10,69.26,20.70,,,,,
24,8/3/15 18:10,65.75,18.75,,,,,
25,8/3/15 19:10,63.35,17.42,,,,,
26,8/3/15 20:10,62.23,16.80,,,,,
27,8/3/15 21:10,61.25,16.25,,,,,
28,8/3/15 22:10,60.69,15.94,,,,,
29,8/3/15 23:10,59.87,15.49,,,,,
30,8/4/15 0:10,59.10,15.06,,,,,
31,8/4/15 1:10,58.11,14.51,,,,,
32,8/4/15 2:10,56.82,13.79,,,,,
33,8/4/15 3:10,55.86,13.26,,,,,
34,8/4/15 4:10,55.08,12.82,,,,,
35,8/4/15 5:10,54.52,12.51,,,,,
36,8/4/15 6:10,54.30,12.39,,,,,
37,8/4/15 7:10,54.26,12.36,,,,,
38,8/4/15 8:10,54.65,12.58,,,,,
39,8/4/15 9:10,55.04,12.80,,,,,
40,8/4/15 10:10,55.60,13.11,,,,,
41,8/4/15 11:10,57.12,13.96,,,,,
42,8/4/15 12:10,59.96,15.53,,,,,
43,8/4/15 13:10,64.50,18.06,,,,,
44,8/4/15 14:10,66.90,19.39,,,,,
45,8/4/15 15:10,68.87,20.49,,,,,
46,8/4/15 16:10,70.54,21.41,,,,,
47,8/4/15 17:10,72.05,22.25,,,,,
48,8/4/15 18:10,71.70,22.06,,,,,
49,8/4/15 19:10,71.79,22.11,,,,,
50,8/4/15 20:10,70.59,21.44,,,,,
51,8/4/15 21:10,67.50,19.72,,,,,
52,8/4/15 22:10,64.20,17.89,,,,,
53,8/4/15 23:10,60.86,16.04,,,,,
54,8/5/15 0:10,57.77,14.32,,,,,
55,8/5/15 1:10,55.08,12.82,,,,,
56,8/5/15 2:10,52.86,11.59,,,,,
57,8/5/15 3:10,51.50,10.83,,,,,
58,8/5/15 4:10,50.84,10.47,,,,,
59,8/5/15 5:10,50.22,10.12,,,,,
60,8/5/15 6:10,50.00,10.00,,,,,
61,8/5/15 7:10,50.09,10.05,,,,,
62,8/5/15 8:10,50.27,10.15,,,,,
63,8/5/15 9:10,51.06,10.59,,,,,
64,8/5/15 10:10,52.51,11.39,,,,,
65,8/5/15 11:10,54.73,12.63,,,,,
66,8/5/15 12:10,58.37,14.65,,,,,
67,8/5/15 13:10,61.08,16.15,,,,,
68,8/5/15 14:10,63.13,17.30,,,,,
69,8/5/15 15:10,64.07,17.82,,,,,
70,8/5/15 16:10,65.49,18.61,,,,,
71,8/5/15 17:10,64.89,18.27,,,,,
72,8/5/15 18:10,61.76,16.54,,,,,
73,8/5/15 19:10,58.50,14.72,,,,,
74,8/5/15 20:10,56.38,13.55,,,,,
75,8/5/15 21:10,54.95,12.75,,,,,
76,8/5/15 22:10,53.38,11.88,,,,,
77,8/5/15 23:10,51.98,11.10,,,,,
78,8/6/15 0:10,50.58,10.32,,,,,
79,8/6/15 1:10,49.20,9.56,,,,,
80,8/6/15 2:10,48.05,8.92,,,,,
81,8/6/15 3:10,47.33,8.52,,,,,
82,8/6/15 4:10,47.11,8.39,,,,,
83,8/6/15 5:10,46.75,8.20,,,,,
84,8/6/15 6:10,46.89,8.27,,,,,
85,8/6/15 7:10,47.24,8.47,,,,,
86,8/6/15 8:10,47.65,8.69,,,,,
87,8/6/15 9:10,48.58,9.21,,,,,
88,8/6/15 10:10,50.40,10.22,,,,,
89,8/6/15 11:10,52.25,11.25,,,,,
90,8/6/15 12:10,55.21,12.90,,,,,
91,8/6/15 13:10,59.10,15.06,,,,,
92,8/6/15 14:10,62.45,16.92,,,,,
93,8/6/15 15:10,64.89,18.27,,,,,
94,8/6/15 16:10,66.17,18.99,,,,,
95,8/6/15 17:10,67.03,19.46,,,,,
96,8/6/15 18:10,68.79,20.44,,,,,
97,8/6/15 19:10,71.45,21.92,,,,,
98,8/6/15 20:10,71.40,21.89,,,,,
99,8/6/15 21:10,68.61,20.34,,,,,
100,8/6/15 22:10,64.97,18.32,,,,,
101,8/6/15 23:10,62.49,16.94,,,,,
102,8/7/15 0:10,60.56,15.87,,,,,
103,8/7/15 1:10,58.71,14.84,,,,,
104,8/7/15 2:10,56.99,13.88,,,,,
105,8/7/15 3:10,55.82,13.23,,,,,
106,8/7/15 4:10,54.82,12.68,,,,,
107,8/7/15 5:10,53.47,11.93,,,,,
108,8/7/15 6:10,51.90,11.05,,,,,
