"Plot Title: 10767841"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10767841, SEN S/N: 10767841)","Coupler Detached (LGR S/N: 10767841)","Coupler Attached (LGR S/N: 10767841)","Host Connected (LGR S/N: 10767841)","Stopped (LGR S/N: 10767841)","End Of File (LGR S/N: 10767841)"
1,08/02/15 10:19:32 PM,78.251,,,,,
2,08/02/15 10:20:02 PM,,Logged,,,,
3,08/02/15 11:19:32 PM,76.899,,,,,
4,08/03/15 12:19:32 AM,75.724,,,,,
5,08/03/15 01:19:32 AM,75.029,,,,,
6,08/03/15 02:19:32 AM,74.250,,,,,
7,08/03/15 03:19:32 AM,73.299,,,,,
8,08/03/15 04:19:32 AM,72.307,,,,,
9,08/03/15 05:19:32 AM,71.361,,,,,
10,08/03/15 06:19:32 AM,70.502,,,,,
11,08/03/15 07:19:32 AM,69.901,,,,,
12,08/03/15 08:19:32 AM,69.685,,,,,
13,08/03/15 09:19:32 AM,68.443,,,,,
14,08/03/15 10:19:32 AM,67.329,,,,,
15,08/03/15 11:19:32 AM,69.942,,,,,
16,08/03/15 12:19:32 PM,70.587,,,,,
17,08/03/15 01:19:32 PM,72.955,,,,,
18,08/03/15 02:19:32 PM,74.813,,,,,
19,08/03/15 03:19:32 PM,75.985,,,,,
20,08/03/15 04:19:32 PM,69.901,,,,,
21,08/03/15 05:19:32 PM,63.133,,,,,
22,08/03/15 06:19:32 PM,60.346,,,,,
23,08/03/15 07:19:32 PM,60.003,,,,,
24,08/03/15 08:19:32 PM,56.512,,,,,
25,08/03/15 09:19:32 PM,54.561,,,,,
26,08/03/15 10:19:32 PM,54.343,,,,,
27,08/03/15 11:19:32 PM,54.343,,,,,
28,08/04/15 12:19:32 AM,54.430,,,,,
29,08/04/15 01:19:32 AM,54.473,,,,,
30,08/04/15 02:19:32 AM,54.387,,,,,
31,08/04/15 03:19:32 AM,54.082,,,,,
32,08/04/15 04:19:32 AM,53.994,,,,,
33,08/04/15 05:19:32 AM,53.865,,,,,
34,08/04/15 06:19:32 AM,53.645,,,,,
35,08/04/15 07:19:32 AM,53.515,,,,,
36,08/04/15 08:19:32 AM,53.472,,,,,
37,08/04/15 09:19:32 AM,55.038,,,,,
38,08/04/15 10:19:32 AM,58.498,,,,,
39,08/04/15 11:19:32 AM,59.659,,,,,
40,08/04/15 12:19:32 PM,35.733,,,,,
41,08/04/15 01:19:32 PM,34.907,,,,,
42,08/04/15 02:19:32 PM,35.685,,,,,
43,08/04/15 03:19:32 PM,35.782,,,,,
44,08/04/15 04:19:32 PM,36.554,,,,,
45,08/04/15 05:19:32 PM,36.554,,,,,
46,08/04/15 06:19:32 PM,35.006,,,,,
47,08/04/15 07:19:32 PM,33.928,,,,,
48,08/04/15 08:19:32 PM,33.633,,,,,
49,08/04/15 09:19:32 PM,33.336,,,,,
50,08/04/15 10:19:32 PM,33.089,,,,,
51,08/04/15 11:19:32 PM,32.940,,,,,
52,08/05/15 12:19:32 AM,32.790,,,,,
