"ï»¿""Plot Title: 10972588""",,,,,,
#,"Date Time, GMT-06:00","Temp, Â°C (LGR S/N: 10972588, SEN S/N: 10972588)",Coupler Detached (LGR S/N: 10972588),End Of File (LGR S/N: 10972588),,
1,7/25/16 9:13,25.866,,,,
2,7/25/16 9:14,,Logged,,,
3,7/25/16 9:28,23.689,,,min,0.55
4,7/25/16 9:43,22.369,,,max,5.282
5,7/25/16 9:58,21.915,,,range,4.732
6,7/25/16 10:13,21.676,,,,
7,7/25/16 10:28,21.533,,,,
8,7/25/16 10:43,21.437,,,,
9,7/25/16 10:58,21.39,,,2.519463622,
10,7/25/16 11:13,21.366,,,1.732905146,
11,7/25/16 11:28,21.366,,,,
12,7/25/16 11:43,21.437,,,,
13,7/25/16 11:58,21.891,,,,
14,7/25/16 12:13,22.034,,,,
15,7/25/16 12:28,22.011,,,,
16,7/25/16 12:43,21.915,,,,
17,7/25/16 12:58,23.064,,,,
18,7/25/16 13:13,28.543,,,,
19,7/25/16 13:28,31.586,,,,
20,7/25/16 13:43,33.521,,,,
21,7/25/16 13:58,34.73,,,,
22,7/25/16 14:13,35.689,,,,
23,7/25/16 14:28,36.308,,,,
24,7/25/16 14:43,36.417,,,,
25,7/25/16 14:58,36.606,,,,
26,7/25/16 15:13,36.769,,,,
27,7/25/16 15:28,36.769,,,,
28,7/25/16 15:43,36.878,,,,
29,7/25/16 15:58,36.824,,,,
30,7/25/16 16:13,36.498,,,,
31,7/25/16 16:28,36.065,,,,
32,7/25/16 16:43,35.609,,,,
33,7/25/16 16:58,35.77,,,,
34,7/25/16 17:13,36.092,,,,
35,7/25/16 17:28,36.715,,,,
36,7/25/16 17:43,37.015,,,,
37,7/25/16 17:58,36.742,,,,
38,7/25/16 18:13,36.308,,,,
39,7/25/16 18:28,35.716,,,,
40,7/25/16 18:43,35.288,,,,
41,7/25/16 18:58,34.783,,,,
42,7/25/16 19:13,34.281,,,,
43,7/25/16 19:28,33.809,,,,
44,7/25/16 19:43,33.287,,,,
45,7/25/16 19:58,32.742,,,,
46,7/25/16 20:13,32.253,,,,
47,7/25/16 20:28,31.919,,,,
48,7/25/16 20:43,32.15,,,,
49,7/25/16 20:58,31.791,,,,
50,7/25/16 21:13,31.255,,,,
51,7/25/16 21:28,30.748,,,,
52,7/25/16 21:43,30.243,,,,
53,7/25/16 21:58,29.715,,,,
54,7/25/16 22:13,29.19,,,,
55,7/25/16 22:28,28.642,,,,
56,7/25/16 22:43,28.097,,,,
57,7/25/16 22:58,27.53,,,,
58,7/25/16 23:13,26.989,,,,
59,7/25/16 23:28,26.451,,,,
60,7/25/16 23:43,25.914,,,,
61,7/25/16 23:58,25.404,,,,
62,7/26/16 0:13,24.895,,,,
63,7/26/16 0:28,24.388,,,,
64,7/26/16 0:43,23.881,,,,
65,7/26/16 0:58,23.4,,,,
66,7/26/16 1:13,22.92,,,,
67,7/26/16 1:28,22.441,,,,
68,7/26/16 1:43,21.963,,,,
69,7/26/16 1:58,21.509,,,,
70,7/26/16 2:13,21.056,,,,
71,7/26/16 2:28,20.603,,,,
72,7/26/16 2:43,20.174,,,,
73,7/26/16 2:58,19.746,,,,
74,7/26/16 3:13,19.318,,,,
75,7/26/16 3:28,18.889,,,,
76,7/26/16 3:43,18.485,,,,
77,7/26/16 3:58,18.057,,,,
78,7/26/16 4:13,17.677,,,,
79,7/26/16 4:28,17.272,,,,
80,7/26/16 4:43,16.892,,,,
81,7/26/16 4:58,16.534,,,,
82,7/26/16 5:13,16.153,,,,
83,7/26/16 5:28,15.819,,,,
84,7/26/16 5:43,15.438,,,,
85,7/26/16 5:58,15.103,,,,
86,7/26/16 6:13,14.768,,,,
87,7/26/16 6:28,14.433,,,,
88,7/26/16 6:43,14.098,,,,
89,7/26/16 6:58,13.762,,,,
90,7/26/16 7:13,13.425,,,,
91,7/26/16 7:28,13.137,,,,
92,7/26/16 7:43,12.823,,,,
93,7/26/16 7:58,12.558,,,,
94,7/26/16 8:13,12.316,,,,
95,7/26/16 8:28,12.147,,,,
96,7/26/16 8:43,12.074,,,,
97,7/26/16 8:58,12.05,,,,
98,7/26/16 9:13,12.122,,,,
