"Plot Title: 10972587"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 10972587, SEN S/N: 10972587)","Coupler Detached (LGR S/N: 10972587)","End Of File (LGR S/N: 10972587)"
1,07/25/16 09:22:47 AM,21.390,,
2,07/25/16 09:23:08 AM,,Logged,
3,07/25/16 09:37:47 AM,22.202,,
4,07/25/16 09:52:47 AM,22.130,,
5,07/25/16 10:07:47 AM,22.130,,
6,07/25/16 10:22:47 AM,21.891,,
7,07/25/16 10:37:47 AM,21.819,,
8,07/25/16 10:52:47 AM,21.772,,
9,07/25/16 11:07:47 AM,21.772,,
10,07/25/16 11:22:47 AM,21.795,,
11,07/25/16 11:37:47 AM,22.154,,
12,07/25/16 11:52:47 AM,22.393,,
13,07/25/16 12:07:47 PM,22.393,,
14,07/25/16 12:22:47 PM,22.298,,
15,07/25/16 12:37:47 PM,22.202,,
16,07/25/16 12:52:47 PM,22.202,,
17,07/25/16 01:07:47 PM,24.992,,
18,07/25/16 01:22:47 PM,28.270,,
19,07/25/16 01:37:47 PM,30.167,,
20,07/25/16 01:52:47 PM,31.740,,
21,07/25/16 02:07:47 PM,32.898,,
22,07/25/16 02:22:47 PM,33.600,,
23,07/25/16 02:37:47 PM,33.966,,
24,07/25/16 02:52:47 PM,34.995,,
25,07/25/16 03:07:47 PM,35.823,,
26,07/25/16 03:22:47 PM,36.389,,
27,07/25/16 03:37:47 PM,36.851,,
28,07/25/16 03:52:47 PM,36.987,,
29,07/25/16 04:07:47 PM,36.796,,
30,07/25/16 04:22:47 PM,36.471,,
31,07/25/16 04:37:47 PM,36.065,,
32,07/25/16 04:52:47 PM,36.012,,
33,07/25/16 05:07:47 PM,36.444,,
34,07/25/16 05:22:47 PM,37.206,,
35,07/25/16 05:37:47 PM,37.590,,
36,07/25/16 05:52:47 PM,37.398,,
37,07/25/16 06:07:47 PM,37.069,,
38,07/25/16 06:22:47 PM,36.633,,
39,07/25/16 06:37:47 PM,36.119,,
40,07/25/16 06:52:47 PM,35.582,,
41,07/25/16 07:07:47 PM,35.022,,
42,07/25/16 07:22:47 PM,34.492,,
43,07/25/16 07:37:47 PM,33.966,,
44,07/25/16 07:52:47 PM,33.443,,
45,07/25/16 08:07:47 PM,32.975,,
46,07/25/16 08:22:47 PM,32.536,,
47,07/25/16 08:37:47 PM,31.535,,
48,07/25/16 08:52:47 PM,30.520,,
49,07/25/16 09:07:47 PM,29.690,,
50,07/25/16 09:22:47 PM,28.866,,
51,07/25/16 09:37:47 PM,27.998,,
52,07/25/16 09:52:47 PM,27.161,,
53,07/25/16 10:07:47 PM,26.378,,
54,07/25/16 10:22:47 PM,25.671,,
55,07/25/16 10:37:47 PM,24.992,,
56,07/25/16 10:52:47 PM,24.363,,
57,07/25/16 11:07:47 PM,23.809,,
58,07/25/16 11:22:47 PM,23.304,,
59,07/25/16 11:37:47 PM,22.800,,
60,07/25/16 11:52:47 PM,22.298,,
61,07/26/16 12:07:47 AM,21.819,,
62,07/26/16 12:22:47 AM,21.342,,
63,07/26/16 12:37:47 AM,20.865,,
64,07/26/16 12:52:47 AM,20.412,,
65,07/26/16 01:07:47 AM,19.960,,
66,07/26/16 01:22:47 AM,19.508,,
67,07/26/16 01:37:47 AM,19.056,,
68,07/26/16 01:52:47 AM,18.628,,
69,07/26/16 02:07:47 AM,18.224,,
70,07/26/16 02:22:47 AM,17.819,,
71,07/26/16 02:37:47 AM,17.415,,
72,07/26/16 02:52:47 AM,17.011,,
73,07/26/16 03:07:47 AM,16.606,,
74,07/26/16 03:22:47 AM,16.225,,
75,07/26/16 03:37:47 AM,15.843,,
