"ï»¿""Plot Title: 20155861""",,,,,,,,
#,"Date Time, GMT-06:00","Temp, Â°C (LGR S/N: 20155861, SEN S/N: 20155861)",Coupler Detached (LGR S/N: 20155861),Coupler Attached (LGR S/N: 20155861),Host Connected (LGR S/N: 20155861),Stopped (LGR S/N: 20155861),End Of File (LGR S/N: 20155861),
1,8/5/2017 20:59,21.008,,,,,,
2,8/5/2017 20:59,,Logged,,,,,
3,8/5/2017 21:59,15.27,,,,,,
4,8/5/2017 22:59,14.96,,,,,,
5,8/5/2017 23:59,14.266,,,,,min,-0.06
6,8/6/2017 0:59,14.074,,,,,max,13.449
7,8/6/2017 1:59,13.642,,,,,range,13.509
8,8/6/2017 2:59,13.137,,,,,,
9,8/6/2017 3:59,12.751,,,,,,
10,8/6/2017 4:59,12.171,,,,,,
11,8/6/2017 5:59,11.443,,,,,,
12,8/6/2017 6:59,10.394,,,,,,
13,8/6/2017 7:59,9.952,,,,,,
14,8/6/2017 8:59,11.856,,,,,,
15,8/6/2017 9:59,19.817,,,,,,
16,8/6/2017 10:59,19.199,,,,,,
17,8/6/2017 11:59,24.557,,,,,,
18,8/6/2017 12:59,30.849,,,,,,
19,8/6/2017 13:59,28.27,,,,,,
20,8/6/2017 14:59,27.899,,,,,,
21,8/6/2017 15:59,26.573,,,,,,
22,8/6/2017 16:59,24.75,,,,,,
23,8/6/2017 17:59,23.112,,,,,,
24,8/6/2017 18:59,16.463,,,,,,
25,8/6/2017 19:59,10.051,,,,,,
26,8/6/2017 20:59,10.369,,,,,,
27,8/6/2017 21:59,10.1,,,,,,
28,8/6/2017 22:59,9.682,,,,,,
29,8/6/2017 23:59,8.145,,,,,,
30,8/7/2017 0:59,7.695,,,,,,
31,8/7/2017 1:59,7.494,,,,,,
32,8/7/2017 2:59,7.393,,,,,,
33,8/7/2017 3:59,7.091,,,,,,
34,8/7/2017 4:59,6.712,,,,,,
35,8/7/2017 5:59,6.331,,,,,,
36,8/7/2017 6:59,6.331,,,,,,
37,8/7/2017 7:59,7.795,,,,,,
38,8/7/2017 8:59,11.783,,,,,,
39,8/7/2017 9:59,10.516,,,,,,
40,8/7/2017 10:59,13.786,,,,,,
41,8/7/2017 11:59,3.538,,,,,,
42,8/7/2017 12:59,2.69,,,,,,
43,8/7/2017 13:59,3.958,,,,,,
44,8/7/2017 14:59,4.558,,,,,,
45,8/7/2017 15:59,4.141,,,,,,
46,8/7/2017 16:59,3.433,,,,,,
47,8/7/2017 17:59,2.77,,,,,,
48,8/7/2017 18:59,2.396,,,,,,
49,8/7/2017 19:59,1.588,,,,,,
50,8/7/2017 20:59,1.153,,,,,,
51,8/7/2017 21:59,0.962,,,,,,
52,8/7/2017 22:59,0.907,,,,,,
53,8/7/2017 23:59,0.852,,,,,,
54,8/8/2017 0:59,0.77,,,,,,
55,8/8/2017 1:59,0.715,,,,,,
56,8/8/2017 2:59,0.715,,,,,,
57,8/8/2017 3:59,0.715,,,,,,
58,8/8/2017 4:59,0.687,,,,,,
59,8/8/2017 5:59,0.66,,,,,,
60,8/8/2017 6:59,0.742,,,,,,
61,8/8/2017 7:59,1.344,,,,,,
62,8/8/2017 8:59,1.751,,,,,,
63,8/8/2017 9:59,3.274,,,,,,
64,8/8/2017 10:59,1.805,,,,,,
65,8/8/2017 11:59,1.967,,,,,,
66,8/8/2017 12:59,1.643,,,,,,
67,8/8/2017 13:59,1.751,,,,,,
68,8/8/2017 14:59,4.376,,,,,,
69,8/8/2017 15:59,4.584,,,,,,
70,8/8/2017 16:59,4.063,,,,,,
71,8/8/2017 17:59,3.459,,,,,,
72,8/8/2017 18:59,2.128,,,,,,
73,8/8/2017 19:59,1.724,,,,,,
74,8/8/2017 20:59,1.398,,,,,,
