Plot Title: 20174693							
#	"Date Time, GMT-06:00"	"Temp, °C (LGR S/N: 20174693, SEN S/N: 20174693)"	Coupler Detached (LGR S/N: 20174693)	Coupler Attached (LGR S/N: 20174693)	Host Connected (LGR S/N: 20174693)	Stopped (LGR S/N: 20174693)	End Of File (LGR S/N: 20174693)
1	8/5/2017 21:04	21.199					
2	8/5/2017 21:04		Logged				
3	8/5/2017 22:04	15.151					
4	8/5/2017 23:04	15.079					
5	8/6/2017 0:04	14.385				min	-0.088
6	8/6/2017 1:04	14.098				max	15.605
7	8/6/2017 2:04	13.69				range	15.693
8	8/6/2017 3:04	13.185					
9	8/6/2017 4:04	12.799					
10	8/6/2017 5:04	12.268					
11	8/6/2017 6:04	11.565					
12	8/6/2017 7:04	10.59					
13	8/6/2017 8:04	9.977					
14	8/6/2017 9:04	11.516					
15	8/6/2017 10:04	16.129					
16	8/6/2017 11:04	18.533					
17	8/6/2017 12:04	20.222					
18	8/6/2017 13:04	24.363					
19	8/6/2017 14:04	28.444					
20	8/6/2017 15:04	32.304					
21	8/6/2017 16:04	35.315					
22	8/6/2017 17:04	37.618					
23	8/6/2017 18:04	40.343					
24	8/6/2017 19:04	39.943					
25	8/6/2017 20:04	37.261					
26	8/6/2017 21:04	32.304					
27	8/6/2017 22:04	27.161					
28	8/6/2017 23:04	23.376					
29	8/7/2017 0:04	20.674					
30	8/7/2017 1:04	18.485					
31	8/7/2017 2:04	16.701					
32	8/7/2017 3:04	15.223					
33	8/7/2017 4:04	13.858					
34	8/7/2017 5:04	12.582					
35	8/7/2017 6:04	11.419					
36	8/7/2017 7:04	10.59					
37	8/7/2017 8:04	10.98					
38	8/7/2017 9:04	13.714					
39	8/7/2017 10:04	18.438					
40	8/7/2017 11:04	20.817					
41	8/7/2017 12:04	22.824					
42	8/7/2017 13:04	24.05					
43	8/7/2017 14:04	24.702					
44	8/7/2017 15:04	25.428					
45	8/7/2017 16:04	25.866					
46	8/7/2017 17:04	28.394					
47	8/7/2017 18:04	30.824					
48	8/7/2017 19:04	29.54					
