Plot Title: 20155967							
#	"Date Time, GMT-05:00"	"Temp, °C (LGR S/N: 20155967, SEN S/N: 20155967)"	Coupler Detached (LGR S/N: 20155967)	Coupler Attached (LGR S/N: 20155967)	Host Connected (LGR S/N: 20155967)	Stopped (LGR S/N: 20155967)	End Of File (LGR S/N: 20155967)
1	7/22/2017 12:00	28.468	Logged				
2	7/22/2017 13:00	33.209					
3	7/22/2017 14:00	37.042				min	-0.423
4	7/22/2017 15:00	40.028				max	6.077
5	7/22/2017 16:00	42.475				range	6.5
6	7/22/2017 17:00	44.349					
7	7/22/2017 18:00	45.94					
8	7/22/2017 19:00	43.829					
9	7/22/2017 20:00	36.417					
10	7/22/2017 21:00	33.783					
11	7/22/2017 22:00	30.444					
12	7/22/2017 23:00	28.345					
13	7/23/2017 0:00	26.769					
14	7/23/2017 1:00	25.598					
15	7/23/2017 2:00	24.339					
16	7/23/2017 3:00	23.136					
17	7/23/2017 4:00	21.939					
18	7/23/2017 5:00	20.746					
19	7/23/2017 6:00	19.627					
20	7/23/2017 7:00	18.628					
21	7/23/2017 8:00	18.628					
22	7/23/2017 9:00	19.46					
23	7/23/2017 10:00	19.056					
24	7/23/2017 11:00	20.722					
25	7/23/2017 12:00	22.944					
26	7/23/2017 13:00	25.453					
27	7/23/2017 14:00	27.702					
28	7/23/2017 15:00	29.265					
29	7/23/2017 16:00	30.117					
30	7/23/2017 17:00	30.495					
31	7/23/2017 18:00	30.268					
32	7/23/2017 19:00	30.621					
33	7/23/2017 20:00	30.52					
34	7/23/2017 21:00	30.217					
35	7/23/2017 22:00	29.916					
36	7/23/2017 23:00	28.965					
37	7/24/2017 0:00	27.751					
38	7/24/2017 1:00	26.353					
39	7/24/2017 2:00	24.871					
40	7/24/2017 3:00	23.497					
41	7/24/2017 4:00	22.321					
42	7/24/2017 5:00	21.27					
43	7/24/2017 6:00	20.388					
44	7/24/2017 7:00	19.389					
45	7/24/2017 8:00	16.82					
46	7/24/2017 9:00	18.985					
47	7/24/2017 10:00	20.484					
48	7/24/2017 11:00	22.034					
49	7/24/2017 12:00	24.895					
50	7/24/2017 13:00	27.998					
51	7/24/2017 14:00	30.722					
52	7/24/2017 15:00	32.639					
53	7/24/2017 16:00	34.071					
54	7/24/2017 17:00	35.208					
55	7/24/2017 18:00	35.662					
56	7/24/2017 19:00	35.288					
57	7/24/2017 20:00	34.519					
58	7/24/2017 21:00	30.571					
59	7/24/2017 22:00	29.04					
60	7/24/2017 23:00	28.742					
61	7/25/2017 0:00	27.481					
62	7/25/2017 1:00	26.793					
63	7/25/2017 2:00	26.256					
64	7/25/2017 3:00	25.817					
65	7/25/2017 4:00	25.453					
66	7/25/2017 5:00	25.162					
67	7/25/2017 6:00	24.919					
68	7/25/2017 7:00	24.677					
69	7/25/2017 8:00	24.026					
70	7/25/2017 9:00	23.448					
71	7/25/2017 10:00	23.016					
72	7/25/2017 11:00	22.944					
73	7/25/2017 12:00	22.968					
74	7/25/2017 13:00	22.944					
75	7/25/2017 14:00	23.04					
76	7/25/2017 15:00	23.088					
77	7/25/2017 16:00	23.112					
78	7/25/2017 17:00	23.16					
79	7/25/2017 18:00	23.232					
80	7/25/2017 19:00	23.472					
81	7/25/2017 20:00	23.472					
82	7/25/2017 21:00	23.4					
83	7/25/2017 22:00	23.352					
84	7/25/2017 23:00	23.376					
85	7/26/2017 0:00	23.352					
86	7/26/2017 1:00	23.328					
87	7/26/2017 2:00	23.352					
88	7/26/2017 3:00	23.376					
89	7/26/2017 4:00	23.376					
90	7/26/2017 5:00	23.376					
91	7/26/2017 6:00	23.352					
92	7/26/2017 7:00	23.304					
93	7/26/2017 8:00	23.256					
94	7/26/2017 9:00	23.304					
95	7/26/2017 10:00	23.208					
96	7/26/2017 11:00	23.088					
97	7/26/2017 12:00	24.992					
98	7/26/2017 13:00	26.134					
99	7/26/2017 14:00	30.293					
100	7/26/2017 15:00	31.459					
101	7/26/2017 16:00	27.604					
102	7/26/2017 17:00	28.171					
103	7/26/2017 18:00	28.048					
104	7/26/2017 19:00	27.974					
105	7/26/2017 20:00	25.963					
106	7/26/2017 21:00	24.653					
107	7/26/2017 22:00	23.665					
108	7/26/2017 23:00	22.944					
109	7/27/2017 0:00	22.345					
110	7/27/2017 1:00	21.628					
111	7/27/2017 2:00	20.889					
112	7/27/2017 3:00	20.269					
113	7/27/2017 4:00	19.627					
114	7/27/2017 5:00	18.985					
115	7/27/2017 6:00	18.343					
116	7/27/2017 7:00	17.772					
117	7/27/2017 8:00	17.249					
118	7/27/2017 9:00	16.915					
119	7/27/2017 10:00	17.677					
120	7/27/2017 11:00	17.701					
121	7/27/2017 12:00	17.962					
122	7/27/2017 13:00	18.366					
123	7/27/2017 14:00	19.008					
124	7/27/2017 15:00	19.698					
125	7/27/2017 16:00	20.436					
126	7/27/2017 17:00	21.079					
127	7/27/2017 18:00	21.557					
128	7/27/2017 19:00	21.843					
129	7/27/2017 20:00	22.298					
130	7/27/2017 21:00	22.226					
131	7/27/2017 22:00	22.082					
132	7/27/2017 23:00	21.748					
133	7/28/2017 0:00	21.27					
134	7/28/2017 1:00	20.817					
135	7/28/2017 2:00	20.293					
136	7/28/2017 3:00	19.603					
137	7/28/2017 4:00	18.937					
138	7/28/2017 5:00	18.39					
139	7/28/2017 6:00	18.033					
140	7/28/2017 7:00	17.653					
141	7/28/2017 8:00	17.344					
142	7/28/2017 9:00	17.177					
143	7/28/2017 10:00	17.058					
144	7/28/2017 11:00	17.011					
145	7/28/2017 12:00	16.939					
146	7/28/2017 13:00	19.436					
147	7/28/2017 14:00	22.321					
148	7/28/2017 15:00	25.113					
149	7/28/2017 16:00	28.593					
150	7/28/2017 17:00	27.579					
151	7/28/2017 18:00	27.063					
152	7/28/2017 19:00	26.646					
153	7/28/2017 20:00	24.412					
154	7/28/2017 21:00	22.896					
155	7/28/2017 22:00	21.079					
156	7/28/2017 23:00	20.698					
157	7/29/2017 0:00	20.055					
158	7/29/2017 1:00	19.056					
159	7/29/2017 2:00	18.295					
160	7/29/2017 3:00	17.701					
161	7/29/2017 4:00	17.249					
162	7/29/2017 5:00	17.011					
163	7/29/2017 6:00	16.939					
164	7/29/2017 7:00	16.701					
165	7/29/2017 8:00	16.392					
166	7/29/2017 9:00	16.32					
167	7/29/2017 10:00	16.773					
168	7/29/2017 11:00	18.961					
169	7/29/2017 12:00	21.485					
170	7/29/2017 13:00	23.136					
171	7/29/2017 14:00	24.75					
172	7/29/2017 15:00	26.134					
173	7/29/2017 16:00	27.014					
174	7/29/2017 17:00	27.825					
175	7/29/2017 18:00	27.751					
176	7/29/2017 19:00	26.598					
177	7/29/2017 20:00	25.331					
178	7/29/2017 21:00	24.291					
179	7/29/2017 22:00	23.28					
180	7/29/2017 23:00	22.011					
181	7/30/2017 0:00	20.555					
182	7/30/2017 1:00	19.08					
183	7/30/2017 2:00	17.677					
184	7/30/2017 3:00	16.344					
185	7/30/2017 4:00	15.127					
186	7/30/2017 5:00	14.026					
187	7/30/2017 6:00	13.016					
188	7/30/2017 7:00	12.098					
189	7/30/2017 8:00	11.321					
190	7/30/2017 9:00	10.81					
191	7/30/2017 10:00	10.932					
192	7/30/2017 11:00	12.098					
193	7/30/2017 12:00	14.385					
194	7/30/2017 13:00	17.344					
195	7/30/2017 14:00	20.174					
196	7/30/2017 15:00	22.561					
197	7/30/2017 16:00	24.677					
198	7/30/2017 17:00	26.744					
199	7/30/2017 18:00	27.875					
200	7/30/2017 19:00	28.568					
201	7/30/2017 20:00	27.85					
202	7/30/2017 21:00	26.989					
203	7/30/2017 22:00	26.207					
204	7/30/2017 23:00	24.992					
205	7/31/2017 0:00	24.363					
206	7/31/2017 1:00	23.905					
207	7/31/2017 2:00	23.521					
208	7/31/2017 3:00	23.136					
209	7/31/2017 4:00	22.824					
210	7/31/2017 5:00	22.537					
211	7/31/2017 6:00	22.274					
212	7/31/2017 7:00	22.034					
213	7/31/2017 8:00	21.819					
214	7/31/2017 9:00	21.676					
215	7/31/2017 10:00	22.106					
216	7/31/2017 11:00	26.28					
217	7/31/2017 12:00	25.963					
218	7/31/2017 13:00	31.689					
219	7/31/2017 14:00	34.413					
