Plot Title: 20155965,,,
"Date Time, GMT-05:00","Temp, °C (LGR S/N: 20155965, SEN S/N: 20155965)",,
7/31/17,1:00:00,PM,7.945
7/31/17,2:00:00,PM,8.045
7/31/17,3:00:00,PM,7.167
7/31/17,4:00:00,PM,5.949
7/31/17,5:00:00,PM,6.763
7/31/17,6:00:00,PM,6.914
7/31/17,7:00:00,PM,6.204
7/31/17,8:00:00,PM,5.975
7/31/17,9:00:00,PM,5.719
7/31/17,10:00:00,PM,5.231
7/31/17,11:00:00,PM,4.844
8/1/17,12:00:00,AM,4.532
8/1/17,1:00:00,AM,4.298
8/1/17,2:00:00,AM,4.115
8/1/17,3:00:00,AM,3.958
8/1/17,4:00:00,AM,3.801
8/1/17,5:00:00,AM,3.696
8/1/17,6:00:00,AM,3.591
8/1/17,7:00:00,AM,3.512
8/1/17,8:00:00,AM,3.617
8/1/17,9:00:00,AM,4.011
8/1/17,10:00:00,AM,4.636
8/1/17,11:00:00,AM,5.462
8/1/17,12:00:00,PM,6.306
8/1/17,1:00:00,PM,7.116
8/1/17,2:00:00,PM,6.889
8/1/17,3:00:00,PM,6.788
8/1/17,4:00:00,PM,7.192
8/1/17,5:00:00,PM,7.015
8/1/17,6:00:00,PM,6.306
8/1/17,7:00:00,PM,6.331
8/1/17,8:00:00,PM,6.026
8/1/17,9:00:00,PM,5.642
8/1/17,10:00:00,PM,5.154
8/1/17,11:00:00,PM,4.895
8/2/17,12:00:00,AM,4.662
8/2/17,1:00:00,AM,4.428
8/2/17,2:00:00,AM,4.22
8/2/17,3:00:00,AM,4.037
8/2/17,4:00:00,AM,3.854
8/2/17,5:00:00,AM,3.722
8/2/17,6:00:00,AM,3.591
8/2/17,7:00:00,AM,3.459
8/2/17,8:00:00,AM,3.459
8/2/17,9:00:00,AM,3.775
8/2/17,10:00:00,AM,4.324
8/2/17,11:00:00,AM,5.102
8/2/17,12:00:00,PM,5.898
8/2/17,1:00:00,PM,6.712
8/2/17,2:00:00,PM,7.494
8/2/17,3:00:00,PM,7.77
8/2/17,4:00:00,PM,7.544
