"Plot Title: 10767834"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 10767834, SEN S/N: 10767834)","Coupler Detached (LGR S/N: 10767834)","Coupler Attached (LGR S/N: 10767834)","Host Connected (LGR S/N: 10767834)","Stopped (LGR S/N: 10767834)","End Of File (LGR S/N: 10767834)"
1,08/05/17 09:02:04 PM,21.032,,,,,
2,08/05/17 09:02:23 PM,,Logged,,,,
3,08/05/17 10:02:04 PM,24.363,,,,,
4,08/05/17 11:02:04 PM,22.824,,,,,
5,08/06/17 12:02:04 AM,18.010,,,,,
6,08/06/17 01:02:04 AM,16.249,,,,,
7,08/06/17 02:02:04 AM,14.936,,,,,
8,08/06/17 03:02:04 AM,13.978,,,,,
9,08/06/17 04:02:04 AM,13.137,,,,,
10,08/06/17 05:02:04 AM,12.268,,,,,
11,08/06/17 06:02:04 AM,11.200,,,,,
12,08/06/17 07:02:04 AM,9.879,,,,,
13,08/06/17 08:02:04 AM,9.534,,,,,
14,08/06/17 09:02:04 AM,12.195,,,,,
15,08/06/17 10:02:04 AM,13.401,,,,,
16,08/06/17 11:02:04 AM,14.361,,,,,
17,08/06/17 12:02:04 PM,16.606,,,,,
18,08/06/17 01:02:04 PM,25.744,,,,,
19,08/06/17 02:02:04 PM,34.281,,,,,
20,08/06/17 03:02:04 PM,38.143,,,,,
21,08/06/17 04:02:04 PM,40.429,,,,,
22,08/06/17 05:02:04 PM,41.942,,,,,
23,08/06/17 06:02:04 PM,42.773,,,,,
24,08/06/17 07:02:04 PM,40.372,,,,,
25,08/06/17 08:02:04 PM,34.863,,,,,
26,08/06/17 09:02:04 PM,27.727,,,,,
27,08/06/17 10:02:04 PM,23.112,,,,,
28,08/06/17 11:02:04 PM,20.460,,,,,
29,08/07/17 12:02:04 AM,18.176,,,,,
30,08/07/17 01:02:04 AM,16.320,,,,,
31,08/07/17 02:02:04 AM,14.721,,,,,
32,08/07/17 03:02:04 AM,13.353,,,,,
33,08/07/17 04:02:04 AM,12.025,,,,,
34,08/07/17 05:02:04 AM,10.834,,,,,
35,08/07/17 06:02:04 AM,9.829,,,,,
36,08/07/17 07:02:04 AM,9.829,,,,,
37,08/07/17 08:02:04 AM,12.219,,,,,
38,08/07/17 09:02:04 AM,17.011,,,,,
39,08/07/17 10:02:04 AM,22.106,,,,,
40,08/07/17 11:02:04 AM,23.569,,,,,
41,08/07/17 12:02:04 PM,26.207,,,,,
42,08/07/17 01:02:04 PM,26.769,,,,,
43,08/07/17 02:02:04 PM,28.221,,,,,
44,08/07/17 03:02:04 PM,28.295,,,,,
45,08/07/17 04:02:04 PM,29.065,,,,,
46,08/07/17 05:02:04 PM,32.562,,,,,
47,08/07/17 06:02:04 PM,32.872,,,,,
48,08/07/17 07:02:04 PM,29.439,,,,,
49,08/07/17 08:02:04 PM,24.992,,,,,
50,08/07/17 09:02:04 PM,23.785,,,,,
51,08/07/17 10:02:04 PM,21.819,,,,,
52,08/07/17 11:02:04 PM,19.960,,,,,
53,08/08/17 12:02:04 AM,20.841,,,,,
54,08/08/17 01:02:04 AM,19.508,,,,,
55,08/08/17 02:02:04 AM,17.867,,,,,
56,08/08/17 03:02:04 AM,16.582,,,,,
57,08/08/17 04:02:04 AM,15.342,,,,,
58,08/08/17 05:02:04 AM,14.266,,,,,
59,08/08/17 06:02:04 AM,13.738,,,,,
60,08/08/17 07:02:04 AM,13.185,,,,,
61,08/08/17 08:02:04 AM,13.594,,,,,
62,08/08/17 09:02:04 AM,14.529,,,,,
63,08/08/17 10:02:04 AM,15.843,,,,,
64,08/08/17 11:02:04 AM,16.534,,,,,
65,08/08/17 12:02:04 PM,16.773,,,,,
66,08/08/17 01:02:04 PM,16.868,,,,,
67,08/08/17 02:02:04 PM,12.268,,,,,
68,08/08/17 03:02:04 PM,7.494,,,,,
69,08/08/17 04:02:04 PM,10.663,,,,,
70,08/08/17 05:02:04 PM,2.903,,,,,
71,08/08/17 06:02:04 PM,2.877,,,,,
72,08/08/17 07:02:04 PM,2.823,,,,,
73,08/08/17 08:02:04 PM,2.797,,,,,
74,08/08/17 09:02:04 PM,2.770,,,,,
75,08/08/17 10:02:04 PM,2.744,,,,,
76,08/08/17 11:02:04 PM,2.717,,,,,
77,08/09/17 12:02:04 AM,2.690,,,,,
78,08/09/17 01:02:04 AM,2.664,,,,,
79,08/09/17 02:02:04 AM,2.637,,,,,
80,08/09/17 03:02:04 AM,2.637,,,,,
81,08/09/17 04:02:04 AM,2.610,,,,,
82,08/09/17 05:02:04 AM,2.610,,,,,
83,08/09/17 06:02:04 AM,2.610,,,,,
84,08/09/17 07:02:04 AM,2.610,,,,,
85,08/09/17 08:02:04 AM,2.823,,,,,
86,08/09/17 09:02:04 AM,2.903,,,,,
87,08/09/17 10:02:04 AM,3.063,,,,,
88,08/09/17 11:02:04 AM,3.168,,,,,
89,08/09/17 12:02:04 PM,3.036,,,,,
90,08/09/17 01:02:04 PM,3.089,,,,,
91,08/09/17 02:02:04 PM,3.168,,,,,
92,08/09/17 03:02:04 PM,3.089,,,,,
93,08/09/17 04:02:04 PM,3.036,,,,,
94,08/09/17 05:02:04 PM,2.983,,,,,
95,08/09/17 06:02:04 PM,2.877,,,,,
96,08/09/17 07:02:04 PM,2.903,,,,,
97,08/09/17 08:02:04 PM,2.850,,,,,
98,08/09/17 09:02:04 PM,2.770,,,,,
99,08/09/17 10:02:04 PM,2.690,,,,,
100,08/09/17 11:02:04 PM,2.637,,,,,
101,08/10/17 12:02:04 AM,2.637,,,,,
102,08/10/17 01:02:04 AM,2.637,,,,,
103,08/10/17 02:02:04 AM,2.584,,,,,
104,08/10/17 03:02:04 AM,2.584,,,,,
105,08/10/17 04:02:04 AM,2.557,,,,,
106,08/10/17 05:02:04 AM,2.557,,,,,
107,08/10/17 06:02:04 AM,2.557,,,,,
108,08/10/17 07:02:04 AM,2.584,,,,,
109,08/10/17 08:02:04 AM,2.690,,,,,
110,08/10/17 09:02:04 AM,2.823,,,,,
111,08/10/17 10:02:04 AM,2.903,,,,,
112,08/10/17 11:02:04 AM,2.877,,,,,
113,08/10/17 12:02:04 PM,2.850,,,,,
114,08/10/17 01:02:04 PM,2.823,,,,,
115,08/10/17 02:02:04 PM,2.770,,,,,
116,08/10/17 03:02:04 PM,2.744,,,,,
117,08/10/17 04:02:04 PM,2.717,,,,,
118,08/10/17 05:02:04 PM,2.690,,,,,
119,08/10/17 06:02:04 PM,2.664,,,,,
120,08/10/17 07:02:04 PM,2.664,,,,,
121,08/10/17 08:02:04 PM,2.664,,,,,
122,08/10/17 09:02:04 PM,2.637,,,,,
123,08/10/17 10:02:04 PM,2.584,,,,,
124,08/10/17 11:02:04 PM,2.584,,,,,
125,08/11/17 12:02:04 AM,2.610,,,,,
126,08/11/17 01:02:04 AM,2.610,,,,,
127,08/11/17 02:02:04 AM,2.610,,,,,
128,08/11/17 03:02:04 AM,2.584,,,,,
129,08/11/17 04:02:04 AM,2.610,,,,,
130,08/11/17 05:02:04 AM,2.610,,,,,
131,08/11/17 06:02:04 AM,2.584,,,,,
132,08/11/17 07:02:04 AM,2.610,,,,,
133,08/11/17 08:02:04 AM,2.770,,,,,
134,08/11/17 09:02:04 AM,2.903,,,,,
135,08/11/17 10:02:04 AM,3.009,,,,,
136,08/11/17 11:02:04 AM,3.036,,,,,
137,08/11/17 12:02:04 PM,3.089,,,,,
138,08/11/17 01:02:04 PM,3.142,,,,,
139,08/11/17 02:02:04 PM,3.168,,,,,
140,08/11/17 03:02:04 PM,3.116,,,,,
141,08/11/17 04:02:04 PM,3.116,,,,,
142,08/11/17 05:02:04 PM,3.009,,,,,
143,08/11/17 06:02:04 PM,2.956,,,,,
144,08/11/17 07:02:04 PM,2.983,,,,,
145,08/11/17 08:02:04 PM,2.877,,,,,
146,08/11/17 09:02:04 PM,2.770,,,,,
147,08/11/17 10:02:04 PM,2.690,,,,,
148,08/11/17 11:02:04 PM,2.664,,,,,
149,08/12/17 12:02:04 AM,2.664,,,,,
150,08/12/17 01:02:04 AM,2.690,,,,,
151,08/12/17 02:02:04 AM,2.664,,,,,
152,08/12/17 03:02:04 AM,2.690,,,,,
153,08/12/17 04:02:04 AM,2.690,,,,,
154,08/12/17 05:02:04 AM,2.637,,,,,
155,08/12/17 06:02:04 AM,2.637,,,,,
156,08/12/17 07:02:04 AM,2.690,,,,,
157,08/12/17 08:02:04 AM,2.850,,,,,
158,08/12/17 09:02:04 AM,2.903,,,,,
159,08/12/17 10:02:04 AM,3.036,,,,,
160,08/12/17 11:02:04 AM,3.009,,,,,
161,08/12/17 12:02:04 PM,2.983,,,,,
162,08/12/17 01:02:04 PM,3.089,,,,,
163,08/12/17 02:02:04 PM,3.089,,,,,
164,08/12/17 03:02:04 PM,3.036,,,,,
165,08/12/17 04:02:04 PM,3.063,,,,,
166,08/12/17 05:02:04 PM,3.036,,,,,
167,08/12/17 06:02:04 PM,2.956,,,,,
