Plot Title: 10972590							
#	"Date Time, GMT-06:00"	"Temp, °C (LGR S/N: 10972590, SEN S/N: 10972590)"	Coupler Detached (LGR S/N: 10972590)	Coupler Attached (LGR S/N: 10972590)	Host Connected (LGR S/N: 10972590)	Stopped (LGR S/N: 10972590)	End Of File (LGR S/N: 10972590)
1	8/2/2018 8:24	13.93					
2	8/2/2018 8:24		Logged				
3	8/2/2018 9:24	14.194					
4	8/2/2018 10:24	17.962					
5	8/2/2018 11:24	19.698					
6	8/2/2018 12:24	20.746					
7	8/2/2018 13:24	35.235					
8	8/2/2018 14:24	52.059					
9	8/2/2018 15:24	35.102					
10	8/2/2018 16:24	2.128					
11	8/2/2018 17:24	1.967					
12	8/2/2018 18:24	1.967					
13	8/2/2018 19:24	1.886					
14	8/2/2018 20:24	1.778					
15	8/2/2018 21:24	1.724					
16	8/2/2018 22:24	1.615					
17	8/2/2018 23:24	1.615					
18	8/3/2018 0:24	1.588					
19	8/3/2018 1:24	1.534					
20	8/3/2018 2:24	1.534					
21	8/3/2018 3:24	1.534					
22	8/3/2018 4:24	1.534					
23	8/3/2018 5:24	1.48					
24	8/3/2018 6:24	1.453					
25	8/3/2018 7:24	1.534					
26	8/3/2018 8:24	1.615					
27	8/3/2018 9:24	1.778					
28	8/3/2018 10:24	2.155					
29	8/3/2018 11:24	2.45					
30	8/3/2018 12:24	2.53					
31	8/3/2018 13:24	2.343					
32	8/3/2018 14:24	2.316					
33	8/3/2018 15:24	2.209					
34	8/3/2018 16:24	1.994					
35	8/3/2018 17:24	1.778					
36	8/3/2018 18:24	1.67					
37	8/3/2018 19:24	1.615					
38	8/3/2018 20:24	1.561					
39	8/3/2018 21:24	1.507					
40	8/3/2018 22:24	1.425					
41	8/3/2018 23:24	1.398					
42	8/4/2018 0:24	1.371					
43	8/4/2018 1:24	1.344					
44	8/4/2018 2:24	1.317					
45	8/4/2018 3:24	1.289					
46	8/4/2018 4:24	1.289					
47	8/4/2018 5:24	1.289					
48	8/4/2018 6:24	1.262					
49	8/4/2018 7:24	1.289					
50	8/4/2018 8:24	1.398					
51	8/4/2018 9:24	1.588					
52	8/4/2018 10:24	1.832					
53	8/4/2018 11:24	2.074					
54	8/4/2018 12:24	2.262					
55	8/4/2018 13:24	2.316					
56	8/4/2018 14:24	2.289					
57	8/4/2018 15:24	2.155					
58	8/4/2018 16:24	1.94					
59	8/4/2018 17:24	1.724					
60	8/4/2018 18:24	1.588					
61	8/4/2018 19:24	1.534					
62	8/4/2018 20:24	1.453					
63	8/4/2018 21:24	1.453					
64	8/4/2018 22:24	1.425					
65	8/4/2018 23:24	1.398					
66	8/5/2018 0:24	1.425					
67	8/5/2018 1:24	1.398					
68	8/5/2018 2:24	1.398					
69	8/5/2018 3:24	1.425					
70	8/5/2018 4:24	1.453					
71	8/5/2018 5:24	1.453					
72	8/5/2018 6:24	1.48					
73	8/5/2018 7:24	1.507					
74	8/5/2018 8:24	1.507					
75	8/5/2018 9:24	1.561					
76	8/5/2018 10:24	1.588					
77	8/5/2018 11:24	1.913					
78	8/5/2018 12:24	2.047					
79	8/5/2018 13:24	2.262					
80	8/5/2018 14:24	1.994					
81	8/5/2018 15:24	1.886					
82	8/5/2018 16:24	1.94					
83	8/5/2018 17:24	1.805					
84	8/5/2018 18:24	1.67					
85	8/5/2018 19:24	1.588					
86	8/5/2018 20:24	1.507					
87	8/5/2018 21:24	1.48					
88	8/5/2018 22:24	1.453					
89	8/5/2018 23:24	1.453					
90	8/6/2018 0:24	1.48					
91	8/6/2018 1:24	1.425					
92	8/6/2018 2:24	1.453					
93	8/6/2018 3:24	1.398					
94	8/6/2018 4:24	1.398					
95	8/6/2018 5:24	1.425					
96	8/6/2018 6:24	1.398					
97	8/6/2018 7:24	1.425					
98	8/6/2018 8:24	1.534					
99	8/6/2018 9:24	1.778					
100	8/6/2018 10:24	2.128					
101	8/6/2018 11:24	2.396					
102	8/6/2018 12:24	2.423					
103	8/6/2018 13:24	2.423					
104	8/6/2018 14:24	2.289					
105	8/6/2018 15:24	2.236					
106	8/6/2018 16:24	1.994					
107	8/6/2018 17:24	1.778					
108	8/6/2018 18:24	1.643					
109	8/6/2018 19:24	1.588					
110	8/6/2018 20:24	1.561					
111	8/6/2018 21:24	1.561					
112	8/6/2018 22:24	1.534					
113	8/6/2018 23:24	1.48					
114	8/7/2018 0:24	1.453					
115	8/7/2018 1:24	1.425					
116	8/7/2018 2:24	1.398					
117	8/7/2018 3:24	1.398					
118	8/7/2018 4:24	1.398					
119	8/7/2018 5:24	1.398					
120	8/7/2018 6:24	1.371					
121	8/7/2018 7:24	1.425					
122	8/7/2018 8:24	1.534					
123	8/7/2018 9:24	1.778					
124	8/7/2018 10:24	2.128					
125	8/7/2018 11:24	2.423					
126	8/7/2018 12:24	2.53					
127	8/7/2018 13:24	2.477					
128	8/7/2018 14:24	2.503					
129	8/7/2018 15:24	2.316					
130	8/7/2018 16:24	2.021					
131	8/7/2018 17:24	1.832					
132	8/7/2018 18:24	1.643					
133	8/7/2018 19:24	1.615					
134	8/7/2018 20:24	1.561					
135	8/7/2018 21:24	1.507					
136	8/7/2018 22:24	1.507					
137	8/7/2018 23:24	1.48					
138	8/8/2018 0:24	1.48					
139	8/8/2018 1:24	1.453					
140	8/8/2018 2:24	1.453					
141	8/8/2018 3:24	1.453					
142	8/8/2018 4:24	1.453					
143	8/8/2018 5:24	1.453					
144	8/8/2018 6:24	1.453					
145	8/8/2018 7:24	1.48					
146	8/8/2018 8:24	1.561					
147	8/8/2018 9:24	1.751					
148	8/8/2018 10:24	2.047					
149	8/8/2018 11:24	2.343					
150	8/8/2018 12:24	2.503					
151	8/8/2018 13:24	2.503					
152	8/8/2018 14:24	2.477					
153	8/8/2018 15:24	2.262					
154	8/8/2018 16:24	1.994					
155	8/8/2018 17:24	1.778					
156	8/8/2018 18:24	1.67					
157	8/8/2018 19:24	1.615					
158	8/8/2018 20:24	1.588					
159	8/8/2018 21:24	1.561					
160	8/8/2018 22:24	1.534					
161	8/8/2018 23:24	1.507					
162	8/9/2018 0:24	1.507					
163	8/9/2018 1:24	1.507					
164	8/9/2018 2:24	1.48					
165	8/9/2018 3:24	1.507					
166	8/9/2018 4:24	1.48					
167	8/9/2018 5:24	1.48					
168	8/9/2018 6:24	1.453					
169	8/9/2018 7:24	1.48					
170	8/9/2018 8:24	1.561					
171	8/9/2018 9:24	1.805					
172	8/9/2018 10:24	2.101					
173	8/9/2018 11:24	2.37					
174	8/9/2018 12:24	2.45					
175	8/9/2018 13:24	2.45					
176	8/9/2018 14:24	2.396					
177	8/9/2018 15:24	2.262					
178	8/9/2018 16:24	1.994					
179	8/9/2018 17:24	1.778					
180	8/9/2018 18:24	1.643					
181	8/9/2018 19:24	1.615					
182	8/9/2018 20:24	1.615					
183	8/9/2018 21:24	1.615					
184	8/9/2018 22:24	1.561					
185	8/9/2018 23:24	1.561					
