"Plot Title: 20155865"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20155865, SEN S/N: 20155865)","Coupler Detached (LGR S/N: 20155865)","Coupler Attached (LGR S/N: 20155865)","Host Connected (LGR S/N: 20155865)","Stopped (LGR S/N: 20155865)","End Of File (LGR S/N: 20155865)"
1,08/03/18 08:07:15 AM,11.686,,,,,
2,08/03/18 08:07:37 AM,,Logged,,,,
3,08/03/18 09:07:15 AM,20.150,,,,,
4,08/03/18 10:07:15 AM,17.486,,,,,
5,08/03/18 11:07:15 AM,18.033,,,,,
6,08/03/18 12:07:15 PM,20.746,,,,,
7,08/03/18 01:07:15 PM,28.866,,,,,
8,08/03/18 02:07:15 PM,31.103,,,,,
9,08/03/18 03:07:15 PM,30.192,,,,,
10,08/03/18 04:07:15 PM,28.816,,,,,
11,08/03/18 05:07:15 PM,27.112,,,,,
12,08/03/18 06:07:15 PM,22.250,,,,,
13,08/03/18 07:07:15 PM,15.819,,,,,
14,08/03/18 08:07:15 PM,13.738,,,,,
15,08/03/18 09:07:15 PM,13.040,,,,,
16,08/03/18 10:07:15 PM,12.751,,,,,
17,08/03/18 11:07:15 PM,12.268,,,,,
18,08/04/18 12:07:15 AM,11.492,,,,,
19,08/04/18 01:07:15 AM,10.810,,,,,
20,08/04/18 02:07:15 AM,10.296,,,,,
21,08/04/18 03:07:15 AM,8.792,,,,,
22,08/04/18 04:07:15 AM,7.343,,,,,
23,08/04/18 05:07:15 AM,6.382,,,,,
24,08/04/18 06:07:15 AM,5.847,,,,,
25,08/04/18 07:07:15 AM,6.484,,,,,
26,08/04/18 08:07:15 AM,9.780,,,,,
27,08/04/18 09:07:15 AM,14.337,,,,,
28,08/04/18 10:07:15 AM,21.103,,,,,
29,08/04/18 11:07:15 AM,21.413,,,,,
30,08/04/18 12:07:15 PM,21.915,,,,,
31,08/04/18 01:07:15 PM,22.202,,,,,
32,08/04/18 02:07:15 PM,19.936,,,,,
33,08/04/18 03:07:15 PM,15.986,,,,,
34,08/04/18 04:07:15 PM,18.105,,,,,
35,08/04/18 05:07:15 PM,19.341,,,,,
36,08/04/18 06:07:15 PM,20.817,,,,,
37,08/04/18 07:07:15 PM,17.391,,,,,
38,08/04/18 08:07:15 PM,8.593,,,,,
39,08/04/18 09:07:15 PM,6.585,,,,,
40,08/04/18 10:07:15 PM,5.437,,,,,
41,08/04/18 11:07:15 PM,4.636,,,,,
42,08/05/18 12:07:15 AM,4.220,,,,,
43,08/05/18 01:07:15 AM,3.985,,,,,
44,08/05/18 02:07:15 AM,3.749,,,,,
45,08/05/18 03:07:15 AM,3.854,,,,,
46,08/05/18 04:07:15 AM,3.906,,,,,
47,08/05/18 05:07:15 AM,3.932,,,,,
48,08/05/18 06:07:15 AM,3.801,,,,,
49,08/05/18 07:07:15 AM,3.827,,,,,
50,08/05/18 08:07:15 AM,3.880,,,,,
51,08/05/18 09:07:15 AM,4.141,,,,,
52,08/05/18 10:07:15 AM,4.973,,,,,
53,08/05/18 11:07:15 AM,5.514,,,,,
54,08/05/18 12:07:15 PM,7.619,,,,,
55,08/05/18 01:07:15 PM,9.435,,,,,
56,08/05/18 02:07:15 PM,11.321,,,,,
57,08/05/18 03:07:15 PM,11.734,,,,,
58,08/05/18 04:07:15 PM,11.248,,,,,
59,08/05/18 05:07:15 PM,11.127,,,,,
60,08/05/18 06:07:15 PM,10.467,,,,,
61,08/05/18 07:07:15 PM,9.386,,,,,
62,08/05/18 08:07:15 PM,7.895,,,,,
63,08/05/18 09:07:15 PM,6.331,,,,,
64,08/05/18 10:07:15 PM,5.360,,,,,
65,08/05/18 11:07:15 PM,4.584,,,,,
66,08/06/18 12:07:15 AM,4.480,,,,,
67,08/06/18 01:07:15 AM,4.115,,,,,
68,08/06/18 02:07:15 AM,3.827,,,,,
69,08/06/18 03:07:15 AM,3.591,,,,,
70,08/06/18 04:07:15 AM,3.221,,,,,
71,08/06/18 05:07:15 AM,3.063,,,,,
72,08/06/18 06:07:15 AM,2.797,,,,,
73,08/06/18 07:07:15 AM,2.664,,,,,
