Serial Number:20425024 --,,,,,
,,,,,
Date Time - GMT -07:00,"Temp, (*F)",Button Down,Button Up,Host Connect,EOF
7/27/18 22:30,77.25, , , , 
7/27/18 22:45,78.64, , , , 
7/27/18 22:58, ,Logged,Logged, , 
7/27/18 23:00,56.32, , , , 
7/27/18 23:15,45.82, , , , 
7/27/18 23:30,45.12, , , , 
7/27/18 23:45,45.28, , , , 
7/28/18 0:00,45.05, , , , 
7/28/18 0:15,44.89, , , , 
7/28/18 0:30,44.74, , , , 
7/28/18 0:45,44.66, , , , 
7/28/18 1:00,44.5, , , , 
7/28/18 1:15,44.27, , , , 
7/28/18 1:30,44.2, , , , 
7/28/18 1:45,43.96, , , , 
7/28/18 2:00,43.81, , , , 
7/28/18 2:15,43.66, , , , 
7/28/18 2:30,43.58, , , , 
7/28/18 2:45,43.42, , , , 
7/28/18 3:00,43.27, , , , 
7/28/18 3:15,43.19, , , , 
7/28/18 3:30,43.04, , , , 
7/28/18 3:45,43.04, , , , 
7/28/18 4:00,42.96, , , , 
7/28/18 4:15,42.88, , , , 
7/28/18 4:30,42.88, , , , 
7/28/18 4:45,42.81, , , , 
7/28/18 5:00,42.73, , , , 
7/28/18 5:15,42.65, , , , 
7/28/18 5:30,42.65, , , , 
7/28/18 5:45,42.65, , , , 
7/28/18 6:00,42.57, , , , 
7/28/18 6:15,42.57, , , , 
7/28/18 6:30,42.5, , , , 
7/28/18 6:45,42.5, , , , 
7/28/18 7:00,42.42, , , , 
7/28/18 7:15,42.5, , , , 
7/28/18 7:30,42.34, , , , 
7/28/18 7:45,42.27, , , , 
7/28/18 8:00,42.27, , , , 
7/28/18 8:15,42.34, , , , 
7/28/18 8:30,42.57, , , , 
7/28/18 8:45,45.28, , , , 
7/28/18 9:00,45.59, , , , 
7/28/18 9:15,45.51, , , , 
7/28/18 9:30,44.74, , , , 
7/28/18 9:45,43.81, , , , 
7/28/18 10:00,42.96, , , , 
7/28/18 10:15,42.03, , , , 
7/28/18 10:30,41.18, , , , 
7/28/18 10:45,40.26, , , , 
7/28/18 11:00,39.64, , , , 
7/28/18 11:15,39.1, , , , 
7/28/18 11:30,37.94, , , , 
7/28/18 11:45,37.09, , , , 
7/28/18 12:00,34.77, , , , 
7/28/18 12:15,34.7, , , , 
7/28/18 12:30,39.72, , , , 
7/28/18 12:45,40.64, , , , 
7/28/18 13:00,40.64, , , , 
7/28/18 13:15,41.18, , , , 
7/28/18 13:30,41.18, , , , 
7/28/18 13:45,41.11, , , , 
7/28/18 14:00,40.95, , , , 
7/28/18 14:15,40.88, , , , 
7/28/18 14:30,40.88, , , , 
7/28/18 14:45,40.95, , , , 
7/28/18 15:00,40.8, , , , 
7/28/18 15:15,40.88, , , , 
7/28/18 15:30,41.11, , , , 
7/28/18 15:45,41.11, , , , 
7/28/18 16:00,41.11, , , , 
7/28/18 16:15,41.26, , , , 
7/28/18 16:30,41.26, , , , 
7/28/18 16:45,41.18, , , , 
7/28/18 17:00,41.42, , , , 
7/28/18 17:15,41.57, , , , 
7/28/18 17:30,41.57, , , , 
7/28/18 17:45,41.42, , , , 
7/28/18 18:00,41.72, , , , 
7/28/18 18:15,41.65, , , , 
7/28/18 18:30,41.65, , , , 
7/28/18 18:45,41.88, , , , 
7/28/18 19:00,42.03, , , , 
7/28/18 19:15,41.88, , , , 
7/28/18 19:30,41.96, , , , 
7/28/18 19:45,42.03, , , , 
7/28/18 20:00,42.11, , , , 
7/28/18 20:15,42.34, , , , 
7/28/18 20:30,42.5, , , , 
7/28/18 20:45,42.42, , , , 
7/28/18 21:00,42.34, , , , 
7/28/18 21:15,42.34, , , , 
7/28/18 21:30,42.57, , , , 
7/28/18 21:45,42.34, , , , 
7/28/18 22:00,42.42, , , , 
7/28/18 22:15,42.5, , , , 
7/28/18 22:30,42.42, , , , 
7/28/18 22:45,42.5, , , , 
7/28/18 23:00,42.57, , , , 
7/28/18 23:15,42.5, , , , 
7/28/18 23:30,42.57, , , , 
7/28/18 23:45,42.65, , , , 
7/29/18 0:00,42.5, , , , 
7/29/18 0:15,42.65, , , , 
7/29/18 0:30,42.73, , , , 
7/29/18 0:45,42.57, , , , 
7/29/18 1:00,42.65, , , , 
7/29/18 1:15,42.65, , , , 
7/29/18 1:30,42.57, , , , 
7/29/18 1:45,42.57, , , , 
7/29/18 2:00,42.65, , , , 
7/29/18 2:15,42.57, , , , 
7/29/18 2:30,42.57, , , , 
7/29/18 2:45,42.65, , , , 
7/29/18 3:00,42.65, , , , 
7/29/18 3:15,42.65, , , , 
7/29/18 3:30,42.57, , , , 
7/29/18 3:45,42.65, , , , 
7/29/18 4:00,42.57, , , , 
7/29/18 4:15,42.57, , , , 
7/29/18 4:30,42.73, , , , 
7/29/18 4:45,42.57, , , , 
7/29/18 5:00,42.57, , , , 
7/29/18 5:15,42.65, , , , 
7/29/18 5:30,42.57, , , , 
7/29/18 5:45,42.57, , , , 
7/29/18 6:00,42.65, , , , 
7/29/18 6:15,42.73, , , , 
7/29/18 6:30,42.57, , , , 
7/29/18 6:45,42.65, , , , 
7/29/18 7:00,42.73, , , , 
7/29/18 7:15,42.57, , , , 
7/29/18 7:30,42.65, , , , 
7/29/18 7:45,42.65, , , , 
7/29/18 8:00,42.73, , , , 
7/29/18 8:15,42.65, , , , 
7/29/18 8:30,42.65, , , , 
