"Plot Title: 10972588"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 10972588, SEN S/N: 10972588)","Coupler Detached (LGR S/N: 10972588)","Coupler Attached (LGR S/N: 10972588)","Host Connected (LGR S/N: 10972588)","Stopped (LGR S/N: 10972588)","End Of File (LGR S/N: 10972588)"
1,08/02/18 08:21:24 AM,15.915,,,,,
2,08/02/18 08:22:10 AM,,Logged,,,,
3,08/02/18 09:21:24 AM,14.026,,,,,
4,08/02/18 10:21:24 AM,15.629,,,,,
5,08/02/18 11:21:24 AM,15.366,,,,,
6,08/02/18 12:21:24 PM,17.653,,,,,
7,08/02/18 01:21:24 PM,20.198,,,,,
8,08/02/18 02:21:24 PM,23.112,,,,,
9,08/02/18 03:21:24 PM,2.930,,,,,
10,08/02/18 04:21:24 PM,2.850,,,,,
11,08/02/18 05:21:24 PM,2.637,,,,,
12,08/02/18 06:21:24 PM,2.370,,,,,
13,08/02/18 07:21:24 PM,2.155,,,,,
14,08/02/18 08:21:24 PM,1.940,,,,,
15,08/02/18 09:21:24 PM,1.805,,,,,
16,08/02/18 10:21:24 PM,1.697,,,,,
17,08/02/18 11:21:24 PM,1.534,,,,,
18,08/03/18 12:21:24 AM,1.561,,,,,
19,08/03/18 01:21:24 AM,1.480,,,,,
20,08/03/18 02:21:24 AM,1.534,,,,,
21,08/03/18 03:21:24 AM,1.507,,,,,
22,08/03/18 04:21:24 AM,1.480,,,,,
23,08/03/18 05:21:24 AM,1.398,,,,,
24,08/03/18 06:21:24 AM,1.480,,,,,
25,08/03/18 07:21:24 AM,1.615,,,,,
26,08/03/18 08:21:24 AM,1.724,,,,,
27,08/03/18 09:21:24 AM,2.316,,,,,
28,08/03/18 10:21:24 AM,3.116,,,,,
29,08/03/18 11:21:24 AM,3.406,,,,,
30,08/03/18 12:21:24 PM,3.485,,,,,
31,08/03/18 01:21:24 PM,2.717,,,,,
32,08/03/18 02:21:24 PM,2.823,,,,,
33,08/03/18 03:21:24 PM,2.797,,,,,
34,08/03/18 04:21:24 PM,2.289,,,,,
35,08/03/18 05:21:24 PM,1.751,,,,,
36,08/03/18 06:21:24 PM,1.670,,,,,
37,08/03/18 07:21:24 PM,1.561,,,,,
38,08/03/18 08:21:24 PM,1.398,,,,,
39,08/03/18 09:21:24 PM,1.208,,,,,
40,08/03/18 10:21:24 PM,1.126,,,,,
41,08/03/18 11:21:24 PM,1.099,,,,,
42,08/04/18 12:21:24 AM,1.044,,,,,
43,08/04/18 01:21:24 AM,1.017,,,,,
44,08/04/18 02:21:24 AM,0.989,,,,,
45,08/04/18 03:21:24 AM,1.017,,,,,
46,08/04/18 04:21:24 AM,1.017,,,,,
47,08/04/18 05:21:24 AM,0.962,,,,,
48,08/04/18 06:21:24 AM,0.962,,,,,
49,08/04/18 07:21:24 AM,0.989,,,,,
50,08/04/18 08:21:24 AM,1.235,,,,,
51,08/04/18 09:21:24 AM,1.805,,,,,
52,08/04/18 10:21:24 AM,2.289,,,,,
53,08/04/18 11:21:24 AM,2.637,,,,,
54,08/04/18 12:21:24 PM,2.797,,,,,
55,08/04/18 01:21:24 PM,2.850,,,,,
56,08/04/18 02:21:24 PM,2.744,,,,,
57,08/04/18 03:21:24 PM,2.530,,,,,
58,08/04/18 04:21:24 PM,2.101,,,,,
59,08/04/18 05:21:24 PM,1.561,,,,,
60,08/04/18 06:21:24 PM,1.398,,,,,
61,08/04/18 07:21:24 PM,1.289,,,,,
62,08/04/18 08:21:24 PM,1.180,,,,,
