"Plot Title: 20155967"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20155967, SEN S/N: 20155967)","Coupler Detached (LGR S/N: 20155967)","Coupler Attached (LGR S/N: 20155967)","Host Connected (LGR S/N: 20155967)","Stopped (LGR S/N: 20155967)","End Of File (LGR S/N: 20155967)"
1,06/24/19 04:16:05 PM,22.513,,,,,
2,06/24/19 04:16:25 PM,,Logged,,,,
3,06/24/19 05:16:05 PM,22.345,,,,,
4,06/24/19 06:16:05 PM,22.034,,,,,
5,06/24/19 07:16:05 PM,21.819,,,,,
6,06/24/19 08:16:05 PM,21.581,,,,,
7,06/24/19 09:16:05 PM,21.413,,,,,
8,06/24/19 10:16:05 PM,21.318,,,,,
9,06/24/19 11:16:05 PM,21.246,,,,,
10,06/25/19 12:16:05 AM,21.151,,,,,
11,06/25/19 01:16:05 AM,21.032,,,,,
12,06/25/19 02:16:05 AM,20.960,,,,,
13,06/25/19 03:16:05 AM,20.936,,,,,
14,06/25/19 04:16:05 AM,20.913,,,,,
15,06/25/19 05:16:05 AM,20.889,,,,,
16,06/25/19 06:16:05 AM,20.865,,,,,
17,06/25/19 07:16:05 AM,21.008,,,,,
18,06/25/19 08:16:05 AM,21.318,,,,,
19,06/25/19 09:16:05 AM,21.485,,,,,
20,06/25/19 10:16:05 AM,21.533,,,,,
21,06/25/19 11:16:05 AM,21.557,,,,,
22,06/25/19 12:16:05 PM,22.154,,,,,
23,06/25/19 01:16:05 PM,21.772,,,,,
24,06/25/19 02:16:05 PM,21.199,,,,,
25,06/25/19 03:16:05 PM,20.793,,,,,
26,06/25/19 04:16:05 PM,22.345,,,,,
27,06/25/19 05:16:05 PM,22.154,,,,,
28,06/25/19 06:16:05 PM,21.795,,,,,
29,06/25/19 07:16:05 PM,21.557,,,,,
30,06/25/19 08:16:05 PM,21.151,,,,,
31,06/25/19 09:16:05 PM,20.722,,,,,
32,06/25/19 10:16:05 PM,20.436,,,,,
33,06/25/19 11:16:05 PM,20.222,,,,,
34,06/26/19 12:16:05 AM,20.031,,,,,
35,06/26/19 01:16:05 AM,19.888,,,,,
36,06/26/19 02:16:05 AM,19.151,,,,,
37,06/26/19 03:16:05 AM,18.414,,,,,
38,06/26/19 04:16:05 AM,17.653,,,,,
39,06/26/19 05:16:05 AM,17.201,,,,,
40,06/26/19 06:16:05 AM,16.987,,,,,
41,06/26/19 07:16:05 AM,16.773,,,,,
42,06/26/19 08:16:05 AM,17.249,,,,,
43,06/26/19 09:16:05 AM,18.652,,,,,
44,06/26/19 10:16:05 AM,20.079,,,,,
45,06/26/19 11:16:05 AM,22.753,,,,,
