"Plot Title: 20571725"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20571725, SEN S/N: 20571725)","Coupler Detached (LGR S/N: 20571725)","Coupler Attached (LGR S/N: 20571725)","Host Connected (LGR S/N: 20571725)","Stopped (LGR S/N: 20571725)","End Of File (LGR S/N: 20571725)"
1,07/27/19 06:38:29 PM,25.574,,,,,
2,07/27/19 06:38:46 PM,,Logged,,,,
3,07/27/19 07:38:29 PM,27.308,,,,,
4,07/27/19 08:38:29 PM,26.916,,,,,
5,07/27/19 09:38:29 PM,26.036,,,,,
6,07/27/19 10:38:29 PM,23.521,,,,,
7,07/27/19 11:38:29 PM,21.748,,,,,
8,07/28/19 12:38:29 AM,20.007,,,,,
9,07/28/19 01:38:29 AM,18.319,,,,,
10,07/28/19 02:38:29 AM,16.725,,,,,
11,07/28/19 03:38:29 AM,15.223,,,,,
12,07/28/19 04:38:29 AM,13.810,,,,,
13,07/28/19 05:38:29 AM,12.582,,,,,
14,07/28/19 06:38:29 AM,11.467,,,,,
15,07/28/19 07:38:29 AM,10.614,,,,,
16,07/28/19 08:38:29 AM,13.714,,,,,
17,07/28/19 09:38:29 AM,15.915,,,,,
18,07/28/19 10:38:29 AM,17.748,,,,,
19,07/28/19 11:38:29 AM,18.985,,,,,
20,07/28/19 12:38:29 PM,4.428,,,,,
21,07/28/19 01:38:29 PM,2.690,,,,,
22,07/28/19 02:38:29 PM,2.637,,,,,
23,07/28/19 03:38:29 PM,2.450,,,,,
24,07/28/19 04:38:29 PM,2.182,,,,,
25,07/28/19 05:38:29 PM,1.940,,,,,
26,07/28/19 06:38:29 PM,1.778,,,,,
27,07/28/19 07:38:29 PM,1.724,,,,,
28,07/28/19 08:38:29 PM,1.670,,,,,
29,07/28/19 09:38:29 PM,1.724,,,,,
30,07/28/19 10:38:29 PM,1.724,,,,,
31,07/28/19 11:38:29 PM,1.724,,,,,
32,07/29/19 12:38:29 AM,1.724,,,,,
33,07/29/19 01:38:29 AM,1.724,,,,,
34,07/29/19 02:38:29 AM,1.697,,,,,
35,07/29/19 03:38:29 AM,1.643,,,,,
