"Plot Title: 10767834"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 10767834, SEN S/N: 10767834)","Coupler Detached (LGR S/N: 10767834)","Coupler Attached (LGR S/N: 10767834)","Host Connected (LGR S/N: 10767834)","Stopped (LGR S/N: 10767834)","End Of File (LGR S/N: 10767834)"
1,06/24/19 04:13:53 PM,21.724,,,,,
2,06/24/19 04:14:37 PM,,Logged,,,,
3,06/24/19 05:13:53 PM,22.154,,,,,
4,06/24/19 06:13:53 PM,21.963,,,,,
5,06/24/19 07:13:53 PM,21.748,,,,,
6,06/24/19 08:13:53 PM,21.533,,,,,
7,06/24/19 09:13:53 PM,21.366,,,,,
8,06/24/19 10:13:53 PM,21.294,,,,,
9,06/24/19 11:13:53 PM,21.175,,,,,
10,06/25/19 12:13:53 AM,21.056,,,,,
11,06/25/19 01:13:53 AM,20.913,,,,,
12,06/25/19 02:13:53 AM,20.841,,,,,
13,06/25/19 03:13:53 AM,20.817,,,,,
14,06/25/19 04:13:53 AM,20.793,,,,,
15,06/25/19 05:13:53 AM,20.770,,,,,
16,06/25/19 06:13:53 AM,20.770,,,,,
17,06/25/19 07:13:53 AM,21.008,,,,,
18,06/25/19 08:13:53 AM,21.342,,,,,
19,06/25/19 09:13:53 AM,21.461,,,,,
20,06/25/19 10:13:53 AM,21.437,,,,,
21,06/25/19 11:13:53 AM,21.437,,,,,
22,06/25/19 12:13:53 PM,21.652,,,,,
23,06/25/19 01:13:53 PM,21.676,,,,,
24,06/25/19 02:13:53 PM,20.817,,,,,
25,06/25/19 03:13:53 PM,20.460,,,,,
26,06/25/19 04:13:53 PM,22.034,,,,,
27,06/25/19 05:13:53 PM,22.298,,,,,
28,06/25/19 06:13:53 PM,21.915,,,,,
29,06/25/19 07:13:53 PM,21.509,,,,,
30,06/25/19 08:13:53 PM,21.032,,,,,
31,06/25/19 09:13:53 PM,20.627,,,,,
32,06/25/19 10:13:53 PM,20.293,,,,,
33,06/25/19 11:13:53 PM,19.984,,,,,
34,06/26/19 12:13:53 AM,19.888,,,,,
35,06/26/19 01:13:53 AM,19.722,,,,,
36,06/26/19 02:13:53 AM,18.699,,,,,
37,06/26/19 03:13:53 AM,17.296,,,,,
38,06/26/19 04:13:53 AM,16.487,,,,,
39,06/26/19 05:13:53 AM,15.891,,,,,
40,06/26/19 06:13:53 AM,15.629,,,,,
41,06/26/19 07:13:53 AM,15.557,,,,,
42,06/26/19 08:13:53 AM,16.392,,,,,
43,06/26/19 09:13:53 AM,18.105,,,,,
44,06/26/19 10:13:53 AM,19.746,,,,,
45,06/26/19 11:13:53 AM,22.729,,,,,
46,06/26/19 12:13:53 PM,25.210,,,,,
47,06/26/19 01:13:53 PM,24.798,,,,,
48,06/26/19 02:13:53 PM,27.456,,,,,
49,06/26/19 03:13:53 PM,26.916,,,,,
50,06/26/19 04:13:53 PM,26.012,,,,,
51,06/26/19 05:13:53 PM,24.146,,,,,
52,06/26/19 06:13:53 PM,25.283,,,,,
53,06/26/19 07:13:53 PM,25.987,,,,,
54,06/26/19 08:13:53 PM,25.574,,,,,
55,06/26/19 09:13:53 PM,24.339,,,,,
56,06/26/19 10:13:53 PM,23.352,,,,,
57,06/26/19 11:13:53 PM,22.633,,,,,
58,06/27/19 12:13:53 AM,21.963,,,,,
59,06/27/19 01:13:53 AM,21.270,,,,,
60,06/27/19 02:13:53 AM,20.484,,,,,
61,06/27/19 03:13:53 AM,19.793,,,,,
62,06/27/19 04:13:53 AM,19.318,,,,,
63,06/27/19 05:13:53 AM,18.913,,,,,
64,06/27/19 06:13:53 AM,17.986,,,,,
65,06/27/19 07:13:53 AM,17.368,,,,,
66,06/27/19 08:13:53 AM,17.272,,,,,
67,06/27/19 09:13:53 AM,17.272,,,,,
68,06/27/19 10:13:53 AM,17.320,,,,,
69,06/27/19 11:13:53 AM,17.677,,,,,
70,06/27/19 12:13:53 PM,18.842,,,,,
71,06/27/19 01:13:53 PM,20.913,,,,,
72,06/27/19 02:13:53 PM,21.772,,,,,
73,06/27/19 03:13:53 PM,22.130,,,,,
74,06/27/19 04:13:53 PM,22.298,,,,,
75,06/27/19 05:13:53 PM,22.154,,,,,
76,06/27/19 06:13:53 PM,21.819,,,,,
77,06/27/19 07:13:53 PM,21.915,,,,,
78,06/27/19 08:13:53 PM,21.795,,,,,
79,06/27/19 09:13:53 PM,21.795,,,,,
80,06/27/19 10:13:53 PM,21.413,,,,,
81,06/27/19 11:13:53 PM,21.127,,,,,
82,06/28/19 12:13:53 AM,20.913,,,,,
83,06/28/19 01:13:53 AM,20.698,,,,,
84,06/28/19 02:13:53 AM,20.507,,,,,
85,06/28/19 03:13:53 AM,20.365,,,,,
86,06/28/19 04:13:53 AM,20.246,,,,,
87,06/28/19 05:13:53 AM,20.126,,,,,
88,06/28/19 06:13:53 AM,20.031,,,,,
89,06/28/19 07:13:53 AM,19.960,,,,,
90,06/28/19 08:13:53 AM,20.222,,,,,
91,06/28/19 09:13:53 AM,20.627,,,,,
92,06/28/19 10:13:53 AM,21.199,,,,,
93,06/28/19 11:13:53 AM,21.891,,,,,
94,06/28/19 12:13:53 PM,23.112,,,,,
95,06/28/19 01:13:53 PM,23.569,,,,,
96,06/28/19 02:13:53 PM,23.809,,,,,
97,06/28/19 03:13:53 PM,23.713,,,,,
98,06/28/19 04:13:53 PM,23.737,,,,,
99,06/28/19 05:13:53 PM,23.761,,,,,
100,06/28/19 06:13:53 PM,23.737,,,,,
101,06/28/19 07:13:53 PM,23.448,,,,,
102,06/28/19 08:13:53 PM,23.040,,,,,
103,06/28/19 09:13:53 PM,23.641,,,,,
104,06/28/19 10:13:53 PM,23.400,,,,,
105,06/28/19 11:13:53 PM,23.472,,,,,
106,06/29/19 12:13:53 AM,23.400,,,,,
107,06/29/19 01:13:53 AM,23.184,,,,,
108,06/29/19 02:13:53 AM,22.944,,,,,
109,06/29/19 03:13:53 AM,22.824,,,,,
110,06/29/19 04:13:53 AM,22.753,,,,,
111,06/29/19 05:13:53 AM,22.872,,,,,
112,06/29/19 06:13:53 AM,22.681,,,,,
113,06/29/19 07:13:53 AM,22.776,,,,,
114,06/29/19 08:13:53 AM,22.800,,,,,
115,06/29/19 09:13:53 AM,22.729,,,,,
116,06/29/19 10:13:53 AM,22.776,,,,,
117,06/29/19 11:13:53 AM,22.824,,,,,
118,06/29/19 12:13:53 PM,23.016,,,,,
119,06/29/19 01:13:53 PM,23.280,,,,,
120,06/29/19 02:13:53 PM,23.472,,,,,
121,06/29/19 03:13:53 PM,23.617,,,,,
122,06/29/19 04:13:53 PM,22.705,,,,,
123,06/29/19 05:13:53 PM,23.352,,,,,
124,06/29/19 06:13:53 PM,23.064,,,,,
125,06/29/19 07:13:53 PM,23.112,,,,,
126,06/29/19 08:13:53 PM,23.593,,,,,
127,06/29/19 09:13:53 PM,22.369,,,,,
128,06/29/19 10:13:53 PM,22.441,,,,,
129,06/29/19 11:13:53 PM,22.896,,,,,
130,06/30/19 12:13:53 AM,23.232,,,,,
131,06/30/19 01:13:53 AM,23.208,,,,,
132,06/30/19 02:13:53 AM,22.944,,,,,
133,06/30/19 03:13:53 AM,22.705,,,,,
134,06/30/19 04:13:53 AM,22.800,,,,,
135,06/30/19 05:13:53 AM,22.776,,,,,
136,06/30/19 06:13:53 AM,22.729,,,,,
137,06/30/19 07:13:53 AM,22.824,,,,,
138,06/30/19 08:13:53 AM,22.729,,,,,
139,06/30/19 09:13:53 AM,22.561,,,,,
140,06/30/19 10:13:53 AM,22.537,,,,,
141,06/30/19 11:13:53 AM,22.824,,,,,
142,06/30/19 12:13:53 PM,23.160,,,,,
143,06/30/19 01:13:53 PM,23.593,,,,,
144,06/30/19 02:13:53 PM,23.569,,,,,
145,06/30/19 03:13:53 PM,22.513,,,,,
146,06/30/19 04:13:53 PM,23.521,,,,,
147,06/30/19 05:13:53 PM,22.992,,,,,
148,06/30/19 06:13:53 PM,23.256,,,,,
149,06/30/19 07:13:53 PM,23.545,,,,,
150,06/30/19 08:13:53 PM,22.896,,,,,
151,06/30/19 09:13:53 PM,23.785,,,,,
152,06/30/19 10:13:53 PM,23.112,,,,,
153,06/30/19 11:13:53 PM,23.304,,,,,
154,07/01/19 12:13:53 AM,23.448,,,,,
155,07/01/19 01:13:53 AM,23.376,,,,,
156,07/01/19 02:13:53 AM,22.944,,,,,
157,07/01/19 03:13:53 AM,23.521,,,,,
158,07/01/19 04:13:53 AM,23.472,,,,,
159,07/01/19 05:13:53 AM,23.352,,,,,
160,07/01/19 06:13:53 AM,23.304,,,,,
161,07/01/19 07:13:53 AM,23.184,,,,,
162,07/01/19 08:13:53 AM,23.112,,,,,
163,07/01/19 09:13:53 AM,23.232,,,,,
164,07/01/19 10:13:53 AM,23.545,,,,,
165,07/01/19 11:13:53 AM,23.857,,,,,
166,07/01/19 12:13:53 PM,23.424,,,,,
167,07/01/19 01:13:53 PM,23.160,,,,,
168,07/01/19 02:13:53 PM,23.376,,,,,
169,07/01/19 03:13:53 PM,23.785,,,,,
170,07/01/19 04:13:53 PM,23.088,,,,,
171,07/01/19 05:13:53 PM,23.064,,,,,
172,07/01/19 06:13:53 PM,23.016,,,,,
173,07/01/19 07:13:53 PM,22.824,,,,,
174,07/01/19 08:13:53 PM,22.465,,,,,
175,07/01/19 09:13:53 PM,22.274,,,,,
176,07/01/19 10:13:53 PM,22.034,,,,,
177,07/01/19 11:13:53 PM,21.867,,,,,
178,07/02/19 12:13:53 AM,21.748,,,,,
179,07/02/19 01:13:53 AM,21.700,,,,,
180,07/02/19 02:13:53 AM,21.652,,,,,
181,07/02/19 03:13:53 AM,21.604,,,,,
182,07/02/19 04:13:53 AM,21.533,,,,,
183,07/02/19 05:13:53 AM,21.413,,,,,
184,07/02/19 06:13:53 AM,21.270,,,,,
185,07/02/19 07:13:53 AM,21.175,,,,,
186,07/02/19 08:13:53 AM,21.199,,,,,
187,07/02/19 09:13:53 AM,21.270,,,,,
188,07/02/19 10:13:53 AM,21.390,,,,,
189,07/02/19 11:13:53 AM,21.533,,,,,
190,07/02/19 12:13:53 PM,21.604,,,,,
191,07/02/19 01:13:53 PM,21.700,,,,,
192,07/02/19 02:13:53 PM,21.557,,,,,
193,07/02/19 03:13:53 PM,21.581,,,,,
194,07/02/19 04:13:53 PM,21.700,,,,,
195,07/02/19 05:13:53 PM,21.676,,,,,
196,07/02/19 06:13:53 PM,21.604,,,,,
197,07/02/19 07:13:53 PM,21.533,,,,,
198,07/02/19 08:13:53 PM,21.437,,,,,
199,07/02/19 09:13:53 PM,21.413,,,,,
200,07/02/19 10:13:53 PM,21.294,,,,,
201,07/02/19 11:13:53 PM,21.246,,,,,
202,07/03/19 12:13:53 AM,21.151,,,,,
203,07/03/19 01:13:53 AM,21.008,,,,,
204,07/03/19 02:13:53 AM,20.913,,,,,
205,07/03/19 03:13:53 AM,20.841,,,,,
206,07/03/19 04:13:53 AM,20.746,,,,,
207,07/03/19 05:13:53 AM,20.650,,,,,
208,07/03/19 06:13:53 AM,20.555,,,,,
209,07/03/19 07:13:53 AM,20.460,,,,,
210,07/03/19 08:13:53 AM,20.412,,,,,
211,07/03/19 09:13:53 AM,20.365,,,,,
212,07/03/19 10:13:53 AM,20.460,,,,,
213,07/03/19 11:13:53 AM,20.365,,,,,
214,07/03/19 12:13:53 PM,20.531,,,,,
215,07/03/19 01:13:53 PM,20.722,,,,,
216,07/03/19 02:13:53 PM,20.817,,,,,
217,07/03/19 03:13:53 PM,20.889,,,,,
218,07/03/19 04:13:53 PM,20.817,,,,,
219,07/03/19 05:13:53 PM,20.960,,,,,
220,07/03/19 06:13:53 PM,21.079,,,,,
221,07/03/19 07:13:53 PM,21.270,,,,,
222,07/03/19 08:13:53 PM,21.437,,,,,
223,07/03/19 09:13:53 PM,21.413,,,,,
224,07/03/19 10:13:53 PM,21.223,,,,,
225,07/03/19 11:13:53 PM,21.032,,,,,
226,07/04/19 12:13:53 AM,20.865,,,,,
227,07/04/19 01:13:53 AM,20.698,,,,,
228,07/04/19 02:13:53 AM,20.531,,,,,
229,07/04/19 03:13:53 AM,20.388,,,,,
230,07/04/19 04:13:53 AM,20.222,,,,,
231,07/04/19 05:13:53 AM,20.055,,,,,
232,07/04/19 06:13:53 AM,19.912,,,,,
233,07/04/19 07:13:53 AM,19.793,,,,,
234,07/04/19 08:13:53 AM,19.770,,,,,
235,07/04/19 09:13:53 AM,19.817,,,,,
236,07/04/19 10:13:53 AM,19.912,,,,,
237,07/04/19 11:13:53 AM,20.055,,,,,
238,07/04/19 12:13:53 PM,20.174,,,,,
239,07/04/19 01:13:53 PM,20.293,,,,,
240,07/04/19 02:13:53 PM,20.436,,,,,
241,07/04/19 03:13:53 PM,20.555,,,,,
242,07/04/19 04:13:53 PM,20.698,,,,,
243,07/04/19 05:13:53 PM,20.817,,,,,
244,07/04/19 06:13:53 PM,20.889,,,,,
245,07/04/19 07:13:53 PM,21.032,,,,,
246,07/04/19 08:13:53 PM,21.127,,,,,
247,07/04/19 09:13:53 PM,21.127,,,,,
248,07/04/19 10:13:53 PM,21.056,,,,,
249,07/04/19 11:13:53 PM,21.008,,,,,
250,07/05/19 12:13:53 AM,20.936,,,,,
251,07/05/19 01:13:53 AM,20.817,,,,,
252,07/05/19 02:13:53 AM,20.698,,,,,
253,07/05/19 03:13:53 AM,20.579,,,,,
254,07/05/19 04:13:53 AM,20.460,,,,,
255,07/05/19 05:13:53 AM,20.341,,,,,
256,07/05/19 06:13:53 AM,20.222,,,,,
257,07/05/19 07:13:53 AM,20.126,,,,,
258,07/05/19 08:13:53 AM,20.079,,,,,
259,07/05/19 09:13:53 AM,20.150,,,,,
260,07/05/19 10:13:53 AM,20.293,,,,,
261,07/05/19 11:13:53 AM,20.436,,,,,
262,07/05/19 12:13:53 PM,20.603,,,,,
263,07/05/19 01:13:53 PM,20.770,,,,,
264,07/05/19 02:13:53 PM,20.913,,,,,
265,07/05/19 03:13:53 PM,20.936,,,,,
266,07/05/19 04:13:53 PM,21.223,,,,,
267,07/05/19 05:13:53 PM,21.509,,,,,
268,07/05/19 06:13:53 PM,21.533,,,,,
269,07/05/19 07:13:53 PM,21.604,,,,,
270,07/05/19 08:13:53 PM,21.628,,,,,
271,07/05/19 09:13:53 PM,21.700,,,,,
272,07/05/19 10:13:53 PM,21.628,,,,,
273,07/05/19 11:13:53 PM,21.604,,,,,
274,07/06/19 12:13:53 AM,21.581,,,,,
275,07/06/19 01:13:53 AM,21.581,,,,,
276,07/06/19 02:13:53 AM,21.557,,,,,
277,07/06/19 03:13:53 AM,21.509,,,,,
278,07/06/19 04:13:53 AM,21.461,,,,,
279,07/06/19 05:13:53 AM,21.390,,,,,
280,07/06/19 06:13:53 AM,21.294,,,,,
281,07/06/19 07:13:53 AM,21.223,,,,,
282,07/06/19 08:13:53 AM,21.199,,,,,
283,07/06/19 09:13:53 AM,21.270,,,,,
284,07/06/19 10:13:53 AM,21.390,,,,,
285,07/06/19 11:13:53 AM,21.413,,,,,
286,07/06/19 12:13:53 PM,21.413,,,,,
287,07/06/19 01:13:53 PM,21.437,,,,,
288,07/06/19 02:13:53 PM,21.581,,,,,
289,07/06/19 03:13:53 PM,21.652,,,,,
290,07/06/19 04:13:53 PM,21.485,,,,,
291,07/06/19 05:13:53 PM,21.366,,,,,
292,07/06/19 06:13:53 PM,21.270,,,,,
293,07/06/19 07:13:53 PM,21.175,,,,,
294,07/06/19 08:13:53 PM,21.413,,,,,
295,07/06/19 09:13:53 PM,21.413,,,,,
296,07/06/19 10:13:53 PM,21.390,,,,,
297,07/06/19 11:13:53 PM,21.342,,,,,
298,07/07/19 12:13:53 AM,21.270,,,,,
299,07/07/19 01:13:53 AM,21.151,,,,,
300,07/07/19 02:13:53 AM,21.008,,,,,
301,07/07/19 03:13:53 AM,20.865,,,,,
302,07/07/19 04:13:53 AM,20.746,,,,,
303,07/07/19 05:13:53 AM,20.627,,,,,
304,07/07/19 06:13:53 AM,20.507,,,,,
305,07/07/19 07:13:53 AM,20.412,,,,,
306,07/07/19 08:13:53 AM,20.388,,,,,
307,07/07/19 09:13:53 AM,20.484,,,,,
