"Plot Title: 10767841"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 10767841, SEN S/N: 10767841)","Coupler Detached (LGR S/N: 10767841)","Coupler Attached (LGR S/N: 10767841)","Host Connected (LGR S/N: 10767841)","Stopped (LGR S/N: 10767841)","End Of File (LGR S/N: 10767841)"
1,06/24/19 04:17:05 PM,21.557,,,,,
2,06/24/19 04:17:17 PM,,Logged,,,,
3,06/24/19 05:17:05 PM,22.226,,,,,
4,06/24/19 06:17:05 PM,22.106,,,,,
5,06/24/19 07:17:05 PM,21.939,,,,,
6,06/24/19 08:17:05 PM,21.724,,,,,
7,06/24/19 09:17:05 PM,21.533,,,,,
8,06/24/19 10:17:05 PM,21.437,,,,,
9,06/24/19 11:17:05 PM,21.390,,,,,
10,06/25/19 12:17:05 AM,21.318,,,,,
11,06/25/19 01:17:05 AM,21.223,,,,,
12,06/25/19 02:17:05 AM,21.127,,,,,
13,06/25/19 03:17:05 AM,21.079,,,,,
14,06/25/19 04:17:05 AM,21.056,,,,,
15,06/25/19 05:17:05 AM,21.032,,,,,
16,06/25/19 06:17:05 AM,21.008,,,,,
17,06/25/19 07:17:05 AM,21.079,,,,,
18,06/25/19 08:17:05 AM,21.342,,,,,
19,06/25/19 09:17:05 AM,21.557,,,,,
20,06/25/19 10:17:05 AM,21.652,,,,,
21,06/25/19 11:17:05 AM,21.700,,,,,
22,06/25/19 12:17:05 PM,22.417,,,,,
23,06/25/19 01:17:05 PM,21.963,,,,,
24,06/25/19 02:17:05 PM,21.366,,,,,
25,06/25/19 03:17:05 PM,20.841,,,,,
26,06/25/19 04:17:05 PM,22.537,,,,,
27,06/25/19 05:17:05 PM,22.369,,,,,
28,06/25/19 06:17:05 PM,22.034,,,,,
29,06/25/19 07:17:05 PM,21.748,,,,,
30,06/25/19 08:17:05 PM,21.318,,,,,
31,06/25/19 09:17:05 PM,20.889,,,,,
32,06/25/19 10:17:05 PM,20.531,,,,,
33,06/25/19 11:17:05 PM,20.341,,,,,
34,06/26/19 12:17:05 AM,20.150,,,,,
35,06/26/19 01:17:05 AM,20.007,,,,,
36,06/26/19 02:17:05 AM,19.103,,,,,
37,06/26/19 03:17:05 AM,18.057,,,,,
38,06/26/19 04:17:05 AM,17.201,,,,,
39,06/26/19 05:17:05 AM,16.677,,,,,
40,06/26/19 06:17:05 AM,16.463,,,,,
41,06/26/19 07:17:05 AM,16.296,,,,,
42,06/26/19 08:17:05 AM,16.987,,,,,
43,06/26/19 09:17:05 AM,18.557,,,,,
44,06/26/19 10:17:05 AM,20.103,,,,,
45,06/26/19 11:17:05 AM,22.944,,,,,
46,06/26/19 12:17:05 PM,25.331,,,,,
47,06/26/19 01:17:05 PM,27.949,,,,,
48,06/26/19 02:17:05 PM,28.916,,,,,
49,06/26/19 03:17:05 PM,27.161,,,,,
50,06/26/19 04:17:05 PM,25.963,,,,,
51,06/26/19 05:17:05 PM,24.919,,,,,
52,06/26/19 06:17:05 PM,24.243,,,,,
53,06/26/19 07:17:05 PM,23.930,,,,,
54,06/26/19 08:17:05 PM,23.713,,,,,
55,06/26/19 09:17:05 PM,23.400,,,,,
56,06/26/19 10:17:05 PM,22.609,,,,,
57,06/26/19 11:17:05 PM,21.772,,,,,
58,06/27/19 12:17:05 AM,20.817,,,,,
59,06/27/19 01:17:05 AM,20.293,,,,,
60,06/27/19 02:17:05 AM,19.413,,,,,
61,06/27/19 03:17:05 AM,18.057,,,,,
62,06/27/19 04:17:05 AM,17.130,,,,,
63,06/27/19 05:17:05 AM,16.082,,,,,
64,06/27/19 06:17:05 AM,15.652,,,,,
65,06/27/19 07:17:05 AM,15.891,,,,,
66,06/27/19 08:17:05 AM,15.891,,,,,
67,06/27/19 09:17:05 AM,15.796,,,,,
68,06/27/19 10:17:05 AM,16.439,,,,,
69,06/27/19 11:17:05 AM,17.891,,,,,
70,06/27/19 12:17:05 PM,18.010,,,,,
71,06/27/19 01:17:05 PM,18.366,,,,,
72,06/27/19 02:17:05 PM,17.796,,,,,
73,06/27/19 03:17:05 PM,18.081,,,,,
74,06/27/19 04:17:05 PM,18.414,,,,,
75,06/27/19 05:17:05 PM,18.414,,,,,
76,06/27/19 06:17:05 PM,19.008,,,,,
77,06/27/19 07:17:05 PM,19.793,,,,,
78,06/27/19 08:17:05 PM,20.770,,,,,
79,06/27/19 09:17:05 PM,20.841,,,,,
80,06/27/19 10:17:05 PM,20.365,,,,,
81,06/27/19 11:17:05 PM,19.484,,,,,
82,06/28/19 12:17:05 AM,18.390,,,,,
83,06/28/19 01:17:05 AM,17.201,,,,,
84,06/28/19 02:17:05 AM,16.082,,,,,
85,06/28/19 03:17:05 AM,15.079,,,,,
86,06/28/19 04:17:05 AM,14.122,,,,,
87,06/28/19 05:17:05 AM,13.281,,,,,
88,06/28/19 06:17:05 AM,12.847,,,,,
89,06/28/19 07:17:05 AM,11.856,,,,,
90,06/28/19 08:17:05 AM,12.364,,,,,
91,06/28/19 09:17:05 AM,16.272,,,,,
92,06/28/19 10:17:05 AM,21.199,,,,,
93,06/28/19 11:17:05 AM,23.881,,,,,
94,06/28/19 12:17:05 PM,24.219,,,,,
95,06/28/19 01:17:05 PM,25.890,,,,,
96,06/28/19 02:17:05 PM,27.825,,,,,
97,06/28/19 03:17:05 PM,28.766,,,,,
98,06/28/19 04:17:05 PM,29.240,,,,,
99,06/28/19 05:17:05 PM,25.210,,,,,
100,06/28/19 06:17:05 PM,20.698,,,,,
101,06/28/19 07:17:05 PM,19.389,,,,,
102,06/28/19 08:17:05 PM,18.889,,,,,
103,06/28/19 09:17:05 PM,18.200,,,,,
104,06/28/19 10:17:05 PM,18.129,,,,,
105,06/28/19 11:17:05 PM,18.271,,,,,
106,06/29/19 12:17:05 AM,18.129,,,,,
107,06/29/19 01:17:05 AM,17.986,,,,,
108,06/29/19 02:17:05 AM,17.843,,,,,
109,06/29/19 03:17:05 AM,17.653,,,,,
110,06/29/19 04:17:05 AM,17.463,,,,,
111,06/29/19 05:17:05 AM,17.249,,,,,
112,06/29/19 06:17:05 AM,17.034,,,,,
113,06/29/19 07:17:05 AM,16.820,,,,,
114,06/29/19 08:17:05 AM,16.677,,,,,
115,06/29/19 09:17:05 AM,16.820,,,,,
116,06/29/19 10:17:05 AM,16.868,,,,,
117,06/29/19 11:17:05 AM,16.939,,,,,
118,06/29/19 12:17:05 PM,17.058,,,,,
119,06/29/19 01:17:05 PM,17.201,,,,,
120,06/29/19 02:17:05 PM,17.701,,,,,
121,06/29/19 03:17:05 PM,18.129,,,,,
122,06/29/19 04:17:05 PM,18.438,,,,,
123,06/29/19 05:17:05 PM,18.604,,,,,
124,06/29/19 06:17:05 PM,18.747,,,,,
125,06/29/19 07:17:05 PM,18.866,,,,,
126,06/29/19 08:17:05 PM,18.961,,,,,
127,06/29/19 09:17:05 PM,19.008,,,,,
128,06/29/19 10:17:05 PM,19.032,,,,,
129,06/29/19 11:17:05 PM,19.008,,,,,
130,06/30/19 12:17:05 AM,18.985,,,,,
131,06/30/19 01:17:05 AM,18.937,,,,,
132,06/30/19 02:17:05 AM,18.866,,,,,
133,06/30/19 03:17:05 AM,18.771,,,,,
134,06/30/19 04:17:05 AM,18.652,,,,,
135,06/30/19 05:17:05 AM,18.533,,,,,
136,06/30/19 06:17:05 AM,18.414,,,,,
137,06/30/19 07:17:05 AM,18.295,,,,,
138,06/30/19 08:17:05 AM,18.224,,,,,
139,06/30/19 09:17:05 AM,18.200,,,,,
140,06/30/19 10:17:05 AM,18.200,,,,,
141,06/30/19 11:17:05 AM,18.271,,,,,
142,06/30/19 12:17:05 PM,18.390,,,,,
143,06/30/19 01:17:05 PM,18.533,,,,,
144,06/30/19 02:17:05 PM,18.818,,,,,
145,06/30/19 03:17:05 PM,19.389,,,,,
146,06/30/19 04:17:05 PM,19.960,,,,,
147,06/30/19 05:17:05 PM,20.436,,,,,
148,06/30/19 06:17:05 PM,20.674,,,,,
149,06/30/19 07:17:05 PM,20.722,,,,,
150,06/30/19 08:17:05 PM,20.984,,,,,
151,06/30/19 09:17:05 PM,21.127,,,,,
152,06/30/19 10:17:05 PM,21.056,,,,,
153,06/30/19 11:17:05 PM,20.770,,,,,
154,07/01/19 12:17:05 AM,20.460,,,,,
155,07/01/19 01:17:05 AM,20.103,,,,,
156,07/01/19 02:17:05 AM,19.746,,,,,
157,07/01/19 03:17:05 AM,19.436,,,,,
158,07/01/19 04:17:05 AM,19.080,,,,,
159,07/01/19 05:17:05 AM,18.699,,,,,
160,07/01/19 06:17:05 AM,18.319,,,,,
161,07/01/19 07:17:05 AM,17.986,,,,,
162,07/01/19 08:17:05 AM,17.796,,,,,
163,07/01/19 09:17:05 AM,18.033,,,,,
164,07/01/19 10:17:05 AM,18.129,,,,,
165,07/01/19 11:17:05 AM,18.271,,,,,
166,07/01/19 12:17:05 PM,18.414,,,,,
167,07/01/19 01:17:05 PM,18.604,,,,,
168,07/01/19 02:17:05 PM,18.842,,,,,
169,07/01/19 03:17:05 PM,19.127,,,,,
170,07/01/19 04:17:05 PM,19.532,,,,,
171,07/01/19 05:17:05 PM,19.841,,,,,
172,07/01/19 06:17:05 PM,20.055,,,,,
173,07/01/19 07:17:05 PM,20.603,,,,,
174,07/01/19 08:17:05 PM,20.770,,,,,
175,07/01/19 09:17:05 PM,20.889,,,,,
176,07/01/19 10:17:05 PM,20.960,,,,,
177,07/01/19 11:17:05 PM,20.770,,,,,
178,07/02/19 12:17:05 AM,20.650,,,,,
179,07/02/19 01:17:05 AM,20.484,,,,,
180,07/02/19 02:17:05 AM,20.317,,,,,
181,07/02/19 03:17:05 AM,20.126,,,,,
182,07/02/19 04:17:05 AM,19.865,,,,,
183,07/02/19 05:17:05 AM,19.555,,,,,
184,07/02/19 06:17:05 AM,19.199,,,,,
185,07/02/19 07:17:05 AM,18.866,,,,,
186,07/02/19 08:17:05 AM,18.675,,,,,
187,07/02/19 09:17:05 AM,18.723,,,,,
188,07/02/19 10:17:05 AM,18.771,,,,,
189,07/02/19 11:17:05 AM,18.842,,,,,
190,07/02/19 12:17:05 PM,19.056,,,,,
191,07/02/19 01:17:05 PM,19.175,,,,,
192,07/02/19 02:17:05 PM,19.175,,,,,
193,07/02/19 03:17:05 PM,19.294,,,,,
194,07/02/19 04:17:05 PM,19.532,,,,,
195,07/02/19 05:17:05 PM,20.031,,,,,
196,07/02/19 06:17:05 PM,20.031,,,,,
197,07/02/19 07:17:05 PM,20.055,,,,,
198,07/02/19 08:17:05 PM,20.317,,,,,
199,07/02/19 09:17:05 PM,20.770,,,,,
200,07/02/19 10:17:05 PM,20.698,,,,,
201,07/02/19 11:17:05 PM,20.674,,,,,
202,07/03/19 12:17:05 AM,20.460,,,,,
203,07/03/19 01:17:05 AM,20.269,,,,,
