"Plot Title: 20475520"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 20475520, SEN S/N: 20475520)","Coupler Detached (LGR S/N: 20475520)","Coupler Attached (LGR S/N: 20475520)","Host Connected (LGR S/N: 20475520)","Stopped (LGR S/N: 20475520)","End Of File (LGR S/N: 20475520)"
1,07/27/19 06:33:05 PM,78.382,,,,,
2,07/27/19 06:33:26 PM,,Logged,,,,
3,07/27/19 07:33:05 PM,68.828,,,,,
4,07/27/19 08:33:05 PM,64.546,,,,,
5,07/27/19 09:33:05 PM,60.604,,,,,
6,07/27/19 10:33:05 PM,63.775,,,,,
7,07/27/19 11:33:05 PM,64.117,,,,,
8,07/28/19 12:33:05 AM,62.620,,,,,
9,07/28/19 01:33:05 AM,60.260,,,,,
10,07/28/19 02:33:05 AM,57.722,,,,,
11,07/28/19 03:33:05 AM,55.213,,,,,
12,07/28/19 04:33:05 AM,52.860,,,,,
13,07/28/19 05:33:05 AM,50.841,,,,,
14,07/28/19 06:33:05 AM,49.073,,,,,
15,07/28/19 07:33:05 AM,48.137,,,,,
16,07/28/19 08:33:05 AM,58.109,,,,,
17,07/28/19 09:33:05 AM,56.944,,,,,
18,07/28/19 10:33:05 AM,58.626,,,,,
19,07/28/19 11:33:05 AM,75.767,,,,,
20,07/28/19 12:33:05 PM,92.244,,,,,
21,07/28/19 01:33:05 PM,100.357,,,,,
22,07/28/19 02:33:05 PM,103.897,,,,,
23,07/28/19 03:33:05 PM,105.238,,,,,
24,07/28/19 04:33:05 PM,102.621,,,,,
25,07/28/19 05:33:05 PM,93.517,,,,,
26,07/28/19 06:33:05 PM,88.214,,,,,
27,07/28/19 07:33:05 PM,83.467,,,,,
28,07/28/19 08:33:05 PM,68.527,,,,,
29,07/28/19 09:33:05 PM,64.375,,,,,
30,07/28/19 10:33:05 PM,64.546,,,,,
31,07/28/19 11:33:05 PM,62.447,,,,,
32,07/29/19 12:33:05 AM,59.959,,,,,
33,07/29/19 01:33:05 AM,57.592,,,,,
34,07/29/19 02:33:05 AM,55.515,,,,,
35,07/29/19 03:33:05 AM,53.690,,,,,
36,07/29/19 04:33:05 AM,52.246,,,,,
37,07/29/19 05:33:05 AM,51.895,,,,,
38,07/29/19 06:33:05 AM,52.029,,,,,
39,07/29/19 07:33:05 AM,52.246,,,,,
40,07/29/19 08:33:05 AM,53.994,,,,,
41,07/29/19 09:33:05 AM,57.636,,,,,
42,07/29/19 10:33:05 AM,60.561,,,,,
43,07/29/19 11:33:05 AM,67.500,,,,,
44,07/29/19 12:33:05 PM,72.394,,,,,
45,07/29/19 01:33:05 PM,74.813,,,,,
46,07/29/19 02:33:05 PM,67.842,,,,,
47,07/29/19 03:33:05 PM,62.533,,,,,
48,07/29/19 04:33:05 PM,70.846,,,,,
49,07/29/19 05:33:05 PM,73.990,,,,,
50,07/29/19 06:33:05 PM,76.854,,,,,
51,07/29/19 07:33:05 PM,71.704,,,,,
52,07/29/19 08:33:05 PM,63.475,,,,,
53,07/29/19 09:33:05 PM,63.775,,,,,
54,07/29/19 10:33:05 PM,63.946,,,,,
55,07/29/19 11:33:05 PM,63.819,,,,,
56,07/30/19 12:33:05 AM,63.347,,,,,
57,07/30/19 01:33:05 AM,62.577,,,,,
58,07/30/19 02:33:05 AM,61.677,,,,,
59,07/30/19 03:33:05 AM,60.733,,,,,
60,07/30/19 04:33:05 AM,59.788,,,,,
61,07/30/19 05:33:05 AM,58.755,,,,,
62,07/30/19 06:33:05 AM,57.722,,,,,
63,07/30/19 07:33:05 AM,56.642,,,,,
64,07/30/19 08:33:05 AM,58.195,,,,,
65,07/30/19 09:33:05 AM,58.541,,,,,
66,07/30/19 10:33:05 AM,60.948,,,,,
67,07/30/19 11:33:05 AM,63.775,,,,,
68,07/30/19 12:33:05 PM,69.985,,,,,
69,07/30/19 01:33:05 PM,75.029,,,,,
70,07/30/19 02:33:05 PM,78.208,,,,,
71,07/30/19 03:33:05 PM,75.247,,,,,
72,07/30/19 04:33:05 PM,72.480,,,,,
73,07/30/19 05:33:05 PM,71.577,,,,,
74,07/30/19 06:33:05 PM,68.270,,,,,
75,07/30/19 07:33:05 PM,66.429,,,,,
76,07/30/19 08:33:05 PM,64.332,,,,,
77,07/30/19 09:33:05 PM,62.447,,,,,
78,07/30/19 10:33:05 PM,60.217,,,,,
79,07/30/19 11:33:05 PM,57.979,,,,,
80,07/31/19 12:33:05 AM,56.340,,,,,
81,07/31/19 01:33:05 AM,55.299,,,,,
82,07/31/19 02:33:05 AM,54.343,,,,,
83,07/31/19 03:33:05 AM,53.602,,,,,
84,07/31/19 04:33:05 AM,52.947,,,,,
85,07/31/19 05:33:05 AM,52.378,,,,,
86,07/31/19 06:33:05 AM,51.984,,,,,
87,07/31/19 07:33:05 AM,52.029,,,,,
88,07/31/19 08:33:05 AM,54.604,,,,,
89,07/31/19 09:33:05 AM,38.984,,,,,
90,07/31/19 10:33:05 AM,40.485,,,,,
91,07/31/19 11:33:05 AM,41.925,,,,,
92,07/31/19 12:33:05 PM,40.764,,,,,
93,07/31/19 01:33:05 PM,40.111,,,,,
94,07/31/19 02:33:05 PM,41.277,,,,,
95,07/31/19 03:33:05 PM,41.878,,,,,
96,07/31/19 04:33:05 PM,41.463,,,,,
97,07/31/19 05:33:05 PM,40.345,,,,,
98,07/31/19 06:33:05 PM,39.360,,,,,
99,07/31/19 07:33:05 PM,39.173,,,,,
100,07/31/19 08:33:05 PM,38.795,,,,,
101,07/31/19 09:33:05 PM,38.606,,,,,
102,07/31/19 10:33:05 PM,38.368,,,,,
103,07/31/19 11:33:05 PM,38.084,,,,,
104,08/01/19 12:33:05 AM,37.989,,,,,
105,08/01/19 01:33:05 AM,37.893,,,,,
106,08/01/19 02:33:05 AM,37.609,,,,,
107,08/01/19 03:33:05 AM,37.609,,,,,
108,08/01/19 04:33:05 AM,37.560,,,,,
109,08/01/19 05:33:05 AM,37.321,,,,,
110,08/01/19 06:33:05 AM,37.416,,,,,
111,08/01/19 07:33:05 AM,37.369,,,,,
112,08/01/19 08:33:05 AM,38.795,,,,,
113,08/01/19 09:33:05 AM,40.345,,,,,
114,08/01/19 10:33:05 AM,41.832,,,,,
115,08/01/19 11:33:05 AM,42.847,,,,,
116,08/01/19 12:33:05 PM,43.075,,,,,
117,08/01/19 01:33:05 PM,41.648,,,,,
118,08/01/19 02:33:05 PM,40.345,,,,,
119,08/01/19 03:33:05 PM,42.017,,,,,
120,08/01/19 04:33:05 PM,41.322,,,,,
121,08/01/19 05:33:05 PM,40.764,,,,,
122,08/01/19 06:33:05 PM,39.783,,,,,
123,08/01/19 07:33:05 PM,39.502,,,,,
124,08/01/19 08:33:05 PM,39.454,,,,,
125,08/01/19 09:33:05 PM,39.502,,,,,
126,08/01/19 10:33:05 PM,38.795,,,,,
127,08/01/19 11:33:05 PM,38.557,,,,,
128,08/02/19 12:33:05 AM,38.322,,,,,
129,08/02/19 01:33:05 AM,37.893,,,,,
130,08/02/19 02:33:05 AM,37.798,,,,,
131,08/02/19 03:33:05 AM,37.609,,,,,
132,08/02/19 04:33:05 AM,37.465,,,,,
133,08/02/19 05:33:05 AM,37.416,,,,,
134,08/02/19 06:33:05 AM,37.369,,,,,
135,08/02/19 07:33:05 AM,37.369,,,,,
136,08/02/19 08:33:05 AM,38.748,,,,,
137,08/02/19 09:33:05 AM,40.438,,,,,
138,08/02/19 10:33:05 AM,42.017,,,,,
139,08/02/19 11:33:05 AM,43.214,,,,,
140,08/02/19 12:33:05 PM,43.990,,,,,
141,08/02/19 01:33:05 PM,44.173,,,,,
142,08/02/19 02:33:05 PM,44.037,,,,,
143,08/02/19 03:33:05 PM,43.075,,,,,
144,08/02/19 04:33:05 PM,42.800,,,,,
145,08/02/19 05:33:05 PM,40.672,,,,,
146,08/02/19 06:33:05 PM,40.811,,,,,
147,08/02/19 07:33:05 PM,40.251,,,,,
148,08/02/19 08:33:05 PM,39.736,,,,,
149,08/02/19 09:33:05 PM,39.313,,,,,
150,08/02/19 10:33:05 PM,39.124,,,,,
151,08/02/19 11:33:05 PM,38.842,,,,,
152,08/03/19 12:33:05 AM,38.653,,,,,
153,08/03/19 01:33:05 AM,38.511,,,,,
154,08/03/19 02:33:05 AM,38.464,,,,,
155,08/03/19 03:33:05 AM,38.464,,,,,
156,08/03/19 04:33:05 AM,38.368,,,,,
157,08/03/19 05:33:05 AM,38.273,,,,,
158,08/03/19 06:33:05 AM,38.179,,,,,
159,08/03/19 07:33:05 AM,38.273,,,,,
160,08/03/19 08:33:05 AM,39.502,,,,,
161,08/03/19 09:33:05 AM,41.184,,,,,
162,08/03/19 10:33:05 AM,42.616,,,,,
163,08/03/19 11:33:05 AM,43.534,,,,,
164,08/03/19 12:33:05 PM,43.853,,,,,
165,08/03/19 01:33:05 PM,43.990,,,,,
166,08/03/19 02:33:05 PM,44.037,,,,,
167,08/03/19 03:33:05 PM,42.525,,,,,
168,08/03/19 04:33:05 PM,42.663,,,,,
169,08/03/19 05:33:05 PM,41.878,,,,,
170,08/03/19 06:33:05 PM,41.230,,,,,
171,08/03/19 07:33:05 PM,40.811,,,,,
172,08/03/19 08:33:05 PM,40.532,,,,,
173,08/03/19 09:33:05 PM,40.064,,,,,
174,08/03/19 10:33:05 PM,39.736,,,,,
175,08/03/19 11:33:05 PM,39.502,,,,,
176,08/04/19 12:33:05 AM,39.220,,,,,
177,08/04/19 01:33:05 AM,39.078,,,,,
178,08/04/19 02:33:05 AM,38.937,,,,,
179,08/04/19 03:33:05 AM,39.220,,,,,
180,08/04/19 04:33:05 AM,39.078,,,,,
181,08/04/19 05:33:05 AM,38.889,,,,,
182,08/04/19 06:33:05 AM,38.748,,,,,
183,08/04/19 07:33:05 AM,38.795,,,,,
184,08/04/19 08:33:05 AM,39.830,,,,,
185,08/04/19 09:33:05 AM,41.601,,,,,
186,08/04/19 10:33:05 AM,43.259,,,,,
187,08/04/19 11:33:05 AM,44.355,,,,,
188,08/04/19 12:33:05 PM,44.856,,,,,
189,08/04/19 01:33:05 PM,44.310,,,,,
190,08/04/19 02:33:05 PM,44.492,,,,,
191,08/04/19 03:33:05 PM,43.306,,,,,
192,08/04/19 04:33:05 PM,41.648,,,,,
193,08/04/19 05:33:05 PM,41.230,,,,,
194,08/04/19 06:33:05 PM,41.090,,,,,
195,08/04/19 07:33:05 PM,40.905,,,,,
196,08/04/19 08:33:05 PM,40.858,,,,,
197,08/04/19 09:33:05 PM,40.158,,,,,
198,08/04/19 10:33:05 PM,39.783,,,,,
199,08/04/19 11:33:05 PM,39.643,,,,,
200,08/05/19 12:33:05 AM,39.313,,,,,
201,08/05/19 01:33:05 AM,39.267,,,,,
202,08/05/19 02:33:05 AM,39.124,,,,,
203,08/05/19 03:33:05 AM,39.124,,,,,
204,08/05/19 04:33:05 AM,38.889,,,,,
205,08/05/19 05:33:05 AM,38.748,,,,,
206,08/05/19 06:33:05 AM,38.748,,,,,
207,08/05/19 07:33:05 AM,38.748,,,,,
208,08/05/19 08:33:05 AM,39.454,,,,,
209,08/05/19 09:33:05 AM,42.017,,,,,
210,08/05/19 10:33:05 AM,43.671,,,,,
211,08/05/19 11:33:05 AM,45.036,,,,,
212,08/05/19 12:33:05 PM,45.669,,,,,
213,08/05/19 01:33:05 PM,45.851,,,,,
214,08/05/19 02:33:05 PM,43.990,,,,,
215,08/05/19 03:33:05 PM,43.396,,,,,
216,08/05/19 04:33:05 PM,43.579,,,,,
217,08/05/19 05:33:05 PM,42.939,,,,,
218,08/05/19 06:33:05 PM,42.202,,,,,
219,08/05/19 07:33:05 PM,41.740,,,,,
220,08/05/19 08:33:05 PM,41.369,,,,,
221,08/05/19 09:33:05 PM,40.998,,,,,
222,08/05/19 10:33:05 PM,40.485,,,,,
223,08/05/19 11:33:05 PM,40.111,,,,,
224,08/06/19 12:33:05 AM,39.924,,,,,
225,08/06/19 01:33:05 AM,39.830,,,,,
226,08/06/19 02:33:05 AM,39.549,,,,,
227,08/06/19 03:33:05 AM,39.454,,,,,
228,08/06/19 04:33:05 AM,39.313,,,,,
229,08/06/19 05:33:05 AM,39.220,,,,,
230,08/06/19 06:33:05 AM,39.173,,,,,
231,08/06/19 07:33:05 AM,39.267,,,,,
232,08/06/19 08:33:05 AM,39.454,,,,,
233,08/06/19 09:33:05 AM,42.064,,,,,
234,08/06/19 10:33:05 AM,43.351,,,,,
235,08/06/19 11:33:05 AM,44.674,,,,,
236,08/06/19 12:33:05 PM,43.579,,,,,
237,08/06/19 01:33:05 PM,45.669,,,,,
238,08/06/19 02:33:05 PM,46.031,,,,,
239,08/06/19 03:33:05 PM,44.400,,,,,
240,08/06/19 04:33:05 PM,44.537,,,,,
241,08/06/19 05:33:05 PM,43.716,,,,,
242,08/06/19 06:33:05 PM,42.755,,,,,
243,08/06/19 07:33:05 PM,42.156,,,,,
244,08/06/19 08:33:05 PM,41.787,,,,,
