"Plot Title: 20475521"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20475521, SEN S/N: 20475521)","Coupler Detached (LGR S/N: 20475521)","Coupler Attached (LGR S/N: 20475521)","Host Connected (LGR S/N: 20475521)","Stopped (LGR S/N: 20475521)","End Of File (LGR S/N: 20475521)"
1,07/27/19 06:31:42 PM,25.720,,,,,
2,07/27/19 06:32:05 PM,,Logged,,,,
3,07/27/19 07:31:42 PM,20.746,,,,,
4,07/27/19 08:31:42 PM,18.509,,,,,
5,07/27/19 09:31:42 PM,16.296,,,,,
6,07/27/19 10:31:42 PM,18.295,,,,,
7,07/27/19 11:31:42 PM,18.200,,,,,
8,07/28/19 12:31:42 AM,16.915,,,,,
9,07/28/19 01:31:42 AM,15.390,,,,,
10,07/28/19 02:31:42 AM,13.906,,,,,
11,07/28/19 03:31:42 AM,12.461,,,,,
12,07/28/19 04:31:42 AM,11.200,,,,,
13,07/28/19 05:31:42 AM,10.100,,,,,
14,07/28/19 06:31:42 AM,9.163,,,,,
15,07/28/19 07:31:42 AM,8.693,,,,,
16,07/28/19 08:31:42 AM,13.377,,,,,
17,07/28/19 09:31:42 AM,12.920,,,,,
18,07/28/19 10:31:42 AM,15.438,,,,,
19,07/28/19 11:31:42 AM,27.554,,,,,
20,07/28/19 12:31:42 PM,37.015,,,,,
21,07/28/19 01:31:42 PM,41.678,,,,,
22,07/28/19 02:31:42 PM,43.890,,,,,
23,07/28/19 03:31:42 PM,44.442,,,,,
24,07/28/19 04:31:42 PM,40.602,,,,,
25,07/28/19 05:31:42 PM,34.071,,,,,
26,07/28/19 06:31:42 PM,30.950,,,,,
27,07/28/19 07:31:42 PM,27.974,,,,,
28,07/28/19 08:31:42 PM,19.413,,,,,
29,07/28/19 09:31:42 PM,18.842,,,,,
30,07/28/19 10:31:42 PM,18.509,,,,,
31,07/28/19 11:31:42 PM,17.605,,,,,
32,07/29/19 12:31:42 AM,16.344,,,,,
33,07/29/19 01:31:42 AM,15.031,,,,,
34,07/29/19 02:31:42 AM,13.786,,,,,
