"Plot Title: 10972588"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 10972588, SEN S/N: 10972588)","Coupler Detached (LGR S/N: 10972588)","Coupler Attached (LGR S/N: 10972588)","Host Connected (LGR S/N: 10972588)","End Of File (LGR S/N: 10972588)"
1,08/03/20 06:20:54 PM,23.521,,,,
2,08/03/20 06:21:10 PM,,Logged,,,
3,08/03/20 07:20:54 PM,23.737,,,,
4,08/03/20 08:20:54 PM,23.545,,,,
5,08/03/20 09:20:54 PM,23.304,,,,
6,08/03/20 10:20:54 PM,23.088,,,,
7,08/03/20 11:20:54 PM,22.848,,,,
8,08/04/20 12:20:54 AM,22.729,,,,
9,08/04/20 01:20:54 AM,22.585,,,,
10,08/04/20 02:20:54 AM,22.441,,,,
11,08/04/20 03:20:54 AM,22.274,,,,
12,08/04/20 04:20:54 AM,22.106,,,,
13,08/04/20 05:20:54 AM,21.987,,,,
14,08/04/20 06:20:54 AM,21.915,,,,
15,08/04/20 07:20:54 AM,22.321,,,,
16,08/04/20 08:20:54 AM,34.176,,,,
17,08/04/20 09:20:54 AM,26.500,,,,
18,08/04/20 10:20:54 AM,24.629,,,,
19,08/04/20 11:20:54 AM,24.243,,,,
20,08/04/20 12:20:54 PM,23.689,,,,
21,08/04/20 01:20:54 PM,23.280,,,,
22,08/04/20 02:20:54 PM,23.328,,,,
23,08/04/20 03:20:54 PM,23.376,,,,
24,08/04/20 04:20:54 PM,23.448,,,,
25,08/04/20 05:20:54 PM,23.497,,,,
26,08/04/20 06:20:54 PM,27.604,,,,
27,08/04/20 07:20:54 PM,27.776,,,,
28,08/04/20 08:20:54 PM,24.798,,,,
29,08/04/20 09:20:54 PM,22.082,,,,
30,08/04/20 10:20:54 PM,20.341,,,,
31,08/04/20 11:20:54 PM,18.723,,,,
32,08/05/20 12:20:54 AM,17.439,,,,
33,08/05/20 01:20:54 AM,16.320,,,,
34,08/05/20 02:20:54 AM,15.557,,,,
35,08/05/20 03:20:54 AM,15.342,,,,
36,08/05/20 04:20:54 AM,15.223,,,,
37,08/05/20 05:20:54 AM,15.175,,,,
38,08/05/20 06:20:54 AM,14.816,,,,
39,08/05/20 07:20:54 AM,15.031,,,,
40,08/05/20 08:20:54 AM,18.842,,,,
41,08/05/20 09:20:54 AM,23.641,,,,
42,08/05/20 10:20:54 AM,30.318,,,,
43,08/05/20 11:20:54 AM,35.448,,,,
44,08/05/20 12:20:54 PM,38.170,,,,
45,08/05/20 01:20:54 PM,37.343,,,,
46,08/05/20 02:20:54 PM,34.651,,,,
47,08/05/20 03:20:54 PM,35.208,,,,
48,08/05/20 04:20:54 PM,35.609,,,,
49,08/05/20 05:20:54 PM,35.182,,,,
50,08/05/20 06:20:54 PM,33.887,,,,
51,08/05/20 07:20:54 PM,33.105,,,,
52,08/05/20 08:20:54 PM,30.596,,,,
53,08/05/20 09:20:54 PM,22.920,,,,
54,08/05/20 10:20:54 PM,20.793,,,,
55,08/05/20 11:20:54 PM,19.294,,,,
56,08/06/20 12:20:54 AM,17.915,,,,
57,08/06/20 01:20:54 AM,17.058,,,,
58,08/06/20 02:20:54 AM,16.963,,,,
59,08/06/20 03:20:54 AM,16.368,,,,
60,08/06/20 04:20:54 AM,16.463,,,,
61,08/06/20 05:20:54 AM,16.392,,,,
