"Plot Title: 20155964"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 20155964, SEN S/N: 20155964)","Coupler Detached (LGR S/N: 20155964)","Coupler Attached (LGR S/N: 20155964)","Host Connected (LGR S/N: 20155964)","Stopped (LGR S/N: 20155964)","End Of File (LGR S/N: 20155964)"
1,07/22/17 12:00:00 PM,32.510,Logged,,,,
2,07/22/17 01:00:00 PM,29.640,,,,,
3,07/22/17 02:00:00 PM,29.040,,,,,
4,07/22/17 03:00:00 PM,13.161,,,,,
5,07/22/17 04:00:00 PM,13.305,,,,,
6,07/22/17 05:00:00 PM,12.968,,,,,
7,07/22/17 06:00:00 PM,12.171,,,,,
8,07/22/17 07:00:00 PM,10.810,,,,,
9,07/22/17 08:00:00 PM,9.015,,,,,
10,07/22/17 09:00:00 PM,7.217,,,,,
11,07/22/17 10:00:00 PM,5.616,,,,,
12,07/22/17 11:00:00 PM,4.480,,,,,
13,07/23/17 12:00:00 AM,3.696,,,,,
14,07/23/17 01:00:00 AM,3.142,,,,,
15,07/23/17 02:00:00 AM,2.717,,,,,
16,07/23/17 03:00:00 AM,2.423,,,,,
17,07/23/17 04:00:00 AM,2.262,,,,,
18,07/23/17 05:00:00 AM,2.047,,,,,
19,07/23/17 06:00:00 AM,1.859,,,,,
20,07/23/17 07:00:00 AM,1.697,,,,,
21,07/23/17 08:00:00 AM,1.832,,,,,
22,07/23/17 09:00:00 AM,2.823,,,,,
23,07/23/17 10:00:00 AM,4.610,,,,,
24,07/23/17 11:00:00 AM,6.813,,,,,
25,07/23/17 12:00:00 PM,9.089,,,,,
26,07/23/17 01:00:00 PM,11.005,,,,,
27,07/23/17 02:00:00 PM,11.613,,,,,
28,07/23/17 03:00:00 PM,11.346,,,,,
29,07/23/17 04:00:00 PM,10.736,,,,,
30,07/23/17 05:00:00 PM,10.492,,,,,
31,07/23/17 06:00:00 PM,9.805,,,,,
32,07/23/17 07:00:00 PM,9.829,,,,,
33,07/23/17 08:00:00 PM,8.344,,,,,
34,07/23/17 09:00:00 PM,6.864,,,,,
35,07/23/17 10:00:00 PM,5.565,,,,,
36,07/23/17 11:00:00 PM,4.610,,,,,
37,07/24/17 12:00:00 AM,3.958,,,,,
38,07/24/17 01:00:00 AM,3.538,,,,,
39,07/24/17 02:00:00 AM,3.274,,,,,
40,07/24/17 03:00:00 AM,3.116,,,,,
41,07/24/17 04:00:00 AM,2.956,,,,,
42,07/24/17 05:00:00 AM,2.797,,,,,
43,07/24/17 06:00:00 AM,2.584,,,,,
44,07/24/17 07:00:00 AM,2.477,,,,,
45,07/24/17 08:00:00 AM,2.637,,,,,
46,07/24/17 09:00:00 AM,3.538,,,,,
47,07/24/17 10:00:00 AM,5.154,,,,,
48,07/24/17 11:00:00 AM,6.965,,,,,
49,07/24/17 12:00:00 PM,8.916,,,,,
50,07/24/17 01:00:00 PM,10.761,,,,,
51,07/24/17 02:00:00 PM,12.243,,,,,
52,07/24/17 03:00:00 PM,13.353,,,,,
53,07/24/17 04:00:00 PM,13.810,,,,,
54,07/24/17 05:00:00 PM,13.618,,,,,
55,07/24/17 06:00:00 PM,11.053,,,,,
56,07/24/17 07:00:00 PM,9.213,,,,,
57,07/24/17 08:00:00 PM,7.845,,,,,
58,07/24/17 09:00:00 PM,6.839,,,,,
59,07/24/17 10:00:00 PM,5.745,,,,,
60,07/24/17 11:00:00 PM,4.792,,,,,
61,07/25/17 12:00:00 AM,4.220,,,,,
62,07/25/17 01:00:00 AM,3.906,,,,,
63,07/25/17 02:00:00 AM,3.591,,,,,
64,07/25/17 03:00:00 AM,3.168,,,,,
65,07/25/17 04:00:00 AM,2.770,,,,,
66,07/25/17 05:00:00 AM,2.637,,,,,
67,07/25/17 06:00:00 AM,2.396,,,,,
68,07/25/17 07:00:00 AM,2.236,,,,,
69,07/25/17 08:00:00 AM,2.503,,,,,
70,07/25/17 09:00:00 AM,3.195,,,,,
71,07/25/17 10:00:00 AM,5.024,,,,,
72,07/25/17 11:00:00 AM,6.026,,,,,
73,07/25/17 12:00:00 PM,5.693,,,,,
74,07/25/17 01:00:00 PM,5.437,,,,,
75,07/25/17 02:00:00 PM,5.411,,,,,
76,07/25/17 03:00:00 PM,5.231,,,,,
77,07/25/17 04:00:00 PM,5.385,,,,,
78,07/25/17 05:00:00 PM,5.334,,,,,
79,07/25/17 06:00:00 PM,5.102,,,,,
80,07/25/17 07:00:00 PM,4.662,,,,,
81,07/25/17 08:00:00 PM,4.324,,,,,
82,07/25/17 09:00:00 PM,4.168,,,,,
83,07/25/17 10:00:00 PM,3.327,,,,,
84,07/25/17 11:00:00 PM,2.770,,,,,
85,07/26/17 12:00:00 AM,2.477,,,,,
86,07/26/17 01:00:00 AM,2.262,,,,,
87,07/26/17 02:00:00 AM,2.074,,,,,
88,07/26/17 03:00:00 AM,1.913,,,,,
89,07/26/17 04:00:00 AM,1.778,,,,,
90,07/26/17 05:00:00 AM,1.670,,,,,
91,07/26/17 06:00:00 AM,1.588,,,,,
92,07/26/17 07:00:00 AM,1.480,,,,,
93,07/26/17 08:00:00 AM,1.670,,,,,
94,07/26/17 09:00:00 AM,2.610,,,,,
95,07/26/17 10:00:00 AM,4.272,,,,,
96,07/26/17 11:00:00 AM,6.026,,,,,
97,07/26/17 12:00:00 PM,8.020,,,,,
98,07/26/17 01:00:00 PM,9.558,,,,,
99,07/26/17 02:00:00 PM,9.805,,,,,
100,07/26/17 03:00:00 PM,8.717,,,,,
101,07/26/17 04:00:00 PM,9.731,,,,,
102,07/26/17 05:00:00 PM,9.163,,,,,
103,07/26/17 06:00:00 PM,9.163,,,,,
104,07/26/17 07:00:00 PM,7.820,,,,,
105,07/26/17 08:00:00 PM,7.393,,,,,
106,07/26/17 09:00:00 PM,6.636,,,,,
107,07/26/17 10:00:00 PM,5.668,,,,,
108,07/26/17 11:00:00 PM,4.921,,,,,
109,07/27/17 12:00:00 AM,4.272,,,,,
110,07/27/17 01:00:00 AM,4.063,,,,,
111,07/27/17 02:00:00 AM,4.037,,,,,
112,07/27/17 03:00:00 AM,3.985,,,,,
