"Plot Title: 20224665"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20224665, SEN S/N: 20224665)","Coupler Detached (LGR S/N: 20224665)","Coupler Attached (LGR S/N: 20224665)","Host Connected (LGR S/N: 20224665)","Stopped (LGR S/N: 20224665)","End Of File (LGR S/N: 20224665)"
1,08/03/20 06:10:22 PM,25.744,,,,,
2,08/03/20 06:10:52 PM,,Logged,,,,
3,08/03/20 07:10:22 PM,23.424,,,,,
4,08/03/20 08:10:22 PM,23.136,,,,,
5,08/03/20 09:10:22 PM,22.992,,,,,
6,08/03/20 10:10:22 PM,22.848,,,,,
7,08/03/20 11:10:22 PM,22.633,,,,,
8,08/04/20 12:10:22 AM,22.513,,,,,
9,08/04/20 01:10:22 AM,22.417,,,,,
10,08/04/20 02:10:22 AM,22.298,,,,,
11,08/04/20 03:10:22 AM,22.202,,,,,
12,08/04/20 04:10:22 AM,22.058,,,,,
13,08/04/20 05:10:22 AM,21.939,,,,,
14,08/04/20 06:10:22 AM,21.819,,,,,
15,08/04/20 07:10:22 AM,21.939,,,,,
16,08/04/20 08:10:22 AM,23.304,,,,,
17,08/04/20 09:10:22 AM,23.328,,,,,
18,08/04/20 10:10:22 AM,23.064,,,,,
19,08/04/20 11:10:22 AM,23.064,,,,,
20,08/04/20 12:10:22 PM,23.569,,,,,
21,08/04/20 01:10:22 PM,23.737,,,,,
22,08/04/20 02:10:22 PM,23.809,,,,,
23,08/04/20 03:10:22 PM,23.881,,,,,
24,08/04/20 04:10:22 PM,23.978,,,,,
25,08/04/20 05:10:22 PM,24.026,,,,,
26,08/04/20 06:10:22 PM,24.895,,,,,
27,08/04/20 07:10:22 PM,27.850,,,,,
28,08/04/20 08:10:22 PM,26.304,,,,,
29,08/04/20 09:10:22 PM,23.208,,,,,
30,08/04/20 10:10:22 PM,21.056,,,,,
31,08/04/20 11:10:22 PM,19.270,,,,,
32,08/05/20 12:10:22 AM,17.772,,,,,
33,08/05/20 01:10:22 AM,16.558,,,,,
34,08/05/20 02:10:22 AM,15.557,,,,,
35,08/05/20 03:10:22 AM,15.127,,,,,
36,08/05/20 04:10:22 AM,15.055,,,,,
37,08/05/20 05:10:22 AM,15.008,,,,,
38,08/05/20 06:10:22 AM,15.055,,,,,
39,08/05/20 07:10:22 AM,14.457,,,,,
40,08/05/20 08:10:22 AM,16.272,,,,,
41,08/05/20 09:10:22 AM,20.055,,,,,
42,08/05/20 10:10:22 AM,26.207,,,,,
43,08/05/20 11:10:22 AM,32.304,,,,,
44,08/05/20 12:10:22 PM,36.444,,,,,
45,08/05/20 01:10:22 PM,38.421,,,,,
46,08/05/20 02:10:22 PM,36.606,,,,,
47,08/05/20 03:10:22 PM,35.877,,,,,
48,08/05/20 04:10:22 PM,36.119,,,,,
49,08/05/20 05:10:22 PM,36.769,,,,,
50,08/05/20 06:10:22 PM,36.200,,,,,
51,08/05/20 07:10:22 PM,34.651,,,,,
52,08/05/20 08:10:22 PM,32.330,,,,,
53,08/05/20 09:10:22 PM,24.122,,,,,
54,08/05/20 10:10:22 PM,21.461,,,,,
55,08/05/20 11:10:22 PM,19.817,,,,,
56,08/06/20 12:10:22 AM,18.461,,,,,
57,08/06/20 01:10:22 AM,17.272,,,,,
58,08/06/20 02:10:22 AM,16.701,,,,,
59,08/06/20 03:10:22 AM,16.296,,,,,
60,08/06/20 04:10:22 AM,16.082,,,,,
61,08/06/20 05:10:22 AM,16.177,,,,,
62,08/06/20 06:10:22 AM,16.082,,,,,
63,08/06/20 07:10:22 AM,16.082,,,,,
64,08/06/20 08:10:22 AM,15.796,,,,,
65,08/06/20 09:10:22 AM,18.652,,,,,
66,08/06/20 10:10:22 AM,20.627,,,,,
67,08/06/20 11:10:22 AM,21.461,,,,,
68,08/06/20 12:10:22 PM,22.106,,,,,
69,08/06/20 01:10:22 PM,23.665,,,,,
70,08/06/20 02:10:22 PM,26.426,,,,,
71,08/06/20 03:10:22 PM,28.468,,,,,
72,08/06/20 04:10:22 PM,30.495,,,,,
73,08/06/20 05:10:22 PM,31.331,,,,,
74,08/06/20 06:10:22 PM,30.268,,,,,
75,08/06/20 07:10:22 PM,28.916,,,,,
76,08/06/20 08:10:22 PM,27.210,,,,,
77,08/06/20 09:10:22 PM,26.280,,,,,
78,08/06/20 10:10:22 PM,25.283,,,,,
79,08/06/20 11:10:22 PM,24.171,,,,,
80,08/07/20 12:10:22 AM,22.824,,,,,
81,08/07/20 01:10:22 AM,21.318,,,,,
82,08/07/20 02:10:22 AM,20.007,,,,,
83,08/07/20 03:10:22 AM,18.818,,,,,
84,08/07/20 04:10:22 AM,17.677,,,,,
85,08/07/20 05:10:22 AM,16.558,,,,,
86,08/07/20 06:10:22 AM,15.533,,,,,
87,08/07/20 07:10:22 AM,14.625,,,,,
88,08/07/20 08:10:22 AM,13.594,,,,,
89,08/07/20 09:10:22 AM,13.618,,,,,
90,08/07/20 10:10:22 AM,17.938,,,,,
91,08/07/20 11:10:22 AM,21.151,,,,,
92,08/07/20 12:10:22 PM,21.795,,,,,
93,08/07/20 01:10:22 PM,23.040,,,,,
94,08/07/20 02:10:22 PM,37.178,,,,,
95,08/07/20 03:10:22 PM,12.534,,,,,
96,08/07/20 04:10:22 PM,12.727,,,,,
97,08/07/20 05:10:22 PM,12.582,,,,,
