"Plot Title: 10972587"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 10972587, SEN S/N: 10972587)","Coupler Detached (LGR S/N: 10972587)","Coupler Attached (LGR S/N: 10972587)","Host Connected (LGR S/N: 10972587)","Stopped (LGR S/N: 10972587)","End Of File (LGR S/N: 10972587)"
1,08/05/18 08:24:09 PM,17.558,,,,,
2,08/05/18 08:24:31 PM,,Logged,,,,
3,08/05/18 09:24:09 PM,16.415,,,,,
4,08/05/18 10:24:09 PM,16.606,,,,,
5,08/05/18 11:24:09 PM,16.296,,,,,
6,08/06/18 12:24:09 AM,15.939,,,,,
7,08/06/18 01:24:09 AM,15.366,,,,,
8,08/06/18 02:24:09 AM,14.577,,,,,
9,08/06/18 03:24:09 AM,13.810,,,,,
10,08/06/18 04:24:09 AM,12.968,,,,,
11,08/06/18 05:24:09 AM,11.953,,,,,
12,08/06/18 06:24:09 AM,10.785,,,,,
13,08/06/18 07:24:09 AM,9.977,,,,,
14,08/06/18 08:24:09 AM,10.467,,,,,
15,08/06/18 09:24:09 AM,12.630,,,,,
16,08/06/18 10:24:09 AM,15.676,,,,,
17,08/06/18 11:24:09 AM,18.010,,,,,
18,08/06/18 12:24:09 PM,19.579,,,,,
19,08/06/18 01:24:09 PM,22.058,,,,,
20,08/06/18 02:24:09 PM,23.665,,,,,
21,08/06/18 03:24:09 PM,24.823,,,,,
22,08/06/18 04:24:09 PM,26.085,,,,,
23,08/06/18 05:24:09 PM,26.304,,,,,
24,08/06/18 06:24:09 PM,26.085,,,,,
25,08/06/18 07:24:09 PM,25.113,,,,,
26,08/06/18 08:24:09 PM,23.809,,,,,
27,08/06/18 09:24:09 PM,22.369,,,,,
28,08/06/18 10:24:09 PM,21.246,,,,,
29,08/06/18 11:24:09 PM,20.007,,,,,
30,08/07/18 12:24:09 AM,18.794,,,,,
31,08/07/18 01:24:09 AM,17.677,,,,,
32,08/07/18 02:24:09 AM,16.677,,,,,
33,08/07/18 03:24:09 AM,15.843,,,,,
34,08/07/18 04:24:09 AM,15.103,,,,,
35,08/07/18 05:24:09 AM,14.481,,,,,
36,08/07/18 06:24:09 AM,13.930,,,,,
37,08/07/18 07:24:09 AM,13.594,,,,,
38,08/07/18 08:24:09 AM,13.690,,,,,
39,08/07/18 09:24:09 AM,14.242,,,,,
40,08/07/18 10:24:09 AM,14.912,,,,,
41,08/07/18 11:24:09 AM,18.628,,,,,
42,08/07/18 12:24:09 PM,22.920,,,,,
43,08/07/18 01:24:09 PM,25.914,,,,,
44,08/07/18 02:24:09 PM,26.769,,,,,
45,08/07/18 03:24:09 PM,27.136,,,,,
46,08/07/18 04:24:09 PM,6.763,,,,,
47,08/07/18 05:24:09 PM,6.179,,,,,
48,08/07/18 06:24:09 PM,5.668,,,,,
49,08/07/18 07:24:09 PM,5.308,,,,,
50,08/07/18 08:24:09 PM,4.869,,,,,
51,08/07/18 09:24:09 PM,4.376,,,,,
52,08/07/18 10:24:09 PM,4.037,,,,,
53,08/07/18 11:24:09 PM,3.801,,,,,
54,08/08/18 12:24:09 AM,3.617,,,,,
55,08/08/18 01:24:09 AM,3.459,,,,,
56,08/08/18 02:24:09 AM,3.327,,,,,
57,08/08/18 03:24:09 AM,3.221,,,,,
58,08/08/18 04:24:09 AM,3.116,,,,,
59,08/08/18 05:24:09 AM,3.009,,,,,
60,08/08/18 06:24:09 AM,2.930,,,,,
61,08/08/18 07:24:09 AM,3.116,,,,,
62,08/08/18 08:24:09 AM,3.538,,,,,
63,08/08/18 09:24:09 AM,4.194,,,,,
64,08/08/18 10:24:09 AM,5.050,,,,,
65,08/08/18 11:24:09 AM,5.975,,,,,
66,08/08/18 12:24:09 PM,6.813,,,,,
67,08/08/18 01:24:09 PM,7.419,,,,,
68,08/08/18 02:24:09 PM,7.745,,,,,
69,08/08/18 03:24:09 PM,7.695,,,,,
70,08/08/18 04:24:09 PM,7.293,,,,,
71,08/08/18 05:24:09 PM,6.737,,,,,
72,08/08/18 06:24:09 PM,6.102,,,,,
73,08/08/18 07:24:09 PM,5.514,,,,,
74,08/08/18 08:24:09 PM,4.999,,,,,
75,08/08/18 09:24:09 PM,4.558,,,,,
76,08/08/18 10:24:09 PM,4.272,,,,,
77,08/08/18 11:24:09 PM,4.037,,,,,
78,08/09/18 12:24:09 AM,3.880,,,,,
79,08/09/18 01:24:09 AM,3.749,,,,,
80,08/09/18 02:24:09 AM,3.617,,,,,
81,08/09/18 03:24:09 AM,3.485,,,,,
82,08/09/18 04:24:09 AM,3.406,,,,,
83,08/09/18 05:24:09 AM,3.274,,,,,
84,08/09/18 06:24:09 AM,3.195,,,,,
85,08/09/18 07:24:09 AM,3.406,,,,,
86,08/09/18 08:24:09 AM,3.827,,,,,
87,08/09/18 09:24:09 AM,4.506,,,,,
88,08/09/18 10:24:09 AM,5.334,,,,,
89,08/09/18 11:24:09 AM,6.204,,,,,
90,08/09/18 12:24:09 PM,7.066,,,,,
91,08/09/18 01:24:09 PM,7.619,,,,,
92,08/09/18 02:24:09 PM,7.920,,,,,
93,08/09/18 03:24:09 PM,7.619,,,,,
94,08/09/18 04:24:09 PM,7.419,,,,,
95,08/09/18 05:24:09 PM,6.839,,,,,
96,08/09/18 06:24:09 PM,6.255,,,,,
97,08/09/18 07:24:09 PM,5.719,,,,,
98,08/09/18 08:24:09 PM,5.179,,,,,
99,08/09/18 09:24:09 PM,4.740,,,,,
100,08/09/18 10:24:09 PM,4.454,,,,,
101,08/09/18 11:24:09 PM,4.220,,,,,
102,08/10/18 12:24:09 AM,4.037,,,,,
103,08/10/18 01:24:09 AM,3.880,,,,,
104,08/10/18 02:24:09 AM,3.749,,,,,
105,08/10/18 03:24:09 AM,3.643,,,,,
106,08/10/18 04:24:09 AM,3.538,,,,,
107,08/10/18 05:24:09 AM,3.433,,,,,
108,08/10/18 06:24:09 AM,3.354,,,,,
109,08/10/18 07:24:09 AM,3.591,,,,,
110,08/10/18 08:24:09 AM,4.089,,,,,
111,08/10/18 09:24:09 AM,4.688,,,,,
112,08/10/18 10:24:09 AM,5.514,,,,,
113,08/10/18 11:24:09 AM,6.382,,,,,
114,08/10/18 12:24:09 PM,7.142,,,,,
115,08/10/18 01:24:09 PM,7.745,,,,,
116,08/10/18 02:24:09 PM,8.120,,,,,
117,08/10/18 03:24:09 PM,8.020,,,,,
118,08/10/18 04:24:09 PM,7.619,,,,,
119,08/10/18 05:24:09 PM,6.990,,,,,
120,08/10/18 06:24:09 PM,6.331,,,,,
121,08/10/18 07:24:09 PM,5.745,,,,,
122,08/10/18 08:24:09 PM,5.231,,,,,
123,08/10/18 09:24:09 PM,4.792,,,,,
124,08/10/18 10:24:09 PM,4.506,,,,,
125,08/10/18 11:24:09 PM,4.298,,,,,
126,08/11/18 12:24:09 AM,4.141,,,,,
127,08/11/18 01:24:09 AM,4.011,,,,,
128,08/11/18 02:24:09 AM,3.958,,,,,
129,08/11/18 03:24:09 AM,3.880,,,,,
130,08/11/18 04:24:09 AM,3.827,,,,,
131,08/11/18 05:24:09 AM,3.749,,,,,
132,08/11/18 06:24:09 AM,3.722,,,,,
133,08/11/18 07:24:09 AM,3.932,,,,,
134,08/11/18 08:24:09 AM,4.376,,,,,
135,08/11/18 09:24:09 AM,5.024,,,,,
136,08/11/18 10:24:09 AM,5.770,,,,,
137,08/11/18 11:24:09 AM,6.585,,,,,
138,08/11/18 12:24:09 PM,7.343,,,,,
139,08/11/18 01:24:09 PM,7.870,,,,,
140,08/11/18 02:24:09 PM,8.120,,,,,
141,08/11/18 03:24:09 PM,8.020,,,,,
142,08/11/18 04:24:09 PM,7.720,,,,,
143,08/11/18 05:24:09 PM,6.636,,,,,
144,08/11/18 06:24:09 PM,6.509,,,,,
145,08/11/18 07:24:09 PM,6.077,,,,,
146,08/11/18 08:24:09 PM,5.462,,,,,
147,08/11/18 09:24:09 PM,5.076,,,,,
148,08/11/18 10:24:09 PM,4.921,,,,,
149,08/11/18 11:24:09 PM,4.662,,,,,
150,08/12/18 12:24:09 AM,4.454,,,,,
151,08/12/18 01:24:09 AM,4.376,,,,,
152,08/12/18 02:24:09 AM,4.194,,,,,
153,08/12/18 03:24:09 AM,4.011,,,,,
154,08/12/18 04:24:09 AM,3.985,,,,,
155,08/12/18 05:24:09 AM,3.854,,,,,
156,08/12/18 06:24:09 AM,3.775,,,,,
157,08/12/18 07:24:09 AM,3.932,,,,,
158,08/12/18 08:24:09 AM,4.376,,,,,
159,08/12/18 09:24:09 AM,4.999,,,,,
160,08/12/18 10:24:09 AM,5.796,,,,,
161,08/12/18 11:24:09 AM,6.611,,,,,
162,08/12/18 12:24:09 PM,7.293,,,,,
163,08/12/18 01:24:09 PM,7.795,,,,,
164,08/12/18 02:24:09 PM,7.594,,,,,
165,08/12/18 03:24:09 PM,7.091,,,,,
166,08/12/18 04:24:09 PM,7.192,,,,,
167,08/12/18 05:24:09 PM,6.737,,,,,
168,08/12/18 06:24:09 PM,6.128,,,,,
169,08/12/18 07:24:09 PM,5.693,,,,,
170,08/12/18 08:24:09 PM,5.360,,,,,
171,08/12/18 09:24:09 PM,5.154,,,,,
172,08/12/18 10:24:09 PM,4.818,,,,,
173,08/12/18 11:24:09 PM,4.506,,,,,
174,08/13/18 12:24:09 AM,4.324,,,,,
175,08/13/18 01:24:09 AM,4.324,,,,,
176,08/13/18 02:24:09 AM,4.220,,,,,
177,08/13/18 03:24:09 AM,4.063,,,,,
178,08/13/18 04:24:09 AM,3.880,,,,,
179,08/13/18 05:24:09 AM,3.749,,,,,
180,08/13/18 06:24:09 AM,3.670,,,,,
181,08/13/18 07:24:09 AM,3.880,,,,,
182,08/13/18 08:24:09 AM,4.115,,,,,
183,08/13/18 09:24:09 AM,4.792,,,,,
184,08/13/18 10:24:09 AM,5.385,,,,,
185,08/13/18 11:24:09 AM,6.204,,,,,
186,08/13/18 12:24:09 PM,6.940,,,,,
187,08/13/18 01:24:09 PM,6.560,,,,,
188,08/13/18 02:24:09 PM,6.281,,,,,
189,08/13/18 03:24:09 PM,6.382,,,,,
190,08/13/18 04:24:09 PM,6.560,,,,,
191,08/13/18 05:24:09 PM,6.255,,,,,
192,08/13/18 06:24:09 PM,5.616,,,,,
193,08/13/18 07:24:09 PM,5.360,,,,,
194,08/13/18 08:24:09 PM,5.102,,,,,
195,08/13/18 09:24:09 PM,4.454,,,,,
196,08/13/18 10:24:09 PM,4.532,,,,,
197,08/13/18 11:24:09 PM,4.350,,,,,
198,08/14/18 12:24:09 AM,4.115,,,,,
199,08/14/18 01:24:09 AM,4.063,,,,,
