"Plot Title: 21101989"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21101989, SEN S/N: 21101989)","Coupler Detached (LGR S/N: 21101989)","Coupler Attached (LGR S/N: 21101989)","Host Connected (LGR S/N: 21101989)","Stopped (LGR S/N: 21101989)","End Of File (LGR S/N: 21101989)"
1,08/08/21 08:23:26 PM,21.342,,,,,
2,08/08/21 08:23:40 PM,,Logged,,,,
3,08/08/21 09:23:26 PM,20.603,,,,,
4,08/08/21 10:23:26 PM,21.056,,,,,
5,08/08/21 11:23:26 PM,20.627,,,,,
6,08/09/21 12:23:26 AM,20.341,,,,,
7,08/09/21 01:23:26 AM,19.770,,,,,
8,08/09/21 02:23:26 AM,19.151,,,,,
9,08/09/21 03:23:26 AM,18.343,,,,,
10,08/09/21 04:23:26 AM,17.344,,,,,
11,08/09/21 05:23:26 AM,16.320,,,,,
12,08/09/21 06:23:26 AM,15.509,,,,,
13,08/09/21 07:23:26 AM,15.151,,,,,
14,08/09/21 08:23:26 AM,20.126,,,,,
15,08/09/21 09:23:26 AM,28.717,,,,,
16,08/09/21 10:23:26 AM,33.521,,,,,
17,08/09/21 11:23:26 AM,34.757,,,,,
18,08/09/21 12:23:26 PM,35.128,,,,,
19,08/09/21 01:23:26 PM,35.582,,,,,
20,08/09/21 02:23:26 PM,37.042,,,,,
21,08/09/21 03:23:26 PM,39.460,,,,,
22,08/09/21 04:23:26 PM,40.833,,,,,
23,08/09/21 05:23:26 PM,42.060,,,,,
24,08/09/21 06:23:26 PM,40.429,,,,,
25,08/09/21 07:23:26 PM,29.015,,,,,
26,08/09/21 08:23:26 PM,23.040,,,,,
27,08/09/21 09:23:26 PM,19.579,,,,,
28,08/09/21 10:23:26 PM,17.177,,,,,
29,08/09/21 11:23:26 PM,16.249,,,,,
30,08/10/21 12:23:26 AM,15.008,,,,,
31,08/10/21 01:23:26 AM,13.786,,,,,
32,08/10/21 02:23:26 AM,12.678,,,,,
33,08/10/21 03:23:26 AM,11.637,,,,,
34,08/10/21 04:23:26 AM,10.712,,,,,
35,08/10/21 05:23:26 AM,9.731,,,,,
36,08/10/21 06:23:26 AM,8.767,,,,,
37,08/10/21 07:23:26 AM,8.045,,,,,
38,08/10/21 08:23:26 AM,8.742,,,,,
39,08/10/21 09:23:26 AM,15.700,,,,,
40,08/10/21 10:23:26 AM,23.208,,,,,
41,08/10/21 11:23:26 AM,29.640,,,,,
42,08/10/21 12:23:26 PM,33.417,,,,,
43,08/10/21 01:23:26 PM,35.555,,,,,
44,08/10/21 02:23:26 PM,37.151,,,,,
45,08/10/21 03:23:26 PM,38.616,,,,,
46,08/10/21 04:23:26 PM,41.560,,,,,
47,08/10/21 05:23:26 PM,40.660,,,,,
48,08/10/21 06:23:26 PM,39.658,,,,,
49,08/10/21 07:23:26 PM,30.976,,,,,
50,08/10/21 08:23:26 PM,24.460,,,,,
51,08/10/21 09:23:26 PM,20.936,,,,,
52,08/10/21 10:23:26 PM,17.677,,,,,
53,08/10/21 11:23:26 PM,15.438,,,,,
54,08/11/21 12:23:26 AM,14.912,,,,,
55,08/11/21 01:23:26 AM,13.858,,,,,
56,08/11/21 02:23:26 AM,12.775,,,,,
57,08/11/21 03:23:26 AM,11.880,,,,,
58,08/11/21 04:23:26 AM,10.956,,,,,
59,08/11/21 05:23:26 AM,9.977,,,,,
60,08/11/21 06:23:26 AM,9.089,,,,,
61,08/11/21 07:23:26 AM,8.419,,,,,
62,08/11/21 08:23:26 AM,11.127,,,,,
63,08/11/21 09:23:26 AM,17.391,,,,,
64,08/11/21 10:23:26 AM,21.079,,,,,
65,08/11/21 11:23:26 AM,26.061,,,,,
66,08/11/21 12:23:26 PM,20.174,,,,,
67,08/11/21 01:23:26 PM,2.236,,,,,
68,08/11/21 02:23:26 PM,2.209,,,,,
69,08/11/21 03:23:26 PM,2.101,,,,,
70,08/11/21 04:23:26 PM,1.913,,,,,
71,08/11/21 05:23:26 PM,1.778,,,,,
72,08/11/21 06:23:26 PM,1.751,,,,,
73,08/11/21 07:23:26 PM,1.724,,,,,
74,08/11/21 08:23:26 PM,1.724,,,,,
75,08/11/21 09:23:26 PM,1.697,,,,,
76,08/11/21 10:23:26 PM,1.670,,,,,
77,08/11/21 11:23:26 PM,1.670,,,,,
78,08/12/21 12:23:26 AM,1.670,,,,,
79,08/12/21 01:23:26 AM,1.670,,,,,
80,08/12/21 02:23:26 AM,1.643,,,,,
81,08/12/21 03:23:26 AM,1.643,,,,,
82,08/12/21 04:23:26 AM,1.615,,,,,
83,08/12/21 05:23:26 AM,1.615,,,,,
84,08/12/21 06:23:26 AM,1.615,,,,,
85,08/12/21 07:23:26 AM,1.615,,,,,
86,08/12/21 08:23:26 AM,1.724,,,,,
87,08/12/21 09:23:26 AM,1.940,,,,,
88,08/12/21 10:23:26 AM,2.209,,,,,
89,08/12/21 11:23:26 AM,2.423,,,,,
90,08/12/21 12:23:26 PM,2.370,,,,,
91,08/12/21 01:23:26 PM,2.289,,,,,
92,08/12/21 02:23:26 PM,2.236,,,,,
