"Plot Title: 20861406"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20861406, SEN S/N: 20861406)","Coupler Detached (LGR S/N: 20861406)","Coupler Attached (LGR S/N: 20861406)","Host Connected (LGR S/N: 20861406)","Stopped (LGR S/N: 20861406)","End Of File (LGR S/N: 20861406)"
1,08/08/21 08:19:16 PM,21.628,,,,,
2,08/08/21 08:19:24 PM,,Logged,,,,
3,08/08/21 09:19:16 PM,22.178,,,,,
4,08/08/21 10:19:16 PM,22.298,,,,,
5,08/08/21 11:19:16 PM,21.939,,,,,
6,08/09/21 12:19:16 AM,21.533,,,,,
7,08/09/21 01:19:16 AM,21.056,,,,,
8,08/09/21 02:19:16 AM,20.507,,,,,
9,08/09/21 03:19:16 AM,19.865,,,,,
10,08/09/21 04:19:16 AM,19.103,,,,,
11,08/09/21 05:19:16 AM,18.247,,,,,
12,08/09/21 06:19:16 AM,17.439,,,,,
13,08/09/21 07:19:16 AM,16.630,,,,,
14,08/09/21 08:19:16 AM,17.724,,,,,
15,08/09/21 09:19:16 AM,23.472,,,,,
16,08/09/21 10:19:16 AM,28.965,,,,,
17,08/09/21 11:19:16 AM,31.306,,,,,
18,08/09/21 12:19:16 PM,32.330,,,,,
19,08/09/21 01:19:16 PM,32.975,,,,,
20,08/09/21 02:19:16 PM,33.992,,,,,
21,08/09/21 03:19:16 PM,35.743,,,,,
22,08/09/21 04:19:16 PM,37.453,,,,,
23,08/09/21 05:19:16 PM,38.840,,,,,
24,08/09/21 06:19:16 PM,39.488,,,,,
25,08/09/21 07:19:16 PM,35.102,,,,,
26,08/09/21 08:19:16 PM,29.765,,,,,
27,08/09/21 09:19:16 PM,25.574,,,,,
28,08/09/21 10:19:16 PM,21.437,,,,,
29,08/09/21 11:19:16 PM,19.199,,,,,
30,08/10/21 12:19:16 AM,17.605,,,,,
31,08/10/21 01:19:16 AM,16.177,,,,,
32,08/10/21 02:19:16 AM,14.888,,,,,
33,08/10/21 03:19:16 AM,13.714,,,,,
34,08/10/21 04:19:16 AM,12.606,,,,,
35,08/10/21 05:19:16 AM,11.589,,,,,
36,08/10/21 06:19:16 AM,10.565,,,,,
37,08/10/21 07:19:16 AM,9.632,,,,,
38,08/10/21 08:19:16 AM,8.891,,,,,
39,08/10/21 09:19:16 AM,12.316,,,,,
40,08/10/21 10:19:16 AM,16.272,,,,,
41,08/10/21 11:19:16 AM,22.011,,,,,
42,08/10/21 12:19:16 PM,27.063,,,,,
43,08/10/21 01:19:16 PM,30.596,,,,,
44,08/10/21 02:19:16 PM,33.105,,,,,
45,08/10/21 03:19:16 PM,35.182,,,,,
46,08/10/21 04:19:16 PM,38.143,,,,,
47,08/10/21 05:19:16 PM,40.257,,,,,
48,08/10/21 06:19:16 PM,39.658,,,,,
49,08/10/21 07:19:16 PM,36.498,,,,,
50,08/10/21 08:19:16 PM,28.717,,,,,
51,08/10/21 09:19:16 PM,24.195,,,,,
52,08/10/21 10:19:16 PM,21.795,,,,,
53,08/10/21 11:19:16 PM,19.555,,,,,
54,08/11/21 12:19:16 AM,17.891,,,,,
55,08/11/21 01:19:16 AM,16.654,,,,,
56,08/11/21 02:19:16 AM,15.461,,,,,
57,08/11/21 03:19:16 AM,14.481,,,,,
58,08/11/21 04:19:16 AM,13.642,,,,,
59,08/11/21 05:19:16 AM,12.823,,,,,
60,08/11/21 06:19:16 AM,11.953,,,,,
61,08/11/21 07:19:16 AM,11.151,,,,,
62,08/11/21 08:19:16 AM,11.443,,,,,
63,08/11/21 09:19:16 AM,14.457,,,,,
64,08/11/21 10:19:16 AM,17.249,,,,,
65,08/11/21 11:19:16 AM,23.545,,,,,
66,08/11/21 12:19:16 PM,27.161,,,,,
67,08/11/21 01:19:16 PM,30.293,,,,,
68,08/11/21 02:19:16 PM,30.874,,,,,
69,08/11/21 03:19:16 PM,31.561,,,,,
70,08/11/21 04:19:16 PM,35.128,,,,,
71,08/11/21 05:19:16 PM,32.639,,,,,
72,08/11/21 06:19:16 PM,31.153,,,,,
73,08/11/21 07:19:16 PM,30.646,,,,,
74,08/11/21 08:19:16 PM,29.840,,,,,
75,08/11/21 09:19:16 PM,26.842,,,,,
76,08/11/21 10:19:16 PM,23.857,,,,,
77,08/11/21 11:19:16 PM,22.298,,,,,
78,08/12/21 12:19:16 AM,21.151,,,,,
79,08/12/21 01:19:16 AM,20.222,,,,,
80,08/12/21 02:19:16 AM,19.270,,,,,
81,08/12/21 03:19:16 AM,18.343,,,,,
82,08/12/21 04:19:16 AM,17.534,,,,,
83,08/12/21 05:19:16 AM,16.725,,,,,
84,08/12/21 06:19:16 AM,15.939,,,,,
85,08/12/21 07:19:16 AM,13.810,,,,,
86,08/12/21 08:19:16 AM,14.074,,,,,
87,08/12/21 09:19:16 AM,15.175,,,,,
88,08/12/21 10:19:16 AM,16.034,,,,,
89,08/12/21 11:19:16 AM,17.534,,,,,
90,08/12/21 12:19:16 PM,19.008,,,,,
91,08/12/21 01:19:16 PM,20.103,,,,,
92,08/12/21 02:19:16 PM,19.579,,,,,
93,08/12/21 03:19:16 PM,19.484,,,,,
94,08/12/21 04:19:16 PM,18.604,,,,,
95,08/12/21 05:19:16 PM,17.225,,,,,
96,08/12/21 06:19:16 PM,15.605,,,,,
97,08/12/21 07:19:16 PM,13.161,,,,,
98,08/12/21 08:19:16 PM,11.565,,,,,
99,08/12/21 09:19:16 PM,10.492,,,,,
100,08/12/21 10:19:16 PM,9.854,,,,,
101,08/12/21 11:19:16 PM,9.336,,,,,
102,08/13/21 12:19:16 AM,8.941,,,,,
103,08/13/21 01:19:16 AM,8.693,,,,,
104,08/13/21 02:19:16 AM,8.394,,,,,
105,08/13/21 03:19:16 AM,8.145,,,,,
