"Plot Title: 20861405"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20861405, SEN S/N: 20861405)","Coupler Detached (LGR S/N: 20861405)","Coupler Attached (LGR S/N: 20861405)","Host Connected (LGR S/N: 20861405)","Stopped (LGR S/N: 20861405)","End Of File (LGR S/N: 20861405)"
1,08/08/21 08:21:43 PM,21.700,,,,,
2,08/08/21 08:21:54 PM,,Logged,,,,
3,08/08/21 09:21:43 PM,21.318,,,,,
4,08/08/21 10:21:43 PM,21.676,,,,,
5,08/08/21 11:21:43 PM,21.294,,,,,
6,08/09/21 12:21:43 AM,20.960,,,,,
7,08/09/21 01:21:43 AM,20.436,,,,,
8,08/09/21 02:21:43 AM,19.865,,,,,
9,08/09/21 03:21:43 AM,19.127,,,,,
10,08/09/21 04:21:43 AM,18.247,,,,,
11,08/09/21 05:21:43 AM,17.296,,,,,
12,08/09/21 06:21:43 AM,16.487,,,,,
13,08/09/21 07:21:43 AM,15.796,,,,,
14,08/09/21 08:21:43 AM,18.747,,,,,
15,08/09/21 09:21:43 AM,25.720,,,,,
16,08/09/21 10:21:43 AM,30.571,,,,,
17,08/09/21 11:21:43 AM,32.820,,,,,
18,08/09/21 12:21:43 PM,33.678,,,,,
19,08/09/21 01:21:43 PM,34.308,,,,,
20,08/09/21 02:21:43 PM,35.636,,,,,
21,08/09/21 03:21:43 PM,37.783,,,,,
22,08/09/21 04:21:43 PM,39.431,,,,,
23,08/09/21 05:21:43 PM,40.775,,,,,
24,08/09/21 06:21:43 PM,40.314,,,,,
25,08/09/21 07:21:43 PM,31.510,,,,,
26,08/09/21 08:21:43 PM,26.842,,,,,
27,08/09/21 09:21:43 PM,22.513,,,,,
28,08/09/21 10:21:43 PM,19.246,,,,,
29,08/09/21 11:21:43 PM,17.748,,,,,
30,08/10/21 12:21:43 AM,16.344,,,,,
31,08/10/21 01:21:43 AM,15.031,,,,,
32,08/10/21 02:21:43 AM,13.834,,,,,
33,08/10/21 03:21:43 AM,12.751,,,,,
34,08/10/21 04:21:43 AM,11.710,,,,,
35,08/10/21 05:21:43 AM,10.712,,,,,
36,08/10/21 06:21:43 AM,9.731,,,,,
37,08/10/21 07:21:43 AM,8.916,,,,,
38,08/10/21 08:21:43 AM,8.717,,,,,
39,08/10/21 09:21:43 AM,14.242,,,,,
40,08/10/21 10:21:43 AM,19.199,,,,,
41,08/10/21 11:21:43 AM,25.234,,,,,
42,08/10/21 12:21:43 PM,29.815,,,,,
43,08/10/21 01:21:43 PM,32.742,,,,,
44,08/10/21 02:21:43 PM,34.783,,,,,
