"Plot Title: 21101990"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21101990, SEN S/N: 21101990)","Coupler Detached (LGR S/N: 21101990)","Coupler Attached (LGR S/N: 21101990)","Host Connected (LGR S/N: 21101990)","Stopped (LGR S/N: 21101990)","End Of File (LGR S/N: 21101990)"
1,08/05/21 08:13:56 PM,25.525,,,,,
2,08/05/21 08:14:13 PM,,Logged,,,,
3,08/05/21 09:13:56 PM,22.753,,,,,
4,08/05/21 10:13:56 PM,22.154,,,,,
5,08/05/21 11:13:56 PM,21.461,,,,,
6,08/06/21 12:13:56 AM,20.246,,,,,
7,08/06/21 01:13:56 AM,19.270,,,,,
8,08/06/21 02:13:56 AM,18.461,,,,,
9,08/06/21 03:13:56 AM,17.486,,,,,
10,08/06/21 04:13:56 AM,16.415,,,,,
11,08/06/21 05:13:56 AM,15.676,,,,,
12,08/06/21 06:13:56 AM,15.008,,,,,
13,08/06/21 07:13:56 AM,14.697,,,,,
14,08/06/21 08:13:56 AM,15.390,,,,,
15,08/06/21 09:13:56 AM,18.129,,,,,
16,08/06/21 10:13:56 AM,17.701,,,,,
17,08/06/21 11:13:56 AM,17.391,,,,,
18,08/06/21 12:13:56 PM,17.296,,,,,
19,08/06/21 01:13:56 PM,17.938,,,,,
20,08/06/21 02:13:56 PM,18.842,,,,,
21,08/06/21 03:13:56 PM,19.674,,,,,
22,08/06/21 04:13:56 PM,17.082,,,,,
23,08/06/21 05:13:56 PM,31.255,,,,,
24,08/06/21 06:13:56 PM,23.881,,,,,
25,08/06/21 07:13:56 PM,19.746,,,,,
26,08/06/21 08:13:56 PM,18.675,,,,,
27,08/06/21 09:13:56 PM,16.296,,,,,
28,08/06/21 10:13:56 PM,14.912,,,,,
29,08/06/21 11:13:56 PM,13.546,,,,,
30,08/07/21 12:13:56 AM,12.268,,,,,
31,08/07/21 01:13:56 AM,11.248,,,,,
32,08/07/21 02:13:56 AM,10.296,,,,,
33,08/07/21 03:13:56 AM,9.435,,,,,
34,08/07/21 04:13:56 AM,8.643,,,,,
35,08/07/21 05:13:56 AM,7.995,,,,,
36,08/07/21 06:13:56 AM,7.393,,,,,
37,08/07/21 07:13:56 AM,6.889,,,,,
38,08/07/21 08:13:56 AM,7.645,,,,,
39,08/07/21 09:13:56 AM,9.262,,,,,
40,08/07/21 10:13:56 AM,10.858,,,,,
41,08/07/21 11:13:56 AM,13.642,,,,,
42,08/07/21 12:13:56 PM,18.699,,,,,
43,08/07/21 01:13:56 PM,19.579,,,,,
44,08/07/21 02:13:56 PM,19.532,,,,,
45,08/07/21 03:13:56 PM,19.508,,,,,
46,08/07/21 04:13:56 PM,19.865,,,,,
47,08/07/21 05:13:56 PM,20.198,,,,,
48,08/07/21 06:13:56 PM,19.841,,,,,
49,08/07/21 07:13:56 PM,24.171,,,,,
50,08/07/21 08:13:56 PM,2.289,,,,,
51,08/07/21 09:13:56 PM,2.262,,,,,
52,08/07/21 10:13:56 PM,2.262,,,,,
53,08/07/21 11:13:56 PM,2.262,,,,,
54,08/08/21 12:13:56 AM,2.262,,,,,
55,08/08/21 01:13:56 AM,2.262,,,,,
56,08/08/21 02:13:56 AM,2.262,,,,,
57,08/08/21 03:13:56 AM,2.262,,,,,
58,08/08/21 04:13:56 AM,2.262,,,,,
59,08/08/21 05:13:56 AM,2.262,,,,,
60,08/08/21 06:13:56 AM,2.262,,,,,
61,08/08/21 07:13:56 AM,2.262,,,,,
62,08/08/21 08:13:56 AM,2.262,,,,,
63,08/08/21 09:13:56 AM,2.289,,,,,
64,08/08/21 10:13:56 AM,2.316,,,,,
65,08/08/21 11:13:56 AM,2.316,,,,,
66,08/08/21 12:13:56 PM,2.316,,,,,
67,08/08/21 01:13:56 PM,2.343,,,,,
68,08/08/21 02:13:56 PM,2.316,,,,,
69,08/08/21 03:13:56 PM,2.343,,,,,
70,08/08/21 04:13:56 PM,2.316,,,,,
71,08/08/21 05:13:56 PM,2.316,,,,,
72,08/08/21 06:13:56 PM,2.289,,,,,
73,08/08/21 07:13:56 PM,2.289,,,,,
74,08/08/21 08:13:56 PM,2.289,,,,,
75,08/08/21 09:13:56 PM,2.262,,,,,
76,08/08/21 10:13:56 PM,2.289,,,,,
77,08/08/21 11:13:56 PM,2.262,,,,,
78,08/09/21 12:13:56 AM,2.262,,,,,
79,08/09/21 01:13:56 AM,2.262,,,,,
80,08/09/21 02:13:56 AM,2.262,,,,,
81,08/09/21 03:13:56 AM,2.262,,,,,
82,08/09/21 04:13:56 AM,2.262,,,,,
83,08/09/21 05:13:56 AM,2.262,,,,,
84,08/09/21 06:13:56 AM,2.262,,,,,
85,08/09/21 07:13:56 AM,2.262,,,,,
86,08/09/21 08:13:56 AM,2.262,,,,,
87,08/09/21 09:13:56 AM,2.289,,,,,
88,08/09/21 10:13:56 AM,2.289,,,,,
89,08/09/21 11:13:56 AM,2.316,,,,,
90,08/09/21 12:13:56 PM,2.343,,,,,
91,08/09/21 01:13:56 PM,2.343,,,,,
92,08/09/21 02:13:56 PM,2.343,,,,,
93,08/09/21 03:13:56 PM,2.343,,,,,
94,08/09/21 04:13:56 PM,2.316,,,,,
95,08/09/21 05:13:56 PM,2.316,,,,,
96,08/09/21 06:13:56 PM,2.289,,,,,
97,08/09/21 07:13:56 PM,2.289,,,,,
98,08/09/21 08:13:56 PM,2.262,,,,,
99,08/09/21 09:13:56 PM,2.262,,,,,
100,08/09/21 10:13:56 PM,2.262,,,,,
101,08/09/21 11:13:56 PM,2.262,,,,,
102,08/10/21 12:13:56 AM,2.262,,,,,
103,08/10/21 01:13:56 AM,2.262,,,,,
104,08/10/21 02:13:56 AM,2.262,,,,,
105,08/10/21 03:13:56 AM,2.262,,,,,
106,08/10/21 04:13:56 AM,2.262,,,,,
107,08/10/21 05:13:56 AM,2.262,,,,,
108,08/10/21 06:13:56 AM,2.262,,,,,
109,08/10/21 07:13:56 AM,2.262,,,,,
110,08/10/21 08:13:56 AM,2.262,,,,,
111,08/10/21 09:13:56 AM,2.289,,,,,
112,08/10/21 10:13:56 AM,2.316,,,,,
113,08/10/21 11:13:56 AM,2.316,,,,,
114,08/10/21 12:13:56 PM,2.343,,,,,
115,08/10/21 01:13:56 PM,2.343,,,,,
116,08/10/21 02:13:56 PM,2.343,,,,,
117,08/10/21 03:13:56 PM,2.343,,,,,
118,08/10/21 04:13:56 PM,2.316,,,,,
119,08/10/21 05:13:56 PM,2.316,,,,,
120,08/10/21 06:13:56 PM,2.316,,,,,
121,08/10/21 07:13:56 PM,2.289,,,,,
122,08/10/21 08:13:56 PM,2.262,,,,,
123,08/10/21 09:13:56 PM,2.262,,,,,
124,08/10/21 10:13:56 PM,2.262,,,,,
125,08/10/21 11:13:56 PM,2.262,,,,,
126,08/11/21 12:13:56 AM,2.262,,,,,
127,08/11/21 01:13:56 AM,2.262,,,,,
128,08/11/21 02:13:56 AM,2.262,,,,,
129,08/11/21 03:13:56 AM,2.262,,,,,
130,08/11/21 04:13:56 AM,2.262,,,,,
131,08/11/21 05:13:56 AM,2.262,,,,,
132,08/11/21 06:13:56 AM,2.262,,,,,
133,08/11/21 07:13:56 AM,2.262,,,,,
134,08/11/21 08:13:56 AM,2.262,,,,,
135,08/11/21 09:13:56 AM,2.289,,,,,
136,08/11/21 10:13:56 AM,2.316,,,,,
137,08/11/21 11:13:56 AM,2.343,,,,,
138,08/11/21 12:13:56 PM,2.316,,,,,
139,08/11/21 01:13:56 PM,2.343,,,,,
140,08/11/21 02:13:56 PM,2.370,,,,,
141,08/11/21 03:13:56 PM,2.343,,,,,
142,08/11/21 04:13:56 PM,2.343,,,,,
143,08/11/21 05:13:56 PM,2.316,,,,,
144,08/11/21 06:13:56 PM,2.316,,,,,
145,08/11/21 07:13:56 PM,2.289,,,,,
146,08/11/21 08:13:56 PM,2.289,,,,,
147,08/11/21 09:13:56 PM,2.289,,,,,
148,08/11/21 10:13:56 PM,2.262,,,,,
149,08/11/21 11:13:56 PM,2.262,,,,,
150,08/12/21 12:13:56 AM,2.262,,,,,
151,08/12/21 01:13:56 AM,2.262,,,,,
152,08/12/21 02:13:56 AM,2.262,,,,,
153,08/12/21 03:13:56 AM,2.262,,,,,
154,08/12/21 04:13:56 AM,2.262,,,,,
155,08/12/21 05:13:56 AM,2.262,,,,,
156,08/12/21 06:13:56 AM,2.262,,,,,
157,08/12/21 07:13:56 AM,2.262,,,,,
158,08/12/21 08:13:56 AM,2.262,,,,,
159,08/12/21 09:13:56 AM,2.289,,,,,
160,08/12/21 10:13:56 AM,2.316,,,,,
161,08/12/21 11:13:56 AM,2.343,,,,,
162,08/12/21 12:13:56 PM,2.370,,,,,
163,08/12/21 01:13:56 PM,2.370,,,,,
164,08/12/21 02:13:56 PM,2.370,,,,,
165,08/12/21 03:13:56 PM,2.370,,,,,
166,08/12/21 04:13:56 PM,2.370,,,,,
167,08/12/21 05:13:56 PM,2.343,,,,,
168,08/12/21 06:13:56 PM,2.316,,,,,
169,08/12/21 07:13:56 PM,2.316,,,,,
170,08/12/21 08:13:56 PM,2.289,,,,,
171,08/12/21 09:13:56 PM,2.289,,,,,
172,08/12/21 10:13:56 PM,2.289,,,,,
173,08/12/21 11:13:56 PM,2.289,,,,,
174,08/13/21 12:13:56 AM,2.289,,,,,
175,08/13/21 01:13:56 AM,2.289,,,,,
176,08/13/21 02:13:56 AM,2.289,,,,,
177,08/13/21 03:13:56 AM,2.289,,,,,
178,08/13/21 04:13:56 AM,2.289,,,,,
179,08/13/21 05:13:56 AM,2.289,,,,,
180,08/13/21 06:13:56 AM,2.289,,,,,
181,08/13/21 07:13:56 AM,2.289,,,,,
182,08/13/21 08:13:56 AM,2.289,,,,,
183,08/13/21 09:13:56 AM,2.316,,,,,
