"Plot Title: 20571725"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20571725, SEN S/N: 20571725)","Coupler Detached (LGR S/N: 20571725)","Coupler Attached (LGR S/N: 20571725)","Host Connected (LGR S/N: 20571725)","Stopped (LGR S/N: 20571725)","End Of File (LGR S/N: 20571725)"
1,08/10/23 03:05:30 PM,27.259,,,,,
2,08/10/23 03:05:39 PM,,Logged,,,,
3,08/10/23 04:05:30 PM,27.259,,,,,
4,08/10/23 05:05:30 PM,24.919,,,,,
5,08/10/23 06:05:30 PM,23.352,,,,,
6,08/10/23 07:05:30 PM,22.896,,,,,
7,08/10/23 08:05:30 PM,22.082,,,,,
8,08/10/23 09:05:30 PM,21.223,,,,,
9,08/10/23 10:05:30 PM,20.650,,,,,
10,08/10/23 11:05:30 PM,20.222,,,,,
11,08/11/23 12:05:30 AM,19.722,,,,,
12,08/11/23 01:05:30 AM,19.127,,,,,
13,08/11/23 02:05:30 AM,18.533,,,,,
14,08/11/23 03:05:30 AM,17.819,,,,,
15,08/11/23 04:05:30 AM,17.082,,,,,
16,08/11/23 05:05:30 AM,16.296,,,,,
17,08/11/23 06:05:30 AM,15.461,,,,,
18,08/11/23 07:05:30 AM,14.625,,,,,
19,08/11/23 08:05:30 AM,14.864,,,,,
20,08/11/23 09:05:30 AM,15.986,,,,,
21,08/11/23 10:05:30 AM,18.295,,,,,
22,08/11/23 11:05:30 AM,20.770,,,,,
23,08/11/23 12:05:30 PM,23.569,,,,,
24,08/11/23 01:05:30 PM,26.622,,,,,
25,08/11/23 02:05:30 PM,29.240,,,,,
26,08/11/23 03:05:30 PM,31.382,,,,,
27,08/11/23 04:05:30 PM,33.183,,,,,
28,08/11/23 05:05:30 PM,32.820,,,,,
29,08/11/23 06:05:30 PM,31.204,,,,,
30,08/11/23 07:05:30 PM,28.766,,,,,
31,08/11/23 08:05:30 PM,27.333,,,,,
32,08/11/23 09:05:30 PM,21.819,,,,,
33,08/11/23 10:05:30 PM,17.819,,,,,
34,08/11/23 11:05:30 PM,17.915,,,,,
35,08/12/23 12:05:30 AM,17.843,,,,,
36,08/12/23 01:05:30 AM,17.486,,,,,
37,08/12/23 02:05:30 AM,16.939,,,,,
38,08/12/23 03:05:30 AM,16.296,,,,,
39,08/12/23 04:05:30 AM,15.581,,,,,
40,08/12/23 05:05:30 AM,14.840,,,,,
41,08/12/23 06:05:30 AM,14.074,,,,,
42,08/12/23 07:05:30 AM,13.329,,,,,
43,08/12/23 08:05:30 AM,12.678,,,,,
44,08/12/23 09:05:30 AM,16.868,,,,,
45,08/12/23 10:05:30 AM,18.295,,,,,
46,08/12/23 11:05:30 AM,22.776,,,,,
47,08/12/23 12:05:30 PM,28.543,,,,,
48,08/12/23 01:05:30 PM,25.234,,,,,
49,08/12/23 02:05:30 PM,4.168,,,,,
50,08/12/23 03:05:30 PM,4.272,,,,,
51,08/12/23 04:05:30 PM,4.194,,,,,
52,08/12/23 05:05:30 PM,3.932,,,,,
53,08/12/23 06:05:30 PM,3.670,,,,,
54,08/12/23 07:05:30 PM,3.564,,,,,
55,08/12/23 08:05:30 PM,3.459,,,,,
56,08/12/23 09:05:30 PM,3.354,,,,,
57,08/12/23 10:05:30 PM,3.274,,,,,
58,08/12/23 11:05:30 PM,3.195,,,,,
59,08/13/23 12:05:30 AM,3.089,,,,,
60,08/13/23 01:05:30 AM,3.036,,,,,
61,08/13/23 02:05:30 AM,2.956,,,,,
62,08/13/23 03:05:30 AM,2.930,,,,,
63,08/13/23 04:05:30 AM,2.877,,,,,
64,08/13/23 05:05:30 AM,2.850,,,,,
65,08/13/23 06:05:30 AM,2.797,,,,,
66,08/13/23 07:05:30 AM,2.744,,,,,
67,08/13/23 08:05:30 AM,2.877,,,,,
68,08/13/23 09:05:30 AM,3.116,,,,,
69,08/13/23 10:05:30 AM,3.380,,,,,
70,08/13/23 11:05:30 AM,3.591,,,,,
71,08/13/23 12:05:30 PM,3.801,,,,,
72,08/13/23 01:05:30 PM,3.827,,,,,
73,08/13/23 02:05:30 PM,3.801,,,,,
74,08/13/23 03:05:30 PM,3.749,,,,,
75,08/13/23 04:05:30 PM,3.722,,,,,
76,08/13/23 05:05:30 PM,3.696,,,,,
77,08/13/23 06:05:30 PM,3.538,,,,,
78,08/13/23 07:05:30 PM,3.406,,,,,
79,08/13/23 08:05:30 PM,3.327,,,,,
80,08/13/23 09:05:30 PM,3.248,,,,,
81,08/13/23 10:05:30 PM,3.168,,,,,
82,08/13/23 11:05:30 PM,3.116,,,,,
83,08/14/23 12:05:30 AM,3.063,,,,,
84,08/14/23 01:05:30 AM,3.009,,,,,
85,08/14/23 02:05:30 AM,2.956,,,,,
86,08/14/23 03:05:30 AM,2.903,,,,,
87,08/14/23 04:05:30 AM,2.877,,,,,
88,08/14/23 05:05:30 AM,2.823,,,,,
89,08/14/23 06:05:30 AM,2.797,,,,,
90,08/14/23 07:05:30 AM,2.797,,,,,
91,08/14/23 08:05:30 AM,2.930,,,,,
92,08/14/23 09:05:30 AM,3.168,,,,,
93,08/14/23 10:05:30 AM,3.459,,,,,
94,08/14/23 11:05:30 AM,3.749,,,,,
95,08/14/23 12:05:30 PM,3.985,,,,,
96,08/14/23 01:05:30 PM,4.194,,,,,
97,08/14/23 02:05:30 PM,4.298,,,,,
98,08/14/23 03:05:30 PM,4.376,,,,,
99,08/14/23 04:05:30 PM,4.350,,,,,
100,08/14/23 05:05:30 PM,4.089,,,,,
101,08/14/23 06:05:30 PM,3.854,,,,,
102,08/14/23 07:05:30 PM,3.749,,,,,
103,08/14/23 08:05:30 PM,3.696,,,,,
104,08/14/23 09:05:30 PM,3.643,,,,,
105,08/14/23 10:05:30 PM,3.591,,,,,
106,08/14/23 11:05:30 PM,3.538,,,,,
107,08/15/23 12:05:30 AM,3.459,,,,,
108,08/15/23 01:05:30 AM,3.406,,,,,
109,08/15/23 02:05:30 AM,3.380,,,,,
110,08/15/23 03:05:30 AM,3.354,,,,,
111,08/15/23 04:05:30 AM,3.248,,,,,
112,08/15/23 05:05:30 AM,3.168,,,,,
113,08/15/23 06:05:30 AM,3.142,,,,,
114,08/15/23 07:05:30 AM,3.116,,,,,
115,08/15/23 08:05:30 AM,3.274,,,,,
116,08/15/23 09:05:30 AM,3.538,,,,,
117,08/15/23 10:05:30 AM,3.801,,,,,
118,08/15/23 11:05:30 AM,4.089,,,,,
119,08/15/23 12:05:30 PM,4.376,,,,,
120,08/15/23 01:05:30 PM,4.610,,,,,
121,08/15/23 02:05:30 PM,4.844,,,,,
122,08/15/23 03:05:30 PM,4.844,,,,,
123,08/15/23 04:05:30 PM,4.740,,,,,
124,08/15/23 05:05:30 PM,4.402,,,,,
125,08/15/23 06:05:30 PM,4.168,,,,,
126,08/15/23 07:05:30 PM,4.037,,,,,
127,08/15/23 08:05:30 PM,3.958,,,,,
128,08/15/23 09:05:30 PM,3.880,,,,,
129,08/15/23 10:05:30 PM,3.801,,,,,
130,08/15/23 11:05:30 PM,3.722,,,,,
131,08/16/23 12:05:30 AM,3.643,,,,,
132,08/16/23 01:05:30 AM,3.564,,,,,
