"Plot Title: 21762750"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21762750, SEN S/N: 21762750)","Coupler Detached (LGR S/N: 21762750)","Coupler Attached (LGR S/N: 21762750)","Host Connected (LGR S/N: 21762750)","Stopped (LGR S/N: 21762750)","End Of File (LGR S/N: 21762750)"
1,08/05/23 08:45:41 PM,19.222,,,,,
2,08/05/23 08:45:59 PM,,Logged,,,,
3,08/05/23 09:45:41 PM,18.010,,,,,
4,08/05/23 10:45:41 PM,18.105,,,,,
5,08/05/23 11:45:41 PM,18.010,,,,,
6,08/06/23 12:45:41 AM,17.653,,,,,
7,08/06/23 01:45:41 AM,17.201,,,,,
8,08/06/23 02:45:41 AM,16.725,,,,,
9,08/06/23 03:45:41 AM,16.153,,,,,
10,08/06/23 04:45:41 AM,15.557,,,,,
11,08/06/23 05:45:41 AM,14.912,,,,,
12,08/06/23 06:45:41 AM,14.218,,,,,
13,08/06/23 07:45:41 AM,13.473,,,,,
14,08/06/23 08:45:41 AM,13.570,,,,,
15,08/06/23 09:45:41 AM,15.055,,,,,
16,08/06/23 10:45:41 AM,17.439,,,,,
17,08/06/23 11:45:41 AM,20.889,,,,,
18,08/06/23 12:45:41 PM,23.593,,,,,
19,08/06/23 01:45:41 PM,24.823,,,,,
20,08/06/23 02:45:41 PM,24.944,,,,,
21,08/06/23 03:45:41 PM,22.896,,,,,
22,08/06/23 04:45:41 PM,22.681,,,,,
23,08/06/23 05:45:41 PM,23.545,,,,,
24,08/06/23 06:45:41 PM,22.202,,,,,
25,08/06/23 07:45:41 PM,20.436,,,,,
26,08/06/23 08:45:41 PM,18.176,,,,,
27,08/06/23 09:45:41 PM,17.225,,,,,
28,08/06/23 10:45:41 PM,16.606,,,,,
29,08/06/23 11:45:41 PM,15.891,,,,,
30,08/07/23 12:45:41 AM,15.055,,,,,
31,08/07/23 01:45:41 AM,14.218,,,,,
32,08/07/23 02:45:41 AM,13.401,,,,,
33,08/07/23 03:45:41 AM,12.582,,,,,
34,08/07/23 04:45:41 AM,11.783,,,,,
35,08/07/23 05:45:41 AM,11.053,,,,,
36,08/07/23 06:45:41 AM,10.418,,,,,
37,08/07/23 07:45:41 AM,9.928,,,,,
38,08/07/23 08:45:41 AM,11.516,,,,,
39,08/07/23 09:45:41 AM,12.098,,,,,
40,08/07/23 10:45:41 AM,12.364,,,,,
41,08/07/23 11:45:41 AM,12.775,,,,,
42,08/07/23 12:45:41 PM,14.361,,,,,
43,08/07/23 01:45:41 PM,15.079,,,,,
44,08/07/23 02:45:41 PM,2.155,,,,,
45,08/07/23 03:45:41 PM,2.503,,,,,
