"Plot Title: 20571721"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20571721, SEN S/N: 20571721)","Coupler Detached (LGR S/N: 20571721)","Coupler Attached (LGR S/N: 20571721)","Host Connected (LGR S/N: 20571721)","Stopped (LGR S/N: 20571721)","End Of File (LGR S/N: 20571721)"
1,08/10/23 03:10:21 PM,24.847,,,,,
2,08/10/23 03:10:38 PM,,Logged,,,,
3,08/10/23 04:10:21 PM,25.914,,,,,
4,08/10/23 05:10:21 PM,24.195,,,,,
5,08/10/23 06:10:21 PM,23.112,,,,,
6,08/10/23 07:10:21 PM,22.178,,,,,
7,08/10/23 08:10:21 PM,21.270,,,,,
8,08/10/23 09:10:21 PM,20.198,,,,,
9,08/10/23 10:10:21 PM,20.222,,,,,
10,08/10/23 11:10:21 PM,20.055,,,,,
11,08/11/23 12:10:21 AM,19.674,,,,,
12,08/11/23 01:10:21 AM,19.151,,,,,
13,08/11/23 02:10:21 AM,18.533,,,,,
14,08/11/23 03:10:21 AM,17.867,,,,,
15,08/11/23 04:10:21 AM,17.153,,,,,
16,08/11/23 05:10:21 AM,16.368,,,,,
17,08/11/23 06:10:21 AM,15.557,,,,,
18,08/11/23 07:10:21 AM,14.768,,,,,
19,08/11/23 08:10:21 AM,15.461,,,,,
20,08/11/23 09:10:21 AM,16.749,,,,,
21,08/11/23 10:10:21 AM,18.913,,,,,
22,08/11/23 11:10:21 AM,21.056,,,,,
23,08/11/23 12:10:21 PM,23.328,,,,,
24,08/11/23 01:10:21 PM,25.914,,,,,
25,08/11/23 02:10:21 PM,28.147,,,,,
26,08/11/23 03:10:21 PM,30.066,,,,,
27,08/11/23 04:10:21 PM,31.612,,,,,
28,08/11/23 05:10:21 PM,31.179,,,,,
29,08/11/23 06:10:21 PM,29.765,,,,,
30,08/11/23 07:10:21 PM,27.284,,,,,
31,08/11/23 08:10:21 PM,25.987,,,,,
32,08/11/23 09:10:21 PM,21.175,,,,,
33,08/11/23 10:10:21 PM,20.555,,,,,
34,08/11/23 11:10:21 PM,20.746,,,,,
35,08/12/23 12:10:21 AM,20.365,,,,,
36,08/12/23 01:10:21 AM,19.674,,,,,
37,08/12/23 02:10:21 AM,18.913,,,,,
38,08/12/23 03:10:21 AM,18.105,,,,,
39,08/12/23 04:10:21 AM,17.296,,,,,
40,08/12/23 05:10:21 AM,16.511,,,,,
41,08/12/23 06:10:21 AM,15.700,,,,,
