"Plot Title: 21762751"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21762751, SEN S/N: 21762751)","Coupler Detached (LGR S/N: 21762751)","Coupler Attached (LGR S/N: 21762751)","Host Connected (LGR S/N: 21762751)","Stopped (LGR S/N: 21762751)","End Of File (LGR S/N: 21762751)"
1,08/10/23 03:20:46 PM,22.561,,,,,
2,08/10/23 03:20:58 PM,,Logged,,,,
3,08/10/23 04:20:46 PM,29.240,,,,,
4,08/10/23 05:20:46 PM,24.847,,,,,
5,08/10/23 06:20:46 PM,23.376,,,,,
6,08/10/23 07:20:46 PM,22.585,,,,,
7,08/10/23 08:20:46 PM,21.652,,,,,
8,08/10/23 09:20:46 PM,20.722,,,,,
9,08/10/23 10:20:46 PM,20.150,,,,,
10,08/10/23 11:20:46 PM,19.651,,,,,
11,08/11/23 12:20:46 AM,19.080,,,,,
12,08/11/23 01:20:46 AM,18.485,,,,,
13,08/11/23 02:20:46 AM,17.796,,,,,
14,08/11/23 03:20:46 AM,17.011,,,,,
15,08/11/23 04:20:46 AM,16.249,,,,,
16,08/11/23 05:20:46 AM,15.414,,,,,
17,08/11/23 06:20:46 AM,14.553,,,,,
18,08/11/23 07:20:46 AM,13.762,,,,,
19,08/11/23 08:20:46 AM,14.673,,,,,
20,08/11/23 09:20:46 AM,16.725,,,,,
21,08/11/23 10:20:46 AM,19.555,,,,,
22,08/11/23 11:20:46 AM,22.633,,,,,
23,08/11/23 12:20:46 PM,26.012,,,,,
24,08/11/23 01:20:46 PM,29.615,,,,,
25,08/11/23 02:20:46 PM,32.201,,,,,
26,08/11/23 03:20:46 PM,34.387,,,,,
27,08/11/23 04:20:46 PM,35.422,,,,,
28,08/11/23 05:20:46 PM,33.027,,,,,
29,08/11/23 06:20:46 PM,30.571,,,,,
30,08/11/23 07:20:46 PM,27.677,,,,,
31,08/11/23 08:20:46 PM,25.866,,,,,
32,08/11/23 09:20:46 PM,21.604,,,,,
33,08/11/23 10:20:46 PM,21.270,,,,,
34,08/11/23 11:20:46 PM,21.151,,,,,
35,08/12/23 12:20:46 AM,20.555,,,,,
36,08/12/23 01:20:46 AM,19.817,,,,,
37,08/12/23 02:20:46 AM,19.008,,,,,
38,08/12/23 03:20:46 AM,18.200,,,,,
39,08/12/23 04:20:46 AM,17.415,,,,,
40,08/12/23 05:20:46 AM,16.606,,,,,
41,08/12/23 06:20:46 AM,15.819,,,,,
42,08/12/23 07:20:46 AM,15.103,,,,,
43,08/12/23 08:20:46 AM,14.337,,,,,
44,08/12/23 09:20:46 AM,15.438,,,,,
45,08/12/23 10:20:46 AM,16.344,,,,,
46,08/12/23 11:20:46 AM,18.105,,,,,
47,08/12/23 12:20:46 PM,20.913,,,,,
48,08/12/23 01:20:46 PM,23.545,,,,,
49,08/12/23 02:20:46 PM,25.283,,,,,
50,08/12/23 03:20:46 PM,26.182,,,,,
51,08/12/23 04:20:46 PM,26.793,,,,,
52,08/12/23 05:20:46 PM,27.899,,,,,
53,08/12/23 06:20:46 PM,27.014,,,,,
54,08/12/23 07:20:46 PM,24.677,,,,,
55,08/12/23 08:20:46 PM,20.984,,,,,
56,08/12/23 09:20:46 PM,17.724,,,,,
57,08/12/23 10:20:46 PM,18.295,,,,,
58,08/12/23 11:20:46 PM,18.129,,,,,
59,08/13/23 12:20:46 AM,17.701,,,,,
60,08/13/23 01:20:46 AM,17.153,,,,,
61,08/13/23 02:20:46 AM,16.534,,,,,
62,08/13/23 03:20:46 AM,15.867,,,,,
