"Plot Title: 20475521"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20475521, SEN S/N: 20475521)","Coupler Detached (LGR S/N: 20475521)","Coupler Attached (LGR S/N: 20475521)","Host Connected (LGR S/N: 20475521)","Stopped (LGR S/N: 20475521)","End Of File (LGR S/N: 20475521)"
1,08/10/23 03:16:33 PM,22.848,,,,,
2,08/10/23 03:16:43 PM,,Logged,,,,
3,08/10/23 04:16:33 PM,26.158,,,,,
4,08/10/23 05:16:33 PM,25.283,,,,,
5,08/10/23 06:16:33 PM,23.737,,,,,
6,08/10/23 07:16:33 PM,22.776,,,,,
7,08/10/23 08:16:33 PM,21.939,,,,,
8,08/10/23 09:16:33 PM,21.127,,,,,
9,08/10/23 10:16:33 PM,20.579,,,,,
10,08/10/23 11:16:33 PM,20.174,,,,,
11,08/11/23 12:16:33 AM,19.722,,,,,
12,08/11/23 01:16:33 AM,19.199,,,,,
13,08/11/23 02:16:33 AM,18.628,,,,,
14,08/11/23 03:16:33 AM,17.962,,,,,
15,08/11/23 04:16:33 AM,17.249,,,,,
16,08/11/23 05:16:33 AM,16.511,,,,,
17,08/11/23 06:16:33 AM,15.700,,,,,
18,08/11/23 07:16:33 AM,14.912,,,,,
19,08/11/23 08:16:33 AM,14.792,,,,,
20,08/11/23 09:16:33 AM,15.915,,,,,
21,08/11/23 10:16:33 AM,17.986,,,,,
22,08/11/23 11:16:33 AM,20.412,,,,,
23,08/11/23 12:16:33 PM,23.208,,,,,
24,08/11/23 01:16:33 PM,26.304,,,,,
25,08/11/23 02:16:33 PM,29.015,,,,,
26,08/11/23 03:16:33 PM,31.255,,,,,
27,08/11/23 04:16:33 PM,33.027,,,,,
28,08/11/23 05:16:33 PM,32.691,,,,,
29,08/11/23 06:16:33 PM,31.179,,,,,
30,08/11/23 07:16:33 PM,29.090,,,,,
31,08/11/23 08:16:33 PM,27.407,,,,,
32,08/11/23 09:16:33 PM,23.569,,,,,
33,08/11/23 10:16:33 PM,21.795,,,,,
34,08/11/23 11:16:33 PM,21.103,,,,,
35,08/12/23 12:16:33 AM,20.484,,,,,
36,08/12/23 01:16:33 AM,19.770,,,,,
37,08/12/23 02:16:33 AM,19.008,,,,,
38,08/12/23 03:16:33 AM,18.224,,,,,
39,08/12/23 04:16:33 AM,17.439,,,,,
40,08/12/23 05:16:33 AM,16.654,,,,,
41,08/12/23 06:16:33 AM,15.867,,,,,
42,08/12/23 07:16:33 AM,15.103,,,,,
43,08/12/23 08:16:33 AM,14.266,,,,,
44,08/12/23 09:16:33 AM,14.601,,,,,
45,08/12/23 10:16:33 AM,15.748,,,,,
46,08/12/23 11:16:33 AM,17.034,,,,,
47,08/12/23 12:16:33 PM,19.555,,,,,
48,08/12/23 01:16:33 PM,22.489,,,,,
49,08/12/23 02:16:33 PM,24.750,,,,,
50,08/12/23 03:16:33 PM,26.061,,,,,
51,08/12/23 04:16:33 PM,26.671,,,,,
52,08/12/23 05:16:33 PM,27.850,,,,,
53,08/12/23 06:16:33 PM,28.147,,,,,
54,08/12/23 07:16:33 PM,24.219,,,,,
55,08/12/23 08:16:33 PM,19.674,,,,,
56,08/12/23 09:16:33 PM,16.987,,,,,
57,08/12/23 10:16:33 PM,17.605,,,,,
58,08/12/23 11:16:33 PM,17.891,,,,,
59,08/13/23 12:16:33 AM,17.843,,,,,
60,08/13/23 01:16:33 AM,17.558,,,,,
61,08/13/23 02:16:33 AM,17.106,,,,,
62,08/13/23 03:16:33 AM,16.558,,,,,
63,08/13/23 04:16:33 AM,15.939,,,,,
64,08/13/23 05:16:33 AM,15.270,,,,,
65,08/13/23 06:16:33 AM,14.601,,,,,
66,08/13/23 07:16:33 AM,13.618,,,,,
67,08/13/23 08:16:33 AM,14.194,,,,,
68,08/13/23 09:16:33 AM,14.864,,,,,
69,08/13/23 10:16:33 AM,17.296,,,,,
70,08/13/23 11:16:33 AM,17.962,,,,,
71,08/13/23 12:16:33 PM,14.984,,,,,
72,08/13/23 01:16:33 PM,20.246,,,,,
73,08/13/23 02:16:33 PM,31.791,,,,,
74,08/13/23 03:16:33 PM,30.900,,,,,
75,08/13/23 04:16:33 PM,29.740,,,,,
76,08/13/23 05:16:33 PM,24.388,,,,,
