"Plot Title: 21762745"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21762745, SEN S/N: 21762745)","Coupler Detached (LGR S/N: 21762745)","Coupler Attached (LGR S/N: 21762745)","Host Connected (LGR S/N: 21762745)","Stopped (LGR S/N: 21762745)","End Of File (LGR S/N: 21762745)"
1,08/05/23 08:50:09 PM,19.436,,,,,
2,08/05/23 08:50:24 PM,,Logged,,,,
3,08/05/23 09:50:09 PM,18.200,,,,,
4,08/05/23 10:50:09 PM,17.724,,,,,
5,08/05/23 11:50:09 PM,17.439,,,,,
6,08/06/23 12:50:09 AM,17.011,,,,,
7,08/06/23 01:50:09 AM,16.558,,,,,
8,08/06/23 02:50:09 AM,16.034,,,,,
9,08/06/23 03:50:09 AM,15.461,,,,,
10,08/06/23 04:50:09 AM,14.864,,,,,
11,08/06/23 05:50:09 AM,14.170,,,,,
12,08/06/23 06:50:09 AM,13.473,,,,,
13,08/06/23 07:50:09 AM,12.799,,,,,
14,08/06/23 08:50:09 AM,12.316,,,,,
15,08/06/23 09:50:09 AM,14.170,,,,,
16,08/06/23 10:50:09 AM,17.391,,,,,
17,08/06/23 11:50:09 AM,17.558,,,,,
18,08/06/23 12:50:09 PM,2.477,,,,,
19,08/06/23 01:50:09 PM,2.477,,,,,
20,08/06/23 02:50:09 PM,2.477,,,,,
21,08/06/23 03:50:09 PM,2.477,,,,,
22,08/06/23 04:50:09 PM,2.477,,,,,
23,08/06/23 05:50:09 PM,2.477,,,,,
24,08/06/23 06:50:09 PM,2.477,,,,,
25,08/06/23 07:50:09 PM,2.477,,,,,
26,08/06/23 08:50:09 PM,2.477,,,,,
27,08/06/23 09:50:09 PM,2.477,,,,,
28,08/06/23 10:50:09 PM,2.450,,,,,
29,08/06/23 11:50:09 PM,2.477,,,,,
30,08/07/23 12:50:09 AM,2.450,,,,,
31,08/07/23 01:50:09 AM,2.450,,,,,
32,08/07/23 02:50:09 AM,2.477,,,,,
33,08/07/23 03:50:09 AM,2.477,,,,,
34,08/07/23 04:50:09 AM,2.477,,,,,
35,08/07/23 05:50:09 AM,2.450,,,,,
36,08/07/23 06:50:09 AM,2.450,,,,,
37,08/07/23 07:50:09 AM,2.450,,,,,
38,08/07/23 08:50:09 AM,2.450,,,,,
39,08/07/23 09:50:09 AM,2.450,,,,,
40,08/07/23 10:50:09 AM,2.450,,,,,
41,08/07/23 11:50:09 AM,2.450,,,,,
42,08/07/23 12:50:09 PM,2.477,,,,,
43,08/07/23 01:50:09 PM,2.477,,,,,
44,08/07/23 02:50:09 PM,2.477,,,,,
45,08/07/23 03:50:09 PM,2.477,,,,,
46,08/07/23 04:50:09 PM,2.477,,,,,
47,08/07/23 05:50:09 PM,2.477,,,,,
48,08/07/23 06:50:09 PM,2.477,,,,,
49,08/07/23 07:50:09 PM,2.477,,,,,
50,08/07/23 08:50:09 PM,2.477,,,,,
51,08/07/23 09:50:09 PM,2.477,,,,,
52,08/07/23 10:50:09 PM,2.477,,,,,
53,08/07/23 11:50:09 PM,2.450,,,,,
54,08/08/23 12:50:09 AM,2.450,,,,,
55,08/08/23 01:50:09 AM,2.450,,,,,
56,08/08/23 02:50:09 AM,2.450,,,,,
57,08/08/23 03:50:09 AM,2.450,,,,,
58,08/08/23 04:50:09 AM,2.450,,,,,
59,08/08/23 05:50:09 AM,2.450,,,,,
60,08/08/23 06:50:09 AM,2.450,,,,,
61,08/08/23 07:50:09 AM,2.450,,,,,
62,08/08/23 08:50:09 AM,2.450,,,,,
63,08/08/23 09:50:09 AM,2.450,,,,,
64,08/08/23 10:50:09 AM,2.450,,,,,
65,08/08/23 11:50:09 AM,2.450,,,,,
66,08/08/23 12:50:09 PM,2.450,,,,,
67,08/08/23 01:50:09 PM,2.450,,,,,
68,08/08/23 02:50:09 PM,2.450,,,,,
69,08/08/23 03:50:09 PM,2.450,,,,,
70,08/08/23 04:50:09 PM,2.450,,,,,
71,08/08/23 05:50:09 PM,2.450,,,,,
72,08/08/23 06:50:09 PM,2.450,,,,,
73,08/08/23 07:50:09 PM,2.450,,,,,
74,08/08/23 08:50:09 PM,2.450,,,,,
75,08/08/23 09:50:09 PM,2.450,,,,,
76,08/08/23 10:50:09 PM,2.450,,,,,
77,08/08/23 11:50:09 PM,2.450,,,,,
78,08/09/23 12:50:09 AM,2.450,,,,,
79,08/09/23 01:50:09 AM,2.450,,,,,
