"Plot Title: 20475519"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20475519, SEN S/N: 20475519)","Coupler Detached (LGR S/N: 20475519)","Coupler Attached (LGR S/N: 20475519)","Host Connected (LGR S/N: 20475519)","Stopped (LGR S/N: 20475519)","End Of File (LGR S/N: 20475519)"
1,07/27/19 06:30:44 PM,25.623,,,,,
2,07/27/19 06:31:01 PM,,Logged,,,,
3,07/27/19 07:30:44 PM,21.485,,,,,
4,07/27/19 08:30:44 PM,18.866,,,,,
5,07/27/19 09:30:44 PM,16.868,,,,,
6,07/27/19 10:30:44 PM,18.628,,,,,
7,07/27/19 11:30:44 PM,18.390,,,,,
8,07/28/19 12:30:44 AM,16.987,,,,,
9,07/28/19 01:30:44 AM,15.366,,,,,
10,07/28/19 02:30:44 AM,13.810,,,,,
11,07/28/19 03:30:44 AM,12.364,,,,,
12,07/28/19 04:30:44 AM,11.078,,,,,
13,07/28/19 05:30:44 AM,10.001,,,,,
14,07/28/19 06:30:44 AM,9.064,,,,,
15,07/28/19 07:30:44 AM,8.593,,,,,
16,07/28/19 08:30:44 AM,14.816,,,,,
17,07/28/19 09:30:44 AM,13.930,,,,,
18,07/28/19 10:30:44 AM,14.433,,,,,
19,07/28/19 11:30:44 AM,20.555,,,,,
20,07/28/19 12:30:44 PM,29.715,,,,,
21,07/28/19 01:30:44 PM,33.783,,,,,
22,07/28/19 02:30:44 PM,35.182,,,,,
23,07/28/19 03:30:44 PM,35.985,,,,,
24,07/28/19 04:30:44 PM,35.502,,,,,
25,07/28/19 05:30:44 PM,32.665,,,,,
26,07/28/19 06:30:44 PM,30.343,,,,,
27,07/28/19 07:30:44 PM,28.048,,,,,
28,07/28/19 08:30:44 PM,19.793,,,,,
29,07/28/19 09:30:44 PM,18.438,,,,,
30,07/28/19 10:30:44 PM,20.865,,,,,
31,07/28/19 11:30:44 PM,19.698,,,,,
32,07/29/19 12:30:44 AM,17.867,,,,,
33,07/29/19 01:30:44 AM,16.058,,,,,
34,07/29/19 02:30:44 AM,14.409,,,,,
35,07/29/19 03:30:44 AM,13.016,,,,,
36,07/29/19 04:30:44 AM,11.904,,,,,
37,07/29/19 05:30:44 AM,11.443,,,,,
38,07/29/19 06:30:44 AM,11.419,,,,,
39,07/29/19 07:30:44 AM,11.540,,,,,
40,07/29/19 08:30:44 AM,12.389,,,,,
41,07/29/19 09:30:44 AM,17.772,,,,,
42,07/29/19 10:30:44 AM,20.126,,,,,
43,07/29/19 11:30:44 AM,20.388,,,,,
44,07/29/19 12:30:44 PM,21.342,,,,,
45,07/29/19 01:30:44 PM,22.250,,,,,
46,07/29/19 02:30:44 PM,21.437,,,,,
47,07/29/19 03:30:44 PM,21.891,,,,,
48,07/29/19 04:30:44 PM,22.082,,,,,
49,07/29/19 05:30:44 PM,23.304,,,,,
50,07/29/19 06:30:44 PM,23.472,,,,,
51,07/29/19 07:30:44 PM,18.200,,,,,
52,07/29/19 08:30:44 PM,15.533,,,,,
53,07/29/19 09:30:44 PM,13.473,,,,,
54,07/29/19 10:30:44 PM,12.871,,,,,
55,07/29/19 11:30:44 PM,12.509,,,,,
56,07/30/19 12:30:44 AM,12.098,,,,,
57,07/30/19 01:30:44 AM,11.151,,,,,
58,07/30/19 02:30:44 AM,10.638,,,,,
59,07/30/19 03:30:44 AM,10.394,,,,,
60,07/30/19 04:30:44 AM,9.361,,,,,
61,07/30/19 05:30:44 AM,8.767,,,,,
62,07/30/19 06:30:44 AM,9.238,,,,,
63,07/30/19 07:30:44 AM,9.435,,,,,
64,07/30/19 08:30:44 AM,12.992,,,,,
65,07/30/19 09:30:44 AM,21.103,,,,,
66,07/30/19 10:30:44 AM,22.729,,,,,
67,07/30/19 11:30:44 AM,22.944,,,,,
68,07/30/19 12:30:44 PM,25.817,,,,,
69,07/30/19 01:30:44 PM,30.091,,,,,
70,07/30/19 02:30:44 PM,31.714,,,,,
71,07/30/19 03:30:44 PM,22.393,,,,,
72,07/30/19 04:30:44 PM,25.768,,,,,
73,07/30/19 05:30:44 PM,24.050,,,,,
74,07/30/19 06:30:44 PM,19.841,,,,,
75,07/30/19 07:30:44 PM,15.676,,,,,
76,07/30/19 08:30:44 PM,16.725,,,,,
77,07/30/19 09:30:44 PM,15.079,,,,,
78,07/30/19 10:30:44 PM,14.457,,,,,
79,07/30/19 11:30:44 PM,13.425,,,,,
80,07/31/19 12:30:44 AM,12.775,,,,,
81,07/31/19 01:30:44 AM,12.630,,,,,
82,07/31/19 02:30:44 AM,11.880,,,,,
83,07/31/19 03:30:44 AM,11.443,,,,,
84,07/31/19 04:30:44 AM,11.248,,,,,
85,07/31/19 05:30:44 AM,11.005,,,,,
86,07/31/19 06:30:44 AM,10.956,,,,,
87,07/31/19 07:30:44 AM,12.195,,,,,
88,07/31/19 08:30:44 AM,14.864,,,,,
89,07/31/19 09:30:44 AM,19.151,,,,,
90,07/31/19 10:30:44 AM,22.753,,,,,
91,07/31/19 11:30:44 AM,40.602,,,,,
92,07/31/19 12:30:44 PM,27.776,,,,,
93,07/31/19 01:30:44 PM,22.729,,,,,
94,07/31/19 02:30:44 PM,23.088,,,,,
95,07/31/19 03:30:44 PM,26.061,,,,,
96,07/31/19 04:30:44 PM,12.509,,,,,
97,07/31/19 05:30:44 PM,11.151,,,,,
98,07/31/19 06:30:44 PM,9.262,,,,,
99,07/31/19 07:30:44 PM,7.920,,,,,
100,07/31/19 08:30:44 PM,6.914,,,,,
101,07/31/19 09:30:44 PM,6.026,,,,,
102,07/31/19 10:30:44 PM,5.462,,,,,
103,07/31/19 11:30:44 PM,5.024,,,,,
104,08/01/19 12:30:44 AM,4.688,,,,,
105,08/01/19 01:30:44 AM,4.662,,,,,
106,08/01/19 02:30:44 AM,4.350,,,,,
107,08/01/19 03:30:44 AM,4.194,,,,,
108,08/01/19 04:30:44 AM,4.115,,,,,
109,08/01/19 05:30:44 AM,4.011,,,,,
110,08/01/19 06:30:44 AM,3.906,,,,,
111,08/01/19 07:30:44 AM,3.801,,,,,
112,08/01/19 08:30:44 AM,4.089,,,,,
113,08/01/19 09:30:44 AM,5.924,,,,,
114,08/01/19 10:30:44 AM,8.543,,,,,
115,08/01/19 11:30:44 AM,11.029,,,,,
116,08/01/19 12:30:44 PM,13.088,,,,,
117,08/01/19 01:30:44 PM,14.721,,,,,
118,08/01/19 02:30:44 PM,16.129,,,,,
119,08/01/19 03:30:44 PM,16.534,,,,,
120,08/01/19 04:30:44 PM,15.772,,,,,
121,08/01/19 05:30:44 PM,13.954,,,,,
122,08/01/19 06:30:44 PM,10.810,,,,,
123,08/01/19 07:30:44 PM,8.543,,,,,
124,08/01/19 08:30:44 PM,7.444,,,,,
125,08/01/19 09:30:44 PM,7.142,,,,,
126,08/01/19 10:30:44 PM,6.687,,,,,
127,08/01/19 11:30:44 PM,6.128,,,,,
128,08/02/19 12:30:44 AM,5.462,,,,,
129,08/02/19 01:30:44 AM,4.792,,,,,
130,08/02/19 02:30:44 AM,4.324,,,,,
131,08/02/19 03:30:44 AM,3.880,,,,,
132,08/02/19 04:30:44 AM,3.564,,,,,
133,08/02/19 05:30:44 AM,3.354,,,,,
134,08/02/19 06:30:44 AM,3.195,,,,,
135,08/02/19 07:30:44 AM,3.168,,,,,
136,08/02/19 08:30:44 AM,3.643,,,,,
137,08/02/19 09:30:44 AM,5.616,,,,,
138,08/02/19 10:30:44 AM,8.319,,,,,
139,08/02/19 11:30:44 AM,10.956,,,,,
140,08/02/19 12:30:44 PM,13.185,,,,,
141,08/02/19 01:30:44 PM,14.840,,,,,
142,08/02/19 02:30:44 PM,15.342,,,,,
143,08/02/19 03:30:44 PM,15.581,,,,,
144,08/02/19 04:30:44 PM,15.796,,,,,
145,08/02/19 05:30:44 PM,11.783,,,,,
146,08/02/19 06:30:44 PM,9.361,,,,,
147,08/02/19 07:30:44 PM,8.593,,,,,
148,08/02/19 08:30:44 PM,7.519,,,,,
149,08/02/19 09:30:44 PM,6.408,,,,,
150,08/02/19 10:30:44 PM,5.719,,,,,
151,08/02/19 11:30:44 PM,5.360,,,,,
152,08/03/19 12:30:44 AM,5.024,,,,,
153,08/03/19 01:30:44 AM,4.688,,,,,
154,08/03/19 02:30:44 AM,4.506,,,,,
155,08/03/19 03:30:44 AM,4.428,,,,,
156,08/03/19 04:30:44 AM,4.324,,,,,
157,08/03/19 05:30:44 AM,4.141,,,,,
158,08/03/19 06:30:44 AM,3.854,,,,,
159,08/03/19 07:30:44 AM,3.722,,,,,
160,08/03/19 08:30:44 AM,4.141,,,,,
