"Plot Title: 21550530"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21550530, SEN S/N: 21550530)","Coupler Detached (LGR S/N: 21550530)","Coupler Attached (LGR S/N: 21550530)","Host Connected (LGR S/N: 21550530)","Stopped (LGR S/N: 21550530)","End Of File (LGR S/N: 21550530)"
1,08/09/24 08:59:02 AM,19.555,,,,,
2,08/09/24 08:59:22 AM,,Logged,,,,
3,08/09/24 09:59:02 AM,19.413,,,,,
4,08/09/24 10:59:02 AM,30.369,,,,,
5,08/09/24 11:59:02 AM,29.389,,,,,
6,08/09/24 12:59:02 PM,28.916,,,,,
7,08/09/24 01:59:02 PM,30.748,,,,,
8,08/09/24 02:59:02 PM,2.209,,,,,
9,08/09/24 03:59:02 PM,2.074,,,,,
10,08/09/24 04:59:02 PM,1.886,,,,,
11,08/09/24 05:59:02 PM,1.724,,,,,
12,08/09/24 06:59:02 PM,1.724,,,,,
13,08/09/24 07:59:02 PM,1.724,,,,,
14,08/09/24 08:59:02 PM,1.724,,,,,
15,08/09/24 09:59:02 PM,1.724,,,,,
16,08/09/24 10:59:02 PM,1.751,,,,,
17,08/09/24 11:59:02 PM,1.778,,,,,
18,08/10/24 12:59:02 AM,1.724,,,,,
19,08/10/24 01:59:02 AM,1.697,,,,,
20,08/10/24 02:59:02 AM,1.724,,,,,
21,08/10/24 03:59:02 AM,1.670,,,,,
22,08/10/24 04:59:02 AM,1.670,,,,,
23,08/10/24 05:59:02 AM,1.670,,,,,
24,08/10/24 06:59:02 AM,1.670,,,,,
25,08/10/24 07:59:02 AM,1.751,,,,,
26,08/10/24 08:59:02 AM,1.994,,,,,
27,08/10/24 09:59:02 AM,2.155,,,,,
28,08/10/24 10:59:02 AM,2.021,,,,,
29,08/10/24 11:59:02 AM,1.886,,,,,
30,08/10/24 12:59:02 PM,2.262,,,,,
31,08/10/24 01:59:02 PM,2.370,,,,,
32,08/10/24 02:59:02 PM,2.289,,,,,
33,08/10/24 03:59:02 PM,2.128,,,,,
34,08/10/24 04:59:02 PM,1.886,,,,,
35,08/10/24 05:59:02 PM,1.778,,,,,
36,08/10/24 06:59:02 PM,1.697,,,,,
37,08/10/24 07:59:02 PM,1.670,,,,,
38,08/10/24 08:59:02 PM,1.670,,,,,
39,08/10/24 09:59:02 PM,1.670,,,,,
40,08/10/24 10:59:02 PM,1.697,,,,,
41,08/10/24 11:59:02 PM,1.751,,,,,
42,08/11/24 12:59:02 AM,1.670,,,,,
43,08/11/24 01:59:02 AM,1.670,,,,,
44,08/11/24 02:59:02 AM,1.615,,,,,
45,08/11/24 03:59:02 AM,1.615,,,,,
46,08/11/24 04:59:02 AM,1.615,,,,,
47,08/11/24 05:59:02 AM,1.588,,,,,
48,08/11/24 06:59:02 AM,1.588,,,,,
49,08/11/24 07:59:02 AM,1.697,,,,,
50,08/11/24 08:59:02 AM,1.886,,,,,
51,08/11/24 09:59:02 AM,2.209,,,,,
52,08/11/24 10:59:02 AM,2.530,,,,,
53,08/11/24 11:59:02 AM,2.637,,,,,
54,08/11/24 12:59:02 PM,2.477,,,,,
55,08/11/24 01:59:02 PM,2.316,,,,,
56,08/11/24 02:59:02 PM,2.209,,,,,
57,08/11/24 03:59:02 PM,2.021,,,,,
58,08/11/24 04:59:02 PM,1.805,,,,,
59,08/11/24 05:59:02 PM,1.670,,,,,
60,08/11/24 06:59:02 PM,1.643,,,,,
61,08/11/24 07:59:02 PM,1.643,,,,,
62,08/11/24 08:59:02 PM,1.615,,,,,
63,08/11/24 09:59:02 PM,1.643,,,,,
64,08/11/24 10:59:02 PM,1.670,,,,,
65,08/11/24 11:59:02 PM,1.697,,,,,
66,08/12/24 12:59:02 AM,1.697,,,,,
67,08/12/24 01:59:02 AM,1.724,,,,,
68,08/12/24 02:59:02 AM,1.778,,,,,
69,08/12/24 03:59:02 AM,1.724,,,,,
70,08/12/24 04:59:02 AM,1.670,,,,,
71,08/12/24 05:59:02 AM,1.697,,,,,
72,08/12/24 06:59:02 AM,1.751,,,,,
73,08/12/24 07:59:02 AM,1.778,,,,,
74,08/12/24 08:59:02 AM,1.886,,,,,
75,08/12/24 09:59:02 AM,1.940,,,,,
76,08/12/24 10:59:02 AM,2.262,,,,,
77,08/12/24 11:59:02 AM,2.637,,,,,
78,08/12/24 12:59:02 PM,2.557,,,,,
79,08/12/24 01:59:02 PM,2.047,,,,,
80,08/12/24 02:59:02 PM,2.074,,,,,
81,08/12/24 03:59:02 PM,1.940,,,,,
82,08/12/24 04:59:02 PM,1.859,,,,,
83,08/12/24 05:59:02 PM,1.832,,,,,
84,08/12/24 06:59:02 PM,1.832,,,,,
85,08/12/24 07:59:02 PM,1.778,,,,,
86,08/12/24 08:59:02 PM,1.724,,,,,
87,08/12/24 09:59:02 PM,1.751,,,,,
88,08/12/24 10:59:02 PM,1.697,,,,,
89,08/12/24 11:59:02 PM,1.670,,,,,
90,08/13/24 12:59:02 AM,1.670,,,,,
91,08/13/24 01:59:02 AM,1.670,,,,,
92,08/13/24 02:59:02 AM,1.643,,,,,
93,08/13/24 03:59:02 AM,1.643,,,,,
94,08/13/24 04:59:02 AM,1.643,,,,,
95,08/13/24 05:59:02 AM,1.643,,,,,
96,08/13/24 06:59:02 AM,1.643,,,,,
97,08/13/24 07:59:02 AM,1.778,,,,,
98,08/13/24 08:59:02 AM,1.913,,,,,
99,08/13/24 09:59:02 AM,1.940,,,,,
100,08/13/24 10:59:02 AM,1.751,,,,,
101,08/13/24 11:59:02 AM,1.913,,,,,
102,08/13/24 12:59:02 PM,1.859,,,,,
103,08/13/24 01:59:02 PM,1.859,,,,,
104,08/13/24 02:59:02 PM,1.832,,,,,
105,08/13/24 03:59:02 PM,1.994,,,,,
106,08/13/24 04:59:02 PM,1.832,,,,,
107,08/13/24 05:59:02 PM,1.805,,,,,
108,08/13/24 06:59:02 PM,1.724,,,,,
109,08/13/24 07:59:02 PM,1.670,,,,,
110,08/13/24 08:59:02 PM,1.615,,,,,
111,08/13/24 09:59:02 PM,1.588,,,,,
112,08/13/24 10:59:02 PM,1.588,,,,,
113,08/13/24 11:59:02 PM,1.588,,,,,
114,08/14/24 12:59:02 AM,1.561,,,,,
115,08/14/24 01:59:02 AM,1.561,,,,,
116,08/14/24 02:59:02 AM,1.561,,,,,
117,08/14/24 03:59:02 AM,1.561,,,,,
118,08/14/24 04:59:02 AM,1.534,,,,,
119,08/14/24 05:59:02 AM,1.534,,,,,
120,08/14/24 06:59:02 AM,1.534,,,,,
121,08/14/24 07:59:02 AM,1.670,,,,,
122,08/14/24 08:59:02 AM,1.886,,,,,
123,08/14/24 09:59:02 AM,1.967,,,,,
124,08/14/24 10:59:02 AM,1.994,,,,,
125,08/14/24 11:59:02 AM,2.021,,,,,
126,08/14/24 12:59:02 PM,2.021,,,,,
127,08/14/24 01:59:02 PM,2.128,,,,,
128,08/14/24 02:59:02 PM,2.236,,,,,
129,08/14/24 03:59:02 PM,2.236,,,,,
130,08/14/24 04:59:02 PM,1.913,,,,,
131,08/14/24 05:59:02 PM,1.778,,,,,
132,08/14/24 06:59:02 PM,1.724,,,,,
133,08/14/24 07:59:02 PM,1.643,,,,,
134,08/14/24 08:59:02 PM,1.588,,,,,
135,08/14/24 09:59:02 PM,1.561,,,,,
136,08/14/24 10:59:02 PM,1.561,,,,,
137,08/14/24 11:59:02 PM,1.561,,,,,
138,08/15/24 12:59:02 AM,1.534,,,,,
139,08/15/24 01:59:02 AM,1.534,,,,,
140,08/15/24 02:59:02 AM,1.534,,,,,
141,08/15/24 03:59:02 AM,1.507,,,,,
142,08/15/24 04:59:02 AM,1.534,,,,,
143,08/15/24 05:59:02 AM,1.507,,,,,
144,08/15/24 06:59:02 AM,1.507,,,,,
145,08/15/24 07:59:02 AM,1.615,,,,,
146,08/15/24 08:59:02 AM,1.859,,,,,
147,08/15/24 09:59:02 AM,2.236,,,,,
148,08/15/24 10:59:02 AM,2.637,,,,,
149,08/15/24 11:59:02 AM,2.877,,,,,
150,08/15/24 12:59:02 PM,2.690,,,,,
151,08/15/24 01:59:02 PM,2.450,,,,,
152,08/15/24 02:59:02 PM,2.074,,,,,
153,08/15/24 03:59:02 PM,1.778,,,,,
154,08/15/24 04:59:02 PM,1.805,,,,,
155,08/15/24 05:59:02 PM,1.778,,,,,
156,08/15/24 06:59:02 PM,1.724,,,,,
157,08/15/24 07:59:02 PM,1.724,,,,,
158,08/15/24 08:59:02 PM,1.697,,,,,
159,08/15/24 09:59:02 PM,1.643,,,,,
160,08/15/24 10:59:02 PM,1.615,,,,,
161,08/15/24 11:59:02 PM,1.697,,,,,
162,08/16/24 12:59:02 AM,1.615,,,,,
163,08/16/24 01:59:02 AM,1.615,,,,,
164,08/16/24 02:59:02 AM,1.615,,,,,
165,08/16/24 03:59:02 AM,1.588,,,,,
166,08/16/24 04:59:02 AM,1.615,,,,,
167,08/16/24 05:59:02 AM,1.670,,,,,
168,08/16/24 06:59:02 AM,1.643,,,,,
169,08/16/24 07:59:02 AM,1.670,,,,,
170,08/16/24 08:59:02 AM,1.886,,,,,
171,08/16/24 09:59:02 AM,2.236,,,,,
172,08/16/24 10:59:02 AM,2.637,,,,,
173,08/16/24 11:59:02 AM,2.557,,,,,
174,08/16/24 12:59:02 PM,2.530,,,,,
175,08/16/24 01:59:02 PM,2.396,,,,,
176,08/16/24 02:59:02 PM,2.262,,,,,
177,08/16/24 03:59:02 PM,1.967,,,,,
178,08/16/24 04:59:02 PM,1.805,,,,,
179,08/16/24 05:59:02 PM,1.751,,,,,
180,08/16/24 06:59:02 PM,1.697,,,,,
181,08/16/24 07:59:02 PM,1.670,,,,,
182,08/16/24 08:59:02 PM,1.670,,,,,
183,08/16/24 09:59:02 PM,1.670,,,,,
184,08/16/24 10:59:02 PM,1.643,,,,,
185,08/16/24 11:59:02 PM,1.643,,,,,
186,08/17/24 12:59:02 AM,1.615,,,,,
187,08/17/24 01:59:02 AM,1.615,,,,,
188,08/17/24 02:59:02 AM,1.615,,,,,
189,08/17/24 03:59:02 AM,1.588,,,,,
190,08/17/24 04:59:02 AM,1.588,,,,,
191,08/17/24 05:59:02 AM,1.588,,,,,
192,08/17/24 06:59:02 AM,1.588,,,,,
193,08/17/24 07:59:02 AM,1.670,,,,,
194,08/17/24 08:59:02 AM,1.913,,,,,
195,08/17/24 09:59:02 AM,2.209,,,,,
196,08/17/24 10:59:02 AM,2.530,,,,,
197,08/17/24 11:59:02 AM,2.637,,,,,
198,08/17/24 12:59:02 PM,2.530,,,,,
199,08/17/24 01:59:02 PM,2.423,,,,,
200,08/17/24 02:59:02 PM,2.262,,,,,
201,08/17/24 03:59:02 PM,1.994,,,,,
202,08/17/24 04:59:02 PM,1.859,,,,,
203,08/17/24 05:59:02 PM,1.778,,,,,
204,08/17/24 06:59:02 PM,1.778,,,,,
205,08/17/24 07:59:02 PM,1.805,,,,,
206,08/17/24 08:59:02 PM,1.751,,,,,
207,08/17/24 09:59:02 PM,1.724,,,,,
208,08/17/24 10:59:02 PM,1.697,,,,,
209,08/17/24 11:59:02 PM,1.697,,,,,
210,08/18/24 12:59:02 AM,1.724,,,,,
211,08/18/24 01:59:02 AM,1.697,,,,,
212,08/18/24 02:59:02 AM,1.697,,,,,
