"Plot Title: 22025791"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 22025791, SEN S/N: 22025791)","Coupler Detached (LGR S/N: 22025791)","Coupler Attached (LGR S/N: 22025791)","Host Connected (LGR S/N: 22025791)","Stopped (LGR S/N: 22025791)","End Of File (LGR S/N: 22025791)"
1,08/05/24 08:50:13 PM,24.629,,,,,
2,08/05/24 08:50:26 PM,,Logged,,,,
3,08/05/24 09:50:13 PM,26.818,,,,,
4,08/05/24 10:50:13 PM,25.574,,,,,
5,08/05/24 11:50:13 PM,24.992,,,,,
6,08/06/24 12:50:13 AM,24.388,,,,,
7,08/06/24 01:50:13 AM,23.617,,,,,
8,08/06/24 02:50:13 AM,22.753,,,,,
9,08/06/24 03:50:13 AM,21.748,,,,,
10,08/06/24 04:50:13 AM,20.698,,,,,
11,08/06/24 05:50:13 AM,19.651,,,,,
12,08/06/24 06:50:13 AM,18.628,,,,,
13,08/06/24 07:50:13 AM,16.701,,,,,
14,08/06/24 08:50:13 AM,17.272,,,,,
15,08/06/24 09:50:13 AM,19.817,,,,,
16,08/06/24 10:50:13 AM,22.681,,,,,
17,08/06/24 11:50:13 AM,24.339,,,,,
18,08/06/24 12:50:13 PM,25.793,,,,,
19,08/06/24 01:50:13 PM,27.358,,,,,
20,08/06/24 02:50:13 PM,28.916,,,,,
21,08/06/24 03:50:13 PM,29.590,,,,,
22,08/06/24 04:50:13 PM,30.293,,,,,
23,08/06/24 05:50:13 PM,30.545,,,,,
24,08/06/24 06:50:13 PM,29.715,,,,,
25,08/06/24 07:50:13 PM,29.040,,,,,
26,08/06/24 08:50:13 PM,27.382,,,,,
27,08/06/24 09:50:13 PM,24.726,,,,,
28,08/06/24 10:50:13 PM,22.561,,,,,
29,08/06/24 11:50:13 PM,21.700,,,,,
30,08/07/24 12:50:13 AM,20.746,,,,,
31,08/07/24 01:50:13 AM,19.841,,,,,
32,08/07/24 02:50:13 AM,18.889,,,,,
33,08/07/24 03:50:13 AM,17.843,,,,,
34,08/07/24 04:50:13 AM,16.820,,,,,
35,08/07/24 05:50:13 AM,15.819,,,,,
36,08/07/24 06:50:13 AM,14.912,,,,,
37,08/07/24 07:50:13 AM,13.810,,,,,
38,08/07/24 08:50:13 AM,13.642,,,,,
39,08/07/24 09:50:13 AM,14.122,,,,,
40,08/07/24 10:50:13 AM,16.963,,,,,
41,08/07/24 11:50:13 AM,20.246,,,,,
42,08/07/24 12:50:13 PM,21.676,,,,,
43,08/07/24 01:50:13 PM,22.776,,,,,
44,08/07/24 02:50:13 PM,2.262,,,,,
45,08/07/24 03:50:13 PM,2.236,,,,,
46,08/07/24 04:50:13 PM,2.236,,,,,
47,08/07/24 05:50:13 PM,2.209,,,,,
48,08/07/24 06:50:13 PM,2.209,,,,,
49,08/07/24 07:50:13 PM,2.182,,,,,
50,08/07/24 08:50:13 PM,2.182,,,,,
51,08/07/24 09:50:13 PM,2.182,,,,,
52,08/07/24 10:50:13 PM,2.182,,,,,
53,08/07/24 11:50:13 PM,2.182,,,,,
54,08/08/24 12:50:13 AM,2.182,,,,,
55,08/08/24 01:50:13 AM,2.182,,,,,
56,08/08/24 02:50:13 AM,2.182,,,,,
57,08/08/24 03:50:13 AM,2.182,,,,,
58,08/08/24 04:50:13 AM,2.182,,,,,
59,08/08/24 05:50:13 AM,2.182,,,,,
60,08/08/24 06:50:13 AM,2.209,,,,,
61,08/08/24 07:50:13 AM,2.209,,,,,
62,08/08/24 08:50:13 AM,2.209,,,,,
63,08/08/24 09:50:13 AM,2.209,,,,,
64,08/08/24 10:50:13 AM,2.236,,,,,
65,08/08/24 11:50:13 AM,2.262,,,,,
66,08/08/24 12:50:13 PM,2.262,,,,,
67,08/08/24 01:50:13 PM,2.262,,,,,
68,08/08/24 02:50:13 PM,2.236,,,,,
69,08/08/24 03:50:13 PM,2.262,,,,,
70,08/08/24 04:50:13 PM,2.236,,,,,
71,08/08/24 05:50:13 PM,2.209,,,,,
72,08/08/24 06:50:13 PM,2.209,,,,,
73,08/08/24 07:50:13 PM,2.209,,,,,
74,08/08/24 08:50:13 PM,2.209,,,,,
75,08/08/24 09:50:13 PM,2.209,,,,,
76,08/08/24 10:50:13 PM,2.209,,,,,
77,08/08/24 11:50:13 PM,2.209,,,,,
78,08/09/24 12:50:13 AM,2.209,,,,,
79,08/09/24 01:50:13 AM,2.209,,,,,
80,08/09/24 02:50:13 AM,2.209,,,,,
81,08/09/24 03:50:13 AM,2.209,,,,,
82,08/09/24 04:50:13 AM,2.209,,,,,
83,08/09/24 05:50:13 AM,2.209,,,,,
84,08/09/24 06:50:13 AM,2.209,,,,,
85,08/09/24 07:50:13 AM,2.209,,,,,
86,08/09/24 08:50:13 AM,2.209,,,,,
87,08/09/24 09:50:13 AM,2.236,,,,,
88,08/09/24 10:50:13 AM,2.262,,,,,
89,08/09/24 11:50:13 AM,2.262,,,,,
90,08/09/24 12:50:13 PM,2.236,,,,,
91,08/09/24 01:50:13 PM,2.236,,,,,
92,08/09/24 02:50:13 PM,2.262,,,,,
93,08/09/24 03:50:13 PM,2.262,,,,,
94,08/09/24 04:50:13 PM,2.262,,,,,
95,08/09/24 05:50:13 PM,2.236,,,,,
96,08/09/24 06:50:13 PM,2.209,,,,,
97,08/09/24 07:50:13 PM,2.209,,,,,
98,08/09/24 08:50:13 PM,2.209,,,,,
99,08/09/24 09:50:13 PM,2.209,,,,,
100,08/09/24 10:50:13 PM,2.209,,,,,
101,08/09/24 11:50:13 PM,2.209,,,,,
102,08/10/24 12:50:13 AM,2.209,,,,,
103,08/10/24 01:50:13 AM,2.209,,,,,
104,08/10/24 02:50:13 AM,2.209,,,,,
105,08/10/24 03:50:13 AM,2.209,,,,,
106,08/10/24 04:50:13 AM,2.209,,,,,
107,08/10/24 05:50:13 AM,2.209,,,,,
108,08/10/24 06:50:13 AM,2.209,,,,,
109,08/10/24 07:50:13 AM,2.209,,,,,
110,08/10/24 08:50:13 AM,2.236,,,,,
111,08/10/24 09:50:13 AM,2.262,,,,,
112,08/10/24 10:50:13 AM,2.236,,,,,
113,08/10/24 11:50:13 AM,2.209,,,,,
114,08/10/24 12:50:13 PM,2.262,,,,,
115,08/10/24 01:50:13 PM,2.262,,,,,
116,08/10/24 02:50:13 PM,2.262,,,,,
