"Plot Title: 22025784"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 22025784, SEN S/N: 22025784)","Coupler Detached (LGR S/N: 22025784)","Coupler Attached (LGR S/N: 22025784)","Host Connected (LGR S/N: 22025784)","Stopped (LGR S/N: 22025784)","End Of File (LGR S/N: 22025784)"
1,08/05/24 08:51:01 PM,24.847,,,,,
2,08/05/24 08:51:21 PM,,Logged,,,,
3,08/05/24 09:51:01 PM,27.063,,,,,
4,08/05/24 10:51:01 PM,25.793,,,,,
5,08/05/24 11:51:01 PM,25.137,,,,,
6,08/06/24 12:51:01 AM,24.508,,,,,
7,08/06/24 01:51:01 AM,23.737,,,,,
8,08/06/24 02:51:01 AM,22.872,,,,,
9,08/06/24 03:51:01 AM,21.867,,,,,
10,08/06/24 04:51:01 AM,20.817,,,,,
11,08/06/24 05:51:01 AM,19.746,,,,,
12,08/06/24 06:51:01 AM,18.723,,,,,
13,08/06/24 07:51:01 AM,16.820,,,,,
14,08/06/24 08:51:01 AM,17.368,,,,,
15,08/06/24 09:51:01 AM,19.984,,,,,
16,08/06/24 10:51:01 AM,22.681,,,,,
17,08/06/24 11:51:01 AM,24.171,,,,,
18,08/06/24 12:51:01 PM,25.647,,,,,
19,08/06/24 01:51:01 PM,27.210,,,,,
20,08/06/24 02:51:01 PM,28.791,,,,,
21,08/06/24 03:51:01 PM,29.464,,,,,
22,08/06/24 04:51:01 PM,30.192,,,,,
23,08/06/24 05:51:01 PM,30.419,,,,,
24,08/06/24 06:51:01 PM,29.991,,,,,
25,08/06/24 07:51:01 PM,29.090,,,,,
26,08/06/24 08:51:01 PM,27.505,,,,,
27,08/06/24 09:51:01 PM,25.065,,,,,
28,08/06/24 10:51:01 PM,22.968,,,,,
29,08/06/24 11:51:01 PM,21.963,,,,,
30,08/07/24 12:51:01 AM,20.960,,,,,
31,08/07/24 01:51:01 AM,20.007,,,,,
32,08/07/24 02:51:01 AM,19.056,,,,,
33,08/07/24 03:51:01 AM,17.986,,,,,
