Plot Title: 20174692,,,,,,,
#,"Date Time, GMT-06:00","Temp, °C (LGR S/N: 20174692, SEN S/N: 20174692)",Coupler Detached (LGR S/N: 20174692),Coupler Attached (LGR S/N: 20174692),Host Connected (LGR S/N: 20174692),Stopped (LGR S/N: 20174692),End Of File (LGR S/N: 20174692)
1,07/31/19/ 09:08:00 PM,21.509,,,,,
2,07/31/19/ 09:08:00 PM,,Logged,,,,
3,07/31/19/ 10:08:00 PM,22.154,,,,,
4,07/31/19/ 11:08:00 PM,22.465,,,,,
5,08/01/19/ 12:08:00 AM,22.489,,,,,
6,08/01/19/ 01:08:00 AM,22.345,,,,,
7,08/01/19/ 02:08:00 AM,22.202,,,,,
8,08/01/19/ 03:08:00 AM,22.011,,,,,
9,08/01/19/ 04:08:00 AM,21.676,,,,,
10,08/01/19/ 05:08:00 AM,21.366,,,,,
11,08/01/19/ 06:08:00 AM,20.889,,,,,
12,08/01/19/ 07:08:00 AM,20.412,,,,,
13,08/01/19/ 08:08:00 AM,18.176,,,,,
14,08/01/19/ 09:08:00 AM,17.486,,,,,
15,08/01/19/ 10:08:00 AM,20.77,,,,,
16,08/01/19/ 11:08:00 AM,24.871,,,,,
17,08/01/19/ 12:08:00 PM,30.874,,,,,
18,08/01/19/ 01:08:00 PM,28.245,,,,,
19,08/01/19/ 02:08:00 PM,24.919,,,,,
20,08/01/19/ 03:08:00 PM,2.316,,,,,
21,08/01/19/ 04:08:00 PM,2.423,,,,,
22,08/01/19/ 05:08:00 PM,2.343,,,,,
23,08/01/19/ 06:08:00 PM,2.289,,,,,
24,08/01/19/ 07:08:00 PM,2.209,,,,,
25,08/01/19/ 08:08:00 PM,2.209,,,,,
26,08/01/19/ 09:08:00 PM,2.209,,,,,
27,08/01/19/ 10:08:00 PM,2.209,,,,,
28,08/01/19/ 11:08:00 PM,2.128,,,,,
29,08/02/19/ 12:08:00 AM,2.128,,,,,
30,08/02/19/ 01:08:00 AM,2.074,,,,,
31,08/02/19/ 02:08:00 AM,2.047,,,,,
32,08/02/19/ 03:08:00 AM,1.994,,,,,
33,08/02/19/ 04:08:00 AM,1.967,,,,,
