"Plot Title: 20416497"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20416497, SEN S/N: 20416497)","Coupler Detached (LGR S/N: 20416497)","Coupler Attached (LGR S/N: 20416497)","Host Connected (LGR S/N: 20416497)","Stopped (LGR S/N: 20416497)","End Of File (LGR S/N: 20416497)"
1,08/08/21 08:20:51 PM,21.652,,,,,
2,08/08/21 08:20:59 PM,,Logged,,,,
3,08/08/21 09:20:51 PM,20.913,,,,,
4,08/08/21 10:20:51 PM,21.318,,,,,
5,08/08/21 11:20:51 PM,20.913,,,,,
6,08/09/21 12:20:51 AM,20.579,,,,,
7,08/09/21 01:20:51 AM,20.079,,,,,
8,08/09/21 02:20:51 AM,19.484,,,,,
9,08/09/21 03:20:51 AM,18.747,,,,,
10,08/09/21 04:20:51 AM,17.819,,,,,
11,08/09/21 05:20:51 AM,16.868,,,,,
12,08/09/21 06:20:51 AM,16.010,,,,,
13,08/09/21 07:20:51 AM,15.342,,,,,
14,08/09/21 08:20:51 AM,18.913,,,,,
15,08/09/21 09:20:51 AM,28.320,,,,,
16,08/09/21 10:20:51 AM,34.624,,,,,
17,08/09/21 11:20:51 AM,34.969,,,,,
18,08/09/21 12:20:51 PM,35.022,,,,,
19,08/09/21 01:20:51 PM,35.182,,,,,
20,08/09/21 02:20:51 PM,36.173,,,,,
21,08/09/21 03:20:51 PM,38.226,,,,,
22,08/09/21 04:20:51 PM,39.743,,,,,
23,08/09/21 05:20:51 PM,40.949,,,,,
24,08/09/21 06:20:51 PM,40.660,,,,,
25,08/09/21 07:20:51 PM,31.868,,,,,
26,08/09/21 08:20:51 PM,24.291,,,,,
27,08/09/21 09:20:51 PM,22.681,,,,,
28,08/09/21 10:20:51 PM,21.318,,,,,
29,08/09/21 11:20:51 PM,20.222,,,,,
30,08/10/21 12:20:51 AM,19.294,,,,,
31,08/10/21 01:20:51 AM,18.366,,,,,
32,08/10/21 02:20:51 AM,17.463,,,,,
33,08/10/21 03:20:51 AM,16.534,,,,,
34,08/10/21 04:20:51 AM,15.629,,,,,
35,08/10/21 05:20:51 AM,14.745,,,,,
36,08/10/21 06:20:51 AM,13.858,,,,,
37,08/10/21 07:20:51 AM,12.968,,,,,
38,08/10/21 08:20:51 AM,11.662,,,,,
39,08/10/21 09:20:51 AM,12.243,,,,,
40,08/10/21 10:20:51 AM,13.497,,,,,
41,08/10/21 11:20:51 AM,15.270,,,,,
42,08/10/21 12:20:51 PM,18.129,,,,,
43,08/10/21 01:20:51 PM,4.506,,,,,
44,08/10/21 02:20:51 PM,4.454,,,,,
45,08/10/21 03:20:51 PM,4.376,,,,,
46,08/10/21 04:20:51 PM,4.168,,,,,
47,08/10/21 05:20:51 PM,3.958,,,,,
48,08/10/21 06:20:51 PM,3.854,,,,,
49,08/10/21 07:20:51 PM,3.827,,,,,
50,08/10/21 08:20:51 PM,3.722,,,,,
51,08/10/21 09:20:51 PM,3.617,,,,,
52,08/10/21 10:20:51 PM,3.564,,,,,
53,08/10/21 11:20:51 PM,3.512,,,,,
54,08/11/21 12:20:51 AM,3.459,,,,,
55,08/11/21 01:20:51 AM,3.433,,,,,
56,08/11/21 02:20:51 AM,3.406,,,,,
57,08/11/21 03:20:51 AM,3.354,,,,,
58,08/11/21 04:20:51 AM,3.327,,,,,
59,08/11/21 05:20:51 AM,3.327,,,,,
60,08/11/21 06:20:51 AM,3.327,,,,,
61,08/11/21 07:20:51 AM,3.380,,,,,
62,08/11/21 08:20:51 AM,3.591,,,,,
63,08/11/21 09:20:51 AM,3.906,,,,,
64,08/11/21 10:20:51 AM,4.246,,,,,
65,08/11/21 11:20:51 AM,4.454,,,,,
66,08/11/21 12:20:51 PM,4.662,,,,,
67,08/11/21 01:20:51 PM,4.688,,,,,
68,08/11/21 02:20:51 PM,4.688,,,,,
69,08/11/21 03:20:51 PM,4.662,,,,,
70,08/11/21 04:20:51 PM,4.480,,,,,
71,08/11/21 05:20:51 PM,4.272,,,,,
72,08/11/21 06:20:51 PM,4.168,,,,,
73,08/11/21 07:20:51 PM,4.089,,,,,
74,08/11/21 08:20:51 PM,4.011,,,,,
75,08/11/21 09:20:51 PM,3.985,,,,,
76,08/11/21 10:20:51 PM,3.958,,,,,
77,08/11/21 11:20:51 PM,3.906,,,,,
78,08/12/21 12:20:51 AM,3.906,,,,,
79,08/12/21 01:20:51 AM,3.906,,,,,
80,08/12/21 02:20:51 AM,3.854,,,,,
81,08/12/21 03:20:51 AM,3.827,,,,,
82,08/12/21 04:20:51 AM,3.801,,,,,
83,08/12/21 05:20:51 AM,3.775,,,,,
84,08/12/21 06:20:51 AM,3.749,,,,,
85,08/12/21 07:20:51 AM,3.722,,,,,
86,08/12/21 08:20:51 AM,3.906,,,,,
87,08/12/21 09:20:51 AM,4.246,,,,,
88,08/12/21 10:20:51 AM,4.636,,,,,
89,08/12/21 11:20:51 AM,4.999,,,,,
90,08/12/21 12:20:51 PM,5.205,,,,,
91,08/12/21 01:20:51 PM,5.179,,,,,
92,08/12/21 02:20:51 PM,5.102,,,,,
93,08/12/21 03:20:51 PM,4.999,,,,,
94,08/12/21 04:20:51 PM,4.792,,,,,
95,08/12/21 05:20:51 PM,4.480,,,,,
96,08/12/21 06:20:51 PM,4.350,,,,,
97,08/12/21 07:20:51 PM,4.272,,,,,
98,08/12/21 08:20:51 PM,4.220,,,,,
99,08/12/21 09:20:51 PM,4.168,,,,,
100,08/12/21 10:20:51 PM,4.141,,,,,
101,08/12/21 11:20:51 PM,4.115,,,,,
102,08/13/21 12:20:51 AM,4.063,,,,,
103,08/13/21 01:20:51 AM,4.037,,,,,
104,08/13/21 02:20:51 AM,4.011,,,,,
105,08/13/21 03:20:51 AM,3.985,,,,,
106,08/13/21 04:20:51 AM,3.958,,,,,
107,08/13/21 05:20:51 AM,3.906,,,,,
108,08/13/21 06:20:51 AM,3.854,,,,,
109,08/13/21 07:20:51 AM,3.854,,,,,
110,08/13/21 08:20:51 AM,4.011,,,,,
111,08/13/21 09:20:51 AM,4.324,,,,,
112,08/13/21 10:20:51 AM,4.740,,,,,
113,08/13/21 11:20:51 AM,5.102,,,,,
114,08/13/21 12:20:51 PM,5.334,,,,,
115,08/13/21 01:20:51 PM,5.334,,,,,
116,08/13/21 02:20:51 PM,5.282,,,,,
117,08/13/21 03:20:51 PM,5.205,,,,,
118,08/13/21 04:20:51 PM,4.999,,,,,
