Plot Title: 10972590,,,,,,,
#,"Date Time, GMT-06:00","Temp, ∞C (LGR S/N: 10972590, SEN S/N: 10972590)",Coupler Detached (LGR S/N: 10972590),Coupler Attached (LGR S/N: 10972590),Host Connected (LGR S/N: 10972590),Stopped (LGR S/N: 10972590),End Of File (LGR S/N: 10972590)
1,08/02/18/ 08:24:00 AM,13.93,,,,,
2,08/02/18/ 08:24:00 AM,,Logged,,,,
3,08/02/18/ 09:24:00 AM,14.194,,,,,
4,08/02/18/ 10:24:00 AM,17.962,,,,,
5,08/02/18/ 11:24:00 AM,19.698,,,,,
6,08/02/18/ 12:24:00 PM,20.746,,,,,
7,08/02/18/ 01:24:00 PM,35.235,,,,,
8,08/02/18/ 02:24:00 PM,52.059,,,,,
9,08/02/18/ 03:24:00 PM,35.102,,,,,
10,08/02/18/ 04:24:00 PM,2.128,,,,,
11,08/02/18/ 05:24:00 PM,1.967,,,,,
12,08/02/18/ 06:24:00 PM,1.967,,,,,
13,08/02/18/ 07:24:00 PM,1.886,,,,,
14,08/02/18/ 08:24:00 PM,1.778,,,,,
15,08/02/18/ 09:24:00 PM,1.724,,,,,
16,08/02/18/ 10:24:00 PM,1.615,,,,,
17,08/02/18/ 11:24:00 PM,1.615,,,,,
18,08/03/18/ 12:24:00 AM,1.588,,,,,
19,08/03/18/ 01:24:00 AM,1.534,,,,,
20,08/03/18/ 02:24:00 AM,1.534,,,,,
21,08/03/18/ 03:24:00 AM,1.534,,,,,
22,08/03/18/ 04:24:00 AM,1.534,,,,,
23,08/03/18/ 05:24:00 AM,1.48,,,,,
24,08/03/18/ 06:24:00 AM,1.453,,,,,
25,08/03/18/ 07:24:00 AM,1.534,,,,,
26,08/03/18/ 08:24:00 AM,1.615,,,,,
27,08/03/18/ 09:24:00 AM,1.778,,,,,
28,08/03/18/ 10:24:00 AM,2.155,,,,,
29,08/03/18/ 11:24:00 AM,2.45,,,,,
30,08/03/18/ 12:24:00 PM,2.53,,,,,
31,08/03/18/ 01:24:00 PM,2.343,,,,,
32,08/03/18/ 02:24:00 PM,2.316,,,,,
33,08/03/18/ 03:24:00 PM,2.209,,,,,
34,08/03/18/ 04:24:00 PM,1.994,,,,,
35,08/03/18/ 05:24:00 PM,1.778,,,,,
36,08/03/18/ 06:24:00 PM,1.67,,,,,
37,08/03/18/ 07:24:00 PM,1.615,,,,,
38,08/03/18/ 08:24:00 PM,1.561,,,,,
39,08/03/18/ 09:24:00 PM,1.507,,,,,
40,08/03/18/ 10:24:00 PM,1.425,,,,,
41,08/03/18/ 11:24:00 PM,1.398,,,,,
42,08/04/18/ 12:24:00 AM,1.371,,,,,
43,08/04/18/ 01:24:00 AM,1.344,,,,,
44,08/04/18/ 02:24:00 AM,1.317,,,,,
45,08/04/18/ 03:24:00 AM,1.289,,,,,
46,08/04/18/ 04:24:00 AM,1.289,,,,,
47,08/04/18/ 05:24:00 AM,1.289,,,,,
48,08/04/18/ 06:24:00 AM,1.262,,,,,
49,08/04/18/ 07:24:00 AM,1.289,,,,,
50,08/04/18/ 08:24:00 AM,1.398,,,,,
51,08/04/18/ 09:24:00 AM,1.588,,,,,
52,08/04/18/ 10:24:00 AM,1.832,,,,,
53,08/04/18/ 11:24:00 AM,2.074,,,,,
54,08/04/18/ 12:24:00 PM,2.262,,,,,
55,08/04/18/ 01:24:00 PM,2.316,,,,,
56,08/04/18/ 02:24:00 PM,2.289,,,,,
57,08/04/18/ 03:24:00 PM,2.155,,,,,
58,08/04/18/ 04:24:00 PM,1.94,,,,,
59,08/04/18/ 05:24:00 PM,1.724,,,,,
60,08/04/18/ 06:24:00 PM,1.588,,,,,
61,08/04/18/ 07:24:00 PM,1.534,,,,,
62,08/04/18/ 08:24:00 PM,1.453,,,,,
63,08/04/18/ 09:24:00 PM,1.453,,,,,
64,08/04/18/ 10:24:00 PM,1.425,,,,,
65,08/04/18/ 11:24:00 PM,1.398,,,,,
66,08/05/18/ 12:24:00 AM,1.425,,,,,
67,08/05/18/ 01:24:00 AM,1.398,,,,,
68,08/05/18/ 02:24:00 AM,1.398,,,,,
69,08/05/18/ 03:24:00 AM,1.425,,,,,
70,08/05/18/ 04:24:00 AM,1.453,,,,,
71,08/05/18/ 05:24:00 AM,1.453,,,,,
72,08/05/18/ 06:24:00 AM,1.48,,,,,
73,08/05/18/ 07:24:00 AM,1.507,,,,,
74,08/05/18/ 08:24:00 AM,1.507,,,,,
75,08/05/18/ 09:24:00 AM,1.561,,,,,
76,08/05/18/ 10:24:00 AM,1.588,,,,,
77,08/05/18/ 11:24:00 AM,1.913,,,,,
78,08/05/18/ 12:24:00 PM,2.047,,,,,
79,08/05/18/ 01:24:00 PM,2.262,,,,,
80,08/05/18/ 02:24:00 PM,1.994,,,,,
81,08/05/18/ 03:24:00 PM,1.886,,,,,
82,08/05/18/ 04:24:00 PM,1.94,,,,,
83,08/05/18/ 05:24:00 PM,1.805,,,,,
84,08/05/18/ 06:24:00 PM,1.67,,,,,
85,08/05/18/ 07:24:00 PM,1.588,,,,,
86,08/05/18/ 08:24:00 PM,1.507,,,,,
87,08/05/18/ 09:24:00 PM,1.48,,,,,
88,08/05/18/ 10:24:00 PM,1.453,,,,,
89,08/05/18/ 11:24:00 PM,1.453,,,,,
90,08/06/18/ 12:24:00 AM,1.48,,,,,
91,08/06/18/ 01:24:00 AM,1.425,,,,,
92,08/06/18/ 02:24:00 AM,1.453,,,,,
93,08/06/18/ 03:24:00 AM,1.398,,,,,
94,08/06/18/ 04:24:00 AM,1.398,,,,,
95,08/06/18/ 05:24:00 AM,1.425,,,,,
96,08/06/18/ 06:24:00 AM,1.398,,,,,
97,08/06/18/ 07:24:00 AM,1.425,,,,,
98,08/06/18/ 08:24:00 AM,1.534,,,,,
99,08/06/18/ 09:24:00 AM,1.778,,,,,
100,08/06/18/ 10:24:00 AM,2.128,,,,,
101,08/06/18/ 11:24:00 AM,2.396,,,,,
102,08/06/18/ 12:24:00 PM,2.423,,,,,
103,08/06/18/ 01:24:00 PM,2.423,,,,,
104,08/06/18/ 02:24:00 PM,2.289,,,,,
105,08/06/18/ 03:24:00 PM,2.236,,,,,
106,08/06/18/ 04:24:00 PM,1.994,,,,,
107,08/06/18/ 05:24:00 PM,1.778,,,,,
108,08/06/18/ 06:24:00 PM,1.643,,,,,
109,08/06/18/ 07:24:00 PM,1.588,,,,,
110,08/06/18/ 08:24:00 PM,1.561,,,,,
111,08/06/18/ 09:24:00 PM,1.561,,,,,
112,08/06/18/ 10:24:00 PM,1.534,,,,,
113,08/06/18/ 11:24:00 PM,1.48,,,,,
114,08/07/18/ 12:24:00 AM,1.453,,,,,
