"Plot Title: 20475521"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20475521, SEN S/N: 20475521)","Coupler Detached (LGR S/N: 20475521)","Coupler Attached (LGR S/N: 20475521)","Host Connected (LGR S/N: 20475521)","Stopped (LGR S/N: 20475521)","End Of File (LGR S/N: 20475521)"
1,08/05/22 07:24:04 PM,20.079,,,,,
2,08/05/22 07:24:14 PM,,Logged,,,,
3,08/05/22 08:24:04 PM,19.294,,,,,
4,08/05/22 09:24:04 PM,19.056,,,,,
5,08/05/22 10:24:04 PM,18.699,,,,,
6,08/05/22 11:24:04 PM,18.271,,,,,
7,08/06/22 12:24:04 AM,17.772,,,,,
8,08/06/22 01:24:04 AM,17.320,,,,,
9,08/06/22 02:24:04 AM,16.915,,,,,
10,08/06/22 03:24:04 AM,16.463,,,,,
11,08/06/22 04:24:04 AM,16.058,,,,,
12,08/06/22 05:24:04 AM,15.724,,,,,
13,08/06/22 06:24:04 AM,15.414,,,,,
14,08/06/22 07:24:04 AM,15.175,,,,,
15,08/06/22 08:24:04 AM,15.079,,,,,
16,08/06/22 09:24:04 AM,15.366,,,,,
17,08/06/22 10:24:04 AM,15.796,,,,,
18,08/06/22 11:24:04 AM,16.392,,,,,
19,08/06/22 12:24:04 PM,17.296,,,,,
20,08/06/22 01:24:04 PM,17.796,,,,,
21,08/06/22 02:24:04 PM,17.819,,,,,
22,08/06/22 03:24:04 PM,18.533,,,,,
23,08/06/22 04:24:04 PM,19.080,,,,,
24,08/06/22 05:24:04 PM,20.579,,,,,
25,08/06/22 06:24:04 PM,21.056,,,,,
26,08/06/22 07:24:04 PM,21.772,,,,,
27,08/06/22 08:24:04 PM,20.507,,,,,
28,08/06/22 09:24:04 PM,18.343,,,,,
29,08/06/22 10:24:04 PM,16.630,,,,,
30,08/06/22 11:24:04 PM,15.270,,,,,
31,08/07/22 12:24:04 AM,14.337,,,,,
32,08/07/22 01:24:04 AM,13.714,,,,,
33,08/07/22 02:24:04 AM,13.016,,,,,
34,08/07/22 03:24:04 AM,12.268,,,,,
35,08/07/22 04:24:04 AM,11.904,,,,,
36,08/07/22 05:24:04 AM,11.783,,,,,
37,08/07/22 06:24:04 AM,11.710,,,,,
38,08/07/22 07:24:04 AM,11.734,,,,,
39,08/07/22 08:24:04 AM,11.929,,,,,
40,08/07/22 09:24:04 AM,13.714,,,,,
41,08/07/22 10:24:04 AM,15.605,,,,,
42,08/07/22 11:24:04 AM,17.534,,,,,
43,08/07/22 12:24:04 PM,20.936,,,,,
44,08/07/22 01:24:04 PM,24.146,,,,,
45,08/07/22 02:24:04 PM,25.089,,,,,
46,08/07/22 03:24:04 PM,25.939,,,,,
47,08/07/22 04:24:04 PM,26.329,,,,,
48,08/07/22 05:24:04 PM,24.798,,,,,
49,08/07/22 06:24:04 PM,23.930,,,,,
50,08/07/22 07:24:04 PM,23.593,,,,,
51,08/07/22 08:24:04 PM,22.776,,,,,
52,08/07/22 09:24:04 PM,21.175,,,,,
53,08/07/22 10:24:04 PM,19.579,,,,,
54,08/07/22 11:24:04 PM,18.319,,,,,
55,08/08/22 12:24:04 AM,17.082,,,,,
56,08/08/22 01:24:04 AM,15.939,,,,,
57,08/08/22 02:24:04 AM,14.792,,,,,
58,08/08/22 03:24:04 AM,13.762,,,,,
59,08/08/22 04:24:04 AM,12.799,,,,,
60,08/08/22 05:24:04 AM,11.977,,,,,
61,08/08/22 06:24:04 AM,11.102,,,,,
62,08/08/22 07:24:04 AM,10.492,,,,,
63,08/08/22 08:24:04 AM,11.807,,,,,
64,08/08/22 09:24:04 AM,15.724,,,,,
65,08/08/22 10:24:04 AM,17.510,,,,,
66,08/08/22 11:24:04 AM,18.985,,,,,
67,08/08/22 12:24:04 PM,19.912,,,,,
68,08/08/22 01:24:04 PM,21.032,,,,,
69,08/08/22 02:24:04 PM,24.460,,,,,
70,08/08/22 03:24:04 PM,29.439,,,,,
71,08/08/22 04:24:04 PM,33.548,,,,,
72,08/08/22 05:24:04 PM,35.368,,,,,
73,08/08/22 06:24:04 PM,34.624,,,,,
74,08/08/22 07:24:04 PM,32.924,,,,,
75,08/08/22 08:24:04 PM,30.243,,,,,
76,08/08/22 09:24:04 PM,27.382,,,,,
77,08/08/22 10:24:04 PM,24.774,,,,,
78,08/08/22 11:24:04 PM,22.537,,,,,
79,08/09/22 12:24:04 AM,20.555,,,,,
80,08/09/22 01:24:04 AM,18.818,,,,,
81,08/09/22 02:24:04 AM,17.272,,,,,
82,08/09/22 03:24:04 AM,15.891,,,,,
83,08/09/22 04:24:04 AM,14.649,,,,,
84,08/09/22 05:24:04 AM,13.546,,,,,
85,08/09/22 06:24:04 AM,12.509,,,,,
86,08/09/22 07:24:04 AM,11.565,,,,,
87,08/09/22 08:24:04 AM,10.956,,,,,
88,08/09/22 09:24:04 AM,10.980,,,,,
89,08/09/22 10:24:04 AM,12.025,,,,,
90,08/09/22 11:24:04 AM,14.050,,,,,
91,08/09/22 12:24:04 PM,15.939,,,,,
92,08/09/22 01:24:04 PM,18.129,,,,,
93,08/09/22 02:24:04 PM,22.417,,,,,
94,08/09/22 03:24:04 PM,28.245,,,,,
95,08/09/22 04:24:04 PM,28.891,,,,,
96,08/09/22 05:24:04 PM,28.692,,,,,
97,08/09/22 06:24:04 PM,27.899,,,,,
98,08/09/22 07:24:04 PM,28.270,,,,,
99,08/09/22 08:24:04 PM,26.744,,,,,
100,08/09/22 09:24:04 PM,23.978,,,,,
101,08/09/22 10:24:04 PM,22.226,,,,,
102,08/09/22 11:24:04 PM,21.103,,,,,
103,08/10/22 12:24:04 AM,20.007,,,,,
104,08/10/22 01:24:04 AM,18.985,,,,,
105,08/10/22 02:24:04 AM,17.867,,,,,
106,08/10/22 03:24:04 AM,16.725,,,,,
107,08/10/22 04:24:04 AM,15.581,,,,,
108,08/10/22 05:24:04 AM,14.433,,,,,
109,08/10/22 06:24:04 AM,13.473,,,,,
110,08/10/22 07:24:04 AM,13.353,,,,,
111,08/10/22 08:24:04 AM,15.843,,,,,
112,08/10/22 09:24:04 AM,20.150,,,,,
113,08/10/22 10:24:04 AM,24.315,,,,,
114,08/10/22 11:24:04 AM,28.419,,,,,
115,08/10/22 12:24:04 PM,32.330,,,,,
116,08/10/22 01:24:04 PM,36.606,,,,,
117,08/10/22 02:24:04 PM,40.228,,,,,
118,08/10/22 03:24:04 PM,43.163,,,,,
119,08/10/22 04:24:04 PM,44.968,,,,,
120,08/10/22 05:24:04 PM,43.951,,,,,
121,08/10/22 06:24:04 PM,38.784,,,,,
122,08/10/22 07:24:04 PM,33.861,,,,,
123,08/10/22 08:24:04 PM,30.950,,,,,
124,08/10/22 09:24:04 PM,27.776,,,,,
125,08/10/22 10:24:04 PM,24.219,,,,,
126,08/10/22 11:24:04 PM,22.800,,,,,
127,08/11/22 12:24:04 AM,22.034,,,,,
128,08/11/22 01:24:04 AM,21.318,,,,,
129,08/11/22 02:24:04 AM,20.674,,,,,
130,08/11/22 03:24:04 AM,20.103,,,,,
131,08/11/22 04:24:04 AM,19.555,,,,,
132,08/11/22 05:24:04 AM,18.937,,,,,
133,08/11/22 06:24:04 AM,18.343,,,,,
134,08/11/22 07:24:04 AM,17.582,,,,,
135,08/11/22 08:24:04 AM,17.819,,,,,
136,08/11/22 09:24:04 AM,20.222,,,,,
137,08/11/22 10:24:04 AM,23.809,,,,,
138,08/11/22 11:24:04 AM,27.431,,,,,
139,08/11/22 12:24:04 PM,31.612,,,,,
140,08/11/22 01:24:04 PM,35.235,,,,,
141,08/11/22 02:24:04 PM,39.093,,,,,
142,08/11/22 03:24:04 PM,39.943,,,,,
143,08/11/22 04:24:04 PM,38.952,,,,,
144,08/11/22 05:24:04 PM,38.170,,,,,
145,08/11/22 06:24:04 PM,33.183,,,,,
146,08/11/22 07:24:04 PM,30.167,,,,,
147,08/11/22 08:24:04 PM,23.857,,,,,
148,08/11/22 09:24:04 PM,22.250,,,,,
149,08/11/22 10:24:04 PM,22.753,,,,,
150,08/11/22 11:24:04 PM,22.681,,,,,
151,08/12/22 12:24:04 AM,22.345,,,,,
152,08/12/22 01:24:04 AM,21.891,,,,,
153,08/12/22 02:24:04 AM,21.342,,,,,
154,08/12/22 03:24:04 AM,20.746,,,,,
155,08/12/22 04:24:04 AM,20.126,,,,,
156,08/12/22 05:24:04 AM,19.651,,,,,
157,08/12/22 06:24:04 AM,19.175,,,,,
158,08/12/22 07:24:04 AM,18.723,,,,,
159,08/12/22 08:24:04 AM,18.057,,,,,
160,08/12/22 09:24:04 AM,23.713,,,,,
161,08/12/22 10:24:04 AM,26.891,,,,,
162,08/12/22 11:24:04 AM,26.109,,,,,
163,08/12/22 12:24:04 PM,1.940,,,,,
164,08/12/22 01:24:04 PM,1.994,,,,,
165,08/12/22 02:24:04 PM,2.343,,,,,
166,08/12/22 03:24:04 PM,1.859,,,,,
167,08/12/22 04:24:04 PM,1.859,,,,,
168,08/12/22 05:24:04 PM,1.832,,,,,
169,08/12/22 06:24:04 PM,2.047,,,,,
170,08/12/22 07:24:04 PM,1.832,,,,,
171,08/12/22 08:24:04 PM,1.805,,,,,
172,08/12/22 09:24:04 PM,1.724,,,,,
173,08/12/22 10:24:04 PM,1.724,,,,,
174,08/12/22 11:24:04 PM,1.670,,,,,
175,08/13/22 12:24:04 AM,1.670,,,,,
176,08/13/22 01:24:04 AM,1.670,,,,,
177,08/13/22 02:24:04 AM,1.670,,,,,
178,08/13/22 03:24:04 AM,1.643,,,,,
179,08/13/22 04:24:04 AM,1.643,,,,,
180,08/13/22 05:24:04 AM,1.615,,,,,
181,08/13/22 06:24:04 AM,1.615,,,,,
182,08/13/22 07:24:04 AM,1.643,,,,,
183,08/13/22 08:24:04 AM,1.724,,,,,
184,08/13/22 09:24:04 AM,1.994,,,,,
185,08/13/22 10:24:04 AM,2.128,,,,,
186,08/13/22 11:24:04 AM,2.343,,,,,
187,08/13/22 12:24:04 PM,2.182,,,,,
188,08/13/22 01:24:04 PM,2.155,,,,,
189,08/13/22 02:24:04 PM,1.994,,,,,
190,08/13/22 03:24:04 PM,1.832,,,,,
191,08/13/22 04:24:04 PM,1.859,,,,,
192,08/13/22 05:24:04 PM,1.832,,,,,
193,08/13/22 06:24:04 PM,1.778,,,,,
194,08/13/22 07:24:04 PM,1.832,,,,,
195,08/13/22 08:24:04 PM,1.832,,,,,
196,08/13/22 09:24:04 PM,1.832,,,,,
197,08/13/22 10:24:04 PM,1.751,,,,,
198,08/13/22 11:24:04 PM,1.643,,,,,
199,08/14/22 12:24:04 AM,1.615,,,,,
200,08/14/22 01:24:04 AM,1.615,,,,,
201,08/14/22 02:24:04 AM,1.615,,,,,
202,08/14/22 03:24:04 AM,1.615,,,,,
203,08/14/22 04:24:04 AM,1.588,,,,,
204,08/14/22 05:24:04 AM,1.588,,,,,
205,08/14/22 06:24:04 AM,1.588,,,,,
206,08/14/22 07:24:04 AM,1.615,,,,,
207,08/14/22 08:24:04 AM,1.697,,,,,
208,08/14/22 09:24:04 AM,1.859,,,,,
209,08/14/22 10:24:04 AM,2.074,,,,,
210,08/14/22 11:24:04 AM,1.994,,,,,
211,08/14/22 12:24:04 PM,2.209,,,,,
212,08/14/22 01:24:04 PM,2.101,,,,,
213,08/14/22 02:24:04 PM,2.155,,,,,
214,08/14/22 03:24:04 PM,2.074,,,,,
215,08/14/22 04:24:04 PM,1.913,,,,,
216,08/14/22 05:24:04 PM,1.805,,,,,
217,08/14/22 06:24:04 PM,1.751,,,,,
218,08/14/22 07:24:04 PM,1.724,,,,,
219,08/14/22 08:24:04 PM,1.670,,,,,
220,08/14/22 09:24:04 PM,1.670,,,,,
221,08/14/22 10:24:04 PM,1.643,,,,,
222,08/14/22 11:24:04 PM,1.643,,,,,
223,08/15/22 12:24:04 AM,1.670,,,,,
224,08/15/22 01:24:04 AM,1.643,,,,,
225,08/15/22 02:24:04 AM,1.615,,,,,
226,08/15/22 03:24:04 AM,1.615,,,,,
227,08/15/22 04:24:04 AM,1.615,,,,,
228,08/15/22 05:24:04 AM,1.615,,,,,
229,08/15/22 06:24:04 AM,1.615,,,,,
230,08/15/22 07:24:04 AM,1.615,,,,,
231,08/15/22 08:24:04 AM,1.724,,,,,
232,08/15/22 09:24:04 AM,1.994,,,,,
233,08/15/22 10:24:04 AM,2.289,,,,,
234,08/15/22 11:24:04 AM,2.530,,,,,
235,08/15/22 12:24:04 PM,2.155,,,,,
236,08/15/22 01:24:04 PM,1.859,,,,,
237,08/15/22 02:24:04 PM,1.994,,,,,
238,08/15/22 03:24:04 PM,2.047,,,,,
239,08/15/22 04:24:04 PM,1.859,,,,,
240,08/15/22 05:24:04 PM,1.724,,,,,
241,08/15/22 06:24:04 PM,1.697,,,,,
242,08/15/22 07:24:04 PM,1.670,,,,,
243,08/15/22 08:24:04 PM,1.670,,,,,
244,08/15/22 09:24:04 PM,1.670,,,,,
245,08/15/22 10:24:04 PM,1.643,,,,,
246,08/15/22 11:24:04 PM,1.643,,,,,
247,08/16/22 12:24:04 AM,1.615,,,,,
248,08/16/22 01:24:04 AM,1.643,,,,,
249,08/16/22 02:24:04 AM,1.615,,,,,
250,08/16/22 03:24:04 AM,1.615,,,,,
251,08/16/22 04:24:04 AM,1.615,,,,,
252,08/16/22 05:24:04 AM,1.615,,,,,
253,08/16/22 06:24:04 AM,1.615,,,,,
254,08/16/22 07:24:04 AM,1.643,,,,,
255,08/16/22 08:24:04 AM,1.724,,,,,
256,08/16/22 09:24:04 AM,2.021,,,,,
257,08/16/22 10:24:04 AM,2.289,,,,,
258,08/16/22 11:24:04 AM,2.503,,,,,
259,08/16/22 12:24:04 PM,2.477,,,,,
260,08/16/22 01:24:04 PM,2.262,,,,,
261,08/16/22 02:24:04 PM,2.182,,,,,
262,08/16/22 03:24:04 PM,1.940,,,,,
263,08/16/22 04:24:04 PM,1.751,,,,,
264,08/16/22 05:24:04 PM,1.724,,,,,
265,08/16/22 06:24:04 PM,1.724,,,,,
266,08/16/22 07:24:04 PM,1.697,,,,,
267,08/16/22 08:24:04 PM,1.697,,,,,
268,08/16/22 09:24:04 PM,1.670,,,,,
269,08/16/22 10:24:04 PM,1.670,,,,,
270,08/16/22 11:24:04 PM,1.670,,,,,
271,08/17/22 12:24:04 AM,1.670,,,,,
272,08/17/22 01:24:04 AM,1.670,,,,,
273,08/17/22 02:24:04 AM,1.643,,,,,
274,08/17/22 03:24:04 AM,1.615,,,,,
275,08/17/22 04:24:04 AM,1.615,,,,,
276,08/17/22 05:24:04 AM,1.615,,,,,
277,08/17/22 06:24:04 AM,1.588,,,,,
278,08/17/22 07:24:04 AM,1.615,,,,,
279,08/17/22 08:24:04 AM,1.724,,,,,
280,08/17/22 09:24:04 AM,1.994,,,,,
281,08/17/22 10:24:04 AM,2.262,,,,,
282,08/17/22 11:24:04 AM,2.477,,,,,
283,08/17/22 12:24:04 PM,2.423,,,,,
284,08/17/22 01:24:04 PM,2.262,,,,,
285,08/17/22 02:24:04 PM,2.047,,,,,
286,08/17/22 03:24:04 PM,1.859,,,,,
287,08/17/22 04:24:04 PM,1.778,,,,,
288,08/17/22 05:24:04 PM,1.670,,,,,
289,08/17/22 06:24:04 PM,1.670,,,,,
290,08/17/22 07:24:04 PM,1.643,,,,,
291,08/17/22 08:24:04 PM,1.643,,,,,
292,08/17/22 09:24:04 PM,1.643,,,,,
293,08/17/22 10:24:04 PM,1.670,,,,,
294,08/17/22 11:24:04 PM,1.670,,,,,
295,08/18/22 12:24:04 AM,1.643,,,,,
296,08/18/22 01:24:04 AM,1.643,,,,,
297,08/18/22 02:24:04 AM,1.615,,,,,
298,08/18/22 03:24:04 AM,1.643,,,,,
299,08/18/22 04:24:04 AM,1.615,,,,,
300,08/18/22 05:24:04 AM,1.615,,,,,
301,08/18/22 06:24:04 AM,1.615,,,,,
302,08/18/22 07:24:04 AM,1.615,,,,,
303,08/18/22 08:24:04 AM,1.724,,,,,
304,08/18/22 09:24:04 AM,1.940,,,,,
305,08/18/22 10:24:04 AM,2.182,,,,,
306,08/18/22 11:24:04 AM,2.423,,,,,
307,08/18/22 12:24:04 PM,2.370,,,,,
308,08/18/22 01:24:04 PM,2.128,,,,,
309,08/18/22 02:24:04 PM,2.209,,,,,
310,08/18/22 03:24:04 PM,2.101,,,,,
311,08/18/22 04:24:04 PM,1.859,,,,,
312,08/18/22 05:24:04 PM,1.778,,,,,
313,08/18/22 06:24:04 PM,1.751,,,,,
314,08/18/22 07:24:04 PM,1.697,,,,,
315,08/18/22 08:24:04 PM,1.670,,,,,
316,08/18/22 09:24:04 PM,1.670,,,,,
317,08/18/22 10:24:04 PM,1.670,,,,,
318,08/18/22 11:24:04 PM,1.724,,,,,
319,08/19/22 12:24:04 AM,1.670,,,,,
320,08/19/22 01:24:04 AM,1.643,,,,,
321,08/19/22 02:24:04 AM,1.615,,,,,
