"ï»¿""Plot Title: 20155861""",,,,,,,
#,"Date Time, GMT-06:00","Temp, Â°C (LGR S/N: 20155861, SEN S/N: 20155861)",Coupler Detached (LGR S/N: 20155861),Coupler Attached (LGR S/N: 20155861),Host Connected (LGR S/N: 20155861),Stopped (LGR S/N: 20155861),End Of File (LGR S/N: 20155861)
1,08/05/17 08:59 PM,21.008,,,,,
2,08/05/17 08:59 PM,,,,,,
3,08/05/17 09:59 PM,15.27,,,,,
4,08/05/17 10:59 PM,14.96,,,,,
5,08/05/17 11:59 PM,14.266,,,,,
6,08/06/17 12:59 AM,14.074,,,,,
7,08/06/17 01:59 AM,13.642,,,,,
8,08/06/17 02:59 AM,13.137,,,,,
9,08/06/17 03:59 AM,12.751,,,,,
10,08/06/17 04:59 AM,12.171,,,,,
11,08/06/17 05:59 AM,11.443,,,,,
12,08/06/17 06:59 AM,10.394,,,,,
13,08/06/17 07:59 AM,9.952,,,,,
14,08/06/17 08:59 AM,11.856,,,,,
15,08/06/17 09:59 AM,19.817,,,,,
16,08/06/17 10:59 AM,19.199,,,,,
17,08/06/17 11:59 AM,24.557,,,,,
18,08/06/17 12:59 PM,30.849,,,,,
19,08/06/17 01:59 PM,28.27,,,,,
20,08/06/17 02:59 PM,27.899,,,,,
21,08/06/17 03:59 PM,26.573,,,,,
22,08/06/17 04:59 PM,24.75,,,,,
23,08/06/17 05:59 PM,23.112,,,,,
24,08/06/17 06:59 PM,16.463,,,,,
25,08/06/17 07:59 PM,10.051,,,,,
26,08/06/17 08:59 PM,10.369,,,,,
27,08/06/17 09:59 PM,10.1,,,,,
28,08/06/17 10:59 PM,9.682,,,,,
29,08/06/17 11:59 PM,8.145,,,,,
30,08/07/17 12:59 AM,7.695,,,,,
31,08/07/17 01:59 AM,7.494,,,,,
32,08/07/17 02:59 AM,7.393,,,,,
33,08/07/17 03:59 AM,7.091,,,,,
34,08/07/17 04:59 AM,6.712,,,,,
35,08/07/17 05:59 AM,6.331,,,,,
36,08/07/17 06:59 AM,6.331,,,,,
37,08/07/17 07:59 AM,7.795,,,,,
38,08/07/17 08:59 AM,11.783,,,,,
39,08/07/17 09:59 AM,10.516,,,,,
40,08/07/17 10:59 AM,13.786,,,,,
41,08/07/17 11:59 AM,3.538,,,,,
42,08/07/17 12:59 PM,2.69,,,,,
43,08/07/17 01:59 PM,3.958,,,,,
44,08/07/17 02:59 PM,4.558,,,,,
45,08/07/17 03:59 PM,4.141,,,,,
46,08/07/17 04:59 PM,3.433,,,,,
47,08/07/17 05:59 PM,2.77,,,,,
48,08/07/17 06:59 PM,2.396,,,,,
49,08/07/17 07:59 PM,1.588,,,,,
50,08/07/17 08:59 PM,1.153,,,,,
51,08/07/17 09:59 PM,0.962,,,,,
52,08/07/17 10:59 PM,0.907,,,,,
53,08/07/17 11:59 PM,0.852,,,,,
54,08/08/17 12:59 AM,0.77,,,,,
55,08/08/17 01:59 AM,0.715,,,,,
56,08/08/17 02:59 AM,0.715,,,,,
57,08/08/17 03:59 AM,0.715,,,,,
58,08/08/17 04:59 AM,0.687,,,,,
59,08/08/17 05:59 AM,0.66,,,,,
60,08/08/17 06:59 AM,0.742,,,,,
61,08/08/17 07:59 AM,1.344,,,,,
62,08/08/17 08:59 AM,1.751,,,,,
63,08/08/17 09:59 AM,3.274,,,,,
64,08/08/17 10:59 AM,1.805,,,,,
65,08/08/17 11:59 AM,1.967,,,,,
66,08/08/17 12:59 PM,1.643,,,,,
67,08/08/17 01:59 PM,1.751,,,,,
68,08/08/17 02:59 PM,4.376,,,,,
69,08/08/17 03:59 PM,4.584,,,,,
70,08/08/17 04:59 PM,4.063,,,,,
71,08/08/17 05:59 PM,3.459,,,,,
72,08/08/17 06:59 PM,2.128,,,,,
73,08/08/17 07:59 PM,1.724,,,,,
74,08/08/17 08:59 PM,1.398,,,,,
75,08/08/17 09:59 PM,1.398,,,,,
76,08/08/17 10:59 PM,1.18,,,,,
77,08/08/17 11:59 PM,1.126,,,,,
78,08/09/17 12:59 AM,0.989,,,,,
79,08/09/17 01:59 AM,0.797,,,,,
80,08/09/17 02:59 AM,0.797,,,,,
81,08/09/17 03:59 AM,0.742,,,,,
82,08/09/17 04:59 AM,0.66,,,,,
83,08/09/17 05:59 AM,0.605,,,,,
84,08/09/17 06:59 AM,0.742,,,,,
85,08/09/17 07:59 AM,1.153,,,,,
86,08/09/17 08:59 AM,2.021,,,,,
87,08/09/17 09:59 AM,2.77,,,,,
88,08/09/17 10:59 AM,4.532,,,,,
