"Plot Title: 20155864"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20155864, SEN S/N: 20155864)","Coupler Detached (LGR S/N: 20155864)","Coupler Attached (LGR S/N: 20155864)","Host Connected (LGR S/N: 20155864)","Stopped (LGR S/N: 20155864)","End Of File (LGR S/N: 20155864)"
1,08/03/20 06:13:36 PM,25.550,,,,,
2,08/03/20 06:13:57 PM,,Logged,,,,
3,08/03/20 07:13:36 PM,23.424,,,,,
4,08/03/20 08:13:36 PM,23.160,,,,,
5,08/03/20 09:13:36 PM,22.992,,,,,
6,08/03/20 10:13:36 PM,22.824,,,,,
7,08/03/20 11:13:36 PM,22.633,,,,,
8,08/04/20 12:13:36 AM,22.513,,,,,
9,08/04/20 01:13:36 AM,22.393,,,,,
10,08/04/20 02:13:36 AM,22.274,,,,,
11,08/04/20 03:13:36 AM,22.130,,,,,
12,08/04/20 04:13:36 AM,21.987,,,,,
13,08/04/20 05:13:36 AM,21.867,,,,,
14,08/04/20 06:13:36 AM,21.748,,,,,
15,08/04/20 07:13:36 AM,21.939,,,,,
16,08/04/20 08:13:36 AM,26.012,,,,,
17,08/04/20 09:13:36 AM,24.171,,,,,
18,08/04/20 10:13:36 AM,23.448,,,,,
19,08/04/20 11:13:36 AM,23.328,,,,,
20,08/04/20 12:13:36 PM,23.376,,,,,
21,08/04/20 01:13:36 PM,22.992,,,,,
22,08/04/20 02:13:36 PM,23.064,,,,,
23,08/04/20 03:13:36 PM,23.256,,,,,
24,08/04/20 04:13:36 PM,23.304,,,,,
25,08/04/20 05:13:36 PM,23.400,,,,,
26,08/04/20 06:13:36 PM,27.284,,,,,
27,08/04/20 07:13:36 PM,28.196,,,,,
28,08/04/20 08:13:36 PM,25.477,,,,,
29,08/04/20 09:13:36 PM,22.561,,,,,
30,08/04/20 10:13:36 PM,20.793,,,,,
31,08/04/20 11:13:36 PM,19.151,,,,,
32,08/05/20 12:13:36 AM,17.724,,,,,
33,08/05/20 01:13:36 AM,16.558,,,,,
34,08/05/20 02:13:36 AM,15.676,,,,,
35,08/05/20 03:13:36 AM,15.342,,,,,
36,08/05/20 04:13:36 AM,15.223,,,,,
37,08/05/20 05:13:36 AM,15.175,,,,,
38,08/05/20 06:13:36 AM,14.936,,,,,
39,08/05/20 07:13:36 AM,14.840,,,,,
40,08/05/20 08:13:36 AM,19.318,,,,,
41,08/05/20 09:13:36 AM,24.219,,,,,
42,08/05/20 10:13:36 AM,31.714,,,,,
43,08/05/20 11:13:36 AM,37.096,,,,,
44,08/05/20 12:13:36 PM,39.516,,,,,
45,08/05/20 01:13:36 PM,37.783,,,,,
46,08/05/20 02:13:36 PM,34.387,,,,,
47,08/05/20 03:13:36 PM,35.102,,,,,
48,08/05/20 04:13:36 PM,35.342,,,,,
49,08/05/20 05:13:36 PM,35.155,,,,,
50,08/05/20 06:13:36 PM,33.652,,,,,
51,08/05/20 07:13:36 PM,33.001,,,,,
52,08/05/20 08:13:36 PM,30.571,,,,,
53,08/05/20 09:13:36 PM,23.954,,,,,
54,08/05/20 10:13:36 PM,19.793,,,,,
55,08/05/20 11:13:36 PM,18.675,,,,,
56,08/06/20 12:13:36 AM,17.130,,,,,
57,08/06/20 01:13:36 AM,16.272,,,,,
58,08/06/20 02:13:36 AM,16.082,,,,,
59,08/06/20 03:13:36 AM,15.819,,,,,
60,08/06/20 04:13:36 AM,15.891,,,,,
61,08/06/20 05:13:36 AM,16.010,,,,,
62,08/06/20 06:13:36 AM,15.772,,,,,
63,08/06/20 07:13:36 AM,15.438,,,,,
64,08/06/20 08:13:36 AM,16.201,,,,,
65,08/06/20 09:13:36 AM,20.770,,,,,
66,08/06/20 10:13:36 AM,21.795,,,,,
67,08/06/20 11:13:36 AM,21.963,,,,,
68,08/06/20 12:13:36 PM,22.345,,,,,
69,08/06/20 01:13:36 PM,23.136,,,,,
70,08/06/20 02:13:36 PM,25.574,,,,,
71,08/06/20 03:13:36 PM,29.464,,,,,
72,08/06/20 04:13:36 PM,34.757,,,,,
73,08/06/20 05:13:36 PM,35.448,,,,,
74,08/06/20 06:13:36 PM,33.053,,,,,
75,08/06/20 07:13:36 PM,31.996,,,,,
76,08/06/20 08:13:36 PM,28.667,,,,,
77,08/06/20 09:13:36 PM,27.136,,,,,
