"Plot Title: 20155865"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20155865, SEN S/N: 20155865)","Coupler Detached (LGR S/N: 20155865)","Coupler Attached (LGR S/N: 20155865)","Host Connected (LGR S/N: 20155865)","Stopped (LGR S/N: 20155865)","End Of File (LGR S/N: 20155865)"
1,08/10/22 09:30:10 PM,23.641,,,,,
2,08/10/22 09:30:23 PM,,Logged,,,,
3,08/10/22 10:30:10 PM,21.939,,,,,
4,08/10/22 11:30:10 PM,21.676,,,,,
5,08/11/22 12:30:10 AM,21.032,,,,,
6,08/11/22 01:30:10 AM,20.293,,,,,
7,08/11/22 02:30:10 AM,19.770,,,,,
8,08/11/22 03:30:10 AM,19.436,,,,,
9,08/11/22 04:30:10 AM,18.842,,,,,
10,08/11/22 05:30:10 AM,18.200,,,,,
11,08/11/22 06:30:10 AM,17.701,,,,,
12,08/11/22 07:30:10 AM,17.011,,,,,
13,08/11/22 08:30:10 AM,19.793,,,,,
14,08/11/22 09:30:10 AM,25.598,,,,,
15,08/11/22 10:30:10 AM,30.066,,,,,
16,08/11/22 11:30:10 AM,35.448,,,,,
17,08/11/22 12:30:10 PM,39.516,,,,,
18,08/11/22 01:30:10 PM,43.103,,,,,
19,08/11/22 02:30:10 PM,46.290,,,,,
20,08/11/22 03:30:10 PM,41.707,,,,,
21,08/11/22 04:30:10 PM,39.121,,,,,
22,08/11/22 05:30:10 PM,38.365,,,,,
23,08/11/22 06:30:10 PM,29.290,,,,,
24,08/11/22 07:30:10 PM,26.769,,,,,
25,08/11/22 08:30:10 PM,25.695,,,,,
26,08/11/22 09:30:10 PM,22.968,,,,,
27,08/11/22 10:30:10 PM,22.489,,,,,
28,08/11/22 11:30:10 PM,22.130,,,,,
29,08/12/22 12:30:10 AM,21.437,,,,,
30,08/12/22 01:30:10 AM,20.650,,,,,
31,08/12/22 02:30:10 AM,19.793,,,,,
32,08/12/22 03:30:10 AM,18.889,,,,,
33,08/12/22 04:30:10 AM,18.033,,,,,
34,08/12/22 05:30:10 AM,17.391,,,,,
35,08/12/22 06:30:10 AM,16.844,,,,,
36,08/12/22 07:30:10 AM,16.439,,,,,
37,08/12/22 08:30:10 AM,16.844,,,,,
38,08/12/22 09:30:10 AM,20.484,,,,,
39,08/12/22 10:30:10 AM,28.394,,,,,
40,08/12/22 11:30:10 AM,36.012,,,,,
41,08/12/22 12:30:10 PM,41.531,,,,,
42,08/12/22 01:30:10 PM,41.181,,,,,
43,08/12/22 02:30:10 PM,40.057,,,,,
44,08/12/22 03:30:10 PM,42.356,,,,,
45,08/12/22 04:30:10 PM,35.582,,,,,
46,08/12/22 05:30:10 PM,31.433,,,,,
47,08/12/22 06:30:10 PM,27.850,,,,,
48,08/12/22 07:30:10 PM,26.916,,,,,
49,08/12/22 08:30:10 PM,26.500,,,,,
50,08/12/22 09:30:10 PM,26.012,,,,,
51,08/12/22 10:30:10 PM,25.404,,,,,
52,08/12/22 11:30:10 PM,24.774,,,,,
53,08/13/22 12:30:10 AM,24.074,,,,,
54,08/13/22 01:30:10 AM,23.280,,,,,
55,08/13/22 02:30:10 AM,22.465,,,,,
56,08/13/22 03:30:10 AM,21.604,,,,,
57,08/13/22 04:30:10 AM,20.770,,,,,
58,08/13/22 05:30:10 AM,19.960,,,,,
59,08/13/22 06:30:10 AM,19.222,,,,,
60,08/13/22 07:30:10 AM,18.390,,,,,
61,08/13/22 08:30:10 AM,18.033,,,,,
62,08/13/22 09:30:10 AM,18.628,,,,,
63,08/13/22 10:30:10 AM,19.817,,,,,
64,08/13/22 11:30:10 AM,20.365,,,,,
65,08/13/22 12:30:10 PM,20.889,,,,,
66,08/13/22 01:30:10 PM,21.127,,,,,
67,08/13/22 02:30:10 PM,22.321,,,,,
68,08/13/22 03:30:10 PM,25.380,,,,,
69,08/13/22 04:30:10 PM,22.441,,,,,
70,08/13/22 05:30:10 PM,21.294,,,,,
71,08/13/22 06:30:10 PM,19.318,,,,,
72,08/13/22 07:30:10 PM,18.675,,,,,
73,08/13/22 08:30:10 PM,16.654,,,,,
74,08/13/22 09:30:10 PM,15.247,,,,,
75,08/13/22 10:30:10 PM,14.146,,,,,
76,08/13/22 11:30:10 PM,13.161,,,,,
77,08/14/22 12:30:10 AM,12.243,,,,,
78,08/14/22 01:30:10 AM,11.492,,,,,
79,08/14/22 02:30:10 AM,10.907,,,,,
80,08/14/22 03:30:10 AM,10.369,,,,,
81,08/14/22 04:30:10 AM,9.903,,,,,
82,08/14/22 05:30:10 AM,9.583,,,,,
83,08/14/22 06:30:10 AM,9.312,,,,,
84,08/14/22 07:30:10 AM,8.916,,,,,
85,08/14/22 08:30:10 AM,10.124,,,,,
86,08/14/22 09:30:10 AM,3.433,,,,,
87,08/14/22 10:30:10 AM,3.485,,,,,
88,08/14/22 11:30:10 AM,3.617,,,,,
89,08/14/22 12:30:10 PM,4.324,,,,,
90,08/14/22 01:30:10 PM,4.610,,,,,
91,08/14/22 02:30:10 PM,4.869,,,,,
92,08/14/22 03:30:10 PM,4.532,,,,,
93,08/14/22 04:30:10 PM,4.636,,,,,
94,08/14/22 05:30:10 PM,4.089,,,,,
95,08/14/22 06:30:10 PM,4.428,,,,,
96,08/14/22 07:30:10 PM,3.827,,,,,
97,08/14/22 08:30:10 PM,3.433,,,,,
98,08/14/22 09:30:10 PM,3.274,,,,,
99,08/14/22 10:30:10 PM,3.221,,,,,
100,08/14/22 11:30:10 PM,3.116,,,,,
101,08/15/22 12:30:10 AM,3.036,,,,,
102,08/15/22 01:30:10 AM,2.956,,,,,
103,08/15/22 02:30:10 AM,2.930,,,,,
104,08/15/22 03:30:10 AM,2.877,,,,,
105,08/15/22 04:30:10 AM,2.797,,,,,
106,08/15/22 05:30:10 AM,2.770,,,,,
107,08/15/22 06:30:10 AM,2.690,,,,,
108,08/15/22 07:30:10 AM,2.717,,,,,
109,08/15/22 08:30:10 AM,2.770,,,,,
110,08/15/22 09:30:10 AM,3.116,,,,,
111,08/15/22 10:30:10 AM,3.195,,,,,
112,08/15/22 11:30:10 AM,3.722,,,,,
113,08/15/22 12:30:10 PM,4.011,,,,,
114,08/15/22 01:30:10 PM,4.089,,,,,
115,08/15/22 02:30:10 PM,3.958,,,,,
116,08/15/22 03:30:10 PM,4.584,,,,,
117,08/15/22 04:30:10 PM,4.662,,,,,
118,08/15/22 05:30:10 PM,4.869,,,,,
119,08/15/22 06:30:10 PM,4.115,,,,,
120,08/15/22 07:30:10 PM,3.854,,,,,
121,08/15/22 08:30:10 PM,3.512,,,,,
