Plot Title: 20155967,,,,,,,
#,"Date Time, GMT-05:00","Temp, ∞C (LGR S/N: 20155967, SEN S/N: 20155967)",Coupler Detached (LGR S/N: 20155967),Coupler Attached (LGR S/N: 20155967),Host Connected (LGR S/N: 20155967),Stopped (LGR S/N: 20155967),End Of File (LGR S/N: 20155967)
1,07/22/17/ 12:00:00 PM,28.468,Logged,,,,
2,07/22/17/ 01:00:00 PM,33.209,,,,,
3,07/22/17/ 02:00:00 PM,37.042,,,,min,-0.423
4,07/22/17/ 03:00:00 PM,40.028,,,,max,6.077
5,07/22/17/ 04:00:00 PM,42.475,,,,range,6.5
6,07/22/17/ 05:00:00 PM,44.349,,,,,
7,07/22/17/ 06:00:00 PM,45.94,,,,,
8,07/22/17/ 07:00:00 PM,43.829,,,,,
9,07/22/17/ 08:00:00 PM,36.417,,,,,
10,07/22/17/ 09:00:00 PM,33.783,,,,,
11,07/22/17/ 10:00:00 PM,30.444,,,,,
12,07/22/17/ 11:00:00 PM,28.345,,,,,
13,07/23/17/ 12:00:00 AM,26.769,,,,,
14,07/23/17/ 01:00:00 AM,25.598,,,,,
15,07/23/17/ 02:00:00 AM,24.339,,,,,
16,07/23/17/ 03:00:00 AM,23.136,,,,,
17,07/23/17/ 04:00:00 AM,21.939,,,,,
18,07/23/17/ 05:00:00 AM,20.746,,,,,
19,07/23/17/ 06:00:00 AM,19.627,,,,,
20,07/23/17/ 07:00:00 AM,18.628,,,,,
21,07/23/17/ 08:00:00 AM,18.628,,,,,
22,07/23/17/ 09:00:00 AM,19.46,,,,,
23,07/23/17/ 10:00:00 AM,19.056,,,,,
24,07/23/17/ 11:00:00 AM,20.722,,,,,
25,07/23/17/ 12:00:00 PM,22.944,,,,,
26,07/23/17/ 01:00:00 PM,25.453,,,,,
27,07/23/17/ 02:00:00 PM,27.702,,,,,
28,07/23/17/ 03:00:00 PM,29.265,,,,,
29,07/23/17/ 04:00:00 PM,30.117,,,,,
30,07/23/17/ 05:00:00 PM,30.495,,,,,
31,07/23/17/ 06:00:00 PM,30.268,,,,,
32,07/23/17/ 07:00:00 PM,30.621,,,,,
33,07/23/17/ 08:00:00 PM,30.52,,,,,
34,07/23/17/ 09:00:00 PM,30.217,,,,,
35,07/23/17/ 10:00:00 PM,29.916,,,,,
36,07/23/17/ 11:00:00 PM,28.965,,,,,
37,07/24/17/ 12:00:00 AM,27.751,,,,,
38,07/24/17/ 01:00:00 AM,26.353,,,,,
39,07/24/17/ 02:00:00 AM,24.871,,,,,
40,07/24/17/ 03:00:00 AM,23.497,,,,,
41,07/24/17/ 04:00:00 AM,22.321,,,,,
42,07/24/17/ 05:00:00 AM,21.27,,,,,
43,07/24/17/ 06:00:00 AM,20.388,,,,,
44,07/24/17/ 07:00:00 AM,19.389,,,,,
45,07/24/17/ 08:00:00 AM,16.82,,,,,
46,07/24/17/ 09:00:00 AM,18.985,,,,,
47,07/24/17/ 10:00:00 AM,20.484,,,,,
48,07/24/17/ 11:00:00 AM,22.034,,,,,
49,07/24/17/ 12:00:00 PM,24.895,,,,,
50,07/24/17/ 01:00:00 PM,27.998,,,,,
51,07/24/17/ 02:00:00 PM,30.722,,,,,
52,07/24/17/ 03:00:00 PM,32.639,,,,,
53,07/24/17/ 04:00:00 PM,34.071,,,,,
54,07/24/17/ 05:00:00 PM,35.208,,,,,
55,07/24/17/ 06:00:00 PM,35.662,,,,,
56,07/24/17/ 07:00:00 PM,35.288,,,,,
57,07/24/17/ 08:00:00 PM,34.519,,,,,
58,07/24/17/ 09:00:00 PM,30.571,,,,,
59,07/24/17/ 10:00:00 PM,29.04,,,,,
60,07/24/17/ 11:00:00 PM,28.742,,,,,
61,07/25/17/ 12:00:00 AM,27.481,,,,,
