"Plot Title: 20571721"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20571721, SEN S/N: 20571721)","Coupler Detached (LGR S/N: 20571721)","Coupler Attached (LGR S/N: 20571721)","Host Connected (LGR S/N: 20571721)","Stopped (LGR S/N: 20571721)","End Of File (LGR S/N: 20571721)"
1,07/27/19 06:36:53 PM,26.720,,,,,
2,07/27/19 06:37:05 PM,,Logged,,,,
3,07/27/19 07:36:53 PM,20.007,,,,,
4,07/27/19 08:36:53 PM,17.986,,,,,
5,07/27/19 09:36:53 PM,15.724,,,,,
6,07/27/19 10:36:53 PM,18.081,,,,,
7,07/27/19 11:36:53 PM,18.010,,,,,
8,07/28/19 12:36:53 AM,16.844,,,,,
9,07/28/19 01:36:53 AM,15.390,,,,,
10,07/28/19 02:36:53 AM,13.906,,,,,
11,07/28/19 03:36:53 AM,12.485,,,,,
12,07/28/19 04:36:53 AM,11.224,,,,,
13,07/28/19 05:36:53 AM,10.124,,,,,
14,07/28/19 06:36:53 AM,9.188,,,,,
15,07/28/19 07:36:53 AM,8.792,,,,,
16,07/28/19 08:36:53 AM,14.840,,,,,
17,07/28/19 09:36:53 AM,13.858,,,,,
18,07/28/19 10:36:53 AM,16.153,,,,,
19,07/28/19 11:36:53 AM,28.916,,,,,
20,07/28/19 12:36:53 PM,36.851,,,,,
21,07/28/19 01:36:53 PM,39.886,,,,,
22,07/28/19 02:36:53 PM,40.949,,,,,
23,07/28/19 03:36:53 PM,41.181,,,,,
24,07/28/19 04:36:53 PM,38.170,,,,,
25,07/28/19 05:36:53 PM,32.253,,,,,
26,07/28/19 06:36:53 PM,29.815,,,,,
27,07/28/19 07:36:53 PM,26.646,,,,,
28,07/28/19 08:36:53 PM,20.293,,,,,
29,07/28/19 09:36:53 PM,18.937,,,,,
30,07/28/19 10:36:53 PM,18.438,,,,,
31,07/28/19 11:36:53 PM,17.582,,,,,
32,07/29/19 12:36:53 AM,16.368,,,,,
33,07/29/19 01:36:53 AM,15.055,,,,,
34,07/29/19 02:36:53 AM,13.834,,,,,
35,07/29/19 03:36:53 AM,12.751,,,,,
36,07/29/19 04:36:53 AM,11.807,,,,,
37,07/29/19 05:36:53 AM,11.321,,,,,
38,07/29/19 06:36:53 AM,11.175,,,,,
39,07/29/19 07:36:53 AM,11.200,,,,,
40,07/29/19 08:36:53 AM,11.734,,,,,
41,07/29/19 09:36:53 AM,13.257,,,,,
42,07/29/19 10:36:53 AM,14.816,,,,,
43,07/29/19 11:36:53 AM,17.272,,,,,
44,07/29/19 12:36:53 PM,20.007,,,,,
45,07/29/19 01:36:53 PM,22.058,,,,,
46,07/29/19 02:36:53 PM,20.984,,,,,
47,07/29/19 03:36:53 PM,18.985,,,,,
48,07/29/19 04:36:53 PM,19.508,,,,,
49,07/29/19 05:36:53 PM,20.984,,,,,
50,07/29/19 06:36:53 PM,22.561,,,,,
51,07/29/19 07:36:53 PM,22.130,,,,,
52,07/29/19 08:36:53 PM,20.293,,,,,
53,07/29/19 09:36:53 PM,19.389,,,,,
54,07/29/19 10:36:53 PM,18.485,,,,,
55,07/29/19 11:36:53 PM,17.368,,,,,
56,07/30/19 12:36:53 AM,16.201,,,,,
57,07/30/19 01:36:53 AM,15.103,,,,,
58,07/30/19 02:36:53 AM,14.194,,,,,
59,07/30/19 03:36:53 AM,13.473,,,,,
60,07/30/19 04:36:53 AM,12.751,,,,,
61,07/30/19 05:36:53 AM,11.880,,,,,
62,07/30/19 06:36:53 AM,11.102,,,,,
