Plot Title: 20174693,,,,,,,
#,"Date Time, GMT-06:00","Temp, ∞C (LGR S/N: 20174693, SEN S/N: 20174693)",Coupler Detached (LGR S/N: 20174693),Coupler Attached (LGR S/N: 20174693),Host Connected (LGR S/N: 20174693),Stopped (LGR S/N: 20174693),End Of File (LGR S/N: 20174693)
1,08/05/17/ 09:04:00 PM,21.199,,,,,
2,08/05/17/ 09:04:00 PM,,Logged,,,,
3,08/05/17/ 10:04:00 PM,15.151,,,,,
4,08/05/17/ 11:04:00 PM,15.079,,,,,
5,08/06/17/ 12:04:00 AM,14.385,,,,min,-0.088
6,08/06/17/ 01:04:00 AM,14.098,,,,max,15.605
7,08/06/17/ 02:04:00 AM,13.69,,,,range,15.693
8,08/06/17/ 03:04:00 AM,13.185,,,,,
9,08/06/17/ 04:04:00 AM,12.799,,,,,
10,08/06/17/ 05:04:00 AM,12.268,,,,,
11,08/06/17/ 06:04:00 AM,11.565,,,,,
12,08/06/17/ 07:04:00 AM,10.59,,,,,
13,08/06/17/ 08:04:00 AM,9.977,,,,,
14,08/06/17/ 09:04:00 AM,11.516,,,,,
15,08/06/17/ 10:04:00 AM,16.129,,,,,
16,08/06/17/ 11:04:00 AM,18.533,,,,,
17,08/06/17/ 12:04:00 PM,20.222,,,,,
18,08/06/17/ 01:04:00 PM,24.363,,,,,
19,08/06/17/ 02:04:00 PM,28.444,,,,,
20,08/06/17/ 03:04:00 PM,32.304,,,,,
21,08/06/17/ 04:04:00 PM,35.315,,,,,
22,08/06/17/ 05:04:00 PM,37.618,,,,,
23,08/06/17/ 06:04:00 PM,40.343,,,,,
24,08/06/17/ 07:04:00 PM,39.943,,,,,
25,08/06/17/ 08:04:00 PM,37.261,,,,,
26,08/06/17/ 09:04:00 PM,32.304,,,,,
27,08/06/17/ 10:04:00 PM,27.161,,,,,
28,08/06/17/ 11:04:00 PM,23.376,,,,,
29,08/07/17/ 12:04:00 AM,20.674,,,,,
30,08/07/17/ 01:04:00 AM,18.485,,,,,
31,08/07/17/ 02:04:00 AM,16.701,,,,,
32,08/07/17/ 03:04:00 AM,15.223,,,,,
33,08/07/17/ 04:04:00 AM,13.858,,,,,
34,08/07/17/ 05:04:00 AM,12.582,,,,,
35,08/07/17/ 06:04:00 AM,11.419,,,,,
