"Plot Title: 20475520"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 20475520, SEN S/N: 20475520)","Coupler Detached (LGR S/N: 20475520)","Coupler Attached (LGR S/N: 20475520)","Host Connected (LGR S/N: 20475520)","End Of File (LGR S/N: 20475520)"
1,07/28/21 08:10:05 PM,26.891,,,,
2,07/28/21 08:10:34 PM,,Logged,,,
3,07/28/21 09:10:05 PM,26.012,,,,
4,07/28/21 10:10:05 PM,25.477,,,,
5,07/28/21 11:10:05 PM,24.968,,,,
6,07/29/21 12:10:05 AM,24.460,,,,
7,07/29/21 01:10:05 AM,24.002,,,,
8,07/29/21 02:10:05 AM,23.521,,,,
9,07/29/21 03:10:05 AM,23.088,,,,
10,07/29/21 04:10:05 AM,22.681,,,,
11,07/29/21 05:10:05 AM,22.250,,,,
12,07/29/21 06:10:05 AM,21.867,,,,
13,07/29/21 07:10:05 AM,23.881,,,,
14,07/29/21 08:10:05 AM,27.875,,,,
15,07/29/21 09:10:05 AM,29.515,,,,
16,07/29/21 10:10:05 AM,27.653,,,,
17,07/29/21 11:10:05 AM,27.038,,,,
18,07/29/21 12:10:05 PM,26.744,,,,
19,07/29/21 01:10:05 PM,26.598,,,,
20,07/29/21 02:10:05 PM,26.769,,,,
21,07/29/21 03:10:05 PM,26.109,,,,
22,07/29/21 04:10:05 PM,25.258,,,,
23,07/29/21 05:10:05 PM,24.557,,,,
24,07/29/21 06:10:05 PM,24.074,,,,
25,07/29/21 07:10:05 PM,23.665,,,,
26,07/29/21 08:10:05 PM,23.352,,,,
27,07/29/21 09:10:05 PM,22.968,,,,
28,07/29/21 10:10:05 PM,22.609,,,,
29,07/29/21 11:10:05 PM,22.345,,,,
30,07/30/21 12:10:05 AM,22.106,,,,
31,07/30/21 01:10:05 AM,21.843,,,,
32,07/30/21 02:10:05 AM,21.509,,,,
33,07/30/21 03:10:05 AM,21.127,,,,
34,07/30/21 04:10:05 AM,20.841,,,,
35,07/30/21 05:10:05 AM,20.603,,,,
36,07/30/21 06:10:05 AM,20.365,,,,
37,07/30/21 07:10:05 AM,21.533,,,,
38,07/30/21 08:10:05 AM,24.726,,,,
39,07/30/21 09:10:05 AM,27.235,,,,
40,07/30/21 10:10:05 AM,25.550,,,,
41,07/30/21 11:10:05 AM,24.871,,,,
42,07/30/21 12:10:05 PM,24.702,,,,
43,07/30/21 01:10:05 PM,24.992,,,,
44,07/30/21 02:10:05 PM,30.824,,,,
45,07/30/21 03:10:05 PM,31.204,,,,
