"Plot Title: 22025790"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 22025790, SEN S/N: 22025790)","Coupler Detached (LGR S/N: 22025790)","Coupler Attached (LGR S/N: 22025790)","Host Connected (LGR S/N: 22025790)","Stopped (LGR S/N: 22025790)","End Of File (LGR S/N: 22025790)"
1,08/05/24 08:47:15 PM,25.428,,,,,
2,08/05/24 08:47:44 PM,,Logged,,,,
3,08/05/24 09:47:15 PM,26.598,,,,,
4,08/05/24 10:47:15 PM,25.040,,,,,
5,08/05/24 11:47:15 PM,24.532,,,,,
6,08/06/24 12:47:15 AM,23.954,,,,,
7,08/06/24 01:47:15 AM,23.184,,,,,
8,08/06/24 02:47:15 AM,22.298,,,,,
9,08/06/24 03:47:15 AM,21.270,,,,,
10,08/06/24 04:47:15 AM,20.198,,,,,
11,08/06/24 05:47:15 AM,19.151,,,,,
12,08/06/24 06:47:15 AM,18.129,,,,,
13,08/06/24 07:47:15 AM,14.816,,,,,
14,08/06/24 08:47:15 AM,15.247,,,,,
15,08/06/24 09:47:15 AM,16.915,,,,,
16,08/06/24 10:47:15 AM,22.944,,,,,
17,08/06/24 11:47:15 AM,25.963,,,,,
18,08/06/24 12:47:15 PM,29.515,,,,,
19,08/06/24 01:47:15 PM,14.936,,,,,
20,08/06/24 02:47:15 PM,14.290,,,,,
21,08/06/24 03:47:15 PM,15.390,,,,,
22,08/06/24 04:47:15 PM,15.151,,,,,
23,08/06/24 05:47:15 PM,14.936,,,,,
24,08/06/24 06:47:15 PM,13.906,,,,,
25,08/06/24 07:47:15 PM,13.040,,,,,
26,08/06/24 08:47:15 PM,12.268,,,,,
27,08/06/24 09:47:15 PM,11.540,,,,,
28,08/06/24 10:47:15 PM,10.956,,,,,
29,08/06/24 11:47:15 PM,10.418,,,,,
30,08/07/24 12:47:15 AM,9.928,,,,,
31,08/07/24 01:47:15 AM,9.435,,,,,
32,08/07/24 02:47:15 AM,9.089,,,,,
33,08/07/24 03:47:15 AM,8.742,,,,,
34,08/07/24 04:47:15 AM,8.394,,,,,
35,08/07/24 05:47:15 AM,8.095,,,,,
36,08/07/24 06:47:15 AM,7.820,,,,,
37,08/07/24 07:47:15 AM,7.770,,,,,
38,08/07/24 08:47:15 AM,7.845,,,,,
39,08/07/24 09:47:15 AM,9.262,,,,,
40,08/07/24 10:47:15 AM,10.736,,,,,
41,08/07/24 11:47:15 AM,12.122,,,,,
42,08/07/24 12:47:15 PM,13.401,,,,,
43,08/07/24 01:47:15 PM,14.385,,,,,
44,08/07/24 02:47:15 PM,14.960,,,,,
45,08/07/24 03:47:15 PM,15.031,,,,,
46,08/07/24 04:47:15 PM,14.721,,,,,
47,08/07/24 05:47:15 PM,14.050,,,,,
48,08/07/24 06:47:15 PM,12.727,,,,,
49,08/07/24 07:47:15 PM,11.929,,,,,
50,08/07/24 08:47:15 PM,11.273,,,,,
51,08/07/24 09:47:15 PM,10.638,,,,,
52,08/07/24 10:47:15 PM,10.124,,,,,
53,08/07/24 11:47:15 PM,9.657,,,,,
54,08/08/24 12:47:15 AM,9.188,,,,,
55,08/08/24 01:47:15 AM,8.841,,,,,
56,08/08/24 02:47:15 AM,8.519,,,,,
57,08/08/24 03:47:15 AM,8.270,,,,,
58,08/08/24 04:47:15 AM,8.045,,,,,
59,08/08/24 05:47:15 AM,7.970,,,,,
60,08/08/24 06:47:15 AM,7.895,,,,,
61,08/08/24 07:47:15 AM,7.970,,,,,
62,08/08/24 08:47:15 AM,8.295,,,,,
63,08/08/24 09:47:15 AM,9.336,,,,,
64,08/08/24 10:47:15 AM,10.467,,,,,
65,08/08/24 11:47:15 AM,12.292,,,,,
66,08/08/24 12:47:15 PM,13.040,,,,,
67,08/08/24 01:47:15 PM,13.834,,,,,
68,08/08/24 02:47:15 PM,14.601,,,,,
69,08/08/24 03:47:15 PM,14.601,,,,,
70,08/08/24 04:47:15 PM,14.002,,,,,
71,08/08/24 05:47:15 PM,13.137,,,,,
72,08/08/24 06:47:15 PM,12.509,,,,,
73,08/08/24 07:47:15 PM,11.807,,,,,
74,08/08/24 08:47:15 PM,11.321,,,,,
75,08/08/24 09:47:15 PM,10.834,,,,,
76,08/08/24 10:47:15 PM,10.075,,,,,
77,08/08/24 11:47:15 PM,9.682,,,,,
78,08/09/24 12:47:15 AM,9.410,,,,,
79,08/09/24 01:47:15 AM,9.238,,,,,
80,08/09/24 02:47:15 AM,9.064,,,,,
81,08/09/24 03:47:15 AM,8.941,,,,,
82,08/09/24 04:47:15 AM,8.792,,,,,
83,08/09/24 05:47:15 AM,8.668,,,,,
84,08/09/24 06:47:15 AM,8.543,,,,,
85,08/09/24 07:47:15 AM,8.593,,,,,
86,08/09/24 08:47:15 AM,8.519,,,,,
87,08/09/24 09:47:15 AM,9.879,,,,,
88,08/09/24 10:47:15 AM,11.102,,,,,
89,08/09/24 11:47:15 AM,11.880,,,,,
90,08/09/24 12:47:15 PM,12.219,,,,,
91,08/09/24 01:47:15 PM,12.147,,,,,
92,08/09/24 02:47:15 PM,12.630,,,,,
93,08/09/24 03:47:15 PM,13.570,,,,,
94,08/09/24 04:47:15 PM,14.050,,,,,
95,08/09/24 05:47:15 PM,13.546,,,,,
96,08/09/24 06:47:15 PM,12.799,,,,,
97,08/09/24 07:47:15 PM,11.977,,,,,
98,08/09/24 08:47:15 PM,11.053,,,,,
99,08/09/24 09:47:15 PM,10.516,,,,,
100,08/09/24 10:47:15 PM,10.026,,,,,
101,08/09/24 11:47:15 PM,9.657,,,,,
102,08/10/24 12:47:15 AM,9.287,,,,,
103,08/10/24 01:47:15 AM,8.841,,,,,
104,08/10/24 02:47:15 AM,8.717,,,,,
105,08/10/24 03:47:15 AM,8.494,,,,,
106,08/10/24 04:47:15 AM,8.245,,,,,
107,08/10/24 05:47:15 AM,7.970,,,,,
108,08/10/24 06:47:15 AM,7.770,,,,,
109,08/10/24 07:47:15 AM,7.720,,,,,
110,08/10/24 08:47:15 AM,8.195,,,,,
111,08/10/24 09:47:15 AM,9.163,,,,,
112,08/10/24 10:47:15 AM,9.114,,,,,
113,08/10/24 11:47:15 AM,9.262,,,,,
114,08/10/24 12:47:15 PM,10.736,,,,,
115,08/10/24 01:47:15 PM,11.102,,,,,
116,08/10/24 02:47:15 PM,11.953,,,,,
117,08/10/24 03:47:15 PM,12.558,,,,,
118,08/10/24 04:47:15 PM,13.112,,,,,
119,08/10/24 05:47:15 PM,11.977,,,,,
120,08/10/24 06:47:15 PM,11.394,,,,,
121,08/10/24 07:47:15 PM,10.687,,,,,
122,08/10/24 08:47:15 PM,9.952,,,,,
123,08/10/24 09:47:15 PM,9.361,,,,,
